Price,Close,High,Low,Open,Volume,Asset Class
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,Equity
Date,,,,,,Equity
2010-01-04,6.440330982208252,6.455076781226995,6.391278499172716,6.422876697326148,493729600,Equity
2010-01-05,6.451465606689453,6.4878788893442865,6.417459465133687,6.458086349642286,601904800,Equity
2010-01-06,6.348847389221191,6.477046253588525,6.342226645342805,6.4514665085786,552160000,Equity
2010-01-07,6.3371100425720215,6.379843531927759,6.291066984952576,6.372319959542432,477131200,Equity
2010-01-08,6.379240989685059,6.37984327724476,6.291368480282735,6.328683790652659,447610800,Equity
2010-01-11,6.322966575622559,6.409936656739424,6.2730108613843925,6.403917799170273,462229600,Equity
2010-01-12,6.25104284286499,6.312735337372884,6.211921468964844,6.295280246363157,594459600,Equity
2010-01-13,6.33921480178833,6.347641200412679,6.142102485846587,6.255555513710475,605892000,Equity
2010-01-14,6.302502155303955,6.333498868494199,6.290163899676365,6.322966270050092,432894000,Equity
2010-01-15,6.197176456451416,6.367807496269288,6.195370798716445,6.347644318228767,594067600,Equity
2010-01-19,6.471327781677246,6.475841925122603,6.236598349412447,6.26939991973662,730007600,Equity
2010-01-20,6.3717193603515625,6.486676348019481,6.3046102907341215,6.467416401831435,612152800,Equity
2010-01-21,6.2615742683410645,6.419265113196395,6.235693985875178,6.382250346663958,608154400,Equity
2010-01-22,5.951010227203369,6.244422753190375,5.933255397936398,6.222755665837171,881767600,Equity
2010-01-25,6.111107349395752,6.16015943254039,6.024437807372042,6.0942549496076115,1065699600,Equity
2010-01-26,6.197476863861084,6.431304297025118,6.096362450198299,6.197777806790907,1867110000,Equity
2010-01-27,6.255857944488525,6.33711011643965,6.004575847197516,6.224861227692589,1722568400,Equity
2010-01-28,5.997352600097656,6.184234090635702,5.9795977756648,6.1670811518983895,1173502400,Equity
2010-01-29,5.7797770500183105,6.0849263149904775,5.725307591416028,6.051221514344954,1245952400,Equity
2010-02-01,5.8601250648498535,5.898343997641952,5.756904093106256,5.789104169775881,749876400,Equity
2010-02-02,5.894130229949951,5.907973597696637,5.819498430192486,5.89563534562822,698342400,Equity
2010-02-03,5.995547294616699,6.024738350769651,5.8507969906922614,5.873367303805952,615328000,Equity
2010-02-04,5.779476642608643,5.96966773508442,5.765031383318195,5.920313902761244,757652000,Equity
2010-02-05,5.882093906402588,5.898344820199544,5.7433624677751185,5.796929491149744,850306800,Equity
2010-02-08,5.841768264770508,5.954920355107196,5.838156950905818,5.88901548424789,478270800,Equity
2010-02-09,5.904064178466797,5.943486495831083,5.8607292013274135,5.910985463873022,632886800,Equity
2010-02-10,5.871860980987549,5.9164001110762685,5.845980705236545,5.895032771691707,370361600,Equity
2010-02-11,5.978694915771484,6.011196343551841,5.839963468695428,5.864640381948894,550345600,Equity
2010-02-12,6.030155181884766,6.068073178458809,5.883298281323169,5.961842358404085,655468800,Equity
2010-02-16,6.12103796005249,6.1297649012161175,6.064461907644149,6.077101105995172,543737600,Equity
2010-02-17,6.095459461212158,6.148423804805962,6.044600512554113,6.144812489981041,436396800,Equity
2010-02-18,6.106893539428711,6.135783651748159,6.046405230884648,6.067771370027818,422825200,Equity
2010-02-19,6.068976402282715,6.1150198620807625,6.052124001791336,6.074694719136381,415469600,Equity
2010-02-22,6.03135871887207,6.093953629779706,5.994343951639114,6.08913894570441,390563600,Equity
2010-02-23,5.930243015289307,6.058742778436252,5.889616942637176,6.018718189591782,575094800,Equity
2010-02-24,6.038581848144531,6.062054588549697,5.953717163709801,5.96545393570527,460566400,Equity
2010-02-25,6.078907012939453,6.104787296426052,5.92512882100587,5.939874619986777,665126000,Equity
2010-02-26,6.157751560211182,6.174303015148983,6.078906542567606,6.090341969061385,507460800,Equity
2010-03-01,6.289261817932129,6.304609101247995,6.18273004722626,6.191757931846104,550093600,Equity
2010-03-02,6.285048484802246,6.3446335666957125,6.251644227573834,6.317549109822682,566546400,Equity
