Price,Close,High,Low,Open,Volume,Asset Class
Ticker,AIG,AIG,AIG,AIG,AIG,Equity
Date,,,,,,Equity
2010-01-04,19.096771240234375,19.512058316145513,18.790098719636102,19.50566915297368,7750900,Equity
2010-01-05,18.738985061645508,19.397054189867173,18.6239825714118,19.154270884127534,8920500,Equity
2010-01-06,18.617595672607422,18.783710265520796,18.374813555954535,18.751765667064053,7163500,Equity
2010-01-07,18.25980567932129,18.592034767399312,18.0617465462243,18.52814437067539,9235500,Equity
2010-01-08,18.745370864868164,19.294826567022653,18.27897304348993,18.291750147864168,12702600,Equity
2010-01-11,18.9306583404541,19.339556289629257,18.553707428593093,19.058439178060407,10730700,Equity
2010-01-12,18.183141708374023,19.26288591731755,18.06175126336411,18.90510130827308,9036300,Equity
2010-01-13,18.566490173339844,18.68788188405355,18.112870377496726,18.521767232184466,6138000,Equity
2010-01-14,18.27259063720703,18.457871514513556,18.12564352441075,18.34925816622752,6143300,Equity
2010-01-15,17.927579879760742,18.304531949108732,17.914802772958577,18.24703070337035,5545200,Equity
2010-01-19,18.04897117614746,18.89232113878129,17.43562619190764,17.921190361793418,18187900,Equity
2010-01-20,17.86369514465332,18.592044082453334,17.748693835261438,17.92758557338786,6911400,Equity
2010-01-21,17.60173988342285,18.387589835197208,17.518683205519253,17.895635274652587,8018300,Equity
2010-01-22,16.930892944335938,17.72951997001216,16.835057944976416,17.69118621398998,5902700,Equity
2010-01-25,16.668941497802734,17.250341809447317,16.291989486700245,17.084227260604866,6672200,Equity
2010-01-26,15.589201927185059,16.57311117372347,15.38475356910132,16.419774905160665,8585600,Equity
2010-01-27,15.915043830871582,16.093936774586325,14.720298140508964,15.640315860334413,16431200,Equity
2010-01-28,15.435860633850098,16.624217851631215,15.3655810766585,16.515604544429628,7113600,Equity
2010-01-29,15.480587005615234,15.806427000053809,15.384751999864644,15.672258235724627,5708200,Equity
2010-02-01,15.308086395263672,15.653093948864587,14.975858388613876,15.576425197417118,4632200,Equity
2010-02-02,15.314472198486328,15.589200104518696,15.122802189844686,15.327250524024624,5869300,Equity
2010-02-03,15.199471473693848,15.6211464828291,15.148358169693706,15.263360666477546,4817500,Equity
2010-02-04,14.432787895202637,15.16752452475994,14.413620407635559,15.033355767614829,5951800,Equity
2010-02-05,14.317785263061523,14.451955237465802,13.761941533894456,14.37528650657648,7498300,Equity
2010-02-08,14.158062934875488,14.566959672209295,13.928057910821021,14.317788375222557,4293600,Equity
2010-02-09,14.784184455871582,15.205859466345123,14.151671940161272,14.298619033803332,9705500,Equity
2010-02-10,17.199235916137695,17.659244757695838,14.662796295640906,14.828909685580577,31633400,Equity
2010-02-11,16.803112030029297,18.304531072840675,16.624220357280997,16.930892840799334,31152700,Equity
2010-02-12,17.135345458984375,17.327016723191512,16.21532655917204,16.49644368217745,13396300,Equity
2010-02-16,17.52507209777832,17.818966265864574,17.28228879329926,17.52507209777832,6887900,Equity
2010-02-17,17.18645477294922,17.78702268723278,17.03311851754648,17.588963509663607,5361600,Equity
2010-02-18,17.065065383911133,17.582576685673196,16.771171159945077,16.87339534381226,6481400,Equity
2010-02-19,16.950061798095703,17.141731812266396,16.82867013919654,16.956450961049157,4671500,Equity
2010-02-22,18.163976669311523,18.719820500878555,16.975619042555525,17.180067404447232,24154700,Equity
2010-02-23,17.097015380859375,18.381208375433186,16.982012841254452,18.0298115912394,13607000,Equity
2010-02-24,17.882850646972656,18.18313387646989,17.16089257664623,17.352562515711227,12118400,Equity
2010-02-25,17.576189041137695,18.240646293709943,17.250348969917347,17.53146610915601,12376000,Equity
2010-02-26,15.825593948364258,16.57310891747197,15.787258972486201,16.400605181845226,27126500,Equity
2010-03-01,16.470890045166016,17.876473376616364,16.470890045166016,17.86369504721744,29658700,Equity
2010-03-02,15.991707801818848,16.573108171786814,15.653089508447389,16.566719009427946,18185800,Equity
2010-03-03,15.895875930786133,16.260050973154172,15.678650444238258,16.042824267997847,10424000,Equity
2010-03-04,17.065065383911133,17.435629573690168,15.966154798034704,16.030045217603792,25802100,Equity
2010-03-05,17.940359115600586,18.285366607539174,17.084230767391762,17.212011590763442,19516700,Equity
2010-03-08,18.592042922973633,19.326779761078043,18.304536620902628,18.80288047162287,27312500,Equity
2010-03-09,20.936811447143555,22.233781269736312,17.94036178291099,18.13842099183643,57916300,Equity
2010-03-10,23.153799057006836,23.856589963552167,21.21153727248104,21.65876895719925,70650900,Equity
2010-03-11,22.431838989257812,24.56577075640391,22.37433773899395,24.029093233013377,46473300,Equity
2010-03-12,21.869604110717773,23.287966613532916,21.61404490225381,23.06434956425841,21011100,Equity
2010-03-15,21.927106857299805,23.236854897163237,21.27542680978361,22.048497306822924,43645300,Equity
2010-03-16,21.473485946655273,22.987682252315,21.300982199851028,22.227390127259095,35336600,Equity
2010-03-17,21.984601974487305,22.157105683385463,21.607649967017096,22.02932488747394,18017700,Equity
2010-03-18,22.131555557250977,22.60434391025369,21.786548037807105,22.259336390809818,14330100,Equity
2010-03-19,22.233781814575195,22.374340988347942,21.626824626358317,22.233781814575195,11326800,Equity
2010-03-22,21.332923889160156,21.837656734664087,21.14764184148664,21.607651770271602,14772300,Equity
2010-03-23,21.262651443481445,21.594880676937965,20.604583359505888,21.499046867828596,13088000,Equity
2010-03-24,21.192363739013672,21.933491894065103,21.04541667154466,21.090139586112794,13741900,Equity
2010-03-25,22.048494338989258,22.78962013768092,21.30098059632639,21.537373518721957,29454700,Equity
