Price,Close,High,Low,Open,Volume,Asset Class
Ticker,ALLE,ALLE,ALLE,ALLE,ALLE,Equity
Date,,,,,,Equity
2013-11-18,42.92288589477539,44.26865336228034,42.04636844956316,44.04731009546894,587100,Equity
2013-11-19,40.55006408691406,43.38325706020934,40.107377790381314,43.37440482034718,1682000,Equity
2013-11-20,39.53190612792969,40.72715833684331,38.947560078193916,40.709450471405255,1106900,Equity
2013-11-21,38.770503997802734,39.9746124243443,38.10647391352746,39.399118333666394,730200,Equity
2013-11-22,38.94756317138672,39.044951372885535,38.29238560786492,38.867879459302046,947600,Equity
2013-11-25,39.115787506103516,40.390723674106,38.69080878343602,39.20432347345608,727300,Equity
2013-11-26,38.24811553955078,39.84178631673413,38.106455989966264,39.84178631673413,873700,Equity
2013-11-27,38.283538818359375,38.55800234998154,37.628361161478225,38.55800234998154,1153300,Equity
2013-11-29,38.283538818359375,38.82361363563524,37.8497044624281,37.8497044624281,949900,Equity
2013-12-02,38.194984436035156,38.66423096855178,36.760681356175134,38.141864226273675,5130700,Equity
2013-12-03,37.98250198364258,39.70897658318371,37.8054267131325,37.8939626596726,3239300,Equity
2013-12-04,37.035152435302734,37.72574226141084,36.87578503275012,37.56637485885823,2777700,Equity
2013-12-05,36.344573974609375,37.43358274884547,35.972718802766835,37.43358274884547,3380500,Equity
2013-12-06,36.0346794128418,36.353414212332474,35.981555820450104,36.078947384453336,4662300,Equity
2013-12-09,36.459659576416016,36.53934327969096,35.62741019132311,36.03468095142624,3074000,Equity
2013-12-10,37.681488037109375,37.92939147489219,36.335720245345,36.36228036298429,3289400,Equity
2013-12-11,37.59293746948242,38.088747574590315,37.185666692481306,37.46898578756296,3367300,Equity
2013-12-12,38.04447555541992,38.159571603579884,37.185662739934415,37.19451498308916,1770500,Equity
2013-12-13,38.292381286621094,38.77933574888406,38.00020658280539,38.00020658280539,683800,Equity
2013-12-16,38.68193435668945,38.947548884491425,37.28304716342974,38.07988061454861,1953900,Equity
2013-12-17,38.735084533691406,38.95642787388393,38.2127141157398,38.451765328439485,1396700,Equity
2013-12-18,39.19548034667969,39.399115820911724,38.15959172501159,38.646549791035426,1225200,Equity
2013-12-19,39.35483169555664,39.39909967138679,38.79704574329254,38.920997426589,593000,Equity
2013-12-20,39.18661117553711,39.35483422289695,38.87673194739575,39.22202690944763,2878600,Equity
2013-12-23,39.53190612792969,39.70897802745023,38.55799379341674,39.10692411227641,773600,Equity
2013-12-24,39.46992492675781,39.85948778119409,39.17775025285846,39.62928893919529,304700,Equity
2013-12-26,39.57619094848633,39.85065453602708,39.345991977237034,39.71785055485842,513200,Equity
2013-12-27,39.523048400878906,39.815223098895984,39.036093948280254,39.63814783137926,393300,Equity
2013-12-30,39.06265640258789,39.73554178408206,38.95641258666829,39.35483111815431,381500,Equity
2013-12-31,39.124629974365234,39.39909680845618,38.74391933051611,39.160045703427905,874200,Equity
2014-01-02,38.646541595458984,39.11578831146415,38.31009883321698,39.027252342288705,992900,Equity
2014-01-03,38.92100524902344,39.23974014294872,38.2215596070686,38.57571023974796,378400,Equity
2014-01-06,38.67308807373047,38.93869926502709,38.398621262180555,38.92984702220333,597800,Equity
2014-01-07,38.8413200378418,38.93871162696987,37.3273327271162,37.3273327271162,1371300,Equity
2014-01-08,38.85017013549805,39.27514879153534,38.42519147946076,38.97412182133016,1407100,Equity
2014-01-09,39.0715217590332,39.17776560142423,38.814762710609955,38.85903069682031,1093500,Equity
2014-01-10,40.48810958862305,40.79799218577589,38.97412246809774,39.1069264005088,2008600,Equity
