Price,Close,High,Low,Open,Volume,Asset Class
Ticker,AMP,AMP,AMP,AMP,AMP,Equity
Date,,,,,,Equity
2010-01-04,28.77675437927246,28.841697012566158,28.084032039932065,28.213917306519456,2238700,Equity
2010-01-05,29.447816848754883,29.447816848754883,28.668505526848556,28.697369520835156,2782200,Equity
2010-01-06,29.859119415283203,29.98178726196987,29.483895747724354,29.851902040406344,3575200,Equity
2010-01-07,30.082807540893555,30.270420745069377,29.657073273106164,29.801390487251737,2992900,Equity
2010-01-08,30.191055297851562,30.234351301015273,29.830263529355545,29.859127531464686,1463600,Equity
2010-01-11,30.580703735351562,31.013652652678626,30.24155867345138,30.2920692887188,3510700,Equity
2010-01-12,30.09002113342285,30.61677655911584,29.81581873627391,30.349791535709052,2711400,Equity
2010-01-13,30.458045959472656,30.50855659601255,29.8879942012387,30.241571409641214,2946700,Equity
2010-01-14,30.32093620300293,30.443604065427134,30.010655106418653,30.299289580839208,1698400,Equity
2010-01-15,30.032302856445312,30.198266722052082,29.90963498941431,30.162188099550168,2017600,Equity
2010-01-19,30.349807739257812,30.45082900460997,29.794188027197887,29.938505300253706,2086500,Equity
2010-01-20,30.234344482421875,30.270423100610305,29.815824804094127,30.126105875234455,1721200,Equity
2010-01-21,29.404531478881836,30.414749612334326,29.108682315211503,30.21992171148465,2616500,Equity
2010-01-22,28.69015884399414,29.527195596665187,28.625216218673863,29.354017097559517,2967100,Equity
2010-01-25,29.173614501953125,29.556052789289307,28.913844060508932,29.065375900477385,1541200,Equity
2010-01-26,28.93549346923828,29.49833039750081,28.783961614661628,28.993221462956384,1996400,Equity
2010-01-27,29.519977569580078,29.53440956827886,28.776747528637852,28.964358006477397,1991000,Equity
2010-01-28,28.84168815612793,29.78696060837594,28.30050062907097,29.71480337248385,2013300,Equity
2010-01-29,27.59334945678711,28.971573592214643,27.427382858316047,28.935492221385726,4036600,Equity
2010-02-01,28.69015884399414,28.74067222157446,27.716022216812558,27.780964842132835,2153600,Equity
2010-02-02,28.84891128540039,29.238567080409233,28.553062126809877,28.841696660732634,2020400,Equity
2010-02-03,28.27885627746582,28.86333990141358,28.163403027965067,28.682944027029745,2333500,Equity
2010-02-04,27.145959854125977,28.538615683213415,27.145959854125973,28.401515862920498,4183000,Equity
2010-02-05,27.369653701782227,27.492321536650007,26.0780189854711,27.07380467064152,3264200,Equity
2010-02-08,26.864545822143555,27.434597287512037,26.864545822143555,27.14596286760799,2631600,Equity
2010-02-09,27.369653701782227,27.470674919349044,26.691366417675216,27.167611266648592,3471500,Equity
2010-02-10,27.93503189086914,28.094493084607883,27.217446841491476,27.217446841491476,3022800,Equity
2010-02-11,27.587108612060547,27.906033716269725,27.478382699367856,27.840798721657073,2574500,Equity
2010-02-12,27.73206901550293,27.77555992763386,26.92025801082662,27.326164895671994,2551400,Equity
2010-02-16,28.456905364990234,28.464155233974616,27.7755642262463,27.985766186555498,1964000,Equity
2010-02-17,28.862812042236328,28.971537955864452,28.420664048837043,28.59462495763908,2164500,Equity
2010-02-18,28.833826065063477,28.913558055090043,28.652618002281496,28.819329088239044,1631000,Equity
2010-02-19,29.094757080078125,29.26871798291768,28.674355942822547,28.710596991118152,2382300,Equity
2010-02-22,29.341196060180664,29.55139798252114,29.073009021513307,29.13099413784019,1535900,Equity
2010-02-23,28.82657814025879,29.348458231050405,28.696108117560886,29.2179882083525,1826000,Equity
2010-02-24,29.464420318603516,29.493411495630475,28.812070447743153,28.935290553897612,2459600,Equity
2010-02-25,29.116518020629883,29.181753051352654,28.688869532022817,28.920815693477923,4720200,Equity
2010-02-26,29.015026092529297,29.25422199636695,28.87730899835948,29.25422199636695,2232700,Equity
2010-03-01,29.20348358154297,29.355697646476703,28.86281163763097,29.123751614668688,1734100,Equity
2010-03-02,29.35570526123047,29.449934225162224,29.196241286117587,29.297717355729233,2380300,Equity
2010-03-03,29.471675872802734,29.710871815714036,29.333958756136262,29.529663773514066,1492800,Equity
2010-03-04,29.90654945373535,29.935543380227802,29.464404517284045,29.52238960525593,2376500,Equity
2010-03-05,31.095279693603516,31.16776175446902,30.138502112109258,30.145749212190456,3868200,Equity
2010-03-08,31.196779251098633,31.26201426116195,30.761878262338026,31.175032404400547,2299500,Equity
2010-03-09,31.022815704345703,31.189526768319347,30.718387526223896,31.022815704345703,2724500,Equity
2010-03-10,31.059043884277344,31.33448076341262,30.87058881856211,31.109781892931988,3196000,Equity
2010-03-11,31.059043884277344,31.059043884277344,30.616898775288888,30.957567866968056,1802700,Equity
2010-03-12,31.40696907043457,31.58817705418271,31.167773204680117,31.189517277925283,1792300,Equity
2010-03-15,31.493955612182617,31.559190612433998,31.030063505957298,31.291000741947748,1927300,Equity
2010-03-16,31.870874404907227,31.92161244039025,31.428726297113283,31.573693297785724,1468200,Equity
2010-03-17,32.53047180175781,32.65369195571531,31.928859713568396,32.09557079746032,1715900,Equity
2010-03-18,32.486976623535156,32.689928739991466,32.28402450707884,32.40724464492297,1364700,Equity
2010-03-19,32.02308654785156,32.776912693114745,31.93610745878747,32.02308654785156,2563400,Equity
2010-03-22,32.1753044128418,32.218795344974524,31.28376104173874,31.711412196822227,1705700,Equity
2010-03-23,32.39275360107422,32.50147954909151,31.928861384229762,32.09557247684476,1620800,Equity
2010-03-24,32.3854866027832,32.55219759299951,32.073808692591925,32.211525745810434,1722400,Equity
2010-03-25,32.40000915527344,33.25531161698209,32.3855121753273,32.61745832443308,2345800,Equity
2010-03-26,31.863628387451172,32.44349369524972,31.689670177619554,32.298529442062005,2515300,Equity
2010-03-29,32.25502014160156,32.29126118426342,31.856363142292494,32.023074150548496,1734600,Equity
2010-03-30,32.81315612792969,32.9436261534893,32.13906191754358,32.255034966372605,2377000,Equity
2010-03-31,32.87837600708008,33.07408095533821,32.54495399079481,32.58844213595374,2482200,Equity
2010-04-01,33.46549606323242,33.46549606323242,33.01610094438761,33.27704093759266,2242800,Equity
2010-04-05,33.51624298095703,33.7771802568554,33.211812011552375,33.53798706269469,2876000,Equity
2010-04-06,33.335018157958984,33.40750023730093,33.01609037282061,33.35676222875875,2856400,Equity
2010-04-07,32.82765197753906,33.32053810939334,32.65369102776059,33.14657715961486,3277600,Equity
2010-04-08,33.34952163696289,33.39301255567218,32.63918655480036,32.74791246906615,1671600,Equity
2010-04-09,33.458255767822266,33.57422881451254,33.233556780165564,33.57422881451254,1471400,Equity
2010-04-12,33.864158630371094,33.914896659216744,33.42925768524597,33.42925768524597,2185400,Equity
2010-04-13,34.494747161865234,34.55273227089764,33.64669247652738,33.726424420834206,2746000,Equity
2010-04-14,35.031131744384766,35.08186976297674,34.50200195332914,34.712203896075664,2236000,Equity
2010-04-15,34.95139694213867,35.04562310328709,34.74119501647327,34.958644044913775,2665600,Equity
2010-04-16,34.15407943725586,34.9803873870663,33.71193152182745,34.74119429028587,2397500,Equity
2010-04-19,34.55274200439453,34.73395001431483,33.73368379036546,33.929388772881154,2155900,Equity
2010-04-20,35.11811828613281,35.12536539103966,34.48751508865858,34.81368734475597,1436500,Equity
