Price,Close,High,Low,Open,Volume,Asset Class
Ticker,AMT,AMT,AMT,AMT,AMT,Equity
Date,,,,,,Equity
2010-01-04,32.623802185058594,32.94658739424148,32.48868266197966,32.64632401460583,2750500,Equity
2010-01-05,33.16429138183594,33.21683756245509,32.578775161478475,32.653840315633815,2575800,Equity
2010-01-06,33.336917877197266,33.44951838534545,32.85649438772478,33.209306640609206,3215300,Equity
2010-01-07,33.24685287475586,33.457037522034355,33.03666536392631,33.35194519839511,2615000,Equity
2010-01-08,33.314422607421875,33.457047537405494,33.03667525345895,33.314422607421875,1934600,Equity
2010-01-11,33.01415252685547,33.70476385312019,32.77394063864641,33.68224201990888,3276000,Equity
2010-01-12,32.60879898071289,32.984130472559016,32.286013668641054,32.84150553653622,2973600,Equity
2010-01-13,33.299400329589844,33.381973690955874,32.73640326233181,32.73640326233181,2799900,Equity
2010-01-14,33.48707580566406,33.524608381740364,33.059198138579816,33.29190182838409,4387600,Equity
2010-01-15,33.029170989990234,33.779833967035465,32.87903782187078,33.39699710870528,3130300,Equity
2010-01-19,33.17177963256836,33.31440736082922,32.856502711561276,33.074195555237935,1995700,Equity
2010-01-20,33.276885986328125,33.35195112697071,32.86401912213919,33.044179468653596,3053000,Equity
2010-01-21,33.01415252685547,33.404497561083076,32.864019380836915,33.34444315725502,3301000,Equity
2010-01-22,31.662944793701172,33.472041322135155,31.580371459712655,32.90153907642847,4021100,Equity
2010-01-25,32.42863845825195,32.65383675974675,31.94821465144925,31.94821465144925,3857100,Equity
2010-01-26,31.93319320678711,32.40610866471316,31.640435200389728,32.40610866471316,3730800,Equity
2010-01-27,32.02326583862305,32.13586637206423,31.385203785257733,31.963214320724795,3584400,Equity
2010-01-28,31.76805305480957,32.51121057070459,31.430254183948193,32.08333295546407,3739600,Equity
2010-01-29,31.865633010864258,32.13587204801323,31.707994527044367,31.820592216822423,3757100,Equity
2010-02-01,32.338558197021484,32.39110436945955,31.738025603069378,32.240971220971524,2711800,Equity
