Price,Close,High,Low,Open,Volume,Asset Class
Ticker,AOS,AOS,AOS,AOS,AOS,Equity
Date,,,,,,Equity
2010-01-04,5.907278060913086,5.943031654117722,5.769560881543731,5.796044954499376,1104600,Equity
2010-01-05,5.831798553466797,5.9046298488813065,5.806638210561491,5.9046298488813065,1207200,Equity
2010-01-06,5.834446430206299,5.883442628541104,5.801342191195605,5.827825885490613,663000,Equity
2010-01-07,5.851659774780273,5.899331472384097,5.8092856480863615,5.845039231860247,564000,Equity
2010-01-08,5.937734127044678,5.947004025630885,5.8092868539994535,5.825177296880003,504600,Equity
2010-01-11,5.9099249839782715,5.957596304854156,5.884765783184132,5.952299870281483,564600,Equity
2010-01-12,5.868875980377197,5.921843744998451,5.789423765158246,5.87417241586708,486600,Equity
2010-01-13,5.835769176483154,5.905951854680201,5.785450020795776,5.883440872790453,675600,Equity
2010-01-14,5.8635783195495605,5.939057818396657,5.8331219255892535,5.8331219255892535,520200,Equity
2010-01-15,5.81855583190918,5.886090311371895,5.7020266708440825,5.886090311371895,694200,Equity
2010-01-19,5.920520782470703,5.953625402864113,5.839744069050019,5.839744069050019,741000,Equity
2010-01-20,5.9536237716674805,5.970838699956776,5.802664395113765,5.891386496206923,1063800,Equity
2010-01-21,5.749697208404541,5.974811603760875,5.678190033220197,5.9509757524134255,1091400,Equity
2010-01-22,5.686135292053223,5.792071185570716,5.657002248862971,5.743075375453557,1195200,Equity
2010-01-25,5.674216270446777,5.788097555621576,5.634490364083733,5.7179152599614405,1794000,Equity
2010-01-26,5.613304615020752,5.89403578601726,5.57093009864392,5.89403578601726,1850400,Equity
2010-01-27,5.828152179718018,5.85741872043964,5.600666427157791,5.745671186315392,2554800,Equity
2010-01-28,5.741682052612305,5.869393119691147,5.6977810878472015,5.857420302304757,1046400,Equity
2010-01-29,5.664522647857666,5.820170773637596,5.656540897632744,5.756315249402428,987000,Equity
2010-02-01,5.6538777351379395,5.72039445425021,5.633922795526022,5.661859482617417,1291800,Equity
2010-02-02,5.661859512329102,5.720394484269067,5.619289557867134,5.6538777648077385,1066200,Equity
2010-02-03,5.673834323883057,5.720396116916867,5.6272732920671,5.6272732920671,427200,Equity
2010-02-04,5.515526294708252,5.649888871240819,5.492911271274985,5.6352555983952355,798000,Equity
2010-02-05,5.546123504638672,5.640577329174615,5.4663040949211235,5.518186806389772,1509600,Equity
2010-02-08,5.579380512237549,5.6618603584588865,5.484927852640495,5.582040968272652,953400,Equity
2010-02-09,5.719066619873047,5.76695826980629,5.625943776920574,5.653880477562715,1026600,Equity
2010-02-10,5.700440406799316,5.744341356938122,5.649887555342922,5.687136984773016,1363200,Equity
2010-02-11,5.800215721130371,5.848107363431258,5.6272734891838105,5.679155816219732,948000,Equity
2010-02-12,5.840124607086182,5.913291715262263,5.732368145019152,5.758974608379738,1018200,Equity
2010-02-16,5.849437236785889,5.915953977854099,5.828152823554237,5.873383248346087,972000,Equity
2010-02-17,5.810858249664307,5.873383163247193,5.793563760217931,5.853428217337643,925800,Equity
2010-02-18,5.918613433837891,5.921273889889872,5.817508491685042,5.817508491685042,749400,Equity
2010-02-19,5.943889141082764,6.025038366783656,5.90663971717995,5.921272984445976,1224000,Equity
2010-02-22,5.977148532867432,5.9864608916368915,5.909301945646832,5.9678365547069046,668400,Equity
2010-02-23,5.929255962371826,5.985129729211608,5.910632007773396,5.985129729211608,1189200,Equity
2010-02-24,6.017055988311768,6.017055988311768,5.949209424268023,5.958522160465121,1102800,Equity
2010-02-25,6.019717693328857,6.019717693328857,5.892006682703661,5.938567703204138,730200,Equity
2010-02-26,6.026369094848633,6.05696623841949,5.974486402649834,6.019717574994866,2046000,Equity
2010-03-01,6.106190204620361,6.228579574790672,6.058298563011092,6.0596291718458275,2423400,Equity
2010-03-02,6.271152019500732,6.337668012262113,6.212617017184719,6.224590215593341,3207000,Equity
2010-03-03,6.307069301605225,6.357621397992057,6.272480324008326,6.301747627660378,1667400,Equity
2010-03-04,6.307069301605225,6.321702572822328,6.271150476435497,6.2764713891625,1356600,Equity
2010-03-05,6.3562912940979,6.357621902994267,6.30174812822439,6.3270247493389755,1378200,Equity
2010-03-08,6.307069301605225,6.373585277999833,6.263168346127148,6.345648202529533,636000,Equity
2010-03-09,6.327023983001709,6.354960676698443,6.248534053198877,6.279131964366014,727800,Equity
2010-03-10,6.340325832366943,6.360280393530935,6.289773744565764,6.312388761641412,598200,Equity
