Price,Close,High,Low,Open,Volume,Asset Class
Ticker,APD,APD,APD,APD,APD,Equity
Date,,,,,,Equity
2010-01-04,52.4839973449707,52.54710905186079,51.568869787430614,51.821316614990955,1131483,Equity
2010-01-05,52.04853439331055,52.48400786064806,51.68879498941518,52.31991738985673,790103,Equity
2010-01-06,51.6193733215332,52.1810702695753,51.436346718769826,51.75191054492608,1248663,Equity
2010-01-07,51.32273864746094,51.796079117342586,51.03873852960392,51.63198865666587,1514481,Equity
2010-01-08,51.65092849731445,51.890753034053496,51.089231585038384,51.209141250862736,1244880,Equity
2010-01-11,52.59760284423828,52.73014004240704,51.92230492113345,52.18106033861628,1197640,Equity
2010-01-12,51.92863464355469,52.50295406109236,51.60045360641652,52.01699107663034,949118,Equity
2010-01-13,52.446128845214844,52.45243741318174,51.600426791593094,51.99171936330224,874637,Equity
2010-01-14,51.79609298706055,52.887933767720114,51.632002482444435,52.357795214345,663410,Equity
2010-01-15,52.237857818603516,52.35777266133094,51.720336629567285,51.897054609662725,1542263,Equity
2010-01-19,52.11796188354492,52.40828103861103,51.74560008429222,52.35147788063562,1415137,Equity
2010-01-20,51.42375183105469,51.751932938973134,51.19654432047978,51.751932938973134,1315145,Equity
2010-01-21,50.40133285522461,51.94758383576358,50.36977958087715,51.33539201638024,1546803,Equity
2010-01-22,49.27161407470703,51.04506159562969,49.20850234113816,50.40131670813569,1953475,Equity
2010-01-25,50.65376281738281,51.08292255456151,49.915347814895014,49.915347814895014,1942017,Equity
2010-01-26,50.224586486816406,51.171267368085104,49.85853855869383,50.15516620644142,1482267,Equity
2010-01-27,49.77020263671875,50.64745839340834,49.057032192978646,50.22460714821765,1842240,Equity
2010-01-28,48.62153625488281,50.161472357426,48.552115977853695,49.997381914797,1456539,Equity
2010-01-29,47.939945220947266,48.9686690062512,47.908386753899954,48.69097739863543,2528135,Equity
2010-02-01,48.47640609741211,48.64681039841855,47.54234713779615,48.37542731313924,2507271,Equity
2010-02-02,48.35647964477539,49.00022444593068,47.96518694912831,48.501639215060806,1597394,Equity
2010-02-03,48.08510208129883,48.57737879807046,47.77585719573762,48.104038203524496,1322604,Equity
2010-02-04,46.507301330566406,47.93994539168672,46.488365209252365,47.66224857799087,1612420,Equity
2010-02-05,43.32012939453125,43.65462409411822,41.05440576222008,42.695320799398424,10094378,Equity
2010-02-08,43.137107849121094,44.298368701870366,42.92883657063711,43.364310041054374,3684372,Equity
2010-02-09,42.884666442871094,43.45267723476478,42.58173012990982,42.846799403750936,4046399,Equity
2010-02-10,43.055057525634766,43.610443198390826,42.341889969023846,43.610443198390826,4041319,Equity
2010-02-11,43.16865158081055,43.604124928880886,42.60064365801494,43.11816221901044,3649132,Equity
2010-02-12,43.2507209777832,43.679885998144606,42.285106188334744,42.7079574323963,3714424,Equity
2010-02-16,44.43721389770508,44.53819264833898,43.50946902371105,43.74298498709705,2036712,Equity
2010-02-17,44.29206466674805,45.4407032930911,44.07117102165412,44.481399846075334,3034367,Equity
2010-02-18,44.14690017700195,44.46877254855872,43.9638735881561,44.36779379749624,2204483,Equity
2010-02-19,43.95125198364258,44.178459382445595,43.604137521026004,44.11534766196986,2036280,Equity
2010-02-22,44.12797164916992,44.191083371995624,43.862897208211415,43.97018973956038,3554328,Equity
2010-02-23,44.2226448059082,44.550831030361266,43.96388409194276,44.05855429622742,3593893,Equity
2010-02-24,44.0964241027832,44.3930518760496,43.989131544870304,44.3930518760496,4476421,Equity
2010-02-25,43.53472137451172,43.74930125737989,43.11818135228087,43.698811873175615,2542836,Equity
2010-02-26,43.28227996826172,43.711442417030334,43.20654587775186,43.585218932847226,2203402,Equity
2010-03-01,43.648311614990234,43.679870074801414,42.94145780968131,43.42110684012831,2357985,Equity
2010-03-02,44.601314544677734,44.81589441369587,43.81241015976893,43.97019207776885,2641964,Equity
2010-03-03,45.01153564453125,45.23874305116741,44.50664186331874,44.92949300762948,2241345,Equity
2010-03-04,45.371299743652344,45.46596998166612,44.81591628224537,45.099921791193346,2690609,Equity
2010-03-05,46.38738250732422,46.412627196873984,45.44070144411722,45.64265896051538,2875028,Equity
2010-03-08,46.82916259765625,46.92383278201691,46.418939012334484,46.418939012334484,2971561,Equity
2010-03-09,46.84809875488281,47.09423707034952,46.43156139455411,46.601960439416104,2672556,Equity
2010-03-10,46.95539093017578,47.23308250163827,46.437869614632575,46.91121012307974,2353229,Equity
2010-03-11,47.11948013305664,47.11948013305664,46.28008646159963,46.68400666882961,2279505,Equity
2010-03-12,47.056365966796875,47.39716923212874,46.94907344738815,47.270945800524345,2073466,Equity
2010-03-15,46.7786750793457,47.17628154131393,46.51991961464753,47.037435749134495,2309340,Equity
2010-03-16,47.25831604003906,47.31511397280147,46.873332031524996,46.96168841978029,1980500,Equity
2010-03-17,47.050071716308594,47.52341238378488,46.80393331999882,47.340390934557924,1815431,Equity
2010-03-18,47.182586669921875,47.26462929317538,46.75973559595484,47.23938460831435,1578476,Equity
2010-03-19,46.980648040771484,47.4855419405673,46.77868527576141,46.980648040771484,2503812,Equity
2010-03-22,47.34037780761719,47.5044682912926,46.69031923772857,46.69031923772857,1159913,Equity
2010-03-23,47.674869537353516,47.674869537353516,46.92383737883209,47.308821518474474,1114079,Equity
2010-03-24,47.21416091918945,47.48554400467208,46.95540538684237,47.43505461249782,1757057,Equity
2010-03-25,46.51361083984375,47.611760155674915,46.488366147642836,47.54233985466798,1313307,Equity
2010-03-26,46.9048957824707,47.27094371799716,46.52622029925015,46.6398213826894,1183046,Equity
2010-03-29,46.89228820800781,47.39087350044815,46.34320832415766,47.06268728428688,1982554,Equity
2010-03-30,47.07017135620117,47.17182048890881,46.237911222688346,46.8478112585802,1608096,Equity
2010-03-31,46.981224060058594,47.38147010324225,46.904987217513664,47.07016704302768,1508319,Equity
2010-04-01,46.93040084838867,47.35605918466536,46.701685074528974,47.29252848071703,1246609,Equity
2010-04-05,47.12099075317383,47.222639874730106,46.60638945547243,47.00663549142301,1428866,Equity
2010-04-06,47.41322708129883,47.45134549794596,46.873213558975394,46.936744253387275,936470,Equity
2010-04-07,47.051116943359375,47.55301223506887,46.91770505546624,47.07652923054348,1635013,Equity
2010-04-08,47.07651138305664,47.12734117780127,46.49837944897424,46.85415657431754,2203186,Equity
2010-04-09,47.877010345458984,47.921484457477554,46.9494568400162,47.20358489220899,1383572,Equity
2010-04-12,47.864288330078125,48.010411518652084,47.62287173822696,47.87699446649134,1067704,Equity
2010-04-13,47.61653137207031,47.8643037316773,47.381470392610645,47.73089187623167,1208126,Equity
2010-04-14,48.289955139160156,48.347135383047856,47.64829251593839,47.87065256268137,1820945,Equity
2010-04-15,48.76010513305664,48.96975911689232,47.927844889174004,48.04855587009536,1457729,Equity
2010-04-16,48.30266189575195,49.07774160486366,48.15018822962733,48.63302674533352,2066656,Equity
2010-04-19,48.18832015991211,48.33444341741558,47.47042049409446,47.99137233278071,1104998,Equity
2010-04-20,48.57585525512695,48.79821534478853,48.33443857358783,48.58856139626059,843612,Equity
2010-04-21,48.709259033203125,48.91890768473915,48.37254376544196,48.7219651708612,1201856,Equity
2010-04-22,49.12223434448242,49.1730589191369,47.87067133414564,48.44880349066374,1416434,Equity
2010-04-23,50.329315185546875,50.34837177817211,49.07775237530933,49.07775237530933,1800946,Equity
2010-04-26,50.18953323364258,50.97731902855243,50.18953323364258,50.92649447659983,1372546,Equity
2010-04-27,49.18574905395508,50.29118843254137,49.06503810861594,50.07518406056437,1671118,Equity
2010-04-28,49.59234619140625,49.751175557483556,48.5377313566299,49.60505233110663,2162649,Equity
2010-04-29,49.573299407958984,50.11966352315345,49.40811431953299,49.85283453666313,1241853,Equity
2010-04-30,48.77914810180664,49.89729363716785,48.77914810180664,49.69399540158313,1509292,Equity
2010-05-03,48.92526626586914,49.14762630785364,48.56949439040971,49.10950789262585,1525507,Equity
2010-05-04,47.5021858215332,48.57586277296178,47.24806295953116,48.28997193338617,1540209,Equity
2010-05-05,47.101924896240234,47.44499589180843,46.69532844477569,47.070162168292065,1427028,Equity
2010-05-06,45.92025375366211,47.31158399801328,43.57595773207439,46.765219956461124,2179512,Equity
2010-05-07,45.09434127807617,46.53649582527996,44.81480623728137,45.831302534361654,2316475,Equity
2010-05-10,46.11720657348633,46.73981276549407,45.621661800327885,46.263324585339966,2835355,Equity
2010-05-11,45.532711029052734,46.244260092705325,45.46918033048065,45.72330312476899,1934233,Equity
2010-05-12,46.104496002197266,46.12355259337076,45.437420997503324,45.621657417311575,2665530,Equity
2010-05-13,45.40565490722656,46.021905374795594,45.39930445645417,45.907550104079824,1928288,Equity
2010-05-14,44.198551177978516,44.97998121447364,43.70300922075403,44.954568940760694,1980608,Equity
2010-05-17,44.840232849121094,45.20236052392693,43.93173843644806,44.230332780030274,2503596,Equity
