Price,Close,High,Low,Open,Volume,Asset Class
Ticker,AVGO,AVGO,AVGO,AVGO,AVGO,Equity
Date,,,,,,Equity
2010-01-04,1.3365238904953003,1.3393584751335263,1.2762881643892159,1.2968391986903793,5387000,Equity
2010-01-05,1.3464454412460327,1.3634532078160295,1.2826664222064441,1.34290216710374,3011000,Equity
2010-01-06,1.3570748567581177,1.3677046759976768,1.3173901644724462,1.3429017644387056,5331000,Equity
2010-01-07,1.3485709428787231,1.3584921576347047,1.3216420520814722,1.3492796312463966,2718000,Equity
2010-01-08,1.3584926128387451,1.3677050578356724,1.335815591214045,1.3393588652831148,2899000,Equity
2010-01-11,1.36699640750885,1.385421465836633,1.3485713491810671,1.3606184637130878,5127000,Equity
2010-01-12,1.3464454412460327,1.356366659531444,1.3280203819147829,1.356366659531444,9167000,Equity
2010-01-13,1.3053427934646606,1.34361018580855,1.2932956842831365,1.34361018580855,9439000,Equity
2010-01-14,1.30605149269104,1.3372322560670287,1.2862091503252846,1.309594765096415,10654000,Equity
2010-01-15,1.2925870418548584,1.3152639689674825,1.2862091851438417,1.3152639689674825,1587000,Equity
2010-01-19,1.262115240097046,1.2862095506395714,1.22597381652241,1.2684930986204268,3813000,Equity
2010-01-20,1.2727450132369995,1.2762882866132508,1.2358949025413453,1.255028646355743,1938000,Equity
2010-01-21,1.27487051486969,1.3103032353112398,1.2606974266930702,1.2663665943811027,3386000,Equity
2010-01-22,1.244398832321167,1.2798315662572042,1.2316430312085334,1.2670757651445705,9235000,Equity
2010-01-25,1.2507766485214233,1.2614064683443007,1.2373122438704314,1.2521939409354808,2614000,Equity
2010-01-26,1.258571982383728,1.2755796616450565,1.1933756814325907,1.2068400871412834,7654000,Equity
2010-01-27,1.233769178390503,1.2720365024066167,1.2224306682117885,1.2500682550930375,6963000,Equity
2010-01-28,1.2557374238967896,1.2571548010258236,1.222430666452432,1.2436903096481895,144576000,Equity
2010-01-29,1.2316429615020752,1.2656584010511824,1.2224304343044403,1.2557371854236155,33570000,Equity
2010-02-01,1.240146517753601,1.2536110035069084,1.2252647399415975,1.2316426809231464,5095000,Equity
2010-02-02,1.2543197870254517,1.2614063328126235,1.2295168767703506,1.2408553838211411,17729000,Equity
2010-02-03,1.2486510276794434,1.2536116792763752,1.2387298934422253,1.242981771910323,12857000,Equity
2010-02-04,1.220304250717163,1.2458158472593515,1.2089657445921278,1.2316427568421984,13767000,Equity
2010-02-05,1.2188873291015625,1.2273911690412864,1.176367960446327,1.2224306027829732,5387000,Equity
2010-02-08,1.2054226398468018,1.2252649860895826,1.1955015089645584,1.2103832052879233,4983000,Equity
2010-02-09,1.2040053606033325,1.2316429417530772,1.1919582488357339,1.2075486337395847,1896000,Equity
2010-02-10,1.1905410289764404,1.200462245753078,1.1699900758677657,1.1947929910919004,5780000,Equity
2010-02-11,1.2139267921447754,1.2224306322897633,1.1692814413073913,1.1877064986867902,3700000,Equity
2010-02-12,1.2302252054214478,1.2323511855776075,1.1898319203674939,1.2032963205593883,1632000,Equity
2010-02-16,1.23872971534729,1.2408556965148434,1.2238479316527273,1.2330604603932513,4227000,Equity
2010-02-17,1.233769178390503,1.2472335853092025,1.2167614131224314,1.2472335853092025,5077000,Equity
2010-02-18,1.2366036176681519,1.2401468911207936,1.2259737973102272,1.238020910153548,4619000,Equity
2010-02-19,1.2422726154327393,1.2486504725384986,1.2302254206000833,1.2401466349047243,3746000,Equity
2010-02-22,1.2295172214508057,1.246524902316602,1.2210133810179076,1.2401470431115067,8465000,Equity
2010-02-23,1.2316429615020752,1.2394381118398456,1.2139265955367378,1.2295169806905752,18202000,Equity
2010-02-24,1.2571544647216797,1.2663669067260839,1.233768846566622,1.2401467040278695,8523000,Equity
2010-02-25,1.2819575071334839,1.3032171468308358,1.2536113208703479,1.275579564537299,23197000,Equity
2010-02-26,1.2862095832824707,1.289044168369623,1.2727450929227324,1.2791229516079778,2807000,Equity
2010-03-01,1.2968391180038452,1.3322718461685865,1.2840833189688807,1.3251853005356382,8722000,Equity
2010-03-02,1.3266026973724365,1.3280199897151255,1.289043985660557,1.289043985660557,9810000,Equity
2010-03-03,1.3400676250457764,1.413059091640119,1.328729113631352,1.328729113631352,10634000,Equity
2010-03-04,1.3506972789764404,1.363453081603576,1.3110125784649769,1.3471540051621425,3966000,Equity
2010-03-05,1.3719568252563477,1.3932164666451459,1.3499884953632675,1.3499884953632675,3767000,Equity
2010-03-08,1.3684133291244507,1.3832951094674681,1.3528229448707083,1.380460440389693,2220000,Equity
2010-03-09,1.3712482452392578,1.4173108897042352,1.3570751498587454,1.3776261888474757,9227000,Equity
2010-03-10,1.3988856077194214,1.4158933701371963,1.3719567139166682,1.3790432604711664,5449000,Equity
2010-03-11,1.4073894023895264,1.4151846371454275,1.4024288368531783,1.4024288368531783,3947000,Equity
2010-03-12,1.3925080299377441,1.4173109478715682,1.3776262453861234,1.4102243998904755,4984000,Equity
2010-03-15,1.3762089014053345,1.3861300344178569,1.3485713146219145,1.3861300344178569,1792000,Equity
2010-03-16,1.3818782567977905,1.3946340605101746,1.3577839421236613,1.376209001316918,1623000,Equity
2010-03-17,1.4095155000686646,1.4166020469877554,1.3861298783400047,1.3882558593113925,3094000,Equity
2010-03-18,1.415893316268921,1.4173106086302394,1.3804605003661878,1.4130586470679887,2112000,Equity
2010-03-19,1.4251060485839844,1.4371533317784655,1.395342565032131,1.4251060485839844,6365000,Equity
2010-03-22,1.4130587577819824,1.427940624415863,1.3960510791570087,1.408098191889557,4734000,Equity
2010-03-23,1.4329010248184204,1.4385701940531284,1.4137672829772585,1.41589326367942,2819000,Equity
2010-03-24,1.3903816938400269,1.4314836785373233,1.3868384207536788,1.4314836785373233,1535000,Equity
2010-03-25,1.3925080299377441,1.3995945779188368,1.36841371611504,1.3995945779188368,5835000,Equity
2010-03-26,1.4109328985214233,1.431483851108424,1.3932164464755998,1.3932164464755998,5250000,Equity
2010-03-29,1.4329010248184204,1.4456567400748055,1.413058594583774,1.4236884980945816,2961000,Equity
2010-03-30,1.444239616394043,1.453452143654656,1.4144760537861707,1.4371530699594635,3539000,Equity
2010-03-31,1.4569953680038452,1.4654992915158216,1.4293577855465205,1.4449482556662776,6620000,Equity
2010-04-01,1.452743411064148,1.4740030509579727,1.4236886205629005,1.46620790035055,3246000,Equity
2010-04-05,1.4357354640960693,1.4669162296436984,1.4024286335832084,1.4662076258002381,6120000,Equity
2010-04-06,1.4654992818832397,1.4761290172467436,1.4173106638931101,1.4208540216520096,2358000,Equity
2010-04-07,1.4513258934020996,1.469750775546306,1.4456565559329446,1.4584124385211215,1446000,Equity
2010-04-08,1.4243972301483154,1.4513262088271657,1.4229798532338394,1.4513262088271657,1402000,Equity
2010-04-09,1.4180190563201904,1.4272315823710748,1.4052633419955816,1.424396997960781,1983000,Equity
2010-04-12,1.4187281131744385,1.4279406410697026,1.3939251144664335,1.4116414817733636,2867000,Equity
2010-04-13,1.4279406070709229,1.434318380879941,1.399594335576447,1.4073894863189145,2367000,Equity
2010-04-14,1.5271520614624023,1.527860665357949,1.45274324581947,1.461955772287893,4783000,Equity
2010-04-15,1.5562071800231934,1.5590417648577801,1.5306955785987182,1.5306955785987182,6148000,Equity
2010-04-16,1.5505378246307373,1.5576243711188726,1.5356561276926317,1.5569157671570377,3439000,Equity
2010-04-19,1.5519554615020752,1.5618765944561819,1.509436175450227,1.536364989033748,4867000,Equity
2010-04-20,1.5852618217468262,1.621403324111067,1.5717973338481253,1.5923483676477348,8506000,Equity
2010-04-21,1.547703504562378,1.6178603774822702,1.5207745219272883,1.5944747531756394,5402000,Equity
2010-04-22,1.5257344245910645,1.5491200361331916,1.4860495763825425,1.5477026597841257,6441000,Equity
2010-04-23,1.5229005813598633,1.532113110739127,1.49384578498319,1.518648618729952,1886000,Equity
2010-04-26,1.5441594123840332,1.561167253947191,1.5094354634245222,1.5129786511124839,2550000,Equity
2010-04-27,1.4881759881973267,1.5491204855846727,1.4754202731810047,1.5491204855846727,2506000,Equity
2010-04-28,1.488884687423706,1.5087269473470466,1.4654990702531556,1.5009317979423875,3139000,Equity
2010-04-29,1.5165224075317383,1.544868592334027,1.511561673130408,1.511561673130408,3185000,Equity
2010-04-30,1.4534518718719482,1.5370730365809286,1.4520344952674316,1.5285692838235165,3603000,Equity
