Price,Close,High,Low,Open,Volume,Asset Class
Ticker,AVY,AVY,AVY,AVY,AVY,Equity
Date,,,,,,Equity
2010-01-04,26.389997482299805,26.47593702941791,26.082054268165177,26.311223661931358,1301200,Equity
2010-01-05,26.561870574951172,27.550153390097336,26.017600502945346,27.542990396111524,2708800,Equity
2010-01-06,26.50457763671875,26.697937496737527,26.332704026845462,26.418640831782106,1234100,Equity
2010-01-07,26.7552433013916,26.7767268299173,26.289746816192206,26.354200133652384,995400,Equity
2010-01-08,27.263690948486328,27.29949771911428,26.51173783777335,26.57619111765626,1432700,Equity
2010-01-11,27.722023010253906,27.986999111963986,27.06316971621899,27.492856409556428,1132500,Equity
2010-01-12,27.43557357788086,27.686223761767042,27.184920662112564,27.58596368821257,877800,Equity
2010-01-13,28.466825485229492,28.531278784282662,27.320992093042356,27.485705472426613,1493500,Equity
2010-01-14,28.495466232299805,28.64585632234047,28.201846314271084,28.495466232299805,695000,Equity
2010-01-15,28.27345848083496,28.81056826063475,28.051452121707005,28.35223501897332,1279600,Equity
2010-01-19,28.69599723815918,28.69599723815918,28.25914732642372,28.32360063687457,1009100,Equity
2010-01-20,28.366558074951172,28.438171619001995,28.180358489408487,28.438171619001995,951300,Equity
2010-01-21,27.686235427856445,28.524128611975428,27.67907516182064,28.337928912445314,1480500,Equity
2010-01-22,27.657583236694336,28.022819563048575,27.464223310721398,27.550162876853395,1599700,Equity
2010-01-25,27.62894058227539,28.015657718235342,27.607454323917803,27.865267569146315,901800,Equity
2010-01-26,27.48569679260254,27.8580932104333,27.414080520780413,27.492857053844034,669400,Equity
2010-01-27,27.52866554260254,27.578795570067246,27.120462329314737,27.406921970725858,959300,Equity
2010-01-28,27.28518295288086,27.96552273399098,27.192085866662065,27.707709534253894,1709700,Equity
2010-01-29,23.281917572021484,26.082049803765386,23.260434054860287,25.552103013323915,5724300,Equity
2010-02-01,23.876325607299805,24.48504906983548,23.32489244703606,23.50392908094446,3506100,Equity
2010-02-02,24.019556045532227,24.234399465075985,23.761742849326797,23.897809710931973,1957200,Equity
2010-02-03,23.73309326171875,24.03387619568011,23.417989802604797,23.840516323536797,1399800,Equity
2010-02-04,23.425153732299805,23.71161345407081,23.382186686351815,23.51109328796053,1800500,Equity
2010-02-05,23.468124389648438,23.589868000240177,22.995467743330117,23.360701306987806,2272900,Equity
2010-02-08,23.281917572021484,23.811867094344592,23.203143765136556,23.50392393291983,1499200,Equity
2010-02-09,23.30341148376465,23.67580805100723,22.852238351851952,23.654321794899225,1982000,Equity
2010-02-10,23.038427352905273,23.260433710517074,22.823585354769712,23.260433710517074,1648500,Equity
2010-02-11,23.160179138183594,23.332055509257483,22.773459352179028,22.931012464673238,1456700,Equity
2010-02-12,22.98114013671875,23.124369975880704,22.594420390546063,22.845071926108993,1372800,Equity
2010-02-16,23.34637451171875,23.35353750648205,22.988301266251394,23.12437084793351,1698700,Equity
2010-02-17,22.98830223083496,23.525412121572995,22.723328782997875,23.32489196989976,2447600,Equity
2010-02-18,22.952486038208008,23.22462236950419,22.773449481385978,22.988292803196202,2322300,Equity
2010-02-19,22.773466110229492,22.88804948098741,22.444039260785864,22.716174424850536,2941300,Equity
2010-02-22,22.94533920288086,23.231796222268486,22.69468760349003,22.916692681377302,2049100,Equity
2010-02-23,22.57293701171875,23.074240085973475,22.54429049733117,22.873718583083388,1391700,Equity
2010-02-24,22.72332191467285,22.859390094995515,22.501316942734267,22.61590024218261,1273800,Equity
2010-02-25,22.565780639648438,22.673202361742952,22.071639078884093,22.39390561110895,1190200,Equity
2010-02-26,22.630226135253906,22.91668441728176,22.43686628265729,22.565772851055033,1020100,Equity
2010-03-01,22.94734001159668,23.177966323328704,22.50770774570672,22.803197879443537,1059600,Equity
2010-03-02,22.824819564819336,23.091482096363045,22.731128141360934,23.091482096363045,1414700,Equity
2010-03-03,22.6518497467041,23.012203700359233,22.615813526553843,22.94013263469996,1488600,Equity
2010-03-04,22.190603256225586,22.241052603731703,21.779798480872298,22.003218983601705,2413400,Equity
2010-03-05,22.450057983398438,22.52933631761494,22.197809862870926,22.262673704567764,1541000,Equity
2010-03-08,22.615816116333008,22.673472700534543,22.14735619786537,22.421226003803707,1472700,Equity
2010-03-09,23.113101959228516,23.278864445067956,22.442843397326797,22.565363794390993,1943000,Equity
2010-03-10,23.322113037109375,23.423011724653367,22.983379372397664,23.091486680070815,1565200,Equity
2010-03-11,23.812196731567383,23.826611223752405,23.084279997281804,23.242836662033767,2322200,Equity
2010-03-12,24.006778717041016,24.259025356882475,23.632010316932146,23.94912077120172,2518900,Equity
2010-03-15,24.223005294799805,24.352733002808105,23.869857034269682,24.01399923753267,1525500,Equity
2010-03-16,24.540103912353516,24.61217635329515,24.100471645098327,24.194164443681196,1393100,Equity
2010-03-17,24.958110809326172,25.022974618505,24.604962792845452,24.612171410133076,1653000,Equity
2010-03-18,25.073429107666016,25.109463953681658,24.864423151779775,24.958115950846455,1246200,Equity
2010-03-19,25.246397018432617,25.397747767853684,24.950906887517153,25.246397018432614,2458300,Equity
2010-03-22,25.505849838256836,25.5562991667593,25.15991040740472,25.15991040740472,2005600,Equity
