Price,Close,High,Low,Open,Volume,Asset Class
Ticker,BAC,BAC,BAC,BAC,BAC,Equity
Date,,,,,,Equity
2010-01-04,12.372953414916992,12.42026905651338,11.923458204006051,12.018088735142218,180845200,Equity
2010-01-05,12.775135040283203,12.783019602119461,12.380840015429095,12.412383527170626,209521300,Equity
2010-01-06,12.924960136413574,13.043249569884239,12.641069406776808,12.783014019538877,205257900,Equity
2010-01-07,13.350802421569824,13.555835594800373,13.019595219291721,13.153655313168883,320868400,Equity
2010-01-08,13.232518196105957,13.484866325500242,13.114228694353077,13.390235024920637,220104700,Equity
2010-01-11,13.350802421569824,13.51640527065234,13.185198068374238,13.39811730643439,168991600,Equity
2010-01-12,12.9013090133667,13.208858063071213,12.751476769409996,13.185199865358069,223486800,Equity
2010-01-13,13.106340408325195,13.232514437180415,12.735702882464055,12.956508185017222,192609900,Equity
2010-01-14,13.264062881469727,13.34292205935625,13.09845996161037,13.114230593896703,142634200,Equity
2010-01-15,12.822453498840332,13.130002635860675,12.79879529441042,13.122116567717372,195117100,Equity
2010-01-19,12.869762420654297,12.988050379586406,12.491240350426349,12.664729256585908,181616500,Equity
2010-01-20,13.003826141357422,13.11422806665478,12.759364090721807,12.790906853329584,288741100,Equity
2010-01-21,12.199460983276367,13.13788071181006,11.98654178527384,12.980162453116456,551285500,Equity
2010-01-22,11.749966621398926,12.238892081314498,11.600135159335855,12.033858920970095,369620800,Equity
2010-01-25,11.8130521774292,12.041743502617006,11.647449359145167,11.954998309737109,262351600,Equity
2010-01-26,11.647451400756836,11.962886470002465,11.608021829087,11.781510741143833,212380600,Equity
2010-01-27,11.97866153717041,12.057520704800721,11.576481888014756,11.600139337481146,258716200,Equity
2010-01-28,12.12060546875,12.294095153820276,11.83671387213587,12.144262913787022,232729500,Equity
2010-01-29,11.970772743225098,12.262550375372896,11.899799663394665,12.215234738133761,175135300,Equity
2010-02-01,12.1600341796875,12.17580555790411,11.931343555122444,12.033860145728374,159503300,Equity
2010-02-02,12.301980972290039,12.36506799249201,12.073290336043742,12.18369224536889,171404800,Equity
2010-02-03,12.246776580810547,12.459695791358122,12.238891269056385,12.27832008399651,130861600,Equity
2010-02-04,11.631678581237793,12.167918919200389,11.6159064526829,12.104831909093788,252558700,Equity
2010-02-05,11.828824996948242,11.876140627840869,11.284699377993457,11.702650983976492,297683300,Equity
2010-02-08,11.4187593460083,11.797282158304037,11.395101905257468,11.781510029765828,208207300,Equity
2010-02-09,11.410876274108887,11.655338297994856,11.237386586409515,11.568593830173484,251522100,Equity
2010-02-10,11.568594932556152,11.757856017868543,11.402991294893637,11.442420875681227,175741800,Equity
2010-02-11,11.537050247192383,11.671110357027505,11.466077159390657,11.568593758209081,141086300,Equity
2010-02-12,11.395105361938477,11.466078457776995,11.261045236922765,11.41087749526113,162819300,Equity
2010-02-16,11.955002784729004,12.073291523282187,11.529164980462237,11.560708493665084,205493300,Equity
2010-02-17,12.349295616149902,12.522785294288031,12.025974456021974,12.104833605736555,261541900,Equity
2010-02-18,12.522783279418945,12.617413792616794,12.22311961159752,12.238891739825394,242140300,Equity
2010-02-19,12.522783279418945,12.648958049072546,12.388723197707874,12.404494573879282,216078200,Equity
2010-02-22,12.783016204833984,12.932848409828502,12.5858698728866,12.5858698728866,173773200,Equity
2010-02-23,12.570100784301758,12.917079405134041,12.45181280612309,12.712047711818084,210478400,Equity
2010-02-24,12.877652168273926,12.901310368472041,12.585874467674302,12.601645849082994,191571600,Equity
2010-02-25,13.051140785217285,13.066912918273216,12.577988074389818,12.65684648349938,287325100,Equity
2010-02-26,13.137884140014648,13.279830309055823,12.94073701726039,13.066911055494062,343669400,Equity
2010-03-01,13.177313804626465,13.295603289125351,13.066911890148331,13.200972002348896,170931100,Equity
2010-03-02,12.9801664352417,13.248286654808515,12.924965478997928,13.169429005382128,183048600,Equity
2010-03-03,12.91703987121582,13.114306810876844,12.885476438456948,12.99594544305838,154950200,Equity
2010-03-04,12.940713882446289,13.019620977253355,12.648759588196095,12.980168182363649,157746500,Equity
2010-03-05,13.177433013916016,13.216885802359858,12.980166061641988,13.03540056747433,172469000,Equity
2010-03-08,13.208996772766113,13.343138379088652,13.16954397885909,13.21688763255304,127705100,Equity
2010-03-09,13.256341934204102,13.40626527715241,13.05118557652046,13.12220031262462,167779500,Equity
2010-03-10,13.500951766967773,13.690327875580493,13.406262960147652,13.422044678788925,222932200,Equity
2010-03-11,13.508845329284668,13.635096093621437,13.461500163887509,13.556188989654,145079600,Equity
2010-03-12,13.295791625976562,13.650871203449046,13.16165005092413,13.619309276686437,171456700,Equity
2010-03-15,13.295791625976562,13.343135268634107,13.090633834424182,13.208993693581675,120308200,Equity
2010-03-16,13.437827110290527,13.469389044219874,13.335247438708041,13.3904819518551,107411800,Equity
2010-03-17,13.627201080322266,13.65087215078011,13.437824991522668,13.548294000398924,134463900,Equity
2010-03-18,13.477276802062988,13.66665287713556,13.39836972785927,13.642981808393525,123986800,Equity
2010-03-19,13.272125244140625,13.595643045785206,13.208999856137487,13.272125244140625,178218800,Equity
2010-03-22,13.382587432861328,13.390478290442937,13.098524085059374,13.114305800222592,113667800,Equity
2010-03-23,13.516731262207031,13.587747487290939,13.366809458165402,13.477278472728171,131261400,Equity
2010-03-24,13.863923072814941,13.990173819241367,13.493061693315772,13.508843412875978,270410600,Equity
2010-03-25,13.998063087463379,14.479394944129696,13.966501156959124,14.076970171265186,315304700,Equity
2010-03-26,14.124316215515137,14.384708582713573,14.005956322248158,14.187441592259374,220970700,Equity
2010-03-29,14.234786987304688,14.36103774286603,14.021738272909525,14.337365161812881,152539700,Equity
2010-03-30,14.013850212097168,14.29791522137155,13.942833959778573,14.250570049807138,144373000,Equity
2010-03-31,14.084859848022461,14.187437994836335,13.942827410105314,13.958609126546623,114280900,Equity
2010-04-01,14.234786987304688,14.28213064438326,14.11642558706667,14.219005266602588,95607200,Equity
2010-04-05,14.30579662322998,14.40048540867708,14.219000200349592,14.329469195848553,107989300,Equity
2010-04-06,14.589871406555176,14.6293257211112,14.282135278159236,14.329478950598256,160316600,Equity
2010-04-07,14.692444801330566,14.881820914679375,14.621428570696317,14.660881363258648,233522300,Equity
2010-04-08,14.716117858886719,14.866041199885888,14.447834619215683,14.668774200423526,164305500,Equity
2010-04-09,14.668771743774414,14.873929569459845,14.597755515459168,14.850256991678924,135480600,Equity
2010-04-12,14.724004745483398,14.850255470662221,14.67666109979818,14.739786462387592,128319000,Equity
2010-04-13,14.731898307800293,14.771351102274506,14.589865839648905,14.684554653425709,113687800,Equity
2010-04-14,15.307910919189453,15.323692632169326,14.929158837834407,14.976502471747041,246624700,Equity
2010-04-15,15.371037483215332,15.6708840334679,15.27635020789239,15.489397329882564,240100000,Equity
2010-04-16,14.526742935180664,15.37104552270177,14.242677950583698,15.363154661459866,589061800,Equity
2010-04-19,14.510953903198242,14.716111677061411,14.100639860499038,14.28212506256091,358828000,Equity
2010-04-20,14.684553146362305,14.85814753127169,14.550411551878128,14.82658559993702,200544700,Equity
2010-04-21,14.424168586730957,14.921280937007571,14.290026919985158,14.731904731900848,201891300,Equity
2010-04-22,14.629316329956055,14.67665997200326,14.163766252248031,14.226891609986717,219472400,Equity
2010-04-23,14.542523384094238,14.621430484575047,14.424163485886906,14.518850802441667,145428400,Equity
