Price,Close,High,Low,Open,Volume,Asset Class
Ticker,BALL,BALL,BALL,BALL,BALL,Equity
Date,,,,,,Equity
2010-01-04,11.361763954162598,11.37475077216165,11.216738156038257,11.225396585179793,2468400,Equity
2010-01-05,11.234058380126953,11.337957083814434,11.20158967397496,11.327134457001602,3053600,Equity
2010-01-06,11.255696296691895,11.281670749253863,11.177772113293031,11.23837944450861,1879200,Equity
2010-01-07,11.229724884033203,11.244876720938723,11.145307271070113,11.199421210222164,2105600,Equity
2010-01-08,11.270852088928223,11.307649999888271,11.110675278527776,11.149636558201284,1227600,Equity
2010-01-11,11.212409973144531,11.348777354674782,11.179942099446214,11.28600497619271,1986000,Equity
2010-01-12,11.195094108581543,11.240549627875813,11.097688834584293,11.121499104418437,3231200,Equity
2010-01-13,11.24055004119873,11.268689527102275,11.153967388747839,11.21024636055493,2029200,Equity
2010-01-14,11.188594818115234,11.229721929506736,11.151797745515434,11.164785384751639,1904800,Equity
2010-01-15,11.127988815307617,11.179938552743145,11.086862524717912,11.138811436440376,3349200,Equity
2010-01-19,11.244874954223633,11.273014429361316,11.06088709458562,11.097684996798444,3165600,Equity
2010-01-20,11.132322311401367,11.229727590493196,11.069549928685145,11.203752298926453,4400000,Equity
2010-01-21,11.069544792175293,11.192924479869621,11.021924272113273,11.17777264634316,5698000,Equity
2010-01-22,11.00677490234375,11.106345178007881,10.974307034253581,11.067383075729131,5969600,Equity
2010-01-25,11.008941650390625,11.076042417071063,10.987295575886199,11.050067953379065,3826400,Equity
2010-01-26,10.944005966186523,11.041410419362228,10.907208049400257,10.978638862490044,4179600,Equity
2010-01-27,10.920188903808594,10.974302822236076,10.712391655218147,10.943999160030744,6724000,Equity
2010-01-28,10.939675331115723,11.46999215782771,10.920194277866276,11.46999215782771,7194800,Equity
2010-01-29,10.993789672851562,11.216738870307118,10.96781438377288,10.99811888769801,7208800,Equity
2010-02-01,11.01976490020752,11.067385441106625,10.87906829794018,11.060891205530062,5372400,Equity
2010-02-02,11.301155090332031,11.324965356170244,11.056560674770672,11.056560674770672,3946800,Equity
2010-02-03,11.156128883361816,11.363926192714594,11.151799669536162,11.275179373571444,2244400,Equity
2010-02-04,10.820624351501465,11.086864850644938,10.818459331392871,11.080370616032399,3577600,Equity
2010-02-05,10.941839218139648,10.956991056273088,10.699408982291363,10.83361133106465,3285600,Equity
2010-02-08,10.87690258026123,11.030585980736529,10.788155746465739,10.93101652344661,2969200,Equity
2010-02-09,10.94616413116455,11.037075949952575,10.85525313808945,10.900708634627001,3409200,Equity
2010-02-10,10.842266082763672,10.976468386018738,10.811962416775073,10.926683673935615,2555200,Equity
2010-02-11,11.050066947937012,11.093358267293487,10.81845933895009,10.863914852703433,3436400,Equity
2010-02-12,11.123659133911133,11.158292015507325,10.900710010242708,10.939672105252553,3455600,Equity
2010-02-16,11.264355659484863,11.29033011420677,11.156127801478391,11.188595663452515,3610400,Equity
2010-02-17,11.288169860839844,11.457005114038859,11.216739053278218,11.342283808733201,3032400,Equity
2010-02-18,11.448347091674805,11.500296846815287,11.277346812074349,11.277346812074349,2802000,Equity
2010-02-19,11.392066955566406,11.498129816270561,11.379079312623505,11.400724558481805,2833200,Equity
2010-02-22,11.402885437011719,11.463492763973175,11.27084733837749,11.392062818013303,2567200,Equity
2010-02-23,11.32280158996582,11.450510526888412,11.303320537699214,11.370421297729457,3496400,Equity
2010-02-24,11.476484298706055,11.530598237783858,11.35526877791503,11.359597992126837,2325600,Equity
2010-02-25,11.522026062011719,11.56106178882728,11.25528248028771,11.320341749222482,3450800,Equity
2010-02-26,11.719374656677246,11.771421748362421,11.565400838470998,11.656483662556855,4627200,Equity
2010-03-01,11.840816497802734,11.903707481702334,11.680337026034726,11.777926341176608,2626400,Equity
2010-03-02,11.751900672912598,11.890694809809096,11.74105760071205,11.851659088068422,3006000,Equity
2010-03-03,11.838648796081543,11.921057647061163,11.754071661224819,11.775757809089896,2632800,Equity
2010-03-04,11.808286666870117,11.888526398604057,11.717203035024124,11.86900853658516,2894400,Equity
2010-03-05,11.905879974365234,11.918891335230779,11.810458915891473,11.88419299413315,2113200,Equity
2010-03-08,11.799612045288086,11.955754943657066,11.74322756936231,11.908044429761334,2366000,Equity
2010-03-09,11.719374656677246,11.836481853879297,11.64997798291461,11.745398202519834,2696400,Equity
2010-03-10,11.73889446258545,11.795278959106833,11.595763695890213,11.676003458073094,2304400,Equity
2010-03-11,11.8126220703125,11.903704859532056,11.702020595090708,11.903704859532056,1586400,Equity
2010-03-12,11.808286666870117,11.875514214833649,11.777925732012596,11.81696145605039,1755200,Equity
2010-03-15,11.764914512634277,11.790938055034863,11.673831700595485,11.747564932851557,1435200,Equity
2010-03-16,11.814794540405273,11.832144121989511,11.741060473219422,11.788770995302498,1471600,Equity
2010-03-17,11.886357307434082,11.925393028819945,11.775755821083015,11.825634614570868,1876800,Equity
2010-03-18,11.77792739868164,11.903708550500882,11.702024223523514,11.702024223523514,2264000,Equity
2010-03-19,11.754069328308105,11.812622908650471,11.675997887851617,11.754069328308105,4214800,Equity
2010-03-22,11.743226051330566,11.806116197467507,11.639130247691948,11.708527725875472,2332800,Equity
2010-03-23,11.823468208312988,11.825636492168302,11.673831804091138,11.764914616937437,2557200,Equity
2010-03-24,11.710694313049316,11.773585277350152,11.626117208707674,11.773585277350152,2838000,Equity
2010-03-25,11.532868385314941,11.780094087547123,11.528530990698341,11.745395757887755,2519200,Equity
2010-03-26,11.710694313049316,11.78659663046535,11.530696207072415,11.545877497828837,3182800,Equity
2010-03-29,11.721545219421387,11.784436225767536,11.70202734942685,11.728051727602077,1154000,Equity
2010-03-30,11.591421127319336,11.751900580075803,11.554553689400661,11.751900580075803,1932000,Equity
2010-03-31,11.576240539550781,11.693346875346698,11.472145559246988,11.550216174019809,1858000,Equity
2010-04-01,11.767082214355469,11.832142308048667,11.537206084520816,11.604433634669386,2321200,Equity
2010-04-05,11.801782608032227,11.82780698096828,11.74106072572864,11.806120003521569,1452800,Equity
2010-04-06,11.736722946166992,11.825637482604865,11.71286768539305,11.745397736861802,2158000,Equity
2010-04-07,11.680337905883789,11.762746759019405,11.63045910267036,11.710698844598612,1080400,Equity
2010-04-08,11.706358909606934,11.710696303807072,11.58491435382312,11.706358909606934,1199600,Equity
2010-04-09,11.790936470031738,11.793105580849744,11.665155342609198,11.6998536702368,1311600,Equity
2010-04-12,11.69334602355957,11.788767035675582,11.652142022047032,11.788767035675582,1814000,Equity
2010-04-13,11.621786117553711,11.673834040058901,11.580582098222614,11.673834040058901,2103200,Equity
2010-04-14,11.754069328308105,11.76491240008854,11.587083375614693,11.636962167623372,1895200,Equity
2010-04-15,11.816961288452148,11.858165295563904,11.751901197796277,11.760575986853516,1278800,Equity
2010-04-16,11.780097007751465,11.888529418225815,11.732386482415187,11.797446590518708,2890000,Equity
2010-04-19,11.723709106445312,11.758407434608174,11.574071894083335,11.708528639578647,2294400,Equity
2010-04-20,11.786601066589355,11.840817264369939,11.710698720605949,11.786601066589355,1808800,Equity
2010-04-21,11.754069328308105,11.812622908650471,11.68033528201846,11.797442442703193,1234400,Equity
2010-04-22,11.875513076782227,11.886356975855092,11.65648004824798,11.66298572587302,1620400,Equity
2010-04-23,12.007801055908203,12.020813238813357,11.812623275971157,11.851658997413242,2012000,Equity
2010-04-26,11.979612350463867,12.06852688859758,11.966600164173474,12.051177306877056,2011200,Equity
2010-04-27,11.840816497802734,12.057681274885374,11.825636029588829,11.970935860416402,3225600,Equity
2010-04-28,11.87768268585205,11.929729763582772,11.790936453269671,11.884188363750045,2901600,Equity
2010-04-29,11.671663284301758,11.918889020008436,11.589254429975016,11.918889020008436,4659600,Equity
2010-04-30,11.539379119873047,11.858170732055568,11.515523852665675,11.697690370016574,3996800,Equity
2010-05-03,11.504679679870605,11.55455849415902,11.350705840901105,11.545884529224217,4189200,Equity
2010-05-04,11.320342063903809,11.415762272509054,11.240102324229547,11.378895655754816,3608800,Equity
2010-05-05,11.318172454833984,11.430942238555533,11.224920534204117,11.289980629358704,2824000,Equity
2010-05-06,10.997213363647461,11.35937799514822,10.409509978017534,11.266126068746598,5341600,Equity
2010-05-07,10.732636451721191,11.057933564907318,10.652395901498476,10.971187337148349,5861200,Equity
2010-05-10,11.172872543334961,11.185884726763708,10.988537000824705,11.10564416986321,3480000,Equity
2010-05-11,11.172872543334961,11.242269200408133,11.075283235802873,11.0774523466777,3453200,Equity
2010-05-12,11.300826072692871,11.300826072692871,11.12299698379762,11.1837188695842,1980800,Equity
2010-05-13,11.211910247802734,11.307330461323387,11.159862332162843,11.257451656941667,2415600,Equity
2010-05-14,11.040587425231934,11.125164568624314,10.958178565935482,11.114321493597474,2753200,Equity
2010-05-17,11.181548118591309,11.211909054786673,10.951671158825242,11.08395880419659,3592800,Equity
2010-05-18,11.086127281188965,11.352870860335072,11.060103739321255,11.272631123666766,2965200,Equity
2010-05-19,10.997213363647461,11.092634401234344,10.843239560434931,11.023237734229443,2626000,Equity
2010-05-20,10.617698669433594,10.830226039331935,10.613361274871576,10.784684637340881,3656400,Equity
2010-05-21,10.849743843078613,10.849743843078613,10.361798125657792,10.548301954457942,5552400,Equity
2010-05-24,10.591675758361816,10.851913656624149,10.572157895310305,10.791190956423073,3139600,Equity
2010-05-25,10.546133995056152,10.546133995056152,10.127584922840969,10.374810628237825,5931600,Equity
2010-05-26,10.463726997375488,10.641556073946925,10.426860377066731,10.598182946845053,4141600,Equity
2010-05-27,10.811433792114258,10.820126601156424,10.600637732297136,10.602811349053626,4000000,Equity
2010-05-28,10.702774047851562,10.841855649032683,10.657138052899958,10.787526846759324,4204000,Equity
2010-06-01,10.528923988342285,10.748412025252922,10.52023117941722,10.578906396173581,3308000,Equity
2010-06-02,10.935295104980469,10.935295104980469,10.550647301741568,10.56585929150317,5754800,Equity
2010-06-03,11.191733360290527,11.226503760871566,10.933128557781034,10.933128557781034,6822400,Equity
2010-06-04,11.115671157836914,11.222155125759164,11.004839958090733,11.015705550675838,5958800,Equity
