Price,Close,High,Low,Open,Volume,Asset Class
Ticker,BG,BG,BG,BG,BG,Equity
Date,,,,,,Equity
2010-01-04,44.81544494628906,45.203635807308125,44.44111577800476,44.538163493259525,820700,Equity
2010-01-05,46.36127471923828,46.54844192565275,45.01646855704939,45.01646855704939,1852700,Equity
2010-01-06,47.86552047729492,48.08041104692543,46.617756840434176,47.06140495827294,3211500,Equity
2010-01-07,49.1687126159668,49.39053656865697,47.34559717006634,47.75458293430438,3962900,Equity
2010-01-08,49.41828918457031,49.48067472243419,48.97464106408465,48.97464106408465,1828300,Equity
2010-01-11,48.7181510925293,50.43035790469553,48.53791740474802,49.68863326458693,1934400,Equity
2010-01-12,47.560516357421875,48.23985030896236,46.93663446101492,48.149736091754896,1513800,Equity
2010-01-13,47.227779388427734,47.706089742074134,46.40980204602701,47.44960348355147,1388400,Equity
2010-01-14,47.18617630004883,47.796191074979056,45.86909377658143,46.922761910836215,1036600,Equity
2010-01-15,48.420082092285156,51.32459557276764,47.976433936769865,49.21726418971841,3176000,Equity
2010-01-19,47.83085632324219,48.655766986998856,47.06140299407644,48.544852317817025,1797400,Equity
2010-01-20,46.96434783935547,47.581296044702526,46.48603765975093,47.16537667877329,1362000,Equity
2010-01-21,44.420326232910156,47.11687799627582,44.240092472257956,46.950511218822356,2629700,Equity
2010-01-22,43.58846664428711,44.974865587209116,43.53994280028064,44.4618984807547,1294900,Equity
2010-01-25,43.44289016723633,44.28166509282303,43.35970681682355,43.865743052057084,1864900,Equity
2010-01-26,42.99232482910156,43.66473062170542,42.978460492265704,43.4151778473637,1152700,Equity
2010-01-27,42.62491989135742,44.01825238604686,42.16740745264658,43.89347602600287,2353900,Equity
2010-01-28,41.64057540893555,43.0339106170434,41.34249882787174,42.97152243392885,2081600,Equity
2010-01-29,40.753273010253906,42.41695323520076,40.57997282155001,41.92478133392592,2487800,Equity
2010-02-01,41.36330032348633,42.11195863517838,40.815673570695104,41.06522634125912,1432100,Equity
