Price,Close,High,Low,Open,Volume,Asset Class
Ticker,BK,BK,BK,BK,BK,Equity
Date,,,,,,Equity
2010-01-04,19.812063217163086,19.91711100184665,19.55994746531849,19.742030915455693,6127700,Equity
2010-01-05,20.02215576171875,20.05717123940502,19.433886653456437,19.573951235711217,7189300,Equity
2010-01-06,19.72102165222168,19.966134050611295,19.67199943969478,19.94512395849043,7250600,Equity
2010-01-07,20.554393768310547,20.652438148029667,19.545932520647845,19.664986982772987,11052000,Equity
2010-01-08,20.680461883544922,20.694467276364687,20.295284862265543,20.505381783623882,7144000,Equity
2010-01-11,20.32329559326172,20.785506888192124,20.162222243521875,20.764496798148024,9365000,Equity
2010-01-12,20.358312606811523,20.533392696427384,20.16222376132501,20.225251364692046,8932700,Equity
2010-01-13,20.512374877929688,20.631428003944418,20.218240403897173,20.358303612255114,5872400,Equity
2010-01-14,20.484363555908203,20.63143014027558,20.2462546077142,20.491366917414453,5943500,Equity
2010-01-15,20.330293655395508,20.582407991409905,20.239251291365747,20.414331322148765,10784600,Equity
2010-01-19,20.680461883544922,20.73648746208945,20.232255919433555,20.316294955127926,9110200,Equity
2010-01-20,21.681917190551758,21.871004003851407,20.86254367109671,20.932574636832832,17464000,Equity
2010-01-21,21.47882843017578,21.920029729543227,21.394789387757797,21.64690517925649,13330200,Equity
2010-01-22,20.498374938964844,21.807973115997687,20.400329191342518,21.464816338706864,12168200,Equity
2010-01-25,20.84153938293457,21.030626248882598,20.659455882661142,20.694471375278738,6831400,Equity
2010-01-26,20.498374938964844,20.925569401926314,20.46335812347297,20.715473851994766,7130400,Equity
2010-01-27,20.84153938293457,20.967597293566588,20.372324568779504,20.48437574806232,7725300,Equity
2010-01-28,20.490312576293945,21.024170725320808,20.209334955702694,21.024170725320808,8044700,Equity
2010-01-29,20.434114456176758,20.841532289226475,20.363869725001262,20.567579311429522,8299000,Equity
2010-02-01,20.778308868408203,20.982018422515374,20.511380540061033,20.57460065410763,6977500,Equity
2010-02-02,20.553531646728516,20.76426451633499,20.35684665257074,20.76426451633499,7542500,Equity
2010-02-03,20.06884002685547,20.490307013218427,20.02669373016116,20.43411150435714,7010300,Equity
2010-02-04,19.169713973999023,20.160160762987346,19.141615546603187,19.998597485074804,10372600,Equity
2010-02-05,19.064350128173828,19.52094028852325,18.5094194711535,19.232936707767614,14936200,Equity
2010-02-08,18.86766242980957,19.352348240306537,18.8465886094288,19.071370667596682,7672100,Equity
2010-02-09,19.00815773010254,19.23996448267182,18.797424805878563,19.00815773010254,7360000,Equity
2010-02-10,19.239957809448242,19.450692000388027,18.930883139760756,19.029224958315247,8491800,Equity
2010-02-11,19.289121627807617,19.422586432358838,19.043267171800505,19.17673063654542,5285400,Equity
2010-02-12,19.00112533569336,19.183761087103072,18.755270804763658,19.09244388130157,7778800,Equity
2010-02-16,19.478790283203125,19.506888712974337,19.043275340204346,19.106495467382697,5077400,Equity
2010-02-17,19.464733123779297,19.6052225356808,19.33829426083554,19.429611440707085,4322700,Equity
2010-02-18,19.45069694519043,19.499867866968025,19.261036527070736,19.359378370625926,4701300,Equity
2010-02-19,20.132057189941406,20.497328613885227,19.42258815721428,19.42258815721428,12293600,Equity
2010-02-22,20.258499145507812,20.434110267545982,19.970497012549735,20.21635285136448,7654800,Equity
2010-02-23,19.752750396728516,20.258510222406205,19.675481032044477,20.181240857722166,7437000,Equity
2010-02-24,20.11098861694336,20.244453468136303,19.682498315439847,19.766790918440933,7151400,Equity
2010-02-25,19.942405700683594,19.97050413333576,19.605232547699675,19.91430860783844,6516700,Equity
2010-02-26,20.033720016479492,20.054792496690695,19.74571784193473,19.991572376443628,5389800,Equity
2010-03-01,19.96347999572754,20.110992751207363,19.837039725426518,20.110992751207363,4698200,Equity
2010-03-02,20.153135299682617,20.476259162162254,19.907279429644323,19.984548761892366,6755300,Equity
2010-03-03,20.153135299682617,20.27957553797698,20.026695061388253,20.12503687348089,5406100,Equity
2010-03-04,20.293624877929688,20.356845001645908,20.075867418355376,20.167184630497246,4431300,Equity
2010-03-05,20.862606048583984,20.883678530009306,20.328747968964656,20.413040574279556,7188000,Equity
2010-03-08,20.806407928466797,20.883675917036527,20.553527464548974,20.792358716069888,6132000,Equity
2010-03-09,20.939876556396484,20.996072079943534,20.60270341511418,20.60270341511418,6449900,Equity
2010-03-10,20.806407928466797,21.010116148995436,20.701040175296612,21.010116148995436,6623200,Equity
2010-03-11,20.841535568237305,20.841535568237305,20.48328858870519,20.806413867027242,5663800,Equity
2010-03-12,20.876649856567383,21.045236374166624,20.792357267671036,20.9187974908221,5641300,Equity
2010-03-15,21.031198501586914,21.080369425121933,20.764268716957968,20.77129332600685,5501700,Equity
2010-03-16,21.24894905090332,21.277047477879517,20.953922266686938,21.115484202379857,6283100,Equity
2010-03-17,21.55802345275879,21.607194356520484,21.206801180396248,21.333241412815823,6494700,Equity
2010-03-18,21.64934539794922,21.670419221239143,21.284073833098816,21.515880530060237,5921000,Equity
2010-03-19,21.52290153503418,21.824952919260372,21.459681415553966,21.52290153503418,7794800,Equity
2010-03-22,21.6563663482666,21.733635680806387,21.361339571068083,21.382413390798945,4298600,Equity
2010-03-23,22.021636962890625,22.035686175477668,21.621243782806427,21.656365474467385,6007800,Equity
2010-03-24,21.55100440979004,21.951397689273264,21.480759669222966,21.909251380855817,7640400,Equity
2010-03-25,21.663393020629883,22.098907951477358,21.607197502462245,21.7055393243039,6311100,Equity
2010-03-26,21.705533981323242,21.986511502996695,21.529922862801524,21.677436899059153,5918200,Equity
2010-03-29,21.74768829345703,21.930324084838094,21.551004625667428,21.839006859051064,4342600,Equity
2010-03-30,21.5791015625,21.754712744505454,21.501833553486353,21.69149261179893,3908500,Equity
2010-03-31,21.691490173339844,21.81090581727167,21.368366277881286,21.466708100010962,7144000,Equity
2010-04-01,21.95841407775879,21.97948789398258,21.71255824770716,21.87412015267011,5221900,Equity
2010-04-05,22.127002716064453,22.190222831009166,21.902220680619525,22.05675799503626,4675300,Equity
2010-04-06,22.267499923706055,22.302621626565216,21.895203710286385,22.049741078596604,4664000,Equity
2010-04-07,22.09890365600586,22.40095500987328,22.007586459160784,22.27451478362119,5887200,Equity
2010-04-08,22.372865676879883,22.415011986962643,22.000569475028882,22.042715785111643,6127500,Equity
2010-04-09,22.443111419677734,22.527404043597045,22.260475614776432,22.386915890462497,4430300,Equity
2010-04-12,22.857547760009766,22.934817094183053,22.5484704233166,22.5484704233166,6469700,Equity
2010-04-13,22.808378219604492,22.934818468626588,22.520376025634974,22.815401486944104,5111800,Equity
2010-04-14,22.60466766357422,22.829449723404817,22.18320063148847,22.695986212759625,13733000,Equity
2010-04-15,22.492277145385742,22.82242697560416,22.415007808133467,22.65383908708887,8431600,Equity
2010-04-16,22.176177978515625,22.506327830311186,21.614222779427042,22.386912183029,13359100,Equity
2010-04-19,22.576574325561523,22.604672759277875,22.049740751643515,22.30262129586242,8607900,Equity
2010-04-20,22.583600997924805,22.703015325627042,22.15510924866061,22.415013069835172,11037200,Equity
2010-04-21,22.632766723632812,22.79432866617651,22.443106352921447,22.555497385978523,10298500,Equity
2010-04-22,22.773244857788086,22.773244857788086,22.302608422950875,22.436073226454454,10387300,Equity
2010-04-23,22.443111419677734,22.71004118830545,22.31667114399167,22.71004118830545,9437100,Equity
2010-04-26,22.232372283935547,22.499300653969396,22.225347676854813,22.386910960098074,8207800,Equity
2010-04-27,21.684457778930664,22.337729902154123,21.642310153066227,22.056752428755924,9439000,Equity
2010-04-28,22.00853157043457,22.19170132996051,21.804227717244515,21.931036310401705,6220600,Equity
2010-04-29,22.52281379699707,22.663712673469767,22.100115823854892,22.233969554945343,6080900,Equity
2010-04-30,21.93104362487793,22.48759823487481,21.90286437601933,22.417148097141396,7649500,Equity
2010-05-03,22.071945190429688,22.17761973134408,21.860596108600905,21.952180352400127,5017700,Equity
2010-05-04,21.564699172973633,21.895812978981407,21.451979522259318,21.853543445894598,8978600,Equity
2010-05-05,21.966266632080078,22.339650031270732,21.170182459090697,21.275858324402602,10496600,Equity
2010-05-06,21.289949417114258,22.21284364634712,20.430461519682265,21.846504013845124,14134700,Equity
2010-05-07,21.177221298217773,21.867630743964725,21.064501662937463,21.36743618664981,18173100,Equity
2010-05-10,22.241018295288086,22.32555870981579,21.585834449802363,22.07898395647798,8431500,Equity
2010-05-11,21.825366973876953,22.177616284664087,21.557658088917506,22.029672219121245,15410600,Equity
2010-05-12,21.783096313476562,22.0014904986993,21.670376647314864,21.959220959819767,10638100,Equity
2010-05-13,21.120866775512695,21.712645680953457,21.064506943743307,21.67037614305751,14142200,Equity
2010-05-14,20.923601150512695,21.14904040340129,20.789746090213615,21.07154515632436,13136200,Equity
2010-05-17,20.99405860900879,21.02928434669734,20.599539752968454,20.90951952600525,8153800,Equity
2010-05-18,20.54317283630371,21.191311405426386,20.43045320199751,21.191311405426386,11629000,Equity
2010-05-19,20.275466918945312,20.691121133349807,20.120476391979704,20.437501248296428,12907100,Equity
2010-05-20,19.479381561279297,20.042981118472884,19.47233641564541,19.824585634994854,13043000,Equity
2010-05-21,19.59914779663086,19.66255276829294,18.760794216439987,18.79601994721016,20287300,Equity
2010-05-24,19.141223907470703,19.676642917772764,19.127133615264913,19.48642800416725,8602000,Equity
2010-05-25,19.155319213867188,19.155319213867188,18.493090087813094,18.732619743115116,16989400,Equity
2010-05-26,19.260990142822266,19.70482363067114,19.190540020253977,19.408934190863782,11113800,Equity
2010-05-27,19.747093200683594,19.796407880093213,19.46529272910138,19.697777177549742,9877300,Equity
2010-05-28,19.162368774414062,19.711877003577225,19.10600892158387,19.690742898593957,10945900,Equity
2010-06-01,18.66921615600586,19.15532065102779,18.655125859054575,19.056689916093468,10873400,Equity
2010-06-02,19.225767135620117,19.246901233302992,18.753753027319153,18.767841977866265,8240100,Equity
2010-06-03,19.218721389770508,19.32439590606612,19.000325866538617,19.239855486795005,7625100,Equity
2010-06-04,18.31696891784668,18.803073469217104,18.246518768648457,18.58467787233013,29161900,Equity
2010-06-07,18.049251556396484,18.521265589327957,18.04220641038566,18.436725180922288,17283500,Equity
2010-06-08,17.90131187438965,18.154931836592453,17.542017375843884,18.112660947075565,33538200,Equity
2010-06-09,17.844947814941406,18.05629683768094,17.73927330357164,17.98584805925064,33604900,Equity
2010-06-10,18.260601043701172,18.309915723354084,17.94357618346925,18.077431273758755,18693100,Equity
2010-06-11,18.450815200805664,18.4649041488953,18.035160998367214,18.05629509236376,8452900,Equity
2010-06-14,18.08447265625,18.53535116921122,18.070382366788973,18.53535116921122,10808500,Equity
2010-06-15,18.66921615600586,18.66921615600586,18.126751816903464,18.246516653540038,8529300,Equity
2010-06-16,18.57762336730957,18.66920756791358,18.415587714357773,18.478992677746724,7351100,Equity
2010-06-17,18.535356521606445,18.598761498766365,18.316962346791367,18.54944681513628,5819900,Equity
2010-06-18,18.725570678710938,18.746706118131662,18.500131366453733,18.542400901570886,8383700,Equity
2010-06-21,18.612852096557617,18.95805623133553,18.535356824601056,18.915786693779395,9302000,Equity
2010-06-22,18.49308967590332,18.838293855273236,18.486044528113172,18.60580935309658,8751000,Equity
2010-06-23,18.40150260925293,18.641030878620903,18.288781605688012,18.478996535565614,6990900,Equity
2010-06-24,17.97879409790039,18.34513347851364,17.94356838223162,18.316952905978624,10143800,Equity
2010-06-25,18.2324275970459,18.36628273974069,17.978808953291008,18.112662752261034,12397200,Equity
2010-06-28,18.28173828125,18.521267900612244,18.225378449854436,18.309917525085595,6320700,Equity
2010-06-29,17.689960479736328,18.140839158937514,17.591329760867726,18.06334388205314,12048100,Equity
2010-06-30,17.394073486328125,17.887221775964527,17.351802596343134,17.689962997599824,11476200,Equity
2010-07-01,17.450428009033203,17.542012221962892,16.99954805939498,17.33066321137177,11326700,Equity
2010-07-02,17.316579818725586,17.59837905970357,17.2461296725499,17.464525260067013,7152100,Equity
2010-07-06,17.429296493530273,17.725185981192205,17.288397569330257,17.520882070798596,8302700,Equity
2010-07-07,18.542400360107422,18.563535798910962,17.96471180338656,18.140836428909957,15504200,Equity
2010-07-08,18.288780212402344,18.718524722633234,18.07743120223345,18.683300335513163,9691000,Equity
2010-07-09,18.47899627685547,18.486041423462414,18.140837302068036,18.295826496247862,5400600,Equity
2010-07-12,18.507173538208008,18.59171259485407,18.338094081191805,18.387408754856022,4736900,Equity
2010-07-13,18.915786743164062,18.986236868424463,18.641031389020927,18.655121682817885,10718800,Equity
2010-07-14,18.746707916259766,18.887606828072972,18.61285280787146,18.76079686683399,7324900,Equity
2010-07-15,18.873512268066406,18.958051321283435,18.493082497417713,18.697387672852905,8062300,Equity
2010-07-16,18.12674331665039,18.781927036675544,18.084473789342844,18.711476928680273,10637300,Equity
2010-07-19,18.063339233398438,18.25355413113073,17.922440354271046,18.21832974727991,8672100,Equity
2010-07-20,17.98585319519043,18.02812274306373,17.70405262610257,17.732233220501236,12937800,Equity
2010-07-21,17.73927116394043,18.2958242400119,17.68291134175947,18.211285178602537,10329800,Equity
2010-07-22,18.105615615844727,18.260604833163747,17.80268098514092,17.866085970345182,9390400,Equity
2010-07-23,18.190143585205078,18.232413101604273,17.816760393518745,18.0210641758846,10613400,Equity
2010-07-26,18.535356521606445,18.598761498766365,18.13379256207653,18.13379256207653,6884600,Equity
2010-07-27,18.42264175415039,18.852386414886702,18.394462503330228,18.725576426884203,7246500,Equity
2010-07-28,17.8783016204834,18.5428163837401,17.779330275115207,18.4579853429846,12322300,Equity
2010-07-29,17.857093811035156,18.189351204291118,17.800539332430628,17.984341724986624,6571800,Equity
2010-07-30,17.722768783569336,17.86415559335239,17.623798825739925,17.68035327998024,6381500,Equity
2010-08-02,18.260042190551758,18.281250622820846,17.90657640958996,17.99140879030137,6498600,Equity
2010-08-03,18.175214767456055,18.309532178401202,18.047968184227575,18.175214767456055,6641800,Equity
2010-08-04,18.203489303588867,18.288321691682338,18.090380351707616,18.189350347512445,5194900,Equity
2010-08-05,18.309520721435547,18.316590196363265,18.047956890932387,18.090372392134217,3793300,Equity
2010-08-06,18.18934440612793,18.203483357585995,17.800532679583593,18.097443918379778,7666600,Equity
2010-08-09,18.196420669555664,18.316599105049363,17.998479320399827,18.29539066995102,4519000,Equity
2010-08-10,17.984344482421875,18.161077423704103,17.835888110594826,18.005551572421925,6496000,Equity
2010-08-11,17.510692596435547,17.729840971601394,17.489484167213785,17.71570201878689,8994000,Equity
2010-08-12,17.52483367919922,17.637942618732907,17.319822883566335,17.39758578513259,6689000,Equity
