Price,Close,High,Low,Open,Volume,Asset Class
Ticker,BKNG,BKNG,BKNG,BKNG,BKNG,Equity
Date,,,,,,Equity
2010-01-04,221.5378875732422,222.86339190059041,219.18362235469397,219.9156247159799,863200,Equity
2010-01-05,224.10977172851562,225.5342006740915,219.7474618561312,221.67638485796238,801100,Equity
2010-01-06,216.71067810058594,223.97129326557368,215.79072808937917,222.68534958963505,1007800,Equity
2010-01-07,213.7926025390625,218.11533704181272,211.80433062302336,217.28442509463403,768700,Equity
2010-01-08,213.87171936035156,216.06769641916893,209.83584229867677,210.79535306326392,756600,Equity
2010-01-11,216.54251098632812,217.12612656506965,209.9545346853578,215.4445149361664,784500,Equity
2010-01-12,211.66583251953125,214.6432894578152,207.97617616506932,213.72333942673265,1222300,Equity
2010-01-13,211.9823760986328,213.5848511771173,205.51309690444134,212.13074783043055,841000,Equity
2010-01-14,206.51217651367188,212.40771122748436,203.78201599140476,210.6667508940044,1402500,Equity
2010-01-15,206.51217651367188,208.22346250180257,203.32699930020473,205.9582352754631,1210900,Equity
2010-01-19,206.44293212890625,210.15237633975303,205.54277004457,206.29456039797924,625400,Equity
2010-01-20,204.0787811279297,209.21265435185018,200.89360381162,204.29640306336208,673600,Equity
2010-01-21,205.79006958007812,208.8268752003965,203.31710673373445,203.65344115210038,843000,Equity
2010-01-22,201.9915771484375,207.293609435323,200.61661058062887,205.61199792770867,837600,Equity
2010-01-25,200.64630126953125,203.78201621290236,197.72820825480252,203.188514211505,653100,Equity
2010-01-26,202.22900390625,204.9690508547252,198.66793151495494,200.22095936425404,767400,Equity
2010-01-27,205.27569580078125,206.23520655351817,200.98262100341285,201.4574407180518,676800,Equity
2010-01-28,199.4988555908203,207.43212479101092,199.21199853601308,205.86921042878396,672200,Equity
2010-01-29,193.2373046875,202.7829343396401,191.3677455551437,201.75418853351553,1089700,Equity
2010-02-01,201.9915771484375,202.31801001480773,190.6357373966343,194.3946434743263,1303000,Equity
2010-02-02,202.20921325683594,203.59408143204374,199.54830296328345,203.03023868860703,607800,Equity
2010-02-03,206.27476501464844,209.23243385896512,199.79559967510156,199.79559967510156,1047500,Equity
2010-02-04,197.84690856933594,206.2549820107953,197.55016511112152,205.05807647928526,1137400,Equity
2010-02-05,194.82989501953125,199.7263580216577,191.27870920181286,198.82619599935575,1287100,Equity
2010-02-08,198.45030212402344,201.9520256927585,196.38290896886846,197.29295741381085,966200,Equity
2010-02-09,203.1588592529297,204.09858216514195,201.03210203711436,201.29918626480188,991900,Equity
2010-02-10,204.1678009033203,206.18574698257055,201.42776901295417,203.57429889289205,733700,Equity
2010-02-11,206.6407470703125,207.37274942747547,200.91337237842308,201.74428418248976,858200,Equity
2010-02-12,205.5328826904297,205.78017897002582,201.54646787084152,204.2667269463989,830500,Equity
2010-02-16,208.92578125,209.9545270617191,206.49237938343398,206.49237938343398,846700,Equity
2010-02-17,210.5678253173828,213.39689527905864,207.10567750174013,210.98328124400794,2011600,Equity
2010-02-18,230.4306640625,233.24984761098142,223.57561862292724,225.02972191503662,3965300,Equity
2010-02-19,228.07640075683594,231.1329788923733,227.18612516910818,229.98552062931037,1406100,Equity
2010-02-22,226.59262084960938,229.71843405635224,223.79322541849885,229.53048648665956,880600,Equity
2010-02-23,222.65567016601562,227.0179800722611,221.18179402947877,226.96851779859006,1151900,Equity
2010-02-24,222.58642578125,224.41640908067757,218.6692463137651,223.55582291098116,898500,Equity
2010-02-25,221.44886779785156,222.269893258012,216.13694853793166,219.59909645501523,1068900,Equity
2010-02-26,224.25814819335938,224.53511879845829,218.65935721615176,221.57745008015053,987600,Equity
2010-03-01,235.96022033691406,236.40536573187524,225.1781081801473,226.29589223579785,1657900,Equity
2010-03-02,238.72991943359375,242.35034038594483,236.3163054653597,238.43316089600057,1836700,Equity
2010-03-03,233.26963806152344,238.88820219738977,232.45849903265673,238.88820219738977,963600,Equity
2010-03-04,230.59881591796875,235.25788418295164,227.02785725441979,230.480118541,1594700,Equity
2010-03-05,232.79481506347656,234.42697951546978,228.91721132850162,234.02141000675329,2236700,Equity
2010-03-08,237.5824737548828,238.3738248659,231.17255843380102,233.44768721781276,1268800,Equity
2010-03-09,235.75247192382812,240.52033595835198,233.8136626080415,236.5833837332656,898200,Equity
2010-03-10,238.38372802734375,240.8863651789518,235.42605907827647,235.57443080909627,792800,Equity
2010-03-11,239.5905303955078,239.78836439731862,235.04027288502493,238.38372336256495,624500,Equity
2010-03-12,236.3262176513672,241.06440767495533,235.09962268433168,239.96641160189805,718000,Equity
2010-03-15,236.27676391601562,237.4044343755488,231.8254307714741,236.75156855851182,443600,Equity
2010-03-16,239.19483947753906,239.63008332355244,234.84243120493772,236.4152318444955,617600,Equity
2010-03-17,240.2928466796875,243.34942506705087,237.0582071226021,240.164247784542,858800,Equity
2010-03-18,240.1840362548828,242.2514295304474,237.7704221502688,241.31170668644234,528400,Equity
2010-03-19,236.4251251220703,241.9645677150041,235.89097180976864,241.9645677150041,1015900,Equity
2010-03-22,240.3917694091797,240.87646045256625,234.11043792968636,235.76237525042134,603300,Equity
2010-03-23,241.7667236328125,242.15250520165716,236.10858389391328,241.48975302409153,793000,Equity
2010-03-24,241.16334533691406,241.84588551319473,238.95746665353204,239.8971895379871,595900,Equity
2010-03-25,252.27188110351562,259.82926994500514,243.84401961619403,243.93305774866553,2304600,Equity
2010-03-26,249.3834686279297,253.4687930313363,247.31607528811375,252.19275082982224,783300,Equity
2010-03-29,252.9049530029297,257.10900477663654,251.6387972809432,254.33926838086174,1088300,Equity
2010-03-30,253.2215118408203,255.2691172514175,250.36276736266777,252.73680568383472,587700,Equity
2010-03-31,252.24220275878906,256.15936733735725,250.27371895840557,252.74668173055056,861600,Equity
2010-04-01,254.2205810546875,257.46510710733935,251.06507804215767,255.15041750156348,885900,Equity
2010-04-05,254.863525390625,256.35720449545,252.39056273364722,255.18997336636423,811400,Equity
2010-04-06,258.7708435058594,260.1161208314271,252.39058715840306,252.39058715840306,808100,Equity
2010-04-07,257.00018310546875,264.13219935409694,255.20976045680166,260.13591321220105,989500,Equity
2010-04-08,256.5055847167969,258.03880953991427,253.7358785242192,256.28796278827053,859500,Equity
2010-04-09,256.68359375,257.6233315302007,253.5379928450057,257.6233315302007,493000,Equity
2010-04-12,257.4156799316406,260.07659058083067,256.68366234340965,257.43545276847067,413300,Equity
2010-04-13,254.81410217285156,254.92289804997318,248.41407300729242,251.57946248711457,1158700,Equity
2010-04-14,262.3912658691406,262.7770323850036,253.270977463237,253.270977463237,878200,Equity
2010-04-15,262.1142578125,263.9937033154703,259.7105152682089,261.2041943103871,763900,Equity
2010-04-16,252.10372924804688,260.90748618523907,250.04622231406017,260.22494601317527,1148200,Equity
2010-04-19,244.90243530273438,251.5893207745543,241.55898501994145,250.91668218882356,1157500,Equity
2010-04-20,252.5191650390625,254.1711173987932,246.34664472995968,248.40415149966063,982000,Equity
2010-04-21,250.41220092773438,253.41933207103708,247.45454715173454,250.74853533152003,585900,Equity
2010-04-22,255.51638793945312,256.17915520569795,245.95097031387496,248.91852546490807,734000,Equity
2010-04-23,258.8697814941406,261.144895401793,252.33125155947803,256.485841515885,742300,Equity
2010-04-26,267.43603515625,270.8586369022792,259.95779916569774,260.67001355468034,1215000,Equity
2010-04-27,261.4416198730469,267.030540052233,259.5028254552645,265.60611103864824,999300,Equity
2010-04-28,258.9488830566406,265.6061098730326,255.71425853740183,262.678100142661,1135500,Equity
2010-04-29,270.04754638671875,270.967481332698,260.35354397605573,260.35354397605573,902900,Equity
2010-04-30,259.2159729003906,270.90814935894383,258.6818346205853,270.87847501006576,902700,Equity
2010-05-03,266.169921875,267.56467653278025,261.63946725569633,261.669141602137,687500,Equity
2010-05-04,255.57577514648438,262.7572693543512,253.508381702182,262.134077848705,1018400,Equity
2010-05-05,244.30894470214844,253.4885968022602,238.41340964662814,248.77017939927646,1616300,Equity
2010-05-06,230.5790557861328,245.52564344137102,200.49793288925844,240.87646133710587,2552200,Equity
2010-05-07,222.9524383544922,234.31818105977874,221.9731396310218,229.46127839434908,1731700,Equity
2010-05-10,247.04898071289062,247.08854147595156,237.55279763897244,239.13549984921443,3046500,Equity
2010-05-11,217.19537353515625,220.3310884025934,206.6308691159246,209.8556070173506,7077100,Equity
2010-05-12,215.52366638183594,219.35180810133272,211.15146980838506,219.35180810133272,2309400,Equity
2010-05-13,210.58761596679688,218.7879538291321,209.56875651824268,213.30787499995486,1472600,Equity
2010-05-14,206.0274658203125,207.91681293246077,201.7937549148935,206.60119497396957,1525600,Equity
2010-05-17,197.9853973388672,204.75143508589542,193.89017151254947,204.33597914337244,2250500,Equity
2010-05-18,190.77423095703125,204.53379874117638,190.5170482756162,199.54829759458596,2492900,Equity
2010-05-19,188.05397033691406,193.8802696738732,182.21778458321714,189.14207992871263,2592600,Equity
2010-05-20,179.04249572753906,186.04592775840965,177.163050152436,180.63508427671147,2694800,Equity
