Price,Close,High,Low,Open,Volume,Asset Class
Ticker,BSX,BSX,BSX,BSX,BSX,Equity
Date,,,,,,Equity
2010-01-04,9.010000228881836,9.130000114440918,8.779999732971191,8.859999656677246,14332300,Equity
2010-01-05,9.039999961853027,9.100000381469727,8.9399995803833,8.989999771118164,8594200,Equity
2010-01-06,9.15999984741211,9.279999732971191,8.989999771118164,9.069999694824219,12923000,Equity
2010-01-07,9.09000015258789,9.239999771118164,9.039999961853027,9.199999809265137,15365800,Equity
2010-01-08,9.0,9.130000114440918,8.930000305175781,8.9399995803833,18894400,Equity
2010-01-11,9.069999694824219,9.15999984741211,9.0,9.079999923706055,8951500,Equity
2010-01-12,9.140000343322754,9.279999732971191,8.979999542236328,9.039999961853027,14009600,Equity
2010-01-13,9.149999618530273,9.1899995803833,8.989999771118164,9.170000076293945,10789600,Equity
2010-01-14,9.510000228881836,9.520000457763672,9.09000015258789,9.119999885559082,20174500,Equity
2010-01-15,9.430000305175781,9.5,9.239999771118164,9.5,16701400,Equity
2010-01-19,9.619999885559082,9.619999885559082,9.40999984741211,9.449999809265137,14560200,Equity
2010-01-20,9.479999542236328,9.789999961853027,9.399999618530273,9.609999656677246,33226500,Equity
2010-01-21,9.199999809265137,9.4399995803833,9.039999961853027,9.359999656677246,31725100,Equity
2010-01-22,9.0,9.239999771118164,9.0,9.15999984741211,22410000,Equity
2010-01-25,9.010000228881836,9.199999809265137,8.979999542236328,9.079999923706055,12610000,Equity
2010-01-26,9.029999732971191,9.149999618530273,8.930000305175781,8.989999771118164,10785800,Equity
2010-01-27,8.930000305175781,9.079999923706055,8.859999656677246,9.020000457763672,18179700,Equity
2010-01-28,8.720000267028809,8.989999771118164,8.65999984741211,8.930000305175781,16115800,Equity
2010-01-29,8.630000114440918,8.819999694824219,8.619999885559082,8.739999771118164,12241400,Equity
2010-02-01,8.420000076293945,8.829999923706055,8.239999771118164,8.479999542236328,68347000,Equity
2010-02-02,8.399999618530273,8.479999542236328,8.25,8.449999809265137,37334900,Equity
2010-02-03,8.359999656677246,8.399999618530273,8.260000228881836,8.350000381469727,12622300,Equity
2010-02-04,8.180000305175781,8.399999618530273,8.15999984741211,8.3100004196167,21675400,Equity
2010-02-05,8.210000038146973,8.210000038146973,8.0600004196167,8.15999984741211,17423500,Equity
2010-02-08,8.149999618530273,8.25,8.069999694824219,8.170000076293945,15515700,Equity
2010-02-09,8.229999542236328,8.25,8.079999923706055,8.220000267028809,19329200,Equity
2010-02-10,8.289999961853027,8.420000076293945,8.100000381469727,8.229999542236328,23735100,Equity
2010-02-11,7.46999979019165,7.78000020980835,7.389999866485596,7.769999980926514,154096200,Equity
2010-02-12,7.389999866485596,7.429999828338623,7.25,7.340000152587891,58085600,Equity
2010-02-16,7.409999847412109,7.429999828338623,7.190000057220459,7.409999847412109,36869900,Equity
2010-02-17,7.75,7.820000171661377,7.46999979019165,7.480000019073486,38507100,Equity
2010-02-18,7.789999961853027,7.920000076293945,7.659999847412109,7.670000076293945,17745500,Equity
2010-02-19,7.690000057220459,7.730000019073486,7.610000133514404,7.650000095367432,12421200,Equity
2010-02-22,7.869999885559082,7.929999828338623,7.690000057220459,7.739999771118164,22635700,Equity
2010-02-23,7.75,7.849999904632568,7.71999979019165,7.829999923706055,18015700,Equity
2010-02-24,7.800000190734863,7.849999904632568,7.75,7.78000020980835,17359400,Equity
2010-02-25,7.730000019073486,7.75,7.639999866485596,7.690000057220459,21517300,Equity
2010-02-26,7.739999771118164,7.860000133514404,7.699999809265137,7.710000038146973,18903400,Equity
2010-03-01,7.769999980926514,7.840000152587891,7.71999979019165,7.78000020980835,19325900,Equity
2010-03-02,7.820000171661377,7.829999923706055,7.639999866485596,7.639999866485596,20927000,Equity
2010-03-03,7.900000095367432,8.029999732971191,7.789999961853027,7.849999904632568,19317700,Equity
2010-03-04,7.920000076293945,8.029999732971191,7.809999942779541,7.889999866485596,33014800,Equity
