Price,Close,High,Low,Open,Volume,Asset Class
Ticker,CAT,CAT,CAT,CAT,CAT,Equity
Date,,,,,,Equity
2010-01-04,39.54780960083008,39.98009951263665,38.845337205818836,38.93990287859626,7325600,Equity
2010-01-05,40.02061462402344,40.14894984459076,39.33165183522196,39.54779672073023,5697200,Equity
2010-01-06,40.14221954345703,40.479946443485005,39.88554637797328,39.973356093443044,4718800,Equity
2010-01-07,40.3043098449707,40.45966642026316,39.61534952982905,40.05439276686439,5432900,Equity
2010-01-08,40.75686264038086,40.777125420031005,40.02061825216944,40.02061825216944,6651300,Equity
2010-01-11,43.31684112548828,43.51272330422133,41.10135395724229,41.16890086886638,21958800,Equity
2010-01-12,42.040245056152344,42.661661306644724,41.32426311059867,42.56034220740492,13561900,Equity
2010-01-13,42.101016998291016,42.4049690055198,41.45933567157916,41.94566042913557,8398700,Equity
2010-01-14,41.86463165283203,42.44552240855145,41.709277567850435,41.94568539789806,6224100,Equity
2010-01-15,40.885337829589844,41.93943369733307,40.81053057417422,41.78982178073318,9397000,Equity
2010-01-19,41.43617630004883,41.61979334441046,40.36167713546536,40.64050244114845,8056500,Equity
2010-01-20,40.6405029296875,41.0961458069282,40.33447711296994,40.91932823872234,6953500,Equity
2010-01-21,38.66152572631836,40.73571701243707,38.5595179774109,40.463691160222254,13874900,Equity
2010-01-22,36.89336395263672,39.13076858270231,36.73695000202539,38.477909677307885,14757600,Equity
2010-01-25,37.498626708984375,38.21269145093364,37.287809101819406,37.5122282633549,9777300,Equity
2010-01-26,37.9814567565918,38.72272434461829,37.13137936638849,37.39660569128538,15218300,Equity
2010-01-27,36.34251403808594,36.614539888442984,34.70356464555012,36.01608457419594,34041000,Equity
2010-01-28,35.268009185791016,36.607731907157685,34.819168452910176,36.60092983565167,15623100,Equity
2010-01-29,35.52643585205078,36.573729237524304,35.36321984974445,35.893667317336906,13962000,Equity
2010-02-01,36.00247573852539,36.38331133313152,35.7032494390543,35.92086903762059,7159100,Equity
2010-02-02,36.41731262207031,36.53292448897766,35.78485487538993,36.36970849870556,7665400,Equity
2010-02-03,36.30850601196289,36.72334420416083,36.11128742973266,36.17929517924156,6340800,Equity
2010-02-04,34.9551887512207,35.948078674553805,34.94158719955756,35.90727401956437,11640200,Equity
2010-02-05,35.193206787109375,35.34962072818886,34.47234016827168,34.825972702367686,15988800,Equity
2010-02-08,34.53354263305664,35.46522930879134,34.34312613021114,35.11839628520243,8668700,Equity
2010-02-09,36.40371322631836,36.893358631862675,35.73725286556654,35.83926318979838,15494200,Equity
