Price,Close,High,Low,Open,Volume,Asset Class
Ticker,CCI,CCI,CCI,CCI,CCI,Equity
Date,,,,,,Equity
2010-01-04,25.34137535095215,25.686852899030246,25.16223992922443,25.21342043234503,1964100,Equity
2010-01-05,25.58449363708496,25.904379765657712,25.354175234026584,25.437343870268514,2116000,Equity
2010-01-06,25.21981430053711,25.494916491035198,25.02788316404786,25.290189620041758,1612100,Equity
2010-01-07,24.803970336914062,25.2390156606057,24.701606874900587,25.2390156606057,1671500,Equity
2010-01-08,24.92551612854004,25.04067528190843,24.50326671303477,24.810356975171654,2004200,Equity
2010-01-11,24.93191909790039,25.27099752421554,24.90632762860272,25.13024688361521,1658300,Equity
2010-01-12,24.471277236938477,24.874334251249984,24.343322358049832,24.835947055422494,2345700,Equity
2010-01-13,24.73998260498047,24.823153650134092,24.47767617691433,24.47767617691433,1633800,Equity
2010-01-14,24.701597213745117,24.76557343727996,24.56724568000005,24.676005748116584,1569900,Equity
2010-01-15,24.75279426574707,25.341386166328405,24.682421348989127,25.341386166328405,1797800,Equity
2010-01-19,24.842344284057617,24.9191162294356,24.70159368375121,24.720786059961668,1841900,Equity
2010-01-20,24.92551612854004,24.976699059164417,24.586437755031152,24.68240452968363,1796700,Equity
2010-01-21,24.58644676208496,25.072672578459297,24.40091223140715,25.072672578459297,1402400,Equity
2010-01-22,23.895484924316406,25.187824749150625,23.799520581808967,24.573644171170997,1550500,Equity
2010-01-25,24.34332847595215,24.663214533298532,23.978658565820233,24.113010124176846,1614900,Equity
2010-01-26,23.953065872192383,24.298543382211395,23.933873490703597,24.25375953171302,1309900,Equity
2010-01-27,24.471277236938477,24.47767388264156,23.677958940257952,23.85069766067717,1761800,Equity
2010-01-28,23.78032684326172,23.940269861924076,23.03819133428985,23.799521665066212,5190300,Equity
2010-01-29,23.63318634033203,23.991459683532952,23.47964236505841,23.805925142917967,2703900,Equity
2010-02-01,23.844310760498047,23.953070865656656,23.55001612714701,23.75474304082924,1996300,Equity
2010-02-02,23.863502502441406,24.010649815148685,23.58200361385408,24.010649815148685,1954700,Equity
2010-02-03,23.537221908569336,23.921084286355544,23.409266969128105,23.64598202074502,1187200,Equity
2010-02-04,22.769493103027344,23.35808236610086,22.577561927700646,23.35808236610086,2957800,Equity
2010-02-05,22.5711612701416,22.8334677609826,21.829025654064342,22.686320455441273,3987700,Equity
2010-02-08,22.814281463623047,23.166155761232947,22.379236078765715,22.622350250430173,1875600,Equity
2010-02-09,22.94862174987793,23.345282160774932,22.73749825165934,23.11496384232805,2194800,Equity
2010-02-10,23.012603759765625,23.050988524725724,22.55836370326326,22.93582934877154,1457900,Equity
2010-02-11,23.65877342224121,23.72275210050368,22.711910948789903,22.897445454945526,1582400,Equity
2010-02-12,23.882692337036133,23.895485630652615,23.27490838770994,23.332487971131087,1582300,Equity
2010-02-16,24.298545837402344,24.311341573200053,23.959467380642728,23.991455499868472,1072800,Equity
2010-02-17,24.567258834838867,24.759190048751808,24.221781185472903,24.292156533366466,1441100,Equity
2010-02-18,24.624832153320312,24.69520504270123,24.445694284291395,24.599240680525156,1098300,Equity
2010-02-19,24.7080078125,24.970314381975815,24.560860462846534,24.65042820258883,1238400,Equity
2010-02-22,24.49687957763672,24.676015023296614,24.311345042896164,24.669618374753366,886900,Equity
2010-02-23,23.77393341064453,24.445693691742687,23.54361504214525,24.445693691742687,1366000,Equity
2010-02-24,24.215377807617188,24.253765019817774,23.626788530432442,23.761140112328434,2476600,Equity
2010-02-25,24.215377807617188,24.311344617849965,23.722755340665216,23.946674643825204,1341500,Equity
2010-02-26,24.183382034301758,24.29854119393711,23.96585944838349,24.215370147414557,1128700,Equity
2010-03-01,24.420103073120117,24.586445207533558,24.189787137107754,24.189787137107754,955400,Equity
2010-03-02,24.51607322692871,24.7335958966676,24.4393012377672,24.4393012377672,1100400,Equity
2010-03-03,24.66960906982422,24.989495068154497,24.400903562147814,24.599233759705722,1234800,Equity
2010-03-04,24.899925231933594,24.944711517521057,24.637618807833825,24.746381317626494,1060100,Equity
2010-03-05,25.2070255279541,25.25180938648325,24.912728462643255,24.995899531570487,1358800,Equity
2010-03-08,24.612037658691406,25.021491481923672,24.45209460645772,24.516070851136277,2223200,Equity
2010-03-09,25.136653900146484,25.386164703160667,24.452097743991512,24.452097743991512,2214900,Equity
2010-03-10,25.245418548583984,25.354181126655995,25.053487314940607,25.20703376617814,1576300,Equity
2010-03-11,25.232614517211914,25.290194112440467,25.066274820183462,25.20702548419486,867600,Equity
2010-03-12,25.130250930786133,25.469331852246352,25.06627468777557,25.469331852246352,1273400,Equity
2010-03-15,24.823156356811523,25.283793037998294,24.58004228168108,25.16223722070148,1766600,Equity
2010-03-16,25.462928771972656,25.565292209065074,24.829555767631103,24.829555767631103,2724100,Equity
2010-03-17,25.01508903503418,25.49491812732156,24.98310091698908,25.36696565514117,3049500,Equity
2010-03-18,24.66960906982422,25.01508409321319,24.54165418238481,24.97030024868987,2446200,Equity
2010-03-19,24.56084632873535,24.951107633488572,24.56084632873535,24.56084632873535,1883500,Equity
2010-03-22,24.7080078125,24.816770382571267,24.24097428345955,24.426508853233088,1795500,Equity
2010-03-23,24.765583038330078,24.951117575259712,24.663219576668457,24.759186389711353,1892000,Equity
2010-03-24,24.54805564880371,24.98310088720186,24.51606753079675,24.70799867937547,1734500,Equity
2010-03-25,23.59480094909668,24.778378619617893,23.530822260626323,24.624834648363887,4050500,Equity
2010-03-26,23.69715690612793,23.921076143523955,23.326087952115493,23.722748373412234,2782200,Equity
2010-03-29,24.106611251831055,24.484076862281263,23.7611337560556,23.84430480663933,2379500,Equity
2010-03-30,24.509672164916992,24.637624643634922,24.049035431813746,24.068227815514014,2079000,Equity
2010-03-31,24.458486557006836,24.778372600034185,24.36891885544507,24.509669495348888,1226400,Equity
2010-04-01,24.54805564880371,24.944716121808295,24.336932117528203,24.573647119424063,1421500,Equity
2010-04-05,24.71439552307129,24.797564134229738,24.54165677287515,24.59283726893137,1484900,Equity
2010-04-06,24.042638778686523,24.618432254399018,23.96586436282852,24.573648398750393,2761600,Equity
2010-04-07,23.81231689453125,24.029839492921397,23.64597479194875,23.972259909802336,3605300,Equity
2010-04-08,24.0682315826416,24.11301544530981,23.652381080645778,23.780333579390664,2592700,Equity
2010-04-09,24.036237716674805,24.247363682141902,23.83151083893895,24.15139689046833,1438400,Equity
2010-04-12,24.049030303955078,24.304940087898718,23.882690652767316,24.055426950312214,1207400,Equity
2010-04-13,24.0682315826416,24.2921533365201,23.473243189435482,23.99145959528718,3917200,Equity
2010-04-14,23.876300811767578,24.12581160543844,23.65238149450848,24.12581160543844,2545100,Equity
2010-04-15,24.004249572753906,24.074624894497482,23.652375404572926,23.76113549051344,1677200,Equity
2010-04-16,23.96586799621582,24.03624333448649,23.58840226956743,23.85710788473385,2873300,Equity
2010-04-19,23.991451263427734,24.18338238542783,23.60758901942754,23.889087835658575,3184600,Equity
2010-04-20,24.56084632873535,24.6696088362167,24.08101733578365,24.208972222011397,2341900,Equity
2010-04-21,24.48407554626465,24.682405751446638,24.349724007530035,24.560847505464917,1516600,Equity
2010-04-22,24.445690155029297,24.50966882621018,24.15139558920751,24.38811057123488,1593800,Equity
2010-04-23,24.573650360107422,24.695206200778994,24.266559993776116,24.381719186217516,2672800,Equity
2010-04-26,24.426504135131836,24.816765589089066,24.38811692242645,24.490480382436754,1121300,Equity
2010-04-27,24.132200241088867,24.55444965682047,24.11300542182621,24.381710926675296,2005600,Equity
2010-04-28,24.004249572753906,24.50967011933331,23.84430654716829,24.375316123033357,3244200,Equity
2010-04-29,24.52886390686035,24.951113420978505,24.215374484914328,24.771978003030508,2361100,Equity
2010-04-30,24.215377807617188,24.682413680843503,24.189788773354167,24.477684322977762,1619800,Equity
2010-05-03,24.573650360107422,24.586446097105053,24.196184660557783,24.247367608548313,1730700,Equity
2010-05-04,24.004249572753906,24.356123740934887,23.908282781187783,24.27295268428004,1350100,Equity
2010-05-05,23.83790397644043,24.081018023159018,23.479633213419913,23.7867234848103,1375200,Equity
2010-05-06,23.396461486816406,24.311335628062736,22.609542231719804,23.74833559332581,3539600,Equity
2010-05-07,22.903846740722656,23.56921048617187,22.48159714082941,23.172552362766098,3312100,Equity
2010-05-10,23.88909339904785,23.901889135566,23.319696546944908,23.556411571187628,2631900,Equity
2010-05-11,23.55000877380371,23.965859119638985,23.447645348924937,23.889087161114045,1436700,Equity
2010-05-12,24.157793045043945,24.157793045043945,23.56280724662601,23.62038439181179,1150500,Equity
2010-05-13,23.761146545410156,24.202591063352564,23.72276176335466,24.093828486273267,1244100,Equity
2010-05-14,23.364482879638672,23.754744342904846,23.204539817023843,23.645981791247287,1079300,Equity
2010-05-17,23.460445404052734,23.65877566465892,22.97421960585782,23.454048755888717,1224400,Equity
2010-05-18,23.102169036865234,23.748337731316084,22.980610785838067,23.729145350853553,2085400,Equity
2010-05-19,23.03179931640625,23.1021746492479,22.519982041926898,22.942231598439523,2579100,Equity
2010-05-20,22.276865005493164,22.737501712499743,22.02735426937692,22.424012300112054,3795700,Equity
2010-05-21,23.05099105834961,23.063786794921718,21.912197349341156,21.931389733930718,2645400,Equity
2010-05-24,22.84626579284668,23.21733485843999,22.84626579284668,22.9678240787315,1863000,Equity
2010-05-25,23.2429256439209,23.281310414714365,22.206492902825694,22.206492902825694,3686700,Equity
2010-05-26,23.172550201416016,23.671571743689423,23.09577577911449,23.351685639044973,1708300,Equity
2010-05-27,24.036237716674805,24.0362377166748,23.31969364459932,23.543612904455127,1337500,Equity
2010-05-28,23.690763473510742,24.279355158850542,23.5436161623101,23.959469063056826,907400,Equity
2010-06-01,22.993404388427734,23.972257190411607,22.993404388427734,23.511620577713312,1638700,Equity
2010-06-02,23.614002227783203,23.62039887877034,23.019013623907615,23.21734397204559,2179500,Equity
2010-06-03,24.138599395751953,24.18338324445821,23.569202656026626,23.697157555417384,2744800,Equity
2010-06-04,23.102169036865234,24.017043260474896,23.089373303044656,23.61398618700502,1615800,Equity
2010-06-07,22.92943572998047,23.49243594894686,22.89744760810974,23.121366901742093,1513800,Equity
2010-06-08,22.756696701049805,23.095775182238,22.475197814831038,22.923038837866937,3300400,Equity
2010-06-09,23.06378936767578,23.422062710048433,22.782290453299936,22.967824993485994,3421200,Equity
2010-06-10,24.132200241088867,24.266551773245183,23.42205294178198,23.42844958784523,2754200,Equity
2010-06-11,25.04068374633789,25.04068374633789,23.889094263922022,23.97866198225454,2005000,Equity
2010-06-14,25.053478240966797,25.584490316945278,24.938319054382,25.104661186354335,2566800,Equity
2010-06-15,25.334972381591797,25.360563849500206,24.899927189295617,25.034281175546425,1621400,Equity
2010-06-16,25.360565185546875,25.418144771105858,25.104657814591146,25.162237400150133,938500,Equity
2010-06-17,25.149446487426758,25.366969136740018,25.00869582006603,25.34137766257674,1156900,Equity
2010-06-18,25.111055374145508,25.21981546163313,24.919124228819935,25.149442579425394,3836600,Equity
2010-06-21,24.938312530517578,25.590880270273946,24.899925331519018,25.30298237912606,3706100,Equity
2010-06-22,24.73998260498047,25.239006435365642,24.67600637980787,25.066267698755762,2449000,Equity
2010-06-23,25.008689880371094,25.251803946106765,24.66961147012112,24.714395319001806,2026400,Equity
2010-06-24,24.48407554626465,24.995892675160736,24.439291700019776,24.938313095626388,1520100,Equity
2010-06-25,24.727197647094727,24.7911738938316,24.36892431997106,24.420104829253084,4009800,Equity
2010-06-28,24.899925231933594,25.232606966981002,24.688801739627202,24.720789851729805,2781600,Equity
2010-06-29,24.221778869628906,24.631232737638708,24.087427276788983,24.45209728051881,2180900,Equity
2010-06-30,23.83790397644043,24.34332444917184,23.761132018726965,24.196177179997477,2293900,Equity
2010-07-01,23.64597511291504,24.055428847080996,23.159749413727152,23.799521483495656,2003200,Equity
2010-07-02,23.543621063232422,23.901894443694225,23.396473721401076,23.703564144423588,1024200,Equity
2010-07-06,23.601198196411133,24.189789942583207,23.447654221261885,23.914687676525197,1752300,Equity
2010-07-07,24.183382034301758,24.247360701063947,23.62678105642195,23.62678105642195,2339900,Equity
2010-07-08,24.663217544555664,24.733592876250256,24.240967994925334,24.311343326619927,3682000,Equity
2010-07-09,24.32413673400879,24.85514633410761,24.272953792027845,24.637623711762586,3027000,Equity
2010-07-12,23.96586799621582,24.260162646677287,23.81232402229569,24.19618639763348,1029400,Equity
2010-07-13,24.509672164916992,24.548056932317532,24.164194615089556,24.18978608704798,1802900,Equity
2010-07-14,24.471277236938477,24.62482357971211,24.157787905688117,24.413697663465403,1587800,Equity
2010-07-15,24.27935791015625,24.49688057756686,24.055436153403786,24.42010614868958,1082100,Equity
2010-07-16,23.332490921020508,24.196182340996135,23.255716506394677,24.087422247748457,1517900,Equity
2010-07-19,23.319692611694336,23.498828011644495,23.038191336873474,23.460440808567984,1471700,Equity
2010-07-20,24.727197647094727,24.727197647094727,23.492437048881545,23.607596245437815,4149600,Equity
2010-07-21,24.58644676208496,24.925525259812623,24.253764912760477,24.874344750975126,1609600,Equity
2010-07-22,24.8487491607666,25.034283660715655,24.59923842523226,24.93192021945703,1012500,Equity
2010-07-23,25.309383392333984,25.309383392333984,24.426497272457866,24.72079183223767,1555100,Equity
2010-07-26,25.047080993652344,25.386159456850123,25.002297137778566,25.386159456850123,1834200,Equity
2010-07-27,24.93191909790039,25.226213673213046,24.612033053290066,25.06627065090788,2248300,Equity
2010-07-28,24.94472312927246,25.24541445165235,24.791176702953088,24.791176702953088,1727100,Equity
2010-07-29,25.07267189025879,25.117455749463872,24.3369353172201,24.695206190860752,2988100,Equity
2010-07-30,25.277395248413086,25.4181458950112,24.669613690183645,25.066271719052857,3390900,Equity
2010-08-02,26.147478103637695,26.18586529804232,25.430934225171683,25.571684830785735,2420900,Equity
2010-08-03,26.077116012573242,26.2498548141063,25.923572038235502,26.064322715159655,1687800,Equity
2010-08-04,26.224260330200195,26.307428948796144,25.987542888093973,26.14108927106728,2760800,Equity
2010-08-05,26.29463768005371,26.377808753314515,26.096309850672977,26.160286097465978,2072700,Equity
2010-08-06,25.936365127563477,26.51215863333614,25.74443395897259,25.936365127563477,1717800,Equity
2010-08-09,25.91077995300293,26.17308651663404,25.834007955011288,26.134699297369313,2147400,Equity
2010-08-10,25.827592849731445,25.904367240654757,25.334968157053545,25.584481266749858,1970600,Equity
2010-08-11,24.919116973876953,25.34776299229032,24.842345026205468,25.283786775986783,1166600,Equity
2010-08-12,24.810361862182617,25.00869209661341,24.445691951530833,24.445691951530833,1493400,Equity
2010-08-13,24.797569274902344,25.053479129845197,24.688809172900843,24.759184505036988,951100,Equity
2010-08-16,25.19422721862793,25.21341960159866,24.688806649078096,24.688806649078096,989100,Equity
2010-08-17,25.53330421447754,25.635667652058668,25.366964543609534,25.430940776896414,2788900,Equity
2010-08-18,26.153884887695312,26.25624832903409,25.30938588651617,25.46292982825586,4497000,Equity
2010-08-19,25.98113441467285,26.141077372221407,25.770008539251553,26.006725873609227,1749600,Equity
2010-08-20,25.974748611450195,25.993943435735375,25.60368202927713,25.789216540632214,1592700,Equity
2010-08-23,26.083513259887695,26.281843523317455,26.019534574650372,26.032330311697837,3275600,Equity
2010-08-24,25.808408737182617,25.968351775355405,25.62287422717328,25.8659883285463,2175000,Equity
2010-08-25,26.237058639526367,26.237058639526367,25.674060822273926,25.718844684088612,4331600,Equity
2010-08-26,25.86598777770996,26.57613524255993,25.795612451926697,26.26264582058095,1714600,Equity
2010-08-27,26.288240432739258,26.40339962677322,25.706047814250816,26.07071778184592,1335700,Equity
2010-08-30,25.91077995300293,26.454585469628608,25.897984213248023,26.147495037124223,1115200,Equity
2010-08-31,26.307424545288086,26.352208391047224,25.738027843033468,25.853187000853115,1977700,Equity
2010-09-01,26.249849319458008,26.684894556579888,26.1027020246281,26.563338732295257,2226600,Equity
2010-09-02,26.185876846313477,26.42259188152878,26.032330441515498,26.269047917268107,1754500,Equity
2010-09-03,26.896024703979492,26.972796686998926,26.35861594176879,26.473775136566605,1660900,Equity
2010-09-07,27.15192985534668,27.196713711738386,26.652908346674987,26.851238596793365,1463500,Equity
2010-09-08,27.222314834594727,27.45902993665889,26.307440117343123,26.307440117343123,2292400,Equity
2010-09-09,26.93440818786621,27.522999870982492,26.851239560460836,27.395044945040933,1359300,Equity
2010-09-10,27.126340866088867,27.183920458759616,26.857635286779672,27.017578328583177,644400,Equity
2010-09-13,27.209508895874023,27.46541873338061,26.998385354387608,27.42063487789752,699500,Equity
2010-09-14,27.023983001708984,27.22870994228319,26.90242470287342,27.081562606279082,582000,Equity
2010-09-15,27.318273544311523,27.407841262206556,26.832045303542383,26.97279596911302,995900,Equity
2010-09-16,26.640108108520508,27.31826736869266,26.595324259696913,27.299072547384892,1207200,Equity
2010-09-17,26.74887466430664,26.91521435067806,26.56334015373065,26.793658519888837,1716900,Equity
2010-09-20,27.113534927368164,27.190306875195045,26.85762518056361,26.883216643351307,1246400,Equity
2010-09-21,27.52939224243164,27.62535903211397,26.928007356627987,27.132734230115904,2483500,Equity
2010-09-22,27.324668884277344,27.657350706629117,27.241500259092266,27.48461192730009,1143200,Equity
2010-09-23,27.228702545166016,27.452621812919748,26.991985101498376,27.18391869161527,1358600,Equity
2010-09-24,27.766111373901367,27.9196553181556,27.049564832258305,27.47821342775344,2197000,Equity
2010-09-27,27.593372344970703,27.81729161177857,27.542189403679206,27.6893366990868,1261300,Equity
2010-09-28,28.047611236572266,28.066803620157167,27.42703146826504,27.650953185749533,1192200,Equity
2010-09-29,28.20115852355957,28.27793050087732,27.823692844319662,27.958044414760014,2179200,Equity
2010-09-30,28.24594497680664,28.444272806486353,28.175569640905824,28.40588803456764,2552700,Equity
2010-10-01,28.220352172851562,28.43787481878419,27.49740890246705,27.49740890246705,2670800,Equity
2010-10-04,27.900466918945312,28.36750034691952,27.84928396986123,28.220353029108797,2069000,Equity
2010-10-05,28.188364028930664,28.335511342161915,28.022021890121586,28.130784433271714,1493000,Equity
2010-10-06,27.70853614807129,28.322716902880273,27.574182125020208,28.13078572206964,1791500,Equity
2010-10-07,27.561391830444336,28.028425316155953,27.45262927046347,27.830095024742402,1841500,Equity
2010-10-08,27.215906143188477,27.46541687558478,27.043167380636362,27.46541687558478,3356000,Equity
2010-10-11,26.966402053833008,27.35026443815349,26.934411488025038,27.30548057466735,3363300,Equity
2010-10-12,26.761667251586914,26.99198315010991,26.44817785885846,26.99198315010991,4206300,Equity
2010-10-13,27.15833854675293,27.209519069067557,26.83205325991245,26.934416745079698,3254600,Equity
2010-10-14,27.433425903320312,27.497402131443263,26.97278925111774,27.13912890855941,1470300,Equity
2010-10-15,27.139142990112305,27.59977988132326,27.03038285776412,27.59977988132326,2061300,Equity
2010-10-18,26.940807342529297,27.22870531646955,26.87043201106199,27.183921458360757,806200,Equity
2010-10-19,26.6593017578125,26.883223453121996,26.29463186259027,26.659301757812504,964500,Equity
2010-10-20,27.094350814819336,27.17112523351553,26.665704626182897,26.73607995638582,1427000,Equity
2010-10-21,27.017578125,27.260692230059806,26.704091132128124,27.151929693373663,1623900,Equity
2010-10-22,27.228702545166016,27.260690663339837,27.0047808368753,27.0047808368753,778600,Equity
2010-10-25,27.241500854492188,27.503807353161072,27.22870511790624,27.34386430664255,1680400,Equity
2010-10-26,27.343860626220703,27.54218841526538,26.864031551249052,27.119938926911804,1730000,Equity
2010-10-27,26.95360565185547,27.343867115941936,26.83844645128774,27.33746802672292,1969400,Equity
2010-10-28,27.279882431030273,27.702131926799996,27.0367683454244,27.29267816611868,3322300,Equity
2010-10-29,27.58696746826172,27.71492235410376,27.107138476756408,27.203105251272053,1345900,Equity
2010-11-01,27.682941436767578,27.682941436767575,27.47181545418225,27.670145700804486,1067500,Equity
2010-11-02,27.69573211669922,27.91325470728742,27.491005259738166,27.7852998115526,1154600,Equity
2010-11-03,27.702136993408203,27.862080050460833,27.42703474003469,27.804500452300392,1429100,Equity
2010-11-04,27.740522384643555,27.926056904374,27.644555580496853,27.913261167785294,1304700,Equity
2010-11-05,27.47821807861328,27.593377276563864,26.832046752275293,27.542194326124758,2915900,Equity
2010-11-08,27.241500854492188,27.548591210943282,27.23510176593061,27.452624406817286,1884700,Equity
2010-11-09,26.665714263916016,27.510213650502344,26.56974742612927,27.38225868029937,2708000,Equity
2010-11-10,26.908811569213867,27.299070444538327,26.576129831767393,26.576129831767393,1973200,Equity
2010-11-11,27.311872482299805,27.311872482299805,26.71688418151384,26.768067125491473,1264500,Equity
2010-11-12,27.139142990112305,27.350269045429968,26.92162272541594,27.26709795328623,1203000,Equity
