Price,Close,High,Low,Open,Volume,Asset Class
Ticker,CEG,CEG,CEG,CEG,CEG,Equity
Date,,,,,,Equity
2022-01-19,40.7606201171875,41.73111107235863,36.878656296502974,36.878656296502974,129900,Equity
2022-01-20,43.672088623046875,46.94264177888787,39.74160138739842,39.74160138739842,153400,Equity
2022-01-21,43.672088623046875,48.4760191120078,41.68258310397828,41.73110690646701,329500,Equity
2022-01-24,41.537010192871094,43.67209093454113,40.64416033300907,43.59444988474668,110000,Equity
2022-01-25,40.661624908447266,43.59444766621972,40.110389031901036,41.245861561392836,23500,Equity
2022-01-26,41.94461441040039,43.73031766666053,41.0032371306487,43.681790163974576,90500,Equity
2022-01-27,44.409664154052734,48.15575980588509,42.45897897739933,45.865400576134995,151600,Equity
2022-01-28,45.370452880859375,46.19536872511421,42.847177837855796,43.23537200486367,43600,Equity
2022-01-31,46.58356475830078,46.58356475830078,44.64258289337158,44.64258289337158,71300,Equity
2022-02-01,48.31103515625,48.5245443360097,45.66159547975934,46.09831711920921,298800,Equity
2022-02-02,51.44572067260742,54.57070253661282,48.33044579073624,48.558511743213884,23860900,Equity
2022-02-03,52.03772735595703,54.90067659988967,48.815697471909616,50.6499249038495,8425500,Equity
2022-02-04,48.66041564941406,52.72677510000833,48.64100538615507,51.04782249833259,6757800,Equity
2022-02-07,44.710514068603516,48.56336400579511,44.64258000389833,48.52454348249818,9432500,Equity
2022-02-08,44.1573371887207,46.15654983156991,42.86658247848998,43.79825658224373,7277500,Equity
2022-02-09,45.91392517089844,46.04979330266135,42.58514113419139,43.42946716881015,4393100,Equity
2022-02-10,45.66159439086914,47.068806883481464,44.0408764257175,44.167037572449736,2450000,Equity
2022-02-11,46.670902252197266,47.466704404048855,44.70080713262914,45.38014772411569,3456800,Equity
2022-02-14,46.69032287597656,47.55405927869793,45.60337398620255,46.767960231324295,2155000,Equity
2022-02-15,46.58356475830078,47.02028641833567,45.80717275275492,46.29241821898722,2359800,Equity
2022-02-16,45.80717468261719,47.03969866302912,45.56455193927931,46.31183043301549,5855300,Equity
2022-02-17,43.953529357910156,45.69070878385146,43.85647805632961,44.95313370035378,3142600,Equity
2022-02-18,44.06998825073242,44.54553038430284,43.47798825466404,43.8176622649654,2018700,Equity
2022-02-22,42.25517654418945,44.332026569743874,42.206652737468204,44.069993570894134,2611100,Equity
2022-02-23,41.81845474243164,42.69189806906913,40.93530813533335,42.400747825437215,2791200,Equity
2022-02-24,43.15336608886719,43.41625933521796,41.10864579184983,42.01416573563033,2447900,Equity
2022-02-25,42.75415802001953,43.74730903125304,42.58863470862216,43.13389146549171,2040700,Equity
2022-02-28,44.76967239379883,45.39282514047235,41.34232857281111,42.160217481390944,5534900,Equity
2022-03-01,46.532020568847656,46.785174931971305,44.15624652372382,44.419139735976835,4212900,Equity
2022-03-02,48.158058166503906,48.97594690400895,46.08412906170538,46.736490796213566,3517100,Equity
2022-03-03,48.21648406982422,49.00516375380631,46.29541982123647,48.50858641838996,2072200,Equity
2022-03-04,49.657527923583984,49.6964758957363,46.979916123782886,47.875697197587755,2544600,Equity
2022-03-07,50.290409088134766,51.195928825166064,48.55726182801214,49.715939617483535,2726900,Equity
2022-03-08,50.942779541015625,53.86381049503846,49.511473184973894,49.832788372772214,3873700,Equity
2022-03-09,49.97883987426758,52.2669792324044,49.258317293409114,51.05961817413105,3050600,Equity
2022-03-10,49.9691047668457,50.28068111858217,47.97306760282048,49.23884699603527,2692700,Equity
2022-03-11,48.02174758911133,50.47541398521781,47.01886150430712,50.0664677287253,3034100,Equity
2022-03-14,49.608848571777344,50.49489457677456,47.31097004076477,50.49489457677456,2916600,Equity
2022-03-15,49.93989181518555,50.23199415825465,48.58648144468189,49.988574919983265,2117400,Equity
2022-03-16,50.407257080078125,51.02067460992955,49.02463385406349,50.34883512485513,2989800,Equity
2022-03-17,49.647789001464844,51.32251081918363,49.56989306310069,50.51436088721079,2244600,Equity
2022-03-18,47.719913482666016,50.056740030217405,47.59333813276718,49.31674706158673,9663900,Equity
2022-03-21,47.924381256103516,48.12885252668664,47.320698865406406,47.622540060754964,2452000,Equity
2022-03-22,49.793846130371094,50.67989213978641,48.6935899711136,49.02464033255907,3841900,Equity
2022-03-23,49.647789001464844,50.40725582910147,49.36542179631895,49.36542179631895,2396200,Equity
2022-03-24,51.030418395996094,51.19594544004661,49.43066535092286,49.83279596802536,2335200,Equity
2022-03-25,52.383827209472656,52.403301197176376,50.660418297669004,50.86489331141636,2441200,Equity
2022-03-28,55.285377502441406,55.35353459361105,52.62723980397673,52.94855498887609,3127000,Equity
2022-03-29,54.847225189208984,55.87932039436397,53.19197360682107,55.49958697252145,2201300,Equity
2022-03-30,55.986427307128906,56.268794527584085,54.23380945602321,54.691435118734276,1934100,Equity
2022-03-31,54.76932907104492,57.524836654275035,54.31169971068079,56.80431406865595,3817600,Equity
2022-04-01,56.49273681640625,56.76536517254093,54.23380660027748,54.87643323565407,2156500,Equity
2022-04-04,56.843257904052734,57.15483421185184,56.01563031860677,56.82378392052997,1885100,Equity
2022-04-05,57.44694519042969,58.73219858229326,56.91142356286706,57.10615971314886,2143100,Equity
2022-04-06,58.03114700317383,58.49851522601573,56.83352475356344,57.34957608295218,2559400,Equity
2022-04-07,59.30666732788086,59.462455503004044,57.787729834717524,58.18693726561337,3925800,Equity
2022-04-08,62.334800720214844,63.19164126815752,59.29693311515633,59.60850947025378,4762100,Equity
2022-04-11,59.08271789550781,62.95990172713664,58.819824672081964,62.490587236217735,3487700,Equity
2022-04-12,60.24139404296875,61.54612135189528,59.27745590748088,59.39429610572242,2553000,Equity
2022-04-13,62.51005935668945,62.850852243698526,60.12455371902103,60.40692093560709,3405700,Equity
2022-04-14,60.90349578857422,63.016376816295626,60.5442094796464,62.43217210026848,1860100,Equity
2022-04-18,61.64349365234375,62.48085277197752,60.650342643345844,60.650342643345844,1216800,Equity
2022-04-19,64.95399475097656,65.1292569161395,61.22481360175009,61.95507138516792,2078800,Equity
2022-04-20,63.68821334838867,66.87213373047494,63.352293609519684,66.03477095283696,2182800,Equity
