Price,Close,High,Low,Open,Volume,Asset Class
Ticker,CHRW,CHRW,CHRW,CHRW,CHRW,Equity
Date,,,,,,Equity
2010-01-04,41.52926254272461,41.746217857637035,41.249320373142545,41.44528095974054,822900,Equity
2010-01-05,40.66844940185547,41.634247079082705,40.16455449726269,41.41729173522154,2352700,Equity
2010-01-06,40.12957000732422,40.58447551252499,40.031591017213835,40.46549911758577,1685500,Equity
2010-01-07,39.744651794433594,39.98959927212808,39.31774104497125,39.947609801510325,1939600,Equity
2010-01-08,40.27652359008789,40.325513067016864,39.611662970689444,39.68164984467817,1332500,Equity
2010-01-11,40.3955078125,40.52847889440001,40.04558138354827,40.24153932944867,1227300,Equity
2010-01-12,39.88460159301758,40.33950418967162,39.744630536460235,40.22053052691969,1425700,Equity
2010-01-13,40.115570068359375,40.22054907662513,39.429714511610456,39.89161734247104,1513300,Equity
2010-01-14,40.325531005859375,40.5074942894503,39.90562025403446,39.90562025403446,818100,Equity
2010-01-15,40.3955078125,40.66844999992606,40.05257873744752,40.248536683347915,1592400,Equity
2010-01-19,40.68245315551758,40.92040326778952,40.3395240317594,40.381516170299335,1061200,Equity
2010-01-20,40.437496185302734,40.486485670457256,39.81462758571519,40.26253297554324,1157700,Equity
2010-01-21,40.332523345947266,40.850412996533244,39.8776178933788,40.37451281129227,1659200,Equity
2010-01-22,40.13656234741211,40.696446797618094,40.05958077174936,40.38850981605942,1558100,Equity
2010-01-25,40.21354293823242,40.486485114553304,39.74464282398407,40.23454033852942,1167300,Equity
2010-01-26,39.96159362792969,40.30452267302884,39.84961728723484,40.02458048642845,1347100,Equity
2010-01-27,40.21354293823242,40.31152190719616,39.62566645472334,39.772637577895615,881300,Equity
2010-01-28,39.56968688964844,40.339524075627494,39.33173677711774,40.339524075627494,1173200,Equity
2010-01-29,39.632667541503906,40.08757029100261,39.632667541503906,39.667659649968925,1527800,Equity
2010-02-01,40.17155838012695,40.346521608838785,39.674660781592834,39.77963978671073,981500,Equity
2010-02-02,40.185546875,40.26953113399827,39.6676572931436,40.05957582595577,1470300,Equity
2010-02-03,37.470123291015625,38.05799980845536,36.042422795843876,36.98022574819471,8727300,Equity
2010-02-04,37.267173767089844,37.7570714209783,36.86125772909651,37.30916590990112,3974300,Equity
2010-02-05,36.700286865234375,37.84804791854484,35.80447596482335,37.20418183157911,2833000,Equity
2010-02-08,36.44832992553711,37.071198401860585,36.39933778035129,36.847245751266215,2046300,Equity
2010-02-09,36.86124801635742,37.568100883927734,36.46933213229632,36.8402532853475,2709800,Equity
2010-02-10,36.28038024902344,36.749280485596294,35.90945900697462,36.39235662415482,1904200,Equity
2010-02-11,37.16218566894531,37.302156774404175,36.014427409690846,36.133403783735254,2533300,Equity
2010-02-12,36.476322174072266,36.88223802373972,36.168387945505586,36.721272222234894,2414800,Equity
2010-02-16,36.9172248840332,37.29514593116319,36.66527751927988,36.66527751927988,1511000,Equity
2010-02-17,37.092201232910156,37.39313817347229,36.791264292348025,37.12719334163736,1345300,Equity
2010-02-18,37.0222053527832,37.14817904029853,36.931223762971925,37.12718164589536,1032000,Equity
2010-02-19,37.442138671875,37.77107046405288,36.93824361487527,36.93824361487527,1768100,Equity
2010-02-22,37.9040412902832,38.009020316253256,37.30916726239299,37.6310990264341,1625500,Equity
2010-02-23,37.484107971191406,38.14196848487508,37.19016847717893,37.96000797503948,2650100,Equity
2010-02-24,37.56809997558594,37.96001851989775,37.3091551770598,37.792052666699355,1822500,Equity
2010-02-25,37.435142517089844,37.470134637231446,36.742286791484545,37.092213332355826,1612200,Equity
2010-02-26,37.32315444946289,37.48412028751755,36.88224639843599,37.435130800706425,1701400,Equity
2010-03-01,37.484107971191406,44.54562114242796,37.10618690877219,37.2951474399818,2163600,Equity
2010-03-02,37.23916244506836,37.61008620063397,37.21116769564336,37.442120373810226,1597700,Equity
2010-03-03,36.894615173339844,37.32354098334236,36.83133099346523,37.140718827114085,2205500,Equity
2010-03-04,37.035247802734375,37.20400652580437,36.73992339027302,37.05634431957369,1610000,Equity
2010-03-05,37.443092346191406,37.534503463534925,37.03526019368172,37.042293262424195,1621000,Equity
2010-03-08,37.4923095703125,38.04077085810773,37.47824611648063,38.00561356469282,1488500,Equity
2010-03-09,37.54153823852539,37.6610762801531,37.28137099356643,37.44309672326147,1060200,Equity
2010-03-10,37.738407135009766,38.01967080099174,37.33057776989793,37.63293527201336,1695600,Equity
2010-03-11,37.59074783325195,37.72434929200467,37.29542337515939,37.52043325246686,1975500,Equity
2010-03-12,37.879032135009766,38.01966394263221,37.35166486817207,37.66808576474041,1710800,Equity
2010-03-15,37.886077880859375,38.13218161482126,37.58372033208933,37.94936208135379,1651000,Equity
2010-03-16,38.87049865722656,39.15176238946072,37.963428619547386,38.054837052543206,3479600,Equity
2010-03-17,39.15175247192383,39.52442454275218,38.78611078557208,38.91970954926002,1992300,Equity
2010-03-18,39.784603118896484,39.94632882072172,38.8704973607883,38.99706576783929,2114600,Equity
2010-03-19,39.79865646362305,40.558066764206046,39.64396385901956,40.248678872669906,3059500,Equity
2010-03-22,39.538482666015625,39.83380973848823,39.475198484937835,39.629893745867705,1451200,Equity
2010-03-23,39.67912673950195,39.72131710070136,39.2080104275952,39.425989936964534,1303900,Equity
2010-03-24,39.461143493652344,39.67208991501634,39.18691287764622,39.658029144944116,1293800,Equity
2010-03-25,39.13066482543945,39.92522983109544,39.06738062582416,39.679126100552345,1779900,Equity
2010-03-26,39.06737518310547,39.35566923400455,38.849395707614306,39.12362630696599,1545600,Equity
2010-03-29,39.440040588378906,39.91818713078011,39.17284041884208,39.17284041884208,1279500,Equity
2010-03-30,39.53145217895508,39.69317782299062,39.23612510725593,39.383787301941155,1372800,Equity
2010-03-31,39.27129364013672,39.46114623726296,39.12363140314835,39.25723286908689,1376400,Equity
2010-04-01,39.15175247192383,39.53848799403445,38.79314117004868,39.36269887649971,1178800,Equity
2010-04-05,39.13768768310547,39.489265906159716,38.98299240661633,39.362697531273874,1094800,Equity
2010-04-06,38.87049865722656,39.15176238946072,38.666585267803036,38.84237442986694,1574400,Equity
2010-04-07,38.77909469604492,39.14473383485139,38.652526270177276,38.97597772191457,2051300,Equity
2010-04-08,39.09549331665039,39.17987401279665,38.518905304627744,38.652506732361644,1837700,Equity
