Price,Close,High,Low,Open,Volume,Asset Class
Ticker,CL,CL,CL,CL,CL,Equity
Date,,,,,,Equity
2010-01-04,28.769535064697266,28.779952094857492,28.425759822932,28.64452540418343,4874200,Equity
2010-01-05,29.002185821533203,29.054273612504332,28.460479153741687,28.68619114841985,5296800,Equity
2010-01-06,28.936214447021484,29.08205816257303,28.613273277274228,29.03691681708197,7195200,Equity
2010-01-07,28.821613311767578,28.84592059051656,28.56117704690221,28.842447365182508,3752200,Equity
2010-01-08,28.304224014282227,28.356311815529793,27.814602391568968,27.852799935864144,8150200,Equity
2010-01-11,28.17921257019043,28.241717397878325,27.609725317609808,28.002115116858818,7054200,Equity
2010-01-12,28.016000747680664,28.196568748248772,27.65138887148033,27.65138887148033,5733800,Equity
2010-01-13,28.147964477539062,28.266030353206613,27.929198861399758,27.963923183903397,4570600,Equity
2010-01-14,27.925718307495117,28.120179231227585,27.831962396404418,28.050727955146243,5403800,Equity
2010-01-15,27.779876708984375,28.200047026292307,27.634032992093125,27.96739119468548,7913200,Equity
2010-01-19,27.984750747680664,28.033367967048886,27.706953582878015,27.79029246738927,4460400,Equity
2010-01-20,27.505550384521484,27.821547756918314,27.224279977795685,27.821547756918314,7762000,Equity
2010-01-21,27.610301971435547,28.270267243668094,27.327460473076936,28.018851394418803,9020200,Equity
2010-01-22,28.182981491088867,28.34710038408999,27.362389690178002,27.60333041940048,10959000,Equity
2010-01-25,28.09917640686035,28.441379369559012,27.875696159846417,28.329639246052047,6220000,Equity
2010-01-26,28.067745208740234,28.20043842338705,27.760460566574157,27.886168525663557,5581400,Equity
2010-01-27,28.07124137878418,28.221392423083035,27.816335464754918,28.07124137878418,6222200,Equity
2010-01-28,27.93155288696289,28.539142045031006,27.81981281147224,28.182968722840243,8153400,Equity
2010-01-29,27.945520401000977,28.235347134181026,27.690614605577377,28.099164002030115,6692600,Equity
2010-02-01,27.91409683227539,28.081705623974198,27.592841764014207,28.081705623974198,6400400,Equity
2010-02-02,28.301706314086914,28.308688906289554,27.7534809149127,27.879186223223083,5937400,Equity
2010-02-03,28.22138023376465,28.364548623882392,28.088689723779638,28.26677372463209,5777600,Equity
2010-02-04,27.8198184967041,28.196942327588797,27.798868060797425,28.095677447216385,7284000,Equity
2010-02-05,27.67664337158203,27.95250222867231,27.261108772863444,27.80933386087767,6091800,Equity
2010-02-08,27.617290496826172,27.861723809063406,27.568404367197576,27.77093414085562,3262400,Equity
2010-02-09,27.994413375854492,28.144564387077757,27.62078216152137,27.763950581938648,4059600,Equity
2010-02-10,27.8721923828125,28.032818579597247,27.606808696601615,28.032818579597247,3793400,Equity
2010-02-11,28.050289154052734,28.07123959384771,27.673165253175654,27.784905372239837,3524000,Equity
2010-02-12,27.816326141357422,28.02583847468923,27.617286360984263,27.973459725332816,4864600,Equity
2010-02-16,28.151540756225586,28.210902083669236,27.690612649787077,27.907107529662344,3914400,Equity
2010-02-17,28.354080200195312,28.416934181486308,28.12711000606707,28.221389645956318,3467800,Equity
2010-02-18,28.787076950073242,28.888341850893823,28.294720294093317,28.301705550202115,4855200,Equity
2010-02-19,28.54613494873047,28.7800904000591,28.364558259484472,28.7800904000591,4863000,Equity
2010-02-22,28.661361694335938,28.755641315078527,28.458831944184958,28.581047254071258,4043400,Equity
2010-02-23,28.595020294189453,28.80453267264655,28.368047440821584,28.678824712753404,4416600,Equity
2010-02-24,28.96864128112793,28.996576965448476,28.581042319484187,28.661356745882387,4016000,Equity
2010-02-25,29.02102279663086,29.090859350012742,28.23884220956005,28.54263414727436,5434400,Equity
2010-02-26,28.96166229248047,29.118795874154088,28.811511300708283,29.115303247156458,3667400,Equity
2010-03-01,29.25847816467285,29.27593597536108,28.94770089502163,29.059441006985054,3972200,Equity
2010-03-02,29.28291130065918,29.41909443268001,29.188629031356445,29.384176159050426,5687800,Equity
2010-03-03,29.28291130065918,29.42258705927102,29.192121657947457,29.247993027029597,3841400,Equity
2010-03-04,29.387678146362305,29.555286978809374,29.178163109661934,29.303871066044415,3954800,Equity
2010-03-05,29.40512466430664,29.467978618360217,29.209580213514776,29.46448599199798,5870000,Equity
2010-03-08,29.31433868408203,29.429571391569425,29.136254678794607,29.35274958657783,3466000,Equity
2010-03-09,29.506391525268555,29.656542499949047,29.150220870774156,29.199106986800963,4540800,Equity
2010-03-10,29.185142517089844,29.5797241175017,29.05594195889245,29.572741527588192,5145400,Equity
2010-03-11,29.3597412109375,29.3597412109375,28.905795536082135,29.06991439797745,4436200,Equity
2010-03-12,29.384183883666992,29.436562639927633,29.23054024239424,29.244508088336694,4126400,Equity
2010-03-15,29.460996627807617,29.48892964699256,29.275924724158706,29.324813501942483,3536800,Equity
2010-03-16,29.54829978942871,29.621628975225203,29.363227847263538,29.4854458210183,3490600,Equity
2010-03-17,29.551799774169922,29.58672072942458,29.261975559858104,29.58672072942458,4796600,Equity
2010-03-18,29.600677490234375,29.635598435550502,29.300378140449553,29.509890491875886,2695800,Equity
2010-03-19,29.625118255615234,29.712415283946154,29.433066391743544,29.625118255615234,5987200,Equity
2010-03-22,29.663530349731445,29.893995792524148,29.461003260600453,29.461003260600453,4573800,Equity
2010-03-23,29.799707412719727,29.88002183778048,29.499408135601833,29.66352428404173,4531200,Equity
2010-03-24,29.450519561767578,29.74383891610314,29.363222547182172,29.73685632713743,4359600,Equity
2010-03-25,29.12578582763672,29.520367491032815,29.111817981486293,29.495924426293133,5516600,Equity
2010-03-26,29.48543357849121,29.569237946877706,29.153703402469397,29.153703402469397,5112200,Equity
2010-03-29,29.67401123046875,29.761308271120278,29.419102699564817,29.454020983006576,2998400,Equity
2010-03-30,29.841617584228516,29.900978927570804,29.555283421178256,29.653055672352387,3925800,Equity
2010-03-31,29.77178382873535,29.87304871673547,29.67051894073523,29.747340763638377,3754600,Equity
2010-04-01,29.96384620666504,30.005749760391467,29.775284211038933,29.80321991352322,3489200,Equity
2010-04-05,29.897483825683594,30.082553078467438,29.817169396541047,30.026681707917216,3914400,Equity
