Price,Close,High,Low,Open,Volume,Asset Class
Ticker,CMS,CMS,CMS,CMS,CMS,Equity
Date,,,,,,Equity
2010-01-04,9.537134170532227,9.579413871801874,9.428414280390017,9.464654435776662,5875500,Equity
2010-01-05,9.506937026977539,9.597537154976036,9.44653751766311,9.597537154976036,4288600,Equity
2010-01-06,9.476737976074219,9.567338113554234,9.458618178985402,9.50693802190089,4671800,Equity
2010-01-07,9.355937957763672,9.494857932056192,9.259298276178235,9.494857932056192,5909300,Equity
2010-01-08,9.392176628112793,9.410296421515081,9.241177005718754,9.313656755345752,2398800,Equity
2010-01-11,9.512977600097656,9.537137520168297,9.386137875722303,9.476737431982727,4536800,Equity
2010-01-12,9.4586181640625,9.525058379979946,9.398218648522413,9.47673796112273,2906900,Equity
2010-01-13,9.531096458435059,9.579416293822424,9.398217199128739,9.470696952209789,2073000,Equity
2010-01-14,9.543176651000977,9.633776197832411,9.48277656910144,9.525056856838264,2644900,Equity
2010-01-15,9.476737976074219,9.537138067727563,9.355938368785496,9.531097943358635,3998800,Equity
2010-01-19,9.60357666015625,9.60961678386631,9.452577023512172,9.476736942334508,1860700,Equity
2010-01-20,9.579415321350098,9.591495566979527,9.398216245051175,9.567335651738484,3240300,Equity
2010-01-21,9.38613510131836,9.676054632488029,9.38613510131836,9.615654562155834,3018700,Equity
2010-01-22,9.19286060333252,9.422380184148382,9.180780352544183,9.422380184148382,4304900,Equity
2010-01-25,9.289498329162598,9.34385829410854,9.174738275161623,9.283458205053506,2741700,Equity
2010-01-26,9.38613510131836,9.452574717869565,9.235135501505633,9.331775153222935,3243200,Equity
2010-01-27,9.29553508758545,9.374054944519694,9.198894864884874,9.374054944519694,3061000,Equity
2010-01-28,9.241177558898926,9.349896901838477,9.198897270405546,9.313657312864587,2980200,Equity
2010-01-29,9.162656784057617,9.349895986126569,9.138496868435242,9.241176653834794,4142700,Equity
2010-02-01,9.210977554321289,9.229097348880847,9.10829775845398,9.198897307269661,3137700,Equity
