Price,Close,High,Low,Open,Volume,Asset Class
Ticker,COF,COF,COF,COF,COF,Equity
Date,,,,,,Equity
2010-01-04,30.925769805908203,30.997045710026228,30.529793232155058,30.61690856175059,4447400,Equity
2010-01-05,32.14536666870117,32.177045508116706,31.37717142870678,31.385092649090865,8029400,Equity
2010-01-06,32.31960678100586,32.446319154918314,31.836514911382967,31.955306062578916,5819000,Equity
2010-01-07,33.919349670410156,34.141095551713676,32.145373556798816,32.224567651246915,7885800,Equity
2010-01-08,33.626319885253906,34.20444514791564,33.26994047099377,33.60256226465677,6929600,Equity
2010-01-11,33.02443313598633,34.04605299691582,33.00859371708894,33.9035012478996,5299100,Equity
2010-01-12,33.151145935058594,33.420410018002634,32.72349068196036,32.850203013871656,6491900,Equity
2010-01-13,33.3570671081543,33.452103664954144,32.24833446837741,32.88189640840157,6079100,Equity
2010-01-14,33.000694274902344,33.34123445327452,32.69975418043662,33.11157028035325,4302700,Equity
2010-01-15,32.573028564453125,33.349142161667714,32.39087973234714,32.72349855069867,7222400,Equity
2010-01-19,34.061893463134766,34.1252511462918,32.319599471164764,32.44631181641823,7769600,Equity
2010-01-20,34.06982421875,34.529155465943305,33.51545642022446,33.82431765940058,7280300,Equity
2010-01-21,33.81637954711914,34.481619909461344,32.82643871155394,33.9430918532291,11787800,Equity
2010-01-22,29.722007751464844,32.37505324132003,29.54778007176091,32.30377732019408,22018900,Equity
2010-01-25,28.597415924072266,30.37138849390067,28.23311836325788,30.34763087677891,17531700,Equity
2010-01-26,27.884660720825195,29.06467186418899,27.837145480581913,28.478625392350608,13500900,Equity
2010-01-27,28.945873260498047,29.191379707807723,27.44116480383316,27.9638535133795,11448100,Equity
2010-01-28,29.096345901489258,29.484401064360554,28.320229533626577,28.91419410709329,10454200,Equity
2010-01-29,29.191390991210938,30.015022918874287,29.064678619344367,29.89622874853508,8555700,Equity
2010-02-01,29.128028869628906,29.587363036026655,28.88252538578116,29.183465335082317,8417200,Equity
2010-02-02,29.642799377441406,30.442670533537054,29.23890167818716,29.67447822072817,9958800,Equity
2010-02-03,28.945873260498047,29.571516676472328,28.81124273914312,29.421046737123863,5430300,Equity
2010-02-04,27.678756713867188,28.77957085116757,27.599559604779614,28.652858497688264,9094100,Equity
2010-02-05,28.003454208374023,28.146005967889767,26.95015543206998,27.805465989164432,8869700,Equity
2010-02-08,27.425321578979492,28.32022591344355,27.40156094475732,28.043043689682058,4895000,Equity
2010-02-09,27.979705810546875,28.597428291334552,27.607486869015087,27.852990408270973,5409000,Equity
2010-02-10,28.201751708984375,28.558633084519382,27.73383727791115,27.94003547322785,4672500,Equity
2010-02-11,28.265199661254883,28.44760659432557,27.622810685080232,28.154169617241575,4801100,Equity
2010-02-12,27.868669509887695,28.05900894002951,27.503855546237034,27.836945767306958,7013900,Equity
2010-02-16,29.137588500976562,29.272409852809844,28.511058273964576,28.701394656004773,8239700,Equity
2010-02-17,29.22482681274414,29.573781919385812,28.907598473020137,29.327927460192136,6431600,Equity
2010-02-18,29.605518341064453,29.77206351765188,29.034502849514638,29.034502849514638,5329000,Equity
2010-02-19,29.970319747924805,30.017902335159164,29.232759392367008,29.557920181619394,6076100,Equity
2010-02-22,30.358924865722656,30.55719371259983,29.883080843354456,30.05755839671597,6873200,Equity
2010-02-23,29.36757469177246,30.430295617113487,29.20896206662399,30.21616494275277,7199000,Equity
2010-02-24,29.851362228393555,29.891015399510454,29.27241745912634,29.502410087084602,4333100,Equity
2010-02-25,29.637239456176758,29.68482508953914,28.867958048219915,29.367593584477618,5267200,Equity
2010-02-26,29.9385986328125,30.073420008928174,29.375515781959752,29.62136723848664,3824400,Equity
