Price,Close,High,Low,Open,Volume,Asset Class
Ticker,CPB,CPB,CPB,CPB,CPB,Equity
Date,,,,,,Equity
2010-01-04,21.178497314453125,21.247279354736147,21.07845136093701,21.203509399153077,1574200,Equity
2010-01-05,21.216020584106445,21.366088358114077,21.009674413240628,21.20976636877364,2497100,Equity
2010-01-06,20.978408813476562,21.209764671304843,20.85960496978833,21.159742879067085,2829500,Equity
2010-01-07,20.659509658813477,20.915877563565616,20.615739703266794,20.915877563565616,3232600,Equity
2010-01-08,20.528196334838867,20.709527955013883,20.43440222573057,20.659506179363863,2203200,Equity
2010-01-11,20.59073257446289,20.634502540544336,20.384386404121006,20.52820473299919,2827700,Equity
2010-01-12,20.834592819213867,20.997169010393396,20.490684948265873,20.553212784698577,2601600,Equity
2010-01-13,21.147228240966797,21.19725239816002,20.840838626649138,20.92212430416348,2485500,Equity
2010-01-14,21.040937423706055,21.12222312802668,20.784569496753875,21.12222312802668,1976300,Equity
2010-01-15,20.62824821472168,21.09095991025231,20.509441990916923,21.053441778742812,3794500,Equity
2010-01-19,20.665756225585938,20.778308192701342,20.609480242028237,20.65325018643055,1858400,Equity
2010-01-20,20.553207397460938,20.571967651700714,20.321851600960137,20.54695556956997,1605400,Equity
2010-01-21,20.396886825561523,20.653254721330768,20.259325135213565,20.52819907288419,2414600,Equity
2010-01-22,20.496929168701172,20.65325108703546,20.253067357744992,20.384377196677832,2738400,Equity
2010-01-25,20.49068260192871,20.69702634675597,20.37187877219688,20.69702634675597,1691600,Equity
2010-01-26,20.484426498413086,20.5532085354392,20.246818860865595,20.39063476315494,1866100,Equity
2010-01-27,20.665756225585938,20.740790075235182,20.390630520016657,20.553204258470533,2346000,Equity
2010-01-28,20.959644317626953,21.003414266487983,20.690770411604436,20.74079218803848,3139500,Equity
2010-01-29,20.703271865844727,21.07844345448364,20.66575375286772,21.040927726789423,2490600,Equity
2010-02-01,20.85335350036621,20.922135560872064,20.72204359501015,20.80958353191419,1188600,Equity
2010-02-02,21.047182083129883,21.047182083129883,20.79081424350847,20.903366210686954,1581200,Equity
2010-02-03,20.834592819213867,21.028432928609746,20.80958073052716,20.997169010393396,1809300,Equity
2010-02-04,20.28433609008789,21.028430124963574,20.28433609008789,20.95964808288763,3430200,Equity
2010-02-05,20.3030948638916,20.328104562133188,20.121760836259572,20.215554956837124,3018800,Equity
2010-02-08,20.440654754638672,20.690770797321495,20.31559911858062,20.35936906825761,1956800,Equity
2010-02-09,20.834592819213867,21.022178713796038,20.553212784698577,20.59698274725828,2823600,Equity
2010-02-10,20.834592819213867,20.93463878867663,20.665764798504693,20.797074686183805,1662300,Equity
2010-02-11,20.98465919494629,21.0096688938545,20.659509256303224,20.953392897064667,1294900,Equity
2010-02-12,20.659509658813477,20.884613650358514,20.534451620701383,20.8345894810002,2936000,Equity
2010-02-16,21.003416061401367,21.040934185895615,20.6532540553056,20.715784262796014,2329100,Equity
2010-02-17,21.02217674255371,21.12847691686245,20.584474772715765,20.640750774341843,2972500,Equity
2010-02-18,21.165992736816406,21.21601690967804,20.947142943756372,20.947142943756372,2386900,Equity
2010-02-19,21.216020584106445,21.31606656187295,21.009674413240628,21.16599640258106,2054000,Equity
2010-02-22,20.947141647338867,21.24727951008162,20.765807609863963,21.1097154285098,2936500,Equity
2010-02-23,20.753307342529297,20.859607540220022,20.55946959395667,20.6032395620398,4498800,Equity
2010-02-24,20.72829246520996,20.903372293868085,20.5657162940699,20.734544293968995,3228800,Equity
2010-02-25,20.80332374572754,20.809575573707917,20.465667787983687,20.528197994204845,2618700,Equity
2010-02-26,20.840848922729492,20.922134640401712,20.74705477429628,20.77206686524971,2509100,Equity
2010-03-01,20.85335350036621,20.928389776527716,20.78457382514474,20.884619808075694,2101600,Equity
2010-03-02,21.165992736816406,21.316062870117463,20.86585485549814,20.897118770894735,2498400,Equity
2010-03-03,21.284799575805664,21.40360341189294,20.915879638679588,21.065947391075735,2677800,Equity
2010-03-04,21.35358428955078,21.503652060687813,21.128480247561022,21.34107824440866,3201600,Equity
2010-03-05,21.503646850585938,21.503646850585938,21.32856703158462,21.391094856861194,1747300,Equity
2010-03-08,21.359832763671875,21.50990289651585,21.284798889891807,21.45362689485984,1132100,Equity
2010-03-09,21.29730224609375,21.38484215200666,21.23477203809629,21.272290162894766,1763600,Equity
2010-03-10,21.18474578857422,21.30354958078531,21.115963766926676,21.30354958078531,2072100,Equity
2010-03-11,21.41610336303711,21.441115443082357,21.103459518321237,21.115965558343863,2481700,Equity
