Price,Close,High,Low,Open,Volume,Asset Class
Ticker,CSCO,CSCO,CSCO,CSCO,CSCO,Equity
Date,,,,,,Equity
2010-01-04,16.255338668823242,16.354095029562906,15.807641827331157,15.873479819742684,59853700,Equity
2010-01-05,16.18291664123535,16.281673001301545,16.051240657310263,16.19608449077891,45124500,Equity
2010-01-06,16.077579498291016,16.28826010913834,16.024909345579186,16.15658535523651,35715700,Equity
2010-01-07,16.149993896484375,16.176328332679613,15.912977691952687,15.998566179280846,31531200,Equity
2010-01-08,16.235576629638672,16.26191231225499,15.965642161593733,16.051230618587837,39115900,Equity
2010-01-11,16.189496994018555,16.3870096705725,16.070988885784196,16.222415354859223,35852900,Equity
2010-01-12,15.932731628417969,16.13024432189423,15.853725797574414,16.090742034349997,35780400,Equity
2010-01-13,16.222415924072266,16.261919465373133,15.932730822395985,15.98540095504213,43683900,Equity
2010-01-14,16.426517486572266,16.51210600049104,16.143414988928527,16.1829172833714,52302100,Equity
2010-01-15,16.064401626586914,16.525266117184557,15.998563662822294,16.459428153419935,51648100,Equity
2010-01-19,16.36067008972168,16.38042059771509,16.130237869013428,16.15657355401075,37607500,Equity
2010-01-20,16.070987701416016,16.281668209081896,15.880058962251889,16.20924756941855,42125400,Equity
2010-01-21,15.787888526916504,16.22900140095653,15.708883948262995,16.13682897394239,54767500,Equity
2010-01-22,15.122922897338867,15.754965623271453,15.057086186011425,15.695711578472935,70424300,Equity
2010-01-25,15.136098861694336,15.261190940680944,14.971504483569227,15.208520789911127,51288800,Equity
2010-01-26,15.076839447021484,15.27435338429334,14.905661203687878,15.011001467930866,55312800,Equity
2010-01-27,15.241432189941406,15.313854085023578,14.984665479384434,15.070253964318468,51802900,Equity
2010-01-28,14.826656341552734,15.287519674605965,14.714732156028166,15.261185236941056,63620000,Equity
2010-01-29,14.793731689453125,15.228260436941419,14.773981181865645,15.109753624152882,73431900,Equity
2010-02-01,14.96491527557373,15.103175157389938,14.734482976383388,14.912245143394937,54386100,Equity
2010-02-02,15.155838966369629,15.215092997318648,14.820066542910014,15.017579142237091,54108900,Equity
2010-02-03,15.188763618469238,15.307271729554332,15.043921069229128,15.248017674011786,80035500,Equity
2010-02-04,15.248024940490723,15.64963567372199,15.208522636555786,15.412619338601163,126098600,Equity
2010-02-05,15.603544235229492,15.722051107480665,15.248019851210431,15.340192281546404,99148600,Equity
