Price,Close,High,Low,Open,Volume,Asset Class
Ticker,CTAS,CTAS,CTAS,CTAS,CTAS,Equity
Date,,,,,,Equity
2010-01-04,6.005457878112793,6.037317366988979,5.94401547723479,5.96904740572321,4204400,Equity
2010-01-05,5.996355056762695,6.000906474004158,5.948566043821416,5.98725222227977,5822400,Equity
2010-01-06,6.012284755706787,6.023662865090134,5.959944758068112,5.959944758068112,6280400,Equity
2010-01-07,6.064623832702637,6.064623832702637,5.916706262938569,5.916706262938569,4140400,Equity
2010-01-08,6.123791694641113,6.126067403259409,6.023662685671282,6.044143629188907,10043200,Equity
2010-01-11,6.098759174346924,6.128342951563838,6.0714515397358,6.114689134258277,2839600,Equity
2010-01-12,6.016837120056152,6.107863311590495,5.998631881749284,6.08510665519513,4056000,Equity
2010-01-13,6.110137462615967,6.123791279352763,6.025937985637204,6.037316527957041,3398400,Equity
2010-01-14,6.0714521408081055,6.114689739611094,6.05552261336676,6.078278833113214,3462000,Equity
2010-01-15,5.971323013305664,6.114689625701154,5.932636832791475,6.105586790734493,5469600,Equity
2010-01-19,6.066900253295898,6.066900253295898,5.941739318197127,5.941739318197127,2735600,Equity
2010-01-20,5.973597526550293,6.023661806706375,5.916706121535528,6.021386098420147,4123200,Equity
2010-01-21,5.864367485046387,5.994079848936022,5.859816067424662,5.962220793678098,7512000,Equity
2010-01-22,5.74603271484375,5.91443124529214,5.725551771433415,5.875745067077846,8358800,Equity
2010-01-25,5.736929893493652,5.773340797231594,5.698244149238222,5.773340797231594,5290000,Equity
2010-01-26,5.693693161010742,5.741481743313085,5.680038908312586,5.714174106010909,5861200,Equity
2010-01-27,5.739205360412598,5.741481068928323,5.645903481502953,5.655006315565854,6942400,Equity
2010-01-28,5.680038928985596,5.775616527985212,5.65500700037534,5.755136016957574,5386800,Equity
2010-01-29,5.714174270629883,5.773341398551895,5.691417616191097,5.691417616191097,7532000,Equity
2010-02-01,5.739205360412598,5.764237720038557,5.705070600770755,5.734654377428165,4087200,Equity
2010-02-02,5.789270877838135,5.800648987938456,5.698244694894328,5.730103750412891,4188800,Equity
2010-02-03,5.7596869468688965,5.773341199489624,5.71644978237779,5.741481710754992,2527200,Equity
2010-02-04,5.64590311050415,5.755134941846123,5.641352127818768,5.732378292231254,3756000,Equity
2010-02-05,5.650454998016357,5.6982440095939255,5.577634060419136,5.661833106748289,5827600,Equity
2010-02-08,5.573083400726318,5.609493874473353,5.488884342953959,5.554878163852802,5890800,Equity
2010-02-09,5.616320610046387,5.673212025571091,5.557153485815047,5.643628246431894,4696000,Equity
2010-02-10,5.561705112457275,5.632250348828616,5.552602277288291,5.627698931244123,3518800,Equity
2010-02-11,5.602667331695557,5.620872569055735,5.477505945053117,5.525294964403022,3128400,Equity
2010-02-12,5.598114490509033,5.609492598198572,5.513915017846698,5.559428316698823,4227200,Equity
2010-02-16,5.404685020446777,5.525294989791598,5.256767411959759,5.290902177911056,10638400,Equity
2010-02-17,5.427441120147705,5.46612730001137,5.400133049753978,5.4046844671607746,6526800,Equity
2010-02-18,5.488884449005127,5.497986850594211,5.422890192784119,5.45247354050751,5526400,Equity
2010-02-19,5.573083400726318,5.58218623618662,5.479781507493658,5.482057216358733,6420000,Equity
2010-02-22,5.5821852684021,5.618595735836644,5.561704326214292,5.600390502119372,3461200,Equity
2010-02-23,5.507089138031006,5.6163205505092115,5.486608193935461,5.586736771683625,4019200,Equity
2010-02-24,5.609493255615234,5.614044672843257,5.50481326365293,5.545775150611062,4883200,Equity
2010-02-25,5.650454998016357,5.670935940971455,5.520742648665428,5.545775008732108,5222800,Equity
2010-02-26,5.641352653503418,5.695968357240226,5.616320293189744,5.664108871191815,12786800,Equity
2010-03-01,5.709622859954834,5.709622859954834,5.625423368641894,5.655007149662826,5391600,Equity
2010-03-02,5.657281875610352,5.736929501335352,5.645903333330347,5.720999976190352,4774000,Equity
2010-03-03,5.705071449279785,5.730103812628781,5.657282865483065,5.659558574337254,4698400,Equity
