Price,Close,High,Low,Open,Volume,Asset Class
Ticker,DRI,DRI,DRI,DRI,DRI,Equity
Date,,,,,,Equity
2010-01-04,19.142662048339844,19.38331164731522,18.98405107750457,19.38331164731522,2492561,Equity
2010-01-05,19.06061363220215,19.180939551646627,18.710576609565873,19.175469767303948,3059850,Equity
2010-01-06,18.944929122924805,19.15426512903148,18.93391168585478,19.15426512903148,3461797,Equity
2010-01-07,19.121213912963867,19.297496442512767,18.84026278664485,18.983493003090647,2782414,Equity
2010-01-08,18.80170440673828,19.137745151363312,18.77966952616175,19.02205908972555,2537420,Equity
2010-01-11,18.752119064331055,18.961455061553796,18.641942347418453,18.961455061553796,1654436,Equity
2010-01-12,18.663984298706055,18.884338991542016,18.575842421571668,18.61440522747074,1600179,Equity
2010-01-13,18.79067611694336,18.829237723409484,18.592357604483702,18.686008731471922,1185479,Equity
2010-01-14,19.70514678955078,19.80430487699557,18.719062290276483,18.74109833505383,4078309,Equity
2010-01-15,19.446237564086914,19.754734073184295,19.31953408149921,19.754734073184295,2652646,Equity
2010-01-19,19.74371337890625,19.771256384798946,19.418691333865716,19.47377969653929,1836671,Equity
2010-01-20,20.123825073242188,20.856502929621644,19.969576237361338,20.140351818189718,4011411,Equity
2010-01-21,20.134841918945312,20.520460448456635,20.09076981932543,20.162384924180632,2898087,Equity
2010-01-22,19.920001983642578,20.294602001685124,19.875929872121322,20.04670548407197,2751538,Equity
2010-01-25,19.83736228942871,20.07424247122575,19.754730925323354,20.063226209818662,2147556,Equity
2010-01-26,20.096282958984375,20.355200437702347,19.79329807143942,19.815332951297265,3146325,Equity
2010-01-27,20.173412322998047,20.25053559231243,19.96958318139697,20.09628670279452,2624343,Equity
2010-01-28,20.63063621520996,20.707759447360935,20.211964218105813,20.24501770356709,4326994,Equity
2010-01-29,20.360708236694336,20.795907098040733,20.289093115161958,20.630641975478785,3956035,Equity
2010-02-01,20.850994110107422,20.889555734430584,20.39926853092558,20.46537551598729,3153485,Equity
2010-02-02,21.0933837890625,21.286191901241956,20.735308222317222,20.862011703558753,2631167,Equity
2010-02-03,20.94463539123535,21.209060870582398,20.867512174675287,21.13744578352304,1790021,Equity
2010-02-04,20.60308837890625,20.972180061249997,20.581051159842104,20.7738615458849,3721445,Equity
2010-02-05,20.707763671875,20.93362763467939,20.382741583345908,20.647167170092597,2943618,Equity
2010-02-08,20.674705505371094,20.972184517065795,20.663689244385935,20.74632060532649,1930753,Equity
2010-02-09,21.159482955932617,21.25864340306565,20.773864480264557,20.873022576509797,2071932,Equity
2010-02-10,20.961166381835938,21.198046559946906,20.91158850449942,21.13194193986888,2282470,Equity
2010-02-11,21.35230255126953,21.35230255126953,20.735311784523052,20.884050168296277,2612708,Equity
2010-02-12,21.479001998901367,21.512055489252212,20.983206696303757,21.115418306818782,2315136,Equity
2010-02-16,22.261253356933594,22.514660265097685,22.057426674511493,22.10149876991145,5072715,Equity
2010-02-17,22.36042022705078,22.58077371464008,22.299823723230293,22.426527213683,2214677,Equity
2010-02-18,22.321855545043945,22.448559018145804,22.21718694750583,22.310836931817946,1678823,Equity
2010-02-19,22.61382484436035,22.619332975707803,22.305329523801532,22.310837655148987,1837678,Equity
2010-02-22,22.61382484436035,22.696456218125427,22.43754113235865,22.685439955430525,1611590,Equity
