Price,Close,High,Low,Open,Volume,Asset Class
Ticker,DTE,DTE,DTE,DTE,DTE,Equity
Date,,,,,,Equity
2010-01-04,21.335145950317383,21.66835475230143,21.286144978903266,21.5115494474082,1670380,Equity
2010-01-05,21.095043182373047,21.457652639200504,20.943140140829428,21.271446714488217,2499460,Equity
2010-01-06,21.183244705200195,21.364550529716382,21.080342645981222,21.095042940155363,1799865,Equity
2010-01-07,20.987245559692383,21.22245032001252,20.879441181510014,21.178349427452495,1421985,Equity
2010-01-08,21.148942947387695,21.183243632056346,20.801033806523023,20.918638350326756,1114840,Equity
2010-01-11,21.447856903076172,21.452757002209463,21.090147469976973,21.281251336175323,1445015,Equity
2010-01-12,21.428253173828125,21.580156223334818,21.222446845869804,21.359651796631557,2752790,Equity
2010-01-13,21.61935806274414,21.648758654402478,21.457654808623296,21.5458565835983,1315530,Equity
2010-01-14,21.70266342163086,21.732064015302488,21.477256673779525,21.629159741082926,1187925,Equity
2010-01-15,21.526254653930664,21.648757110436986,21.281247544549455,21.648757110436986,1586955,Equity
2010-01-19,21.722259521484375,21.766360403270152,21.531153504044237,21.58015448380621,1320935,Equity
2010-01-20,21.501754760742188,21.585056433483683,21.237147250959396,21.48215436715595,1771900,Equity
2010-01-21,20.997045516967773,21.64386079679091,20.913741635608517,21.452756931224897,2405578,Equity
2010-01-22,20.609928131103516,21.00683821422989,20.58542764426659,20.97743763002558,2405108,Equity
2010-01-25,20.90393829345703,21.036243146088633,20.536428718580122,20.81083642423493,1970123,Equity
2010-01-26,21.09014320373535,21.242046246139505,20.781434824416458,20.781434824416458,1914780,Equity
2010-01-27,20.948041915893555,21.03624368901194,20.703034794196032,21.03624368901194,1268530,Equity
2010-01-28,20.776535034179688,20.987241453779827,20.703033560959362,20.97744125735045,1263360,Equity
2010-01-29,20.60013198852539,20.95784136307604,20.59523189019413,20.87453749507601,1533258,Equity
2010-02-01,20.879438400268555,20.87943840026856,20.49232842077093,20.693234656485014,1231870,Equity
2010-02-02,21.085243225097656,21.095043421437342,20.619731702594173,20.854936414746575,954100,Equity
2010-02-03,20.913738250732422,21.090143986764982,20.830436579224436,21.04114300352499,626393,Equity
2010-02-04,20.458026885986328,20.85983714444665,20.458026885986328,20.771635374719196,1522565,Equity
2010-02-05,20.472726821899414,20.511927607757464,20.213021615589838,20.423725839576854,2456925,Equity
2010-02-08,20.335527420043945,20.585434667409743,20.301226726769865,20.502132983744115,1477328,Equity
2010-02-09,20.580522537231445,20.86472811535907,20.379616397704638,20.565822248707605,1545948,Equity
2010-02-10,20.5560302734375,20.717733511839114,20.399224936800767,20.59523105850456,1269823,Equity
2010-02-11,20.742237091064453,20.74713718992747,20.24242481066797,20.48742975381878,1041403,Equity
2010-02-12,20.5560302734375,20.639331941705,20.38452464240062,20.570730567837646,1303545,Equity
2010-02-16,21.104839324951172,21.104839324951172,20.69322896603947,20.73242974342458,968435,Equity
2010-02-17,21.011737823486328,21.217541908135605,20.948036559190125,21.212641810882047,1098038,Equity
2010-02-18,21.359649658203125,21.36944985396434,20.933338946221777,20.933338946221777,1364293,Equity
2010-02-19,21.85456085205078,22.001563782492873,21.28124503059002,21.28124503059002,3291528,Equity
2010-02-22,21.864360809326172,22.045666617932092,21.790859344905503,21.893761395094437,1488725,Equity
2010-02-23,21.555660247802734,21.86436870623625,21.501759154426402,21.78106701647283,2186088,Equity
2010-02-24,21.68796157836914,21.722264468382892,21.349854741013083,21.624260290171623,1455120,Equity
2010-02-25,21.536046981811523,21.55564736769113,21.16363745373125,21.49194611358241,1512108,Equity
2010-02-26,21.276348114013672,21.609557002536665,21.242047425115427,21.536055526326145,1457000,Equity
2010-03-01,21.71245765686035,21.741860441800576,21.393951280666577,21.41845177114302,1552058,Equity
2010-03-02,21.879066467285156,21.942767752070242,21.785964589522337,21.82026528132969,1133640,Equity
2010-03-03,21.849668502807617,22.163277061999143,21.830068105131215,21.962370789446933,1657808,Equity
2010-03-04,21.9035701751709,21.9623713697538,21.71736639232505,21.932970772462347,1174413,Equity
2010-03-05,22.070178985595703,22.119179988251492,21.893773179665406,21.99667528524256,1260893,Equity
2010-03-08,21.972166061401367,22.099570814098723,21.942765471479344,22.04076743788609,1360768,Equity
2010-03-09,22.02117156982422,22.04567426282965,21.81046729875125,21.859468292024033,1840990,Equity
2010-03-10,21.957469940185547,22.026071329710238,21.746765672359718,22.00647093270318,1577673,Equity
2010-03-11,22.006465911865234,22.006465911865234,21.839862575316303,21.913364047323185,769155,Equity
2010-03-12,21.98686981201172,22.1191746838236,21.815366343844925,22.094674188371204,872673,Equity
2010-03-15,22.079971313476562,22.094673806863067,21.91336794727699,21.93296834330047,1168773,Equity
2010-03-16,22.349472045898438,22.359272240880475,22.035863610104943,22.08486678138336,1089108,Equity
2010-03-17,22.4523868560791,22.506287953847156,22.261280767623113,22.413186057702337,1492250,Equity
2010-03-18,22.378019332885742,22.457338395190543,22.32348525547975,22.412721422644093,1368053,Equity
2010-03-19,22.35818862915039,22.487082099987266,22.18963340675389,22.35818862915039,1584605,Equity
2010-03-22,22.28878402709961,22.34827332612725,22.179720312215604,22.268954260757063,927310,Equity
