Price,Close,High,Low,Open,Volume,Asset Class
Ticker,EA,EA,EA,EA,EA,Equity
Date,,,,,,Equity
2010-01-04,17.706052780151367,17.79385153967949,17.452412126036247,17.549966510033617,3850500,Equity
2010-01-05,18.20357894897461,18.408443346897524,17.784096389094735,17.862139526233186,6632500,Equity
2010-01-06,17.735321044921875,18.193824266776147,17.61825540280203,18.154803626533038,5047300,Equity
2010-01-07,17.598739624023438,17.62800462840766,17.345099042090897,17.471918402709875,5433200,Equity
2010-01-08,17.94993782043457,17.998715942809717,17.58898901833404,17.73531966406926,4055600,Equity
2010-01-11,17.823116302490234,18.242598801517623,17.686539436789175,18.01822318668549,6142400,Equity
2010-01-12,16.437850952148438,16.720756611780043,16.154943431821767,16.330540946411414,31920900,Equity
2010-01-13,16.75002670288086,16.798802972663417,16.32078845815176,16.437854110603485,14347600,Equity
2010-01-14,16.75977897644043,16.91586524135646,16.564670214947867,16.681735843982413,9110400,Equity
2010-01-15,16.613447189331055,16.867087817492017,16.53540406225806,16.789042829724103,9530400,Equity
2010-01-19,16.75002670288086,16.798802972663417,16.467119128194852,16.486630380386043,7651400,Equity
2010-01-20,16.789043426513672,16.81831029796697,16.21347650682535,16.574425284607774,8092800,Equity
2010-01-21,16.95488929748535,17.140242472224397,16.711004226769138,16.867092383867305,12834900,Equity
2010-01-22,16.359806060791016,16.876841064075037,16.291518559277645,16.828064808906873,8718600,Equity
2010-01-25,16.418344497680664,16.750028375265778,16.26225818595774,16.486632026472492,7703100,Equity
2010-01-26,16.330541610717773,16.545159770227155,16.25249847446935,16.34029723533572,6189100,Equity
2010-01-27,16.71100425720215,16.79880303167551,16.24274536714115,16.24274536714115,10947600,Equity
2010-01-28,16.359806060791016,16.876841064075037,16.018366692529295,16.69148980588013,12769100,Equity
2010-01-29,15.881793022155762,16.671979958493313,15.862281774173349,16.49638244804163,7559700,Equity
2010-02-01,16.330541610717773,16.330541610717773,15.920814680239758,16.11592345120839,6576700,Equity
2010-02-02,16.652469635009766,16.711001521511516,16.164699572539906,16.320785843674653,8118000,Equity
2010-02-03,16.84758186340332,16.89635813538695,16.379322953856665,16.506142377431402,6417200,Equity
2010-02-04,16.564674377441406,16.75978318796235,16.40858807330286,16.75978318796235,7194600,Equity
2010-02-05,16.83782196044922,16.906109468161052,16.418339429425078,16.437850677541324,10278500,Equity
2010-02-08,17.06219482421875,17.423145452391406,16.593936058504173,16.954884825981893,16170700,Equity
2010-02-09,15.569619178771973,15.881792626276596,15.315978543408056,15.647663238408743,47398100,Equity
2010-02-10,15.550108909606934,15.725707357076784,15.364756698470371,15.647664222877436,13675500,Equity
2010-02-11,15.725709915161133,15.803753062055677,15.462313596631281,15.481823918181068,8684100,Equity
2010-02-12,15.66717529296875,15.872039705171169,15.530600258630665,15.608643401208898,8433000,Equity
2010-02-16,15.91106128692627,16.096414459270154,15.637911202098863,15.745219366554458,7442600,Equity
2010-02-17,16.223230361938477,16.25249723355773,15.97934534719638,16.047634714307964,9097200,Equity
2010-02-18,16.184213638305664,16.398831833294302,16.09641486292498,16.106170489155662,5232700,Equity
2010-02-19,16.340293884277344,16.4573594949898,16.086653278312653,16.135431391398992,8940100,Equity
2010-02-22,16.184213638305664,16.535408739828387,15.9305729383943,16.379322441528387,7470800,Equity
2010-02-23,15.91106128692627,16.272012005628,15.823262513747347,16.18421323244908,5673100,Equity
2010-02-24,16.115924835205078,16.17445672724419,15.930571672936711,16.00861481588729,3758900,Equity
2010-02-25,16.15494155883789,16.174452805017978,15.82325781655579,15.862280308915967,6468700,Equity
2010-02-26,16.174453735351562,16.281763734819528,15.97934498371798,16.008611854671503,5745500,Equity
2010-03-01,16.457361221313477,16.49638185518093,16.223229975328955,16.320784351040015,5876000,Equity
2010-03-02,16.330541610717773,16.632958531093525,16.281765348323184,16.51589475706846,5983900,Equity
2010-03-03,16.398828506469727,16.53540538529651,16.350052245906994,16.408584130721287,3319500,Equity
2010-03-04,16.408586502075195,16.4378533790595,16.24274458722148,16.379321485786228,4501100,Equity
2010-03-05,16.701248168945312,16.779291306434512,16.437851882158576,16.486628145328638,5398600,Equity
2010-03-08,16.857336044311523,17.120730495409017,16.691494128815513,16.711003519518602,6267100,Equity
2010-03-09,17.14999008178711,17.374363795398427,16.808550770246878,16.8475732564547,13646200,Equity
2010-03-10,17.452411651611328,17.51094539683564,17.110974107944806,17.110974107944806,7334200,Equity
2010-03-11,17.462169647216797,17.49143652380346,17.276816483558555,17.393882129209896,6244000,Equity
2010-03-12,17.335350036621094,17.481680696474616,17.198773141488555,17.481680696474616,4571800,Equity
2010-03-15,17.43290138244629,17.481677640305236,17.149993876918483,17.325591382322642,3721700,Equity
2010-03-16,17.481679916381836,17.49143554136278,17.21828362398197,17.481679916381836,6721000,Equity
2010-03-17,17.69629669189453,17.842629194403038,17.44265604442687,17.501189789708295,5719000,Equity
2010-03-18,18.076759338378906,18.28162187322101,17.725564294997998,17.725564294997998,10611700,Equity
2010-03-19,17.96944808959961,18.262109365112675,17.803606203956868,18.24259997792148,7823100,Equity
2010-03-22,18.10602378845215,18.174311297942513,17.83287375049069,17.930426272222594,4891200,Equity
2010-03-23,18.06700325012207,18.242600767306282,17.988960115895207,18.08651449885256,4378000,Equity
2010-03-24,18.076759338378906,18.11577997614615,17.891406192072857,17.97920495291808,4998600,Equity
2010-03-25,18.10602378845215,18.515750706089417,18.096268164139943,18.223089419503545,4655500,Equity
2010-03-26,18.388935089111328,18.41820010736486,18.047495610821557,18.145050013289413,5822200,Equity
2010-03-29,18.22308921813965,18.525506125696037,18.154801709403856,18.437707368551433,3019500,Equity
2010-03-30,18.330400466918945,18.457219868787416,18.008470428424364,18.18406795462316,4569600,Equity
2010-03-31,18.20357894897461,18.271866461383862,18.10602456237775,18.20357894897461,4220500,Equity
2010-04-01,18.37917137145996,18.486481353001487,18.135286403007143,18.184062652419847,3481400,Equity
2010-04-05,18.6328182220459,18.69135011314517,18.418198186856447,18.48648756395008,2815500,Equity
2010-04-06,18.642574310302734,18.74988246986701,18.388933628313442,18.63281868476138,4045000,Equity
2010-04-07,18.710861206054688,18.769393096660675,18.457220532501744,18.740126221010055,3707600,Equity
2010-04-08,18.720617294311523,18.798660437281594,18.427954112652287,18.642574151341453,3209600,Equity
