Price,Close,High,Low,Open,Volume,Asset Class
Ticker,EBAY,EBAY,EBAY,EBAY,EBAY,Equity
Date,,,,,,Equity
2010-01-04,9.047883987426758,9.078170143310434,8.941883299652842,8.979740565597963,22511650,Equity
2010-01-05,8.953242301940918,9.047885482441956,8.896455535821202,9.006241796766226,26683193,Equity
2010-01-06,8.89645767211914,9.010030373811583,8.87374433272767,8.945672480925223,26368610,Equity
2010-01-07,8.79423999786377,8.89266957789265,8.771526667144911,8.89266957789265,25220052,Equity
2010-01-08,8.90024185180664,8.949456648255737,8.745027209048919,8.779098925219902,30484080,Equity
2010-01-11,8.877527236938477,8.991099046879572,8.801812696977747,8.907813396050386,18331078,Equity
2010-01-12,8.779097557067871,8.873740721782845,8.692025502402517,8.85481208883985,25572175,Equity
2010-01-13,8.934313774108887,8.945670441215178,8.748812966515091,8.832099481056746,24620587,Equity
2010-01-14,8.66174030303955,8.896454153259471,8.650382780016816,8.896454153259471,42094166,Equity
2010-01-15,8.506526947021484,8.72988416523504,8.374025637398857,8.703384418001967,64256306,Equity
2010-01-19,8.805598258972168,8.854813053110925,8.434596669760577,8.434596669760577,49852994,Equity
2010-01-20,8.415668487548828,8.77909809057626,8.396739853455536,8.77909809057626,92230618,Equity
2010-01-21,9.134956359863281,9.297742967501685,8.953241974635707,9.051670707194694,155599726,Equity
2010-01-22,8.926740646362305,9.153885110657395,8.790454654040444,9.085741685586969,57422930,Equity
2010-01-25,8.968384742736816,9.044099281737493,8.843455410258088,8.975955853509271,43646170,Equity
2010-01-26,9.11224365234375,9.2220299271477,8.885099990467664,8.907815042910633,54598342,Equity
2010-01-27,9.074385643005371,9.180386353120312,8.945670740099837,9.013814176290747,49443134,Equity
2010-01-28,8.832098960876465,9.11602763127878,8.737455784802675,9.0857423296266,48289349,Equity
2010-01-29,8.714739799499512,9.085741352955605,8.657953899959434,8.877526387975319,53646991,Equity
2010-02-01,8.771524429321289,8.851023640012077,8.669309320250093,8.67309487440412,26327506,Equity
2010-02-02,8.73745346069336,8.832096611592648,8.67688201568158,8.726095081639091,28234958,Equity
2010-02-03,8.79423999786377,8.824526154460191,8.661740421756601,8.69581127565386,34180661,Equity
2010-02-04,8.498953819274902,8.816955031813961,8.480025185883518,8.688240153188751,46628050,Equity
2010-02-05,8.597382545471191,8.627668702039527,8.419452876815424,8.487596300184691,37072728,Equity
2010-02-08,8.5140962600708,8.688239502669017,8.498953182927716,8.6049530072915,20112602,Equity
2010-02-09,8.468669891357422,8.669313801235642,8.419455088460744,8.620098998338964,28657411,Equity
2010-02-10,8.313450813293457,8.47623735997627,8.233950745911585,8.445952069354897,37093162,Equity
2010-02-11,8.377812385559082,8.400526578069064,8.154454300602831,8.25666859580731,30785594,Equity
2010-02-12,8.241525650024414,8.347525491716139,8.143096061413393,8.23395368130562,42511630,Equity
2010-02-16,8.525453567504883,8.529239122621412,8.3248105681391,8.3248105681391,34442021,Equity
