Price,Close,High,Low,Open,Volume,Asset Class
Ticker,ED,ED,ED,ED,ED,Equity
Date,,,,,,Equity
2010-01-04,24.929128646850586,25.242253269734793,24.846726547955825,25.12139741684179,2142300,Equity
2010-01-05,24.605026245117188,25.06647356322078,24.45120907536718,24.989566026132383,2856000,Equity
2010-01-06,24.86870002746582,24.989555876991307,24.58304208031526,24.58304208031526,2035400,Equity
2010-01-07,24.78080940246582,24.912650263441268,24.670940621271146,24.90715776738925,1993400,Equity
2010-01-08,24.857711791992188,24.885178457730767,24.56106677264212,24.714883872808233,1306400,Equity
2010-01-11,25.17084312438965,25.247750647257863,24.918146379087577,24.978574317219124,1751900,Equity
2010-01-12,25.121395111083984,25.269717618137374,25.011526354499377,25.137874691121397,1451600,Equity
2010-01-13,25.31366539001465,25.374091213984347,25.104914966753284,25.121394546420277,1247200,Equity
2010-01-14,25.396066665649414,25.434520417194594,25.253238744991926,25.35761291410423,1129400,Equity
2010-01-15,25.115917205810547,25.28071938863304,24.868712883790078,25.225783930643242,2444700,Equity
2010-01-19,25.49494743347168,25.49494743347168,25.082941171071962,25.148861586295695,1567200,Equity
2010-01-20,25.385087966918945,25.4125546420154,25.02801699951903,25.401569648435206,1869100,Equity
2010-01-21,25.055484771728516,25.5169320585027,24.896175115391138,25.44002452663585,2114000,Equity
2010-01-22,23.901859283447266,24.868701963786513,23.83593885837903,24.62149775031497,6468200,Equity
2010-01-25,23.96229362487793,24.17104413828724,23.66015599226396,24.03920115729897,3040100,Equity
2010-01-26,24.214990615844727,24.302885231150558,23.813969206965645,23.940319681067393,2522700,Equity
2010-01-27,24.198509216308594,24.20949630529627,23.813969484031773,23.98975871668867,2840900,Equity
2010-01-28,24.017229080200195,24.19851082159033,23.86890651238658,24.19851082159033,1885100,Equity
2010-01-29,24.028217315673828,24.171045297653208,23.896374328361695,24.10512485178374,2049700,Equity
2010-02-01,24.132591247558594,24.132591247558594,23.81946651387164,24.083150389841013,1277700,Equity
2010-02-02,24.247947692871094,24.258934780782127,23.84143591802662,24.1435735010754,1628100,Equity
2010-02-03,24.03919219970703,24.187514712210323,23.95129761032422,24.182022217186784,1205700,Equity
2010-02-04,23.63268280029297,24.022714947510497,23.621695713608634,23.967781609661344,3207400,Equity
2010-02-05,23.720584869384766,23.759038637105323,23.35252468403676,23.643677333943646,3735600,Equity
2010-02-08,23.517314910888672,23.78649112434986,23.4898461541269,23.748037379569688,1381200,Equity
2010-02-09,23.86341667175293,24.061180134885788,23.550291886983736,23.6436811203847,2116200,Equity
2010-02-10,23.6107120513916,23.84143671408159,23.43492283009105,23.84143671408159,2491000,Equity
2010-02-11,23.715089797973633,23.7755177447646,23.462393016459703,23.61071558706304,2019500,Equity
2010-02-12,23.517345428466797,23.662169449346255,23.444932355597523,23.539624576007345,2688500,Equity
2010-02-16,23.923967361450195,23.923967361450195,23.612035944942704,23.617607325070107,1309500,Equity
2010-02-17,23.873830795288086,24.01308552262891,23.7847078547843,24.01308552262891,1027500,Equity
2010-02-18,23.790292739868164,23.8794157389284,23.639897280542773,23.829283919153273,1941500,Equity
2010-02-19,24.02423095703125,24.1412044414086,23.66773912377137,23.73458081129286,1993700,Equity
2010-02-22,23.907257080078125,24.135636934970908,23.83484613204094,24.029801953462723,1598700,Equity
2010-02-23,23.812570571899414,23.951825370565494,23.756869502376823,23.90169355805132,1240200,Equity
