Price,Close,High,Low,Open,Volume,Asset Class
Ticker,EQR,EQR,EQR,EQR,EQR,Equity
Date,,,,,,Equity
2010-01-04,17.08319854736328,17.66116161790857,16.996247124988,17.420770640760775,3299500,Equity
2010-01-05,17.016712188720703,17.12923690775775,16.832581539792898,17.042285456379506,4545400,Equity
2010-01-06,17.113887786865234,17.211068915090845,17.016708609754467,17.016708609754467,3409700,Equity
2010-01-07,17.277557373046875,17.482147354172472,16.970674352473136,17.026936694838408,3637300,Equity
2010-01-08,17.057626724243164,17.32359296444708,16.924644579698704,17.21107021171407,2325900,Equity
2010-01-11,17.00648307800293,17.31336620272377,16.950220716543868,17.170154338002757,2320600,Equity
2010-01-12,16.760974884033203,17.02694114862011,16.633106600161526,16.86838377421777,2684400,Equity
2010-01-13,17.292905807495117,17.33382263995488,16.81723567957104,16.84280894374777,3128000,Equity
2010-01-14,17.26221466064453,17.31847700579092,17.057624669405804,17.14457609857243,1810800,Equity
2010-01-15,17.067855834960938,17.22129736605596,17.011593484965946,17.17015083939593,2485600,Equity
2010-01-19,17.604902267456055,17.62536165868005,17.11388858476979,17.287789507943874,2517000,Equity
2010-01-20,17.272441864013672,17.451456617191155,17.205949833784402,17.451456617191155,2941000,Equity
2010-01-21,16.842811584472656,17.507726312892128,16.81723831628639,17.282678821291547,4540500,Equity
2010-01-22,16.33133316040039,17.078083277359752,16.269955970725555,16.858149729731153,4798300,Equity
2010-01-25,16.32621955871582,16.566611537535703,16.101171146817105,16.505235318736222,3559400,Equity
2010-01-26,16.295534133911133,16.55638457011864,16.106288647727915,16.259731171120205,2341200,Equity
2010-01-27,16.59218406677246,16.617759278664824,16.060252633250307,16.25461292716681,3021100,Equity
2010-01-28,16.510351181030273,16.709825379511745,16.3108769825488,16.69448181074088,2204700,Equity
2010-01-29,16.392711639404297,16.730283790362943,16.25461465078119,16.56661256269299,3315200,Equity
2010-02-01,16.760974884033203,16.80189172029225,16.495008619446295,16.53081158284115,2502800,Equity
2010-02-02,17.057626724243164,17.057626724243164,16.587072419269695,16.755857523926704,3170800,Equity
2010-02-03,16.55638313293457,16.950217640562958,16.510350477468524,16.950217640562958,2429000,Equity
2010-02-04,16.735401153564453,17.75834739618106,16.720055633166925,17.384972251759812,7454100,Equity
2010-02-05,16.863271713256836,17.042286549465672,16.392715363469442,16.82746874601507,4661000,Equity
2010-02-08,16.59218406677246,16.9962482208491,16.556381111460833,16.847920576778222,3303800,Equity
2010-02-09,16.571731567382812,16.85815529523335,16.42851775234223,16.79677906085328,3456700,Equity
2010-02-10,16.500118255615234,16.79677353456135,16.27507083618742,16.551266726699737,3014900,Equity
2010-02-11,16.755855560302734,16.76608525500964,16.30575972433009,16.418283439433907,2615300,Equity
2010-02-12,16.980911254882812,17.011598399297803,16.464322211254938,16.597306340771524,3192800,Equity
2010-02-16,17.589557647705078,17.620246732705805,17.165036036326562,17.287788474099823,3112600,Equity
2010-02-17,17.696969985961914,17.732772949920342,17.543528433123612,17.61513436104047,2615100,Equity
2010-02-18,17.937360763549805,18.034539946370302,17.579329217246194,17.58955891298229,3128900,Equity
2010-02-19,18.136829376220703,18.203321402504056,17.74811081334015,17.840176095543455,3696200,Equity
2010-02-22,18.372108459472656,18.530665785280426,18.00896311284134,18.15729074494075,4216900,Equity
2010-02-23,18.259592056274414,18.39769004250443,18.147067337616935,18.39769004250443,4729700,Equity
2010-02-24,18.469289779663086,18.46928977966309,18.14706125316503,18.33119183973535,3003000,Equity
2010-02-25,18.535785675048828,18.540899547467873,18.07545911273466,18.244244218173186,2843400,Equity
2010-02-26,18.45394515991211,18.668762864558378,18.41814025802325,18.520435239284822,3645800,Equity
2010-03-01,18.464174270629883,18.643190988885266,18.402798057769427,18.643190988885266,2461500,Equity
2010-03-02,18.47441291809082,18.597167354418236,18.377233704705144,18.525561412858732,2009000,Equity
2010-03-03,18.331195831298828,18.515326457963045,18.280049302165445,18.515326457963045,2456600,Equity
2010-03-04,18.45394515991211,18.510205546047217,18.305617534638554,18.38233730724887,2356300,Equity
2010-03-05,19.062599182128906,19.083058570651858,18.428371795720174,18.551126175743203,3557400,Equity
2010-03-08,19.241613388061523,19.2876460353271,19.001222408887635,19.052368927576218,2450200,Equity
2010-03-09,19.589414596557617,19.758201615224138,19.083057442787187,19.103514878986363,5593900,Equity
2010-03-10,19.64568519592285,19.686603987754186,19.384834726901946,19.64568519592285,3577600,Equity
2010-03-11,19.680768966674805,19.68593020777274,19.407282241586067,19.61368661145874,2073600,Equity
2010-03-12,19.644655227661133,19.866541432302096,19.505331194390937,19.763338225979275,2517800,Equity
2010-03-15,19.66529083251953,19.747852981092766,19.34536275285286,19.593049198572565,2118100,Equity
2010-03-16,20.31546401977539,20.37222585625948,19.711728781033443,19.804611428291675,3139400,Equity
2010-03-17,20.594118118286133,20.63023893985881,20.274189997883646,20.418673284174357,2725600,Equity
2010-03-18,20.454790115356445,20.862441557507353,20.439310328684332,20.594114100715746,3333700,Equity
2010-03-19,20.284509658813477,20.552837156641072,20.17098595669182,20.284509658813473,4076800,Equity
2010-03-22,20.459957122802734,20.51671701274281,20.09874690730444,20.170988556716637,2609300,Equity
2010-03-23,20.403182983398438,20.444463057456513,20.13485561249449,20.382541962151336,2193000,Equity
2010-03-24,20.31546401977539,20.485749529227665,20.15033975096888,20.18130128953381,4154300,Equity
2010-03-25,20.382549285888672,20.738598172371997,20.35674898427745,20.418670101831758,4088900,Equity
2010-03-26,20.305139541625977,20.5579871361041,20.165817566382714,20.47542501782401,2853700,Equity
2010-03-29,20.31031036376953,20.413513552420465,20.18130687006514,20.403193036711663,2162900,Equity
2010-03-30,20.377391815185547,20.516713849895638,20.181305962411436,20.32062996555854,2619600,Equity
2010-03-31,20.201948165893555,20.42899360914759,20.124545281283,20.196786923753052,2559400,Equity
2010-04-01,20.19162940979004,20.367074257552147,20.041984869667615,20.367074257552147,2455000,Equity
2010-04-05,20.75923728942871,20.774717075282627,20.232902917592302,20.258703216827715,3486200,Equity
2010-04-06,21.44552993774414,21.46616898959522,20.619906842183685,20.676668663755244,3894800,Equity
2010-04-07,20.96564483642578,21.471338210835032,20.877921451812455,21.368135039469788,3551700,Equity
2010-04-08,20.929523468017578,20.960483040702368,20.73343764445479,20.8108405130402,3425600,Equity
2010-04-09,21.646787643432617,21.651946917308273,20.996608902617233,21.006929418805736,3562500,Equity
2010-04-12,21.65711212158203,21.75515409065287,21.52294735502452,21.626150567352404,2788600,Equity
2010-04-13,22.204072952270508,22.276314568566413,21.62097878163275,21.65193834951019,3347100,Equity
2010-04-14,22.235034942626953,22.38467941854504,22.08539046670887,22.38467941854504,2726700,Equity
2010-04-15,21.69322967529297,22.276324095297902,21.636467818660908,22.178282141029868,3183500,Equity
2010-04-16,21.213335037231445,21.760308596347244,21.135932152840248,21.543583669551275,4141400,Equity
2010-04-19,21.23397445678711,21.42489906377014,20.919205637867776,21.037888608070038,2764300,Equity
2010-04-20,21.6777400970459,21.6777400970459,21.15656699570286,21.34233228915156,1986600,Equity
2010-04-21,22.157623291015625,22.46207139396812,21.59516838788087,21.657091437198297,3602600,Equity
2010-04-22,22.57560157775879,22.627202165419167,21.80158095223563,21.930584389822823,3168900,Equity
2010-04-23,23.01421546936035,23.040017734980328,22.425960032456427,22.627205106298664,3670100,Equity
2010-04-26,23.354793548583984,23.566359216864296,23.14838912279971,23.28771314363366,3190400,Equity
2010-04-27,22.5497989654541,23.416702134383637,22.53947845529589,23.18965484777502,3517000,Equity
