Price,Close,High,Low,Open,Volume,Asset Class
Ticker,EQT,EQT,EQT,EQT,EQT,Equity
Date,,,,,,Equity
2010-01-04,21.33805274963379,21.557197653079314,21.195132668452942,21.195132668452942,1422205,Equity
2010-01-05,21.485734939575195,21.49526450210835,21.25706216156388,21.37616249722738,1400345,Equity
2010-01-06,21.571483612060547,21.67629208813819,21.399978226036346,21.438091461384587,927869,Equity
2010-01-07,21.2808780670166,21.500022912294188,21.190361427581568,21.49526063571042,1297841,Equity
2010-01-08,21.0998477935791,21.280879414696408,20.995039310103916,21.190362769529116,1314190,Equity
2010-01-11,21.080791473388672,21.5000254298301,21.004568331648315,21.214185309869027,1464456,Equity
2010-01-12,20.804481506347656,20.980749209989355,20.6853811652219,20.980749209989355,965160,Equity
2010-01-13,20.956926345825195,20.97121818431979,20.59486142964367,20.89975899184683,884148,Equity
2010-01-14,21.15224266052246,21.18559193899344,20.799705783612065,20.918806057308597,1035150,Equity
2010-01-15,20.79970359802246,21.118892832138734,20.580558850373464,21.06648778245758,1482092,Equity
2010-01-19,21.104610443115234,21.109374388925193,20.752073445526804,20.756837391336763,1330172,Equity
2010-01-20,20.81876564025879,20.92833804707023,20.68537350788332,20.894990431280597,1658260,Equity
2010-01-21,20.613920211791992,21.071265786991123,20.51387565856499,20.79018958395803,1751947,Equity
2010-01-22,20.085111618041992,20.523401358971302,20.066055832648086,20.456706110092625,1374995,Equity
2010-01-25,20.432880401611328,20.571036474523044,20.15180264161603,20.266138989752772,2009678,Equity
2010-01-26,20.342365264892578,20.675848140345327,20.194681279159575,20.313781590728215,1505605,Equity
2010-01-27,20.42335319519043,20.461466428437785,20.00888325949278,20.347130067129854,2560043,Equity
2010-01-28,21.14272117614746,21.80968357855295,20.704431502040016,21.80968357855295,6358408,Equity
2010-01-29,20.971216201782227,21.33328275295268,20.72825163190852,21.33328275295268,3993638,Equity
2010-02-01,21.347578048706055,21.500026005485875,21.17607263676352,21.190364476222495,2299006,Equity
2010-02-02,22.009777069091797,22.057418204132397,21.295175066439782,21.733463159665156,2906134,Equity
2010-02-03,21.871618270874023,22.0621794492679,21.814450918886205,21.928785622861845,1696286,Equity
2010-02-04,20.599624633789062,21.633417606499158,20.580568849816018,21.633417606499158,4337157,Equity
2010-02-05,20.432880401611328,20.642497318064837,19.975533339847484,20.561508584613055,2763399,Equity
2010-02-08,20.185152053833008,20.56627436103984,20.175624163074538,20.466229838858897,1569717,Equity
2010-02-09,20.494813919067383,20.699666912885938,20.261377252404483,20.49957786454144,1408795,Equity
2010-02-10,20.308063507080078,20.557065403815045,20.011175597713123,20.557065403815045,1452149,Equity
2010-02-11,20.499601364135742,20.50438979695632,20.020751370889638,20.23623252561273,1675528,Equity
2010-02-12,20.590578079223633,20.614520237296038,20.140458796275848,20.260171264434515,1607742,Equity
2010-02-16,21.184356689453125,21.29927906460143,20.78212166524654,20.873103556702493,2496299,Equity
2010-02-17,21.17957305908203,21.3375947288502,21.150842456505053,21.217882206982065,3945509,Equity
