Price,Close,High,Low,Open,Volume,Asset Class
Ticker,ES,ES,ES,ES,ES,Equity
Date,,,,,,Equity
2010-01-04,15.384533882141113,15.521842213051357,15.312894109371323,15.312894109371323,1206800,Equity
2010-01-05,15.330810546875,15.468118933401087,15.22335141353249,15.468118933401087,2014200,Equity
2010-01-06,15.527812004089355,15.605420712713343,15.372593448165839,15.38453359985431,1550300,Equity
2010-01-07,15.503942489624023,15.617371732246774,15.40842348699739,15.545733049614965,881300,Equity
2010-01-08,15.54572868347168,15.665126833882871,15.384539984806759,15.44423962935036,969700,Equity
2010-01-11,15.647217750549316,15.677068144356104,15.354690723299344,15.354690723299344,1441900,Equity
2010-01-12,15.611392974853516,15.760641475834287,15.533784255360821,15.61736305153383,1083400,Equity
2010-01-13,15.754671096801758,15.826310876914976,15.593483584229448,15.683032455364213,1077900,Equity
2010-01-14,15.754671096801758,15.80243057065201,15.683032455364213,15.712881699517244,603000,Equity
2010-01-15,15.491995811462402,15.862131479033843,15.426326102609892,15.814372001325406,2549000,Equity
2010-01-19,15.766609191894531,15.784519419253906,15.480052386197691,15.480052386197691,1204800,Equity
2010-01-20,15.689007759094238,15.736767248856696,15.557668308240435,15.653187287765352,1347500,Equity
2010-01-21,15.497969627380371,15.891986865825414,15.420360878682427,15.748707248931147,1639600,Equity
2010-01-22,15.199474334716797,15.689010617310544,15.19350539375062,15.527821882993441,1178300,Equity
2010-01-25,15.247227668762207,15.342746619937206,15.115888256889798,15.294987144349706,1227500,Equity
2010-01-26,15.199474334716797,15.2830543110347,15.13380573600248,15.139775815644919,887200,Equity
2010-01-27,15.259166717529297,15.283047024713921,14.98455001696043,15.199467088243455,1787800,Equity
2010-01-28,15.199474334716797,15.33081380949796,15.103955337790277,15.28902439067714,1336300,Equity
2010-01-29,15.115888595581055,15.330806809878181,15.092009426590119,15.289017410137237,1910800,Equity
2010-02-01,15.300949096679688,15.3069191707369,14.966632920202063,15.20543018911465,1397300,Equity
2010-02-02,15.51588249206543,15.521852572003514,15.133806485438688,15.265144828047552,1349600,Equity
2010-02-03,15.486026763916016,15.521846089909648,15.360657414924539,15.378567647259276,1407500,Equity
2010-02-04,15.056190490722656,15.432297403853259,15.044251474355287,15.390507999877828,1843500,Equity
2010-02-05,15.008432388305664,15.097982420682484,14.775605036948242,15.074102108401743,1390500,Equity
2010-02-08,14.793511390686035,14.996489437125502,14.781571237677674,14.984549284117142,975600,Equity
2010-02-09,14.948732376098633,15.06813050942295,14.841273259033654,14.906941833825483,926500,Equity
2010-02-10,14.918882369995117,15.008431256945634,14.733814518473935,14.948732758095874,1044200,Equity
2010-02-11,15.056190490722656,15.056190490722656,14.787543834305225,14.924852201274746,1050600,Equity
2010-02-12,15.002460479736328,15.050219959794559,14.86515211690339,14.990521463728637,1187300,Equity
2010-02-16,15.396479606628418,15.396479606628416,15.109921550508401,15.127831784852143,957800,Equity
2010-02-17,15.432296752929688,15.539755866434453,15.390507350716904,15.474086155142471,1177000,Equity
2010-02-18,15.605423927307129,15.67706371351965,15.420356092715464,15.420356092715464,1946700,Equity
2010-02-19,15.92182445526123,15.951673689348134,15.575568101946816,15.605417336033717,1316300,Equity
2010-02-22,15.927799224853516,16.01734809218585,15.891979905655706,15.969588620363563,648300,Equity
2010-02-23,15.718849182128906,15.915857121585042,15.688999942901654,15.897946894843397,1257100,Equity
2010-02-24,15.67706298828125,15.868100891109314,15.527814484362361,15.772581939695282,1582800,Equity
2010-02-25,15.415417671203613,15.439533073137286,15.162211700328335,15.162211700328335,1918900,Equity
2010-02-26,15.43350887298584,15.542025914613754,15.30690527445794,15.481738541499801,1619000,Equity
2010-03-01,15.740967750549316,15.765082001145904,15.505847195390485,15.505847195390485,1071000,Equity
2010-03-02,15.813308715820312,15.90373915106508,15.77713677169948,15.813308715820312,1153100,Equity
2010-03-03,15.771111488342285,15.909771597059205,15.753024937250046,15.813312291005206,1116000,Equity
2010-03-04,15.831401824951172,15.83743067645117,15.722884797722916,15.771114459837047,922100,Equity
2010-03-05,15.982118606567383,15.988147457668946,15.843458480888756,15.976089755465821,970100,Equity
2010-03-08,16.02431297302246,16.12680110077984,16.0001987281953,16.060484915205855,831000,Equity
2010-03-09,15.970059394836426,16.04240445133118,15.897715488227334,16.00623134814097,992900,Equity
2010-03-10,16.11474609375,16.11474609375,15.879626705477229,15.964028301290941,1188800,Equity
2010-03-11,16.078571319580078,16.156944051934484,15.891681611746264,15.891681611746264,1051300,Equity
2010-03-12,16.16297721862793,16.253407672391553,16.072546764864303,16.229293421334535,976300,Equity
2010-03-15,16.277524948120117,16.277524948120117,16.120778273596375,16.132835975456448,673000,Equity
2010-03-16,16.42824363708496,16.42824363708496,16.162979931619052,16.283554656799684,1094900,Equity
2010-03-17,16.373985290527344,16.44633035634095,16.289583671982978,16.44633035634095,1301900,Equity
2010-03-18,16.3800106048584,16.440297955037437,16.3136944046729,16.373981754851936,1166600,Equity
2010-03-19,16.373985290527344,16.56690393284922,16.307669076022023,16.373985290527344,1317600,Equity
