Price,Close,High,Low,Open,Volume,Asset Class
Ticker,F,F,F,F,F,Equity
Date,,,,,,Equity
2010-01-04,5.499459266662598,5.499459266662598,5.3764171317661456,5.44061309477962,60855800,Equity
2010-01-05,5.863235950469971,6.0130265065616335,5.563654328102564,5.590402769236381,215620200,Equity
2010-01-06,6.082573413848877,6.130720515069935,5.954181484048837,5.9969787939821835,200070600,Equity
2010-01-07,6.23771333694458,6.2537621994581345,6.055824527843834,6.130720069880653,130201700,Equity
2010-01-08,6.253762245178223,6.280510689685793,6.130720114701204,6.243063173485682,130463000,Equity
2010-01-11,6.478447437286377,6.494496807808716,6.30190844301321,6.366104394550355,170626200,Equity
2010-01-12,6.350058078765869,6.435652715114319,6.269813234735266,6.40890426370936,162995900,Equity
2010-01-13,6.2484130859375,6.382154800892093,6.136070024968276,6.3714552188073315,154527100,Equity
2010-01-14,6.291210174560547,6.3447065525667,6.157468464268957,6.2323634955144,116531200,Equity
2010-01-15,6.2056145668029785,6.291209166038762,6.178866126995782,6.280509586042261,96149800,Equity
2010-01-19,6.285861015319824,6.328658326098757,6.13072063620015,6.157469082983029,65934000,Equity
2010-01-20,6.157468318939209,6.253762001151198,6.15211852820962,6.248412720605733,71649500,Equity
2010-01-21,5.980929374694824,6.216314557461732,5.88998497198885,6.168167460713377,121451400,Equity
2010-01-22,5.6278510093688965,5.9488307848828015,5.569004334553273,5.889984620251277,161530100,Equity
2010-01-25,5.900684833526611,5.938132863892163,5.675998692070094,5.7401946596027855,121621500,Equity
2010-01-26,5.98628044128418,6.130721774622735,5.922084463195137,5.975581366694813,108250500,Equity
2010-01-27,6.178868770599365,6.216316296240777,6.002329706598035,6.189567844989366,105091600,Equity
2010-01-28,6.103972911834717,6.392855048874381,6.0290778641997,6.366106598925769,203320000,Equity
2010-01-29,5.7990403175354,6.210964497041101,5.72414478026886,6.205615216666719,159741200,Equity
2010-02-01,5.948831081390381,5.980929315633694,5.847187608290787,5.959530662866194,82748200,Equity
2010-02-02,6.093271732330322,6.16281747409028,5.986277969509421,6.023725990570365,119714900,Equity
2010-02-03,6.227014541625977,6.237713613715022,6.109321687541496,6.1467692051294005,90125500,Equity
2010-02-04,5.916734218597412,6.1681682976693715,5.884635979681737,6.146769641786988,129792200,Equity
