Price,Close,High,Low,Open,Volume,Asset Class
Ticker,FANG,FANG,FANG,FANG,FANG,Equity
Date,,,,,,Equity
2012-10-12,13.81921100616455,14.435153524662123,13.81921100616455,14.071904909289358,6467100,Equity
2012-10-15,14.016627311706543,14.079800783005288,13.81921002562617,13.858692880372498,633100,Equity
2012-10-16,14.048216819763184,14.17456378052205,13.621794697571072,13.874488619088806,180300,Equity
2012-10-17,13.977144241333008,14.269320976766869,13.819209812435439,13.977144241333008,121000,Equity
2012-10-18,13.977144241333008,14.11138805404364,13.835003556560062,13.898177026884223,146100,Equity
2012-10-19,13.74814224243164,14.056112784093951,13.74814224243164,13.992939301030537,298100,Equity
2012-10-22,13.448063850402832,13.827104615634283,13.369096647769418,13.81920774475353,359800,Equity
2012-10-23,13.527030944824219,13.661274751322324,13.226957351214828,13.305924562009174,166100,Equity
2012-10-24,13.73234748840332,13.795520966835484,13.361203490886176,13.361203490886176,158200,Equity
2012-10-25,13.448063850402832,14.198248509984984,12.832121477271135,14.198248509984984,206900,Equity
2012-10-26,13.534929275512695,13.827107535094717,13.108508701136248,13.827107535094717,199500,Equity
2012-10-31,13.448063850402832,13.448063850402832,13.029538730767614,13.029538730767614,36400,Equity
2012-11-01,13.606002807617188,13.803420149014448,13.037441406616002,13.503346452807518,203000,Equity
2012-11-02,13.424375534057617,13.605999076860076,13.076920686741419,13.41647866182607,72100,Equity
2012-11-05,13.195367813110352,13.424372538196058,13.029538051778527,13.258542776864232,33300,Equity
2012-11-06,13.432271957397461,13.803415902830706,12.705776304291932,13.045334268028931,370600,Equity
2012-11-07,13.471755981445312,13.74024362697322,13.226958953878498,13.226958953878498,155800,Equity
2012-11-08,13.226957321166992,13.637585611425344,12.863710260982174,12.863710260982174,141600,Equity
2012-11-09,13.069024085998535,13.376996084729011,12.89529741181872,12.89529741181872,209600,Equity
2012-11-12,13.029540061950684,13.069022914214159,12.918986870673534,12.997952575200486,12800,Equity
2012-11-13,12.666293144226074,13.234854356573713,12.611015794876918,13.045333952457833,47600,Equity
2012-11-14,12.674187660217285,13.005848721730827,12.358320341198242,12.611014949500568,123400,Equity
2012-11-15,13.187475204467773,13.629689499931702,12.405702185655768,12.934779815171176,367000,Equity
2012-11-16,13.28223705291748,13.969249989457008,12.847919551246546,13.353307408634487,104600,Equity
2012-11-19,13.519134521484375,13.621790833162596,13.0295390578077,13.305923520874815,77200,Equity
2012-11-20,13.527030944824219,13.653379385799733,13.29013081861545,13.53492781652108,251400,Equity
2012-11-21,13.582307815551758,13.803414178324903,13.30592335591119,13.51913435387741,33100,Equity
2012-11-23,13.677068710327148,13.858692243695344,13.4717545614949,13.621792113751983,94000,Equity
2012-11-26,13.629691123962402,13.756038080578255,13.471756675105318,13.6612771100291,77400,Equity
2012-11-27,13.606002807617188,13.684970045411049,13.36910260041039,13.479655829616924,55800,Equity
2012-11-28,13.62179183959961,13.811312240974868,13.408580823237097,13.779726260499455,94000,Equity
2012-11-29,14.3403959274292,14.490433532478933,13.582314039930216,13.787626754830072,164400,Equity
2012-11-30,14.214044570922852,14.593085397998948,14.032421029554017,14.561499415496453,44200,Equity
2012-12-03,14.293011665344238,14.608879018564826,13.732345795475144,14.221941322597814,47600,Equity
2012-12-04,14.079800605773926,14.395667958291629,13.748139509086752,14.395667958291629,30100,Equity
2012-12-05,14.198247909545898,14.293008849933411,13.882380618544277,13.882380618544277,33000,Equity
2012-12-06,13.913971900939941,14.040318851848692,13.677070238355187,14.024525106441482,41900,Equity
2012-12-07,14.016627311706543,14.095594527373565,13.89817724129319,13.961350712591937,42500,Equity
2012-12-10,13.913971900939941,14.150872057350233,13.708657729169605,14.127181439239418,72300,Equity
2012-12-11,13.85079574584961,14.087695856428162,13.582308150567691,13.748137926737844,72200,Equity
2012-12-12,13.92976188659668,14.040316580386992,13.795518084702472,13.795518084702472,58000,Equity
2012-12-13,14.119285583496094,14.198252810045398,13.653382109821798,13.748141576741306,135900,Equity
2012-12-14,13.874483108520508,13.937656563809158,13.621789287365905,13.763929938308864,44700,Equity
2012-12-17,14.198247909545898,14.608876140935035,13.819207160343952,13.9455540767446,107600,Equity
2012-12-18,14.845782279968262,15.201134068453934,13.977147252424912,14.158770830462181,142600,Equity
2012-12-19,15.145851135253906,15.706515382828893,14.31669781033054,14.845776082212447,192600,Equity
2012-12-20,15.019506454467773,15.019506454467773,14.56149844247858,14.96422985915129,200500,Equity
2012-12-21,14.987923622131348,15.145858091657226,13.961354088737314,14.703643685629384,1936500,Equity
2012-12-24,14.71943473815918,15.359067932492739,14.221943759852127,15.043199018966465,159000,Equity
2012-12-26,14.72732925415039,15.00371375615657,14.42725564174398,14.80629646989135,81300,Equity
2012-12-27,14.64046573638916,15.390650472531107,14.522014167263457,14.664154845274888,162100,Equity
2012-12-28,14.829989433288574,14.940542649116173,14.458843912425174,14.537811140662575,66400,Equity
2012-12-31,15.098474502563477,15.177440211012321,14.664155575223111,14.798399388230228,125600,Equity
2013-01-02,15.193232536315918,15.73020773819769,14.687844819803287,15.366959187323584,189700,Equity
2013-01-03,15.11426830291748,15.366962210893293,14.727330568057702,15.193235525703546,89100,Equity
2013-01-04,15.832870483398438,16.180325432697565,14.98002761233681,15.201135581195311,173300,Equity
2013-01-07,16.40142822265625,16.772572172236664,15.509101260608006,15.706518543482035,210300,Equity
2013-01-08,16.267179489135742,16.66201393544402,16.093451368808815,16.33824980996514,229400,Equity
2013-01-09,16.164522171020508,16.559356629087024,16.109245587879023,16.354042530151563,171800,Equity
2013-01-10,17.08054542541504,17.36482684089657,16.061872863563867,16.21980731798129,235200,Equity
2013-01-11,17.112131118774414,17.19899521018438,16.22770097818269,17.056854517395134,166300,Equity
2013-01-14,17.21479034423828,17.743868841838225,17.120030870558256,17.120030870558256,130400,Equity
2013-01-15,17.151615142822266,18.08342507572332,16.717297668552906,17.112132283770332,59300,Equity
2013-01-16,16.804157257080078,16.993677640792463,15.84076009049114,16.646222850899363,239500,Equity
2013-01-17,16.677810668945312,17.222681218226143,16.393529334590685,16.87522792754177,129800,Equity
2013-01-18,16.219802856445312,17.20688915960267,16.03817783197199,16.717293690519988,119400,Equity
2013-01-22,17.206892013549805,17.285857725960366,16.267185275354816,16.267185275354816,160100,Equity
2013-01-23,16.922609329223633,17.167406332476308,16.543568516540596,17.167406332476308,42700,Equity
2013-01-24,16.922609329223633,17.838625379628123,16.733088922882114,16.772571776054566,114500,Equity
2013-01-25,17.372722625732422,17.933387042053667,17.017370878645373,17.017370878645373,71200,Equity
2013-01-28,17.088441848754883,17.570140566486085,16.851541679541743,17.530657707008743,91000,Equity
2013-01-29,17.47537612915039,17.49906674384289,17.080541587987554,17.120025945808386,113700,Equity
2013-01-30,17.90180015563965,18.06762995848239,17.404309240937007,17.404309240937007,340500,Equity
2013-01-31,17.704381942749023,17.791246028965453,17.017369137401772,17.791246028965453,260400,Equity
2013-02-01,17.925491333007812,18.122908631802282,17.657003686153374,17.814936621484275,93600,Equity
2013-02-04,17.799142837524414,17.933385143126575,17.25427071841109,17.886005417256733,80100,Equity
2013-02-05,17.87021255493164,17.886006299725604,17.499068589319926,17.830729699121136,38700,Equity
2013-02-06,17.87021255493164,18.028146990522465,17.53855144513043,17.759659353722704,136100,Equity
2013-02-07,17.704381942749023,17.91759296918517,17.372720848128683,17.420100574167492,61300,Equity
2013-02-08,17.412199020385742,17.96496786485072,17.404303656647436,17.680686572705998,96400,Equity
2013-02-11,17.025264739990234,17.475375869233336,16.819950600898355,17.475375869233336,59100,Equity
2013-02-12,17.033157348632812,17.183194856222773,16.62252917321494,16.993674507454642,154700,Equity
2013-02-13,17.025264739990234,17.38061642422122,16.764674006945587,17.01736786854352,321700,Equity
2013-02-14,17.372722625732422,18.107115232262665,17.017370878645373,17.017370878645373,379500,Equity
2013-02-15,17.60962677001953,17.886011357369803,17.13582634161887,17.42800317205429,146500,Equity
2013-02-19,18.02025032043457,18.02025032043457,17.554345387002876,17.625415733199198,102000,Equity
2013-02-20,16.804157257080078,18.383495294190737,16.748879160594942,18.012349891518294,96200,Equity
2013-02-21,16.36983871459961,16.812054458119075,16.227698047480793,16.812054458119075,76900,Equity
2013-02-22,16.567258834838867,17.870212664868482,15.975006956991367,17.57013904280916,310600,Equity
2013-02-25,15.588066101074219,16.646222696625504,15.453822308916992,16.583049235973522,167600,Equity
2013-02-26,15.832870483398438,16.204016056345736,15.556487405043828,15.667040636385673,119300,Equity
2013-02-27,16.551462173461914,16.97788417333723,15.674930572897342,15.864450959672766,158500,Equity
2013-02-28,17.933385848999023,18.40718764486964,15.951317588539643,16.567258567614495,205000,Equity
2013-03-01,17.641206741333008,18.01235065353261,17.301648808001325,17.767553669153052,46000,Equity
2013-03-04,17.680686950683594,18.059729183704363,17.238472769362318,17.664894716695446,39000,Equity
2013-03-05,18.715158462524414,18.85729763678146,17.68069084657379,17.696484590216006,108700,Equity
2013-03-06,18.596712112426758,18.97575453538495,18.462468266127434,18.817820066971144,13800,Equity
2013-03-07,19.354793548583984,19.654867201647686,17.791248790999003,18.557227423268515,129700,Equity
2013-03-08,19.662761688232422,19.710141415875803,18.865195659725956,19.560105360642694,127200,Equity
2013-03-11,19.33899688720703,19.733831453722914,19.015232663157953,19.678554855398584,218100,Equity
2013-03-12,19.686452865600586,19.733832594592833,19.188960439571467,19.362688622833762,107300,Equity
2013-03-13,20.333980560302734,20.839368333029608,19.481137940738954,19.639072372803287,308800,Equity
2013-03-14,19.631175994873047,20.420845162728927,19.125786703246686,20.420845162728927,153000,Equity
2013-03-15,19.070510864257812,19.710142494042383,18.557226185883174,19.678556509277133,186000,Equity
2013-03-18,18.94416046142578,19.386374710793852,18.65987911945921,18.84940101821972,38800,Equity
2013-03-19,18.762540817260742,19.852283676362028,18.61250324397722,19.13368480783103,87200,Equity
2013-03-20,18.95206069946289,19.18896085573639,18.675676179694165,18.983648190259068,81000,Equity
2013-03-21,19.196853637695312,19.3232005616073,18.865192585882813,18.888883198931616,133000,Equity
2013-03-22,19.38637924194336,19.441657353936858,19.14158219924176,19.260032284021595,48100,Equity
2013-03-25,19.899660110473633,20.00231642140941,19.44165213442527,19.496928725404082,197000,Equity
2013-03-26,20.25501251220703,20.428740681576024,19.804901357340658,19.923351423435864,191400,Equity
2013-03-27,20.61825942993164,20.744606357759153,20.08918110483862,20.08918110483862,83600,Equity
2013-03-28,21.194717407226562,21.486894112058554,20.562982770151297,20.72091567633302,157500,Equity
2013-04-01,21.636938095092773,22.087049346291213,21.265794073583013,21.265794073583013,216600,Equity
2013-04-02,21.3526554107666,22.0238730107321,21.123650624952916,21.692211893943806,493300,Equity
2013-04-03,19.67855453491211,21.360549098159968,19.331099700307995,21.360549098159968,526600,Equity
2013-04-04,19.781208038330078,19.95493618395719,18.817812391260315,19.63906888214531,135100,Equity
2013-04-05,19.883867263793945,20.03390480761697,19.402168652989296,19.496929603344423,56400,Equity
2013-04-08,20.570877075195312,20.807778681521636,19.757518960145017,19.875969010221127,144200,Equity
2013-04-09,21.131542205810547,21.62903300332542,20.641946772707445,20.768293689732623,285300,Equity
2013-04-10,20.594572067260742,21.51058819170195,20.468225119487776,21.12365047587544,230100,Equity
2013-04-11,20.92623519897461,21.084169652002736,19.82069854630143,20.64195378599381,165600,Equity
2013-04-12,21.028886795043945,21.36054786664125,20.71301946642133,20.92623047805693,275800,Equity
2013-04-15,20.37346649169922,20.815682365785808,19.749628553809483,20.815682365785808,378800,Equity
2013-04-16,21.115751266479492,21.13944188138048,20.420843130633937,20.5866729164181,166300,Equity
2013-04-17,20.37346649169922,20.957823074872596,20.065495959460907,20.934132454633268,160000,Equity
2013-04-18,20.934131622314453,21.060478579551603,20.10497802099931,20.460329779587877,74100,Equity
2013-04-19,20.70512580871582,21.178927628278828,20.602469475794823,21.123651025461793,126900,Equity
2013-04-22,21.30527114868164,21.58955249587825,20.69722560325521,20.80778029726179,149300,Equity
2013-04-23,21.708005905151367,21.86594034600523,21.28948069121074,21.360551038977537,107100,Equity
2013-04-24,21.40003776550293,21.810666152129464,21.352658030484367,21.660628567366956,77900,Equity
