Price,Close,High,Low,Open,Volume,Asset Class
Ticker,FIS,FIS,FIS,FIS,FIS,Equity
Date,,,,,,Equity
2010-01-04,18.605884552001953,18.715238561847535,18.30906588677681,18.45747447447106,4623700,Equity
2010-01-05,19.402616500854492,19.433859874901945,18.691812235688907,18.73867804167864,4868800,Equity
2010-01-06,19.29326629638672,19.47291982996355,19.168289795651756,19.47291982996355,2481200,Equity
2010-01-07,19.18390464782715,19.28544895357099,19.066739401830887,19.28544895357099,3384900,Equity
2010-01-08,18.78554344177246,18.980819367320354,18.63713481103876,18.746488852597714,2460000,Equity
2010-01-11,18.691802978515625,18.94175580645377,18.54339292823871,18.902701235777077,3010100,Equity
2010-01-12,18.629314422607422,18.644936846520043,18.47309316315389,18.590258362825868,2038700,Equity
2010-01-13,18.94176483154297,19.019875499949737,18.37937070072098,18.37937070072098,3467000,Equity
2010-01-14,19.019878387451172,19.058932982665084,18.816791214696742,18.93395649017579,1171000,Equity
2010-01-15,18.738676071166992,19.058928443121278,18.668376624656347,19.012062642059835,2062000,Equity
2010-01-19,19.066740036010742,19.08236246661971,18.637133623122974,18.65275456389496,1818400,Equity
2010-01-20,18.94176483154297,19.097986168356506,18.68400066868659,18.910519968245428,2168400,Equity
2010-01-21,19.012065887451172,19.48072844757796,18.824601161367898,18.941766428940294,4964700,Equity
2010-01-22,18.715246200561523,19.12142053125082,18.707436473673532,18.92614458263142,3800400,Equity
2010-01-25,18.80116081237793,19.05111369142162,18.707429227654885,18.863649032138852,3397900,Equity
2010-01-26,18.75429344177246,18.93394687223702,18.70742765335487,18.762104654814816,2174000,Equity
2010-01-27,18.918333053588867,18.926144270185162,18.644947921904745,18.754301974578393,2454900,Equity
2010-01-28,18.55121612548828,18.918334392472293,18.457483009536336,18.910523175323185,3817900,Equity
2010-01-29,18.40279769897461,18.715238795169057,18.371554334273497,18.61369599759461,2714000,Equity
2010-02-01,18.559017181396484,18.629316607411496,18.340307690479055,18.629316607411496,2323400,Equity
2010-02-02,18.707427978515625,18.707427978515625,18.402796623914995,18.582451547338753,2325200,Equity
2010-02-03,18.738676071166992,18.754298501466458,18.449668559811634,18.61369960844517,2518200,Equity
2010-02-04,18.387182235717773,18.863654490579414,18.371559803797822,18.75430044681397,4253000,Equity
2010-02-05,17.996627807617188,18.44966783976188,17.762295831781515,18.44966783976188,4777000,Equity
2010-02-08,17.90289306640625,18.059114369206686,17.809159986758637,17.965381289559073,2876500,Equity
2010-02-09,17.79353904724121,18.309067260679118,17.762294190748364,18.098168948862675,4555400,Equity
2010-02-10,17.402986526489258,17.793538276716998,17.3951753127043,17.754482207792208,5301300,Equity
2010-02-11,17.551395416259766,17.59045148584627,17.379553179589315,17.402986821341216,3877500,Equity
2010-02-12,17.46546745300293,17.574821420650547,17.285812590649755,17.41860018986589,4152000,Equity
2010-02-16,17.5904541015625,17.68418570283464,17.46547763997502,17.55920924124716,1954000,Equity
2010-02-17,17.66075325012207,17.66075325012207,17.43423248616008,17.66075325012207,2880100,Equity
2010-02-18,17.66075325012207,17.79354092455295,17.504531930849186,17.621697175385393,3703000,Equity
2010-02-19,17.715431213378906,17.801353092562834,17.512344083385887,17.559209885742124,2890100,Equity
2010-02-22,17.691997528076172,17.840407640018533,17.652942941172018,17.738863330328552,1834700,Equity
2010-02-23,17.652938842773438,17.816969857492964,17.535773619425683,17.691993420610473,2652000,Equity
2010-02-24,17.87164878845215,17.902893645958397,17.53577550928082,17.715428970431326,3328300,Equity
2010-02-25,17.809158325195312,17.832591965380086,17.590450309483888,17.660749740201595,4253500,Equity
2010-02-26,17.6060733795166,17.793538038334017,17.57482852479536,17.793538038334017,4975700,Equity
2010-03-01,18.020051956176758,18.020051956176758,17.606068182185524,17.621689115098153,1969800,Equity
2010-03-02,17.949758529663086,18.121602257535844,17.910703949602947,17.965380957621832,1784200,Equity
2010-03-03,17.91070556640625,18.105981464007996,17.856028553451658,17.949760149991853,1811300,Equity
2010-03-04,17.988813400268555,18.004434337349142,17.840403324228227,17.957568546434114,1463600,Equity
2010-03-05,18.340307235717773,18.35592966107519,17.94975554080128,18.051299815788,1796200,Equity
2010-03-08,18.277830123901367,18.3637520257094,18.21534187436027,18.31688621101292,1490700,Equity
2010-03-09,18.07474136352539,18.230962718667495,18.02787555291766,18.160663257837275,4013400,Equity
2010-03-10,18.105985641479492,18.105985641479492,17.926332131796492,18.043497399422918,2785700,Equity
2010-03-11,18.121606826782227,18.199716006597228,18.035684941181195,18.129416552894043,2348800,Equity
2010-03-12,18.15291976928711,18.160747856755233,18.019845268439017,18.129435506882732,1558200,Equity
2010-03-15,18.278162002563477,18.30947285222036,18.035497318767597,18.12160327511503,1727700,Equity
2010-03-16,18.411231994628906,18.41906007840269,18.223362463220976,18.26250138903559,1851600,Equity
2010-03-17,18.653898239135742,18.779144604282962,18.379921255480777,18.4034055088413,2908400,Equity
2010-03-18,18.450366973876953,18.653892629297953,18.39557189223553,18.58344138345784,2086300,Equity
2010-03-19,18.497343063354492,18.591278601654302,18.37992476027078,18.497343063354492,3431900,Equity
2010-03-22,18.55995750427246,18.669549162777006,18.387744173842496,18.450367338821938,1487700,Equity
2010-03-23,18.606937408447266,18.653904437720733,18.466034827571914,18.614765495502,1074500,Equity
2010-03-24,18.466022491455078,18.591268814550894,18.44253824597938,18.591268814550894,1219900,Equity
2010-03-25,18.309478759765625,18.614768227486138,18.301650671562005,18.528660750301487,1805200,Equity
2010-03-26,18.520824432373047,18.599103786570662,18.246847439208636,18.301642539230617,2087200,Equity
2010-03-29,18.450366973876953,18.64606454719861,18.364259563838147,18.622581793954566,2057200,Equity
2010-03-30,18.340787887573242,18.49734514495144,18.246852338702407,18.458206203870613,1812500,Equity
2010-03-31,18.34861946105957,18.37210223294837,18.199888769191375,18.262511982653482,1941300,Equity
2010-04-01,18.544309616088867,18.61476088909267,18.379922814728474,18.395578984963667,2220100,Equity
2010-04-05,18.64607048034668,18.677382818707596,18.520824113011958,18.56779112749886,1165500,Equity
2010-04-06,18.70868682861328,18.771309989400663,18.520817346251143,18.57561242530836,1786000,Equity
2010-04-07,18.95136260986328,18.99833112805117,18.59127959541833,18.646074706916057,4675800,Equity
2010-04-08,19.03746223449707,19.100085406595248,18.740002540294263,18.87307696763467,3238500,Equity
2010-04-09,19.19402503967285,19.217507801101657,18.959186974003195,19.02181015957087,1685800,Equity
2010-04-12,19.405380249023438,19.499314287615665,19.295788546593005,19.295788546593005,1711600,Equity
2010-04-13,19.31144905090332,19.507146750449134,19.20185881693525,19.405384603629493,1913500,Equity
2010-04-14,19.460180282592773,19.522803488533697,19.248826402646536,19.248826402646536,3064000,Equity
2010-04-15,19.843746185302734,19.867228952690432,19.334932486819053,19.38972760146354,2334800,Equity
2010-04-16,19.718507766723633,20.000311540867113,19.671539226820137,19.757646723587712,3126700,Equity
2010-04-19,19.69501304626465,19.71849730375525,19.491487293843537,19.648046024338147,1886800,Equity
2010-04-20,20.062923431396484,20.13337470838868,19.741979388678562,19.85157109347456,2686100,Equity
