Price,Close,High,Low,Open,Volume,Asset Class
Ticker,GPC,GPC,GPC,GPC,GPC,Equity
Date,,,,,,Equity
2010-01-04,24.324323654174805,24.490184738500982,24.260529057499326,24.432770818250567,836900,Equity
2010-01-05,24.298803329467773,24.337080083556927,23.95431984320977,24.215871579032008,942800,Equity
2010-01-06,24.25415802001953,24.400881985689367,24.19674408271257,24.305191279005847,656600,Equity
2010-01-07,24.388124465942383,24.42640123752152,24.17122762735906,24.273296584720864,753300,Equity
2010-01-08,24.394500732421875,24.426396819544195,24.196741098638753,24.241396107313093,789700,Equity
2010-01-11,24.668821334838867,24.67520201555569,24.324340015147317,24.49658189175143,514500,Equity
2010-01-12,24.566740036010742,24.745362503834023,24.483810696376654,24.579498957534938,664300,Equity
2010-01-13,24.68795394897461,24.834677928175495,24.48381602717199,24.6560578549772,949400,Equity
2010-01-14,24.85380744934082,24.87294704666202,24.51570457668752,24.662428510735467,700300,Equity
2010-01-15,24.74536895751953,24.872955772521156,24.7389882783356,24.81554182744623,1082200,Equity
2010-01-19,24.9431209564209,25.032433411575923,24.63053588068284,24.77725983530701,1018600,Equity
2010-01-20,24.49019432067871,24.860195825620355,24.458298226618634,24.841056222371517,988700,Equity
2010-01-21,24.33708381652832,24.790014525240036,24.305185299803842,24.54759991252194,904600,Equity
2010-01-22,24.31157112121582,24.56674227440322,24.292433953943576,24.356226133861504,904700,Equity
2010-01-25,24.432781219482422,24.76450596286771,24.24140221501447,24.24140221501447,873600,Equity
2010-01-26,24.413644790649414,24.53485092934031,24.31157582293178,24.413644790649414,588100,Equity
2010-01-27,24.279672622680664,24.515706585180933,24.101050156301827,24.439155490170254,764200,Equity
2010-01-28,24.21588134765625,24.330709222730185,24.081916304575245,24.330709222730185,882800,Equity
2010-01-29,24.037261962890625,24.362605995694263,24.024503039356937,24.286054888007968,1033400,Equity
2010-02-01,24.286046981811523,24.311564820571704,24.062771976447582,24.145701302145593,680300,Equity
2010-02-02,24.96864128112793,24.975021959602074,24.286054695343566,24.368986480896716,1003700,Equity
2010-02-03,24.75811767578125,25.102598770701608,24.745358756189372,24.898460924261734,814500,Equity
2010-02-04,24.145709991455078,24.66881370671268,24.145709991455078,24.57312542719927,814000,Equity
2010-02-05,24.050018310546875,24.26053444251582,23.66087970175349,24.101051565699876,701500,Equity
