Price,Close,High,Low,Open,Volume,Asset Class
Ticker,GPN,GPN,GPN,GPN,GPN,Equity
Date,,,,,,Equity
2010-01-04,25.04384422302246,25.913984385886593,24.943992608415584,25.780848899744086,2533400,Equity
2010-01-05,24.991544723510742,25.091396347832838,24.806103660553102,24.96301491063223,1288600,Equity
2010-01-06,24.901195526123047,25.081880672013167,24.744286125776547,25.020066998502255,1628200,Equity
2010-01-07,24.74428939819336,24.915464631270794,24.620662034821894,24.901198819291032,2467800,Equity
2010-01-08,23.284536361694336,23.650660584900187,22.937432002668185,23.393897859976487,6437000,Equity
2010-01-11,22.737733840942383,23.284543309344414,22.53327477458925,23.26552343948956,4421000,Equity
2010-01-12,22.71396255493164,22.752000485235154,22.44293572636782,22.680678685728,2311200,Equity
2010-01-13,22.732986450195312,22.818574075818724,22.485733511042696,22.699702575101224,2179600,Equity
2010-01-14,22.338327407836914,22.78528350172671,22.324063411236263,22.614110101014603,2981600,Equity
2010-01-15,22.100576400756836,22.44292670504907,22.062538485743314,22.347829196764106,2340800,Equity
2010-01-19,22.23372459411621,22.262254407138183,22.01500146911984,22.14338290696601,2058600,Equity
2010-01-20,22.200441360473633,22.22897117431974,21.85333678760437,22.062551794805437,2188000,Equity
2010-01-21,21.810529708862305,22.357339018421367,21.758225988872507,22.238467587111494,3046800,Equity
2010-01-22,21.58706283569336,21.919901549319484,21.577552899041905,21.815295873823395,2421200,Equity
2010-01-25,21.539512634277344,21.782011478468437,21.349319347328446,21.782011478468437,2003600,Equity
2010-01-26,21.510986328125,21.67740569400374,21.349321023913493,21.45392670510796,1948000,Equity
2010-01-27,21.63936424255371,21.658384115396075,21.373093278100228,21.401621273528868,2506200,Equity
2010-01-28,21.529998779296875,22.295531290560664,21.510980723747796,22.286021355868833,2522200,Equity
2010-01-29,21.159114837646484,21.544258929244595,21.159114837646484,21.544258929244595,2063200,Equity
2010-02-01,21.39687156677246,21.39687156677246,20.9451594709291,21.254226119094366,1520200,Equity
2010-02-02,21.549013137817383,21.634600714321426,21.27798641683261,21.363573993336658,1491200,Equity
2010-02-03,21.52048683166504,21.6583781510469,21.406371253706155,21.406371253706155,1595200,Equity
2010-02-04,21.501466751098633,22.057784222335375,21.4444071536634,22.057784222335375,2590600,Equity
2010-02-05,21.458675384521484,21.658378556606237,21.28274432663603,21.47293937857484,2548200,Equity
2010-02-08,21.38735580444336,21.56804095634554,21.23520045984198,21.420639672710237,1417800,Equity
2010-02-09,21.62509536743164,21.729702830636167,21.42063631507797,21.615585433155363,1079600,Equity
2010-02-10,21.501413345336914,21.63936532431989,21.406273986913057,21.54898211723268,740400,Equity
2010-02-11,21.686939239501953,21.744022142241146,21.306383530186054,21.520446683748986,697000,Equity
2010-02-12,21.163677215576172,21.563261198936846,21.044753432607315,21.558503231423657,2655000,Equity
2010-02-16,21.211246490478516,21.320656155568837,21.08280858416389,21.277843520130627,2835400,Equity
2010-02-17,20.787878036499023,21.306385813070474,20.71652303945509,21.21124642188955,3589800,Equity
2010-02-18,20.854475021362305,20.973398806426044,20.687982448126252,20.71176684221241,2535000,Equity
2010-02-19,20.73554039001465,20.854464112872122,20.611860516680956,20.773595037720398,2136000,Equity
2010-02-22,20.464406967163086,20.806908079216512,20.445378724352757,20.773607746981885,1924400,Equity
2010-02-23,20.321691513061523,20.51672639558567,20.217038029637482,20.38828852446502,2873000,Equity
2010-02-24,20.49769401550293,20.54526278127905,20.278874789521428,20.369256170348894,1398400,Equity
2010-02-25,20.42635154724121,20.502462707820335,20.21704630930693,20.335970111126382,1431000,Equity
2010-02-26,20.364501953125,20.47391157650361,20.250334363937778,20.464397459518654,1969800,Equity
2010-03-01,20.8211727142334,20.844957103987337,20.44061703427251,20.44061703427251,2413000,Equity
2010-03-02,20.69749641418457,20.87826109007767,20.488191188952044,20.811664055441554,1795000,Equity
2010-03-03,20.369258880615234,20.668947225850193,20.359744763267674,20.659433108502633,1580200,Equity
2010-03-04,20.33595848083496,20.454882214641014,20.236062979949597,20.35498671375565,1300000,Equity
2010-03-05,20.764083862304688,20.825922895007576,20.354985943158315,20.412068825127175,1486400,Equity
2010-03-08,20.91155433654785,20.963881083325074,20.745061791922723,20.76409002977492,916800,Equity
2010-03-09,21.420555114746094,21.60607595967498,20.940103742356765,20.963888140362194,2737200,Equity
2010-03-10,21.601314544677734,21.953329719173748,21.5014190086057,21.953329719173748,2272400,Equity
2010-03-11,21.529956817626953,21.577527410639963,21.296867263077228,21.577527410639963,1322800,Equity
2010-03-12,21.501413345336914,21.629851207014273,21.3111346284892,21.56325420050727,1298600,Equity
2010-03-15,21.22551918029785,21.491909143863893,21.09708125936243,21.420554138466493,1133400,Equity
2010-03-16,21.406278610229492,21.411034762593367,21.125618440310063,21.22551397164595,781400,Equity
2010-03-17,21.9105224609375,22.029446265798928,21.439583395247613,21.439583395247613,1786800,Equity
2010-03-18,22.091285705566406,22.172154837827776,21.89149458109705,21.89149458109705,1018600,Equity
2010-03-19,21.891481399536133,22.32436372320074,21.75828739675693,21.891481399536133,1747000,Equity
2010-03-22,22.233993530273438,22.24350583700428,21.76781065660559,21.82965153815469,930000,Equity
2010-03-23,22.062734603881836,22.27679771676742,21.89148411357337,22.27679771676742,972800,Equity
2010-03-24,21.458602905273438,21.962838471282343,21.39676204381918,21.962838471282343,1634800,Equity
2010-03-25,21.62034034729004,21.7345061428944,21.401521060187843,21.61082622855091,1335400,Equity
2010-03-26,21.691688537597656,21.715474736302806,21.58227891915629,21.587036884750194,1681600,Equity
2010-03-29,21.82013511657715,21.829649236938145,21.629858153255967,21.696455181150025,1008800,Equity
2010-03-30,22.034196853637695,22.176905020496164,21.862946327554415,21.862946327554415,2114400,Equity
2010-03-31,21.667909622192383,22.200687581347342,21.577528214051295,22.03419503618412,3135000,Equity
2010-04-01,21.710721969604492,23.290029403378224,21.6488811045005,22.9475301985212,7231600,Equity
2010-04-05,21.258806228637695,21.77255763518269,21.163668692283903,21.77255763518269,4005200,Equity
2010-04-06,21.51093864440918,21.61559035990614,21.04951369570763,21.211250144711958,2748400,Equity
2010-04-07,21.03048324584961,21.472879903656903,20.921073573383612,21.425311112022325,3634800,Equity
2010-04-08,20.764083862304688,20.978145123345932,20.687972748135508,20.883007591608536,2802800,Equity
2010-04-09,20.58332633972168,20.745062739588437,20.407319668130203,20.716520381506285,1893400,Equity
2010-04-12,20.89253044128418,20.916316650859795,20.488190283360932,20.488190283360932,2554400,Equity
2010-04-13,20.716522216796875,20.873502478206625,20.616626676608607,20.844960117595882,2185200,Equity
2010-04-14,21.05426025390625,21.06853233809514,20.721275200039656,20.84971306994496,2762800,Equity
2010-04-15,21.705963134765625,21.734503673107227,21.282594879462824,21.306379266291625,3820800,Equity
2010-04-16,21.82013511657715,22.0960391631473,21.596559639308936,21.644128426481004,5495000,Equity
2010-04-19,21.810611724853516,21.82488380664462,21.387243529237654,21.753528841585528,3900000,Equity
2010-04-20,21.58228302001953,21.90099963397974,21.491901617515982,21.86770112702409,2938200,Equity
2010-04-21,21.639371871948242,21.705968898606134,21.258814323103934,21.644128024724,2796800,Equity
2010-04-22,21.529956817626953,21.601311799830178,21.31589550028243,21.501416276451724,2485400,Equity
2010-04-23,21.839162826538086,21.85343309941631,21.40152418836575,21.52996027353551,2326600,Equity
2010-04-26,21.548982620239258,21.891483592707033,21.539468502711557,21.786830114534684,2158200,Equity
2010-04-27,21.211246490478516,21.644128997850203,21.163677702050713,21.520449059158132,2835600,Equity
2010-04-28,21.13037109375,21.401518914043006,21.087560285665884,21.28735131525477,1642200,Equity
2010-04-29,21.063777923583984,21.206487901741855,20.93534003202155,21.182701695627042,2200200,Equity
2010-04-30,20.364501953125,21.244536905962494,20.345473719155084,21.016203542220318,3140800,Equity
2010-05-03,20.559539794921875,20.697489974619508,20.26936553603171,20.359746938541544,2612200,Equity
2010-05-04,20.39305877685547,20.435871430165,20.150454951190596,20.42635730558136,2260600,Equity
2010-05-05,20.454891204833984,20.516732081690016,20.12666220853591,20.12666220853591,2705200,Equity
