Price,Close,High,Low,Open,Volume,Asset Class
Ticker,GS,GS,GS,GS,GS,Equity
Date,,,,,,Equity
2010-01-04,132.64988708496094,133.5465829675488,129.91380513765228,130.32767197235867,9135000,Equity
2010-01-05,134.99514770507812,135.08711295218126,132.25907635360429,132.588626285365,11659400,Equity
2010-01-06,133.5542755126953,134.41266056402952,133.17107145059643,134.41266056402952,7381100,Equity
2010-01-07,136.16775512695312,136.9954774570219,133.31671544375914,133.60029445422603,8727400,Equity
2010-01-08,133.5926055908203,135.98379532734478,133.3166981831859,135.14075336112782,7268100,Equity
2010-01-11,131.48492431640625,134.16735169840857,130.68786532560017,134.16735169840857,7704900,Equity
2010-01-12,128.61862182617188,130.6572586249875,128.01315283651533,130.29704585758685,10360100,Equity
2010-01-13,129.5766143798828,130.03645219233115,127.31570128112482,128.76421202508578,11269500,Equity
2010-01-14,129.16281127929688,130.84124760570418,128.15115823668017,128.75661574850457,10521400,Equity
2010-01-15,126.6182632446289,128.60325703911275,126.13542249131116,128.44997778718155,10896300,Equity
2010-01-19,127.88289642333984,128.29675178248658,125.61432258528855,126.46503631274987,7705300,Equity
2010-01-20,128.5955810546875,128.89447967873886,125.93615630423174,127.07043676288093,8893900,Equity
2010-01-21,123.29204559326172,131.05576202131203,120.14977995328486,129.7451992555376,51738300,Equity
2010-01-22,118.11882781982422,122.43370971994398,116.68564823074473,121.62131890058426,30175600,Equity
2010-01-25,118.77794647216797,121.32242745754967,118.41007378921387,119.65932297012395,17877000,Equity
2010-01-26,115.63566589355469,119.94287597218143,115.49770634486347,118.72428981530068,15985900,Equity
2010-01-27,116.11087036132812,117.20682873885475,113.63537455150679,115.53606407241065,19899000,Equity
2010-01-28,117.48271942138672,118.94656203445648,114.92291858754872,118.20314507156606,16160700,Equity
2010-01-29,113.98017120361328,118.70124615156298,113.28273728516396,118.36402484178727,18502800,Equity
2010-02-01,117.36006164550781,118.98484287523287,114.3557436667435,114.82325301796075,12980800,Equity
2010-02-02,120.28005981445312,120.70924637489524,117.75857123017069,117.75857123017069,17246600,Equity
2010-02-03,120.5023422241211,122.57931331957276,120.41037699439731,121.03116568395187,16785200,Equity
2010-02-04,115.48237609863281,119.60565574748625,115.30610549603267,119.00019844579334,18895000,Equity
2010-02-05,118.14947509765625,118.37939986575998,114.09516971365699,115.58967485910148,18759200,Equity
2010-02-08,115.80426025390625,118.48668841086474,115.58966693690626,118.23377235273075,10257300,Equity
2010-02-09,116.86957550048828,117.66663477975462,114.69296760643651,117.03051465275824,14017300,Equity
2010-02-10,117.74322509765625,119.06144734891485,116.3100346684721,117.08411397202694,10555300,Equity
