Price,Close,High,Low,Open,Volume,Asset Class
Ticker,HAS,HAS,HAS,HAS,HAS,Equity
Date,,,,,,Equity
2010-01-04,19.99474334716797,20.123780768158557,19.85955994765173,19.988597368642314,1652600,Equity
2010-01-05,19.773534774780273,20.050045205180417,19.570760849820832,20.050045205180417,1646900,Equity
2010-01-06,19.755111694335938,19.79812418964511,19.47860112163038,19.79812418964511,1307500,Equity
2010-01-07,19.47244644165039,19.822691036204724,19.275817321618906,19.699799594188047,3140300,Equity
2010-01-08,19.521608352661133,19.87185420230435,19.337267629899987,19.718237519337865,2699600,Equity
2010-01-11,19.503171920776367,19.662933395253056,19.355700060952227,19.601486493992457,1082500,Equity
2010-01-12,19.19594383239746,19.472454377634655,19.07305116829397,19.447875141612467,3105500,Equity
2010-01-13,19.47244644165039,19.51545891515703,19.17135795510193,19.183646396102393,1277300,Equity
2010-01-14,19.675220489501953,19.70594335019556,19.361842388018708,19.423289281407932,1269000,Equity
2010-01-15,19.761249542236328,19.810408004761467,19.478595414730293,19.656790153374914,2017200,Equity
2010-01-19,19.86571502685547,19.927160776236832,19.65065021601052,19.773544058778334,998500,Equity
2010-01-20,19.82268714904785,19.853412347530927,19.540033137430516,19.712085341722258,1499100,Equity
2010-01-21,19.724374771118164,19.994741545792643,19.662929055421493,19.755099972970303,2252400,Equity
2010-01-22,19.226659774780273,19.82883673952009,19.18979093628454,19.662930482295245,1615100,Equity
2010-01-25,19.306543350219727,19.4294371564066,19.177504736523293,19.324977772748415,1101000,Equity
2010-01-26,19.22052001953125,19.41100438047736,19.202085595438803,19.232808463590587,1045500,Equity
2010-01-27,19.349557876586914,19.3741371092239,19.054614116957055,19.177506764135003,1042300,Equity
2010-01-28,19.380285263061523,19.49703312223477,19.183654884027725,19.39257370949909,971500,Equity
2010-01-29,18.89175033569336,19.553426395656047,18.879383473796405,19.553426395656047,2446200,Equity
2010-02-01,19.287525177001953,19.405018066822326,18.891755990795435,18.99688201501693,2397600,Equity
2010-02-02,19.763681411743164,19.794600342293915,19.21331642746495,19.336994508631143,2635000,Equity
2010-02-03,19.831703186035156,19.930645172748054,19.596716262462408,19.695658249175306,1631600,Equity
2010-02-04,19.330808639526367,19.80696649371069,19.306072553864073,19.689473625259243,2043400,Equity
2010-02-05,19.04634666442871,19.386460713835728,18.67531487159386,19.293702765627017,2782800,Equity
2010-02-08,21.464244842529297,21.761070770809756,20.734546884228788,20.80875513552099,11443600,Equity
2010-02-09,21.680683135986328,21.816726885659012,21.315834138342353,21.495164857314926,4256100,Equity
2010-02-10,21.8290958404541,22.020796968910147,21.575556855831852,21.668315999044164,3308300,Equity
2010-02-11,22.348541259765625,22.37946018702838,21.680683466831013,21.847648504805402,2432600,Equity
2010-02-12,21.98369598388672,22.26197109435887,21.9342261636713,22.212498915180113,4321800,Equity
2010-02-16,21.66213607788086,22.24960529049892,21.495170994781187,22.163031327179883,3858100,Equity
2010-02-17,21.90949058532715,21.958960406696914,21.655951558528187,21.730157470064533,1485800,Equity
2010-02-18,22.113555908203125,22.15066004089658,21.754892061352674,21.847651213604692,1821500,Equity
2010-02-19,22.138294219970703,22.25578947248484,21.87238713970451,22.026984169674925,1565200,Equity
2010-02-22,21.965139389038086,22.21249314377264,21.903299181132404,22.206310302463436,1627800,Equity
2010-02-23,21.816730499267578,21.977512719552195,21.674501525300904,21.952776630437132,1283800,Equity
2010-02-24,21.940401077270508,21.97750519824505,21.71159822866704,21.940401077270508,1461100,Equity
2010-02-25,22.07026481628418,22.101186100576175,21.42714314896334,21.767256045510116,2058100,Equity
2010-02-26,22.125919342041016,22.25578259992679,21.897116468848616,21.971322359809957,1570700,Equity
2010-03-01,22.2990665435791,22.379455264989325,21.952768501095903,22.138284382833806,1668600,Equity
2010-03-02,22.63918113708496,22.682468100872065,22.29288306782552,22.360906113480286,2394400,Equity
2010-03-03,22.466039657592773,22.67628933624701,22.447486411445485,22.626819517435212,1665100,Equity
2010-03-04,22.713388442993164,22.713388442993164,22.453666644041572,22.453666644041572,1514500,Equity
2010-03-05,23.170997619628906,23.201916545841087,22.639183596513124,22.843250396683796,1363900,Equity
2010-03-08,23.189546585083008,23.331775521062664,23.059685690357583,23.170995702682994,1398500,Equity
2010-03-09,23.300859451293945,23.455456447462847,23.12771157045292,23.12771157045292,1147600,Equity
2010-03-10,23.50493049621582,23.504930496215817,23.146266627117434,23.29467844917077,1623000,Equity
2010-03-11,23.554410934448242,23.591515082452077,23.282320925979384,23.43691800421573,897900,Equity
2010-03-12,23.62242889404297,24.005828904260756,23.344153741883407,24.005828904260756,942300,Equity
2010-03-15,23.269935607910156,23.44308345217244,23.121521484997867,23.257567567753927,1839200,Equity
2010-03-16,23.405981063842773,23.57913127988135,23.276120171035817,23.300856253178846,1767000,Equity
2010-03-17,23.585317611694336,23.647157826204605,23.356514715413788,23.486375627440882,1404400,Equity
2010-03-18,23.560579299926758,23.70899344176651,23.449269283287634,23.628602349979865,1110700,Equity
2010-03-19,23.43072509765625,23.709000218796803,23.40598900711855,23.43072509765625,1436300,Equity
2010-03-22,23.653339385986328,23.684258312083937,23.375064333182156,23.504925238169818,1408500,Equity
2010-03-23,23.640974044799805,23.807939095558517,23.436907222070126,23.73991603499425,1177600,Equity
2010-03-24,23.535850524902344,23.678079496304036,23.36888546483168,23.591505544925898,1344500,Equity
2010-03-25,23.560579299926758,23.85122238325811,23.542028416807824,23.610051466860927,1809500,Equity
2010-03-26,23.75228500366211,23.91925006092321,23.566769059693073,23.58531994640101,1676400,Equity
2010-03-29,24.2531795501709,24.259362392593072,23.845043540375936,23.845043540375936,2225300,Equity
2010-03-30,24.14804458618164,24.481974584632386,24.13567654635431,24.259354585665225,1140700,Equity
2010-03-31,23.67189598083496,24.16042315151088,23.653345092493456,24.148055106295406,1372400,Equity
2010-04-01,23.721364974975586,23.98108681271937,23.572950811291204,23.83885785029352,1591400,Equity
2010-04-05,24.197521209716797,24.246991019190464,23.678075235947755,23.678075235947755,1282300,Equity
2010-04-06,24.073848724365234,24.234628591103302,23.801758811822584,24.234628591103302,1557500,Equity
2010-04-07,23.74610137939453,24.117133255118798,23.57913632762967,24.01200842195007,1089900,Equity
2010-04-08,23.913057327270508,23.962529488193276,23.49873859487341,23.696622520639554,870100,Equity
2010-04-09,24.073848724365234,24.117135702293304,23.770837519905356,23.99345761151451,1323800,Equity
2010-04-12,24.17896270751953,24.265538983450806,24.00581487358161,24.160411827872558,1007400,Equity
2010-04-13,24.3088321685791,24.383038065136954,24.160418016500472,24.265545199006777,965800,Equity
2010-04-14,24.43869400024414,24.475798129405796,24.25317807236188,24.321201129676744,1190700,Equity
2010-04-15,24.822092056274414,24.89011510853926,24.358301091519024,24.463428270190917,1301500,Equity
2010-04-16,24.642751693725586,25.063255566090515,24.59946473853762,24.982866854434082,2632300,Equity
2010-04-19,25.298255920410156,25.353910941225035,24.686050691446486,24.96432579552088,4461900,Equity
2010-04-20,25.322988510131836,25.66310143079557,25.186942398281158,25.483768348622036,1939400,Equity
2010-04-21,24.815898895263672,25.186930569193326,24.618015021306277,25.131275582207692,2152500,Equity
2010-04-22,24.989059448242188,25.01997837702196,24.531451281827163,24.6613145570431,1113600,Equity
2010-04-23,25.063262939453125,25.186941001644513,24.79735593137863,25.02616117206969,1378400,Equity
2010-04-26,24.989059448242188,25.35390846935484,24.976691404937668,25.16220733657936,1531000,Equity
2010-04-27,24.389223098754883,25.094187435778313,24.30883435316073,24.85301412210646,1984000,Equity
2010-04-28,24.13568878173828,24.587111848950194,23.962540854304557,24.401595875419265,1896400,Equity
2010-04-29,24.471771240234375,24.521562352227388,24.067226764889284,24.309954874598876,1570000,Equity
2010-04-30,23.874290466308594,24.633588251732967,23.849394912058777,24.471769523279875,2156400,Equity
2010-05-03,24.96965980529785,25.0816873851769,23.93651841521209,23.94274348863308,1996800,Equity
2010-05-04,24.235260009765625,25.112807881385834,24.135680193630357,25.007005365441525,3052800,Equity
2010-05-05,24.583797454833984,24.77673444145947,23.924079503876207,23.9925410918456,2650900,Equity
2010-05-06,24.453102111816406,24.83275105214774,22.405488814267066,24.48422037144646,4113400,Equity
2010-05-07,24.253931045532227,24.646025206800985,23.843164037891206,24.278824217078718,4268600,Equity
