Price,Close,High,Low,Open,Volume,Asset Class
Ticker,HBAN,HBAN,HBAN,HBAN,HBAN,Equity
Date,,,,,,Equity
2010-01-04,2.2305891513824463,2.266957417420427,2.212405018363456,2.2487732844014365,10462800,Equity
2010-01-05,2.279080629348755,2.285142008236065,2.2124054615883413,2.230589598250272,21226600,Equity
2010-01-06,2.339694023132324,2.357878301238262,2.254834733039639,2.273018866630929,18761000,Equity
2010-01-07,2.6003334522247314,2.636701717895722,2.321509793051187,2.333632548274851,66130600,Equity
2010-01-08,2.55790376663208,2.6488245789570732,2.5033515104605204,2.5639652890007505,29869600,Equity
2010-01-11,2.624579668045044,2.691254984209263,2.551843117154638,2.6124569095633094,28307500,Equity
2010-01-12,2.5518434047698975,2.679132527689395,2.515475125225669,2.582150448904785,25239200,Equity
2010-01-13,2.612455129623413,2.630639399471235,2.4730433575539887,2.551841378512612,26868200,Equity
2010-01-14,2.673069715499878,2.697315223515762,2.588210437444284,2.612455945460168,24295600,Equity
2010-01-15,2.5942721366882324,2.673069898623413,2.557903583143658,2.6670086657188334,17671600,Equity
2010-01-19,2.6063952445983887,2.6427635140402663,2.5518426959209157,2.5882109653627934,15203200,Equity
2010-01-20,2.6003334522247314,2.6730699835667124,2.563965186553741,2.5760879417774043,20893700,Equity
2010-01-21,2.7458066940307617,2.8791569961534087,2.648824367094111,2.6548858889779576,63969900,Equity
2010-01-22,2.842789649963379,2.951894477842525,2.5760886705627684,2.6791322636299775,61227600,Equity
2010-01-25,2.9094645977020264,2.9943238975014483,2.818543774830839,2.8912803175160575,34705900,Equity
2010-01-26,2.788236618041992,3.0246305161530582,2.7882366180419917,2.9458327428022466,45439900,Equity
2010-01-27,2.957956314086914,2.9700790740204916,2.8185444303360727,2.8306671902696507,34009000,Equity
2010-01-28,3.024630546569824,3.085244619182135,2.9822010425763894,3.0791830963091766,40498900,Equity
2010-01-29,2.90340256690979,3.0609986708647945,2.8730955349094347,3.0609986708647945,27561700,Equity
2010-02-01,2.9700777530670166,2.9943232621508886,2.8973412258153997,2.939770722197543,18652800,Equity
2010-02-02,2.988262176513672,2.994323699183976,2.9215871613161815,2.957955430250079,35142400,Equity
2010-02-03,2.8549108505249023,2.970077139392375,2.806419842376326,2.9579543873552305,41303100,Equity
2010-02-04,2.751868486404419,2.836727786827252,2.7033774575913716,2.8246050296239904,35832300,Equity
2010-02-05,2.8064208030700684,2.8427890716310835,2.6670089624048576,2.763991011900898,25099500,Equity
2010-02-08,2.776113510131836,2.867034317600678,2.7458067669950745,2.836727285434638,17834600,Equity
2010-02-09,2.8185434341430664,2.86703445673859,2.7700524115475433,2.8246046674528604,17433300,Equity
