Price,Close,High,Low,Open,Volume,Asset Class
Ticker,HST,HST,HST,HST,HST,Equity
Date,,,,,,Equity
2010-01-04,7.2364821434021,7.352804944370265,7.169137763378655,7.224237976062325,6997800,Equity
2010-01-05,7.40178108215332,7.414025246682082,7.211991569132733,7.254847604637747,6070600,Equity
2010-01-06,7.444638252258301,7.469127170830393,7.3466825779699345,7.389538039505626,8102500,Equity
2010-01-07,7.720137119293213,7.750748407078583,7.377292330909979,7.377292330909979,13175100,Equity
2010-01-08,7.646670818328857,7.750748852462737,7.524226244013052,7.591570613921299,8449100,Equity
2010-01-11,7.579327583312988,7.7752389315531065,7.530349746252958,7.7140169271590056,8228200,Equity
2010-01-12,7.334436416625977,7.63442634128504,7.2181142217382455,7.505859397534516,12188000,Equity
2010-01-13,7.634427547454834,7.640549338991656,7.334437575400096,7.340559950798772,7507600,Equity
2010-01-14,7.597691535949707,7.738503207386507,7.499735895225848,7.62218044613067,9099800,Equity
2010-01-15,7.334436416625977,7.567081390263199,7.273214423897294,7.560959599693564,8905900,Equity
2010-01-19,7.603814601898193,7.628303514309229,7.401780928541716,7.49973657818586,11094200,Equity
2010-01-20,7.499736309051514,7.560958879812943,7.365047003693392,7.560958879812943,7438800,Equity
2010-01-21,7.1201581954956055,7.573203370314604,7.114035821383036,7.5670809962020344,13930200,Equity
2010-01-22,6.783435344696045,7.242602902778512,6.758946431619449,7.126280711630121,16067400,Equity
2010-01-25,6.899758815765381,6.948736646859537,6.697724532674735,6.893636440913161,9085600,Equity
2010-01-26,6.691601276397705,6.905879094547918,6.679356529374546,6.758945633440057,7561700,Equity
2010-01-27,6.716090202331543,6.77731218600588,6.514056546869047,6.691601292089473,12063200,Equity
2010-01-28,6.654868125915527,6.783435060139874,6.53242356566894,6.752823774112798,8637200,Equity
2010-01-29,6.489568710327148,6.752824393019677,6.403857218368086,6.642624570628621,12882400,Equity
2010-02-01,6.697722434997559,6.740578461679105,6.52017770692149,6.5507889877335606,7114800,Equity
2010-02-02,6.960980415344238,7.058936071940887,6.618135617255969,6.69772415034442,13279600,Equity
2010-02-03,6.942614555358887,6.979347638247804,6.728336097680175,6.918125638812333,24945200,Equity
2010-02-04,6.544666767120361,6.979345329956008,6.532422604827532,6.954856421508716,15489400,Equity
2010-02-05,6.673237323760986,6.740582296634803,6.409981560269546,6.5324261693192796,11451200,Equity
2010-02-08,6.599766731262207,6.844656391217151,6.5569112889112775,6.673233454090206,10732600,Equity
2010-02-09,6.59364652633667,6.8140467477703845,6.507935037181572,6.8140467477703845,10449200,Equity
2010-02-10,6.636502742767334,6.7405807830546385,6.495691036082586,6.581402535102077,7726300,Equity
2010-02-11,6.783435344696045,6.814046632007225,6.563035127006688,6.618135327394463,8376800,Equity
2010-02-12,6.899758815765381,6.912002981608019,6.630380160885721,6.697724532674735,9775000,Equity
2010-02-16,7.11403751373291,7.175260101699313,6.930370333695571,6.979348170523945,10051200,Equity
2010-02-17,7.2303571701049805,7.297701520495039,6.905878412383456,6.905878412383456,9840700,Equity
2010-02-18,7.150768280029297,7.218112632360624,6.973223547645223,6.973223547645223,9465400,Equity
2010-02-19,7.169137954711914,7.242604712296899,7.077304653696157,7.09567119712693,7809200,Equity
2010-02-22,7.175257682800293,7.254846786781055,7.120157488978099,7.1875018459487405,6263800,Equity
2010-02-23,7.058938026428223,7.236482849133917,7.0038378083709505,7.132404789217276,6330400,Equity
2010-02-24,7.1201581954956055,7.163013646560131,7.022202545141414,7.071180370318509,7582800,Equity
2010-02-25,7.126280307769775,7.144646845570918,6.844657531418177,6.997713375438356,5742900,Equity
2010-02-26,7.169137954711914,7.242604712296899,7.0711822779319355,7.144649035516919,8654700,Equity
2010-03-01,7.1997480392456055,7.279337159214244,7.1324030848850235,7.1997480392456055,5991400,Equity
2010-03-02,7.1813812255859375,7.297704015132486,7.1691370594484045,7.242603807859049,4988700,Equity
2010-03-03,7.260969161987305,7.303825196117189,7.10179152505053,7.150769349317494,14403900,Equity
2010-03-04,7.377295017242432,7.383417393801228,7.242605652258724,7.340561341751615,7808300,Equity
2010-03-05,7.677283763885498,7.6834061398873486,7.377294346137748,7.444638730572372,8629900,Equity
