Price,Close,High,Low,Open,Volume,Asset Class
Ticker,HSY,HSY,HSY,HSY,HSY,Equity
Date,,,,,,Equity
2010-01-04,25.357633590698242,25.385635572845047,25.03558542463848,25.210610498741765,1048000,Equity
2010-01-05,26.02271842956543,26.54079365864187,25.20360262613748,25.371627818739793,3828900,Equity
2010-01-06,25.798690795898438,26.27475913621782,25.728681845539228,26.127738738061318,1492400,Equity
2010-01-07,25.546653747558594,25.917705944832562,25.455639987043682,25.917705944832562,1148300,Equity
2010-01-08,25.469648361206055,25.64467342726858,25.343630099987394,25.5886641242067,836600,Equity
2010-01-11,25.329627990722656,25.497650560003304,25.084593964408963,25.497650560003304,1257400,Equity
2010-01-12,26.42877769470215,26.463782164137324,25.308618648757538,25.343623118192713,2368700,Equity
2010-01-13,25.63066291809082,26.63880601528749,25.52564684371484,26.162737773943856,4881000,Equity
2010-01-14,25.87571144104004,25.959725416137605,25.560665711102214,25.714688661443198,1765300,Equity
2010-01-15,25.378633499145508,25.805695069472886,25.18260628811148,25.65167216327732,1959300,Equity
2010-01-19,26.148746490478516,26.610812605573315,26.085737353389643,26.085737353389643,3543800,Equity
2010-01-20,25.959714889526367,26.12773743024627,25.70767840777638,26.12773743024627,1827600,Equity
2010-01-21,25.336633682250977,26.141750247624916,25.32963385302365,26.141750247624916,2642200,Equity
2010-01-22,25.399646759033203,25.8267085161181,25.273628448068102,25.57467189418789,1648800,Equity
2010-01-25,25.518646240234375,25.77768249961443,25.308616768556774,25.483641773399714,1876100,Equity
2010-01-26,25.553665161132812,25.58866964776726,25.168610466811618,25.168610466811618,2754900,Equity
2010-01-27,26.10672950744629,26.148733798002958,25.483640937940002,25.504643083218337,2956700,Equity
2010-01-28,25.99471664428711,26.16974166378953,25.784687155018176,26.106732549941864,1950900,Equity
2010-01-29,25.504648208618164,26.064727784173186,25.504648208618164,26.043725634674274,2409800,Equity
2010-02-01,25.77069664001465,25.77069664001465,25.245621340940218,25.616673697671406,2235200,Equity
2010-02-02,26.043725967407227,26.575800903314736,25.868700930893297,26.498789459941385,2704500,Equity
2010-02-03,26.008724212646484,26.302765022801115,25.868703634666492,26.064730841436244,1416200,Equity
2010-02-04,25.833703994750977,26.01572891073669,25.728687873935943,25.910712789921657,2432000,Equity
2010-02-05,26.148746490478516,26.253762609183585,25.742689684205313,25.78469666582151,2325600,Equity
2010-02-08,25.86870765686035,26.225757649088347,25.833703174590283,26.225757649088347,1472300,Equity
2010-02-09,26.043725967407227,26.16274171031505,25.938709877230824,26.071730614210285,1694000,Equity
2010-02-10,26.057737350463867,26.099741664602238,25.728689312801066,25.952721223775853,1231300,Equity
2010-02-11,26.183748245239258,26.218752720700085,25.791691176335288,26.064729823868113,1341600,Equity
2010-02-12,26.323762893676758,26.41477665516256,25.92470604726896,26.078728925064937,1858400,Equity
2010-02-16,26.869848251342773,26.869848251342777,26.274761438465703,26.330770740196932,1722800,Equity
2010-02-17,26.87685775756836,26.93986690937148,26.757841954535493,26.820851106338615,1330800,Equity
2010-02-18,27.184892654418945,27.191892481480174,26.47079011400682,26.547798894361826,1441100,Equity
2010-02-19,27.983003616333008,28.011005592389772,26.953855549816492,27.233896675744965,3565100,Equity
2010-02-22,27.82198715209961,28.074021017234497,27.688966385607376,27.9900097288562,4638900,Equity
