Price,Close,High,Low,Open,Volume,Asset Class
Ticker,JKHY,JKHY,JKHY,JKHY,JKHY,Equity
Date,,,,,,Equity
2010-01-04,19.606061935424805,19.614282694489365,19.104606608132997,19.236135617267,493100,Equity
2010-01-05,19.29368782043457,19.63073125008197,19.186821041647658,19.56496671668614,344300,Equity
2010-01-06,19.260801315307617,19.3512281131287,19.178595278011155,19.334786592079457,288000,Equity
2010-01-07,19.244361877441406,19.260803400270426,19.030626784513895,19.211480399733283,279300,Equity
2010-01-08,19.071725845336914,19.244357088230323,18.94841602275645,19.244357088230323,245500,Equity
2010-01-11,18.92376136779785,19.088171903930437,18.808672267760006,19.055290423883932,222200,Equity
2010-01-12,18.841548919677734,18.948415653488716,18.652476161731656,18.816886642052356,325500,Equity
2010-01-13,19.112831115722656,19.195037154541527,18.849773045862094,18.948419038084918,316200,Equity
2010-01-14,19.260801315307617,19.293682789456355,19.00596401084336,19.00596401084336,173000,Equity
2010-01-15,19.071725845336914,19.351225392073456,18.91553455323131,19.351225392073456,517800,Equity
2010-01-19,19.334796905517578,19.359457632296053,19.005974148883045,19.03063487566152,335000,Equity
2010-01-20,19.04707145690918,19.195042050938497,18.751130268850545,19.170379762616886,306000,Equity
2010-01-21,18.816892623901367,19.203260589777013,18.61959904402763,19.11283377768697,402300,Equity
2010-01-22,18.44696807861328,18.94842201508767,18.405864268771104,18.84155524539805,376500,Equity
2010-01-25,18.39763832092285,18.58671265700103,18.290771581356562,18.553829618396275,273300,Equity
2010-01-26,18.225008010864258,18.438743068955883,18.200345730640343,18.348316276084518,424800,Equity
2010-01-27,18.298994064331055,18.389420861060568,18.10992127839637,18.10992127839637,569100,Equity
2010-01-28,17.961946487426758,18.27432747011751,17.797534453621505,18.27432747011751,525400,Equity
2010-01-29,18.05238151550293,18.200352112834956,17.986616979794274,18.01127926866635,749600,Equity
2010-02-01,18.496280670166016,18.529163699528567,18.04414999207495,18.10169372551027,733100,Equity
2010-02-02,18.710023880004883,18.956640436812442,18.315436761932858,18.47162651620106,853100,Equity
2010-02-03,18.586713790893555,19.515637736853243,18.348316450314268,18.71824281743741,833200,Equity
2010-02-04,18.126365661621094,18.50451289386438,18.052380367659364,18.50451289386438,652000,Equity
2010-02-05,17.879743576049805,18.15102238138223,17.559141779188657,18.09347862994045,675500,Equity
2010-02-08,17.62490463256836,17.863300375822657,17.59202159600943,17.863300375822657,495500,Equity
2010-02-09,17.657793045043945,17.937292693909175,17.592028514013897,17.84686587576157,606200,Equity
2010-02-10,17.518035888671875,17.690668690341415,17.287860910378413,17.567360442262856,534200,Equity
2010-02-11,17.748220443725586,17.781101926341094,17.27142718617458,17.435837735152425,380000,Equity
2010-02-12,17.739999771118164,17.748220533801298,17.526264645207082,17.575587653355743,398000,Equity
2010-02-16,18.241456985473633,18.890881617264018,18.04416336690629,18.890881617264018,765200,Equity
2010-02-17,18.512727737426758,18.512727737426758,18.19212437677891,18.233228175810485,483900,Equity
2010-02-18,18.668922424316406,18.668922424316406,18.422305836477495,18.562055654372884,356700,Equity
2010-02-19,18.636043548583984,18.792234912282066,18.48807294802267,18.693587322591107,551600,Equity
2010-02-22,18.65666961669922,18.79700745761493,18.483310366369235,18.714455508626724,991500,Equity
2010-02-23,18.532848358154297,18.689695378973468,18.375999762787163,18.549357493549813,623400,Equity
2010-02-24,18.714466094970703,18.722721451994136,18.466811682461124,18.640169456308158,447700,Equity
2010-02-25,18.640161514282227,18.656672221294365,18.31821060028394,18.433782400273543,469200,Equity
2010-02-26,18.640161514282227,18.74747796076576,18.466803814297823,18.697947414277028,561100,Equity
2010-03-01,19.0198974609375,19.110703188750726,18.730966423510463,18.73922177595666,640200,Equity
2010-03-02,19.1519832611084,19.193258455925694,18.978623978870687,18.978623978870687,521000,Equity
2010-03-03,19.09419822692871,19.275812886275396,19.028156962042996,19.19326091153126,394600,Equity
2010-03-04,19.333599090576172,19.374874291302653,19.003392761120367,19.17675049362917,502100,Equity
2010-03-05,19.56474494934082,19.56474494934082,19.33359972387627,19.366619570629474,525300,Equity
2010-03-08,19.47393798828125,19.564745324050783,19.39964136347855,19.490448699248084,483900,Equity
2010-03-09,19.440916061401367,19.606020017685292,19.366619438528403,19.440916061401367,419000,Equity
2010-03-10,19.457426071166992,19.589508601617883,19.30883283077275,19.374874095998194,432800,Equity
2010-03-11,19.53998565673828,19.53998565673828,19.275820492949872,19.29233120932379,570700,Equity
2010-03-12,19.672060012817383,19.672060012817383,19.391384250018813,19.5317221314181,655300,Equity
2010-03-15,19.7711238861084,19.7711238861084,19.407896128626717,19.424406839091343,848900,Equity
2010-03-16,20.26642417907715,20.27467953087778,19.663797668557347,19.729838908415033,1182300,Equity
2010-03-17,20.439788818359375,20.46455488030491,20.183879143113277,20.348981499106852,866000,Equity
2010-03-18,20.291194915771484,20.448043487074592,20.1838784666995,20.324216330592233,763400,Equity
2010-03-19,20.21689796447754,20.53884888078704,20.142601356937238,20.43978778709844,847100,Equity
2010-03-22,20.40677261352539,20.464560106154977,20.060055530488757,20.15086287292993,520500,Equity
2010-03-23,20.472810745239258,20.48932145488484,20.266431598313268,20.472810745239258,541300,Equity
2010-03-24,20.060056686401367,20.497581137090467,20.060056686401367,20.43153985911365,451400,Equity
2010-03-25,20.01053237915039,20.406780170923962,19.99402166085597,20.266442214518893,417800,Equity
2010-03-26,19.960994720458984,20.167373902308977,19.88669808902913,20.04354670810862,442200,Equity
2010-03-29,20.051799774169922,20.109585686560354,19.870185107173675,19.9609924406718,412700,Equity
2010-03-30,19.985759735107422,20.200394278767444,19.90320931985593,20.117843863515947,352200,Equity
2010-03-31,19.86193084716797,20.018779456982745,19.828910998787446,19.878441558632282,462300,Equity
2010-04-01,20.10132598876953,20.109581342263038,19.919711361007714,20.002263321395112,425800,Equity
2010-04-05,20.423280715942383,20.423280715942383,20.084819032245584,20.208646208675248,416100,Equity
2010-04-06,20.423280715942383,20.46455749111759,20.24992298385045,20.2746874744076,666700,Equity
2010-04-07,20.249927520751953,20.415029934799268,20.11784495969477,20.40677457791465,532200,Equity
2010-04-08,20.225154876708984,20.31596219837808,20.068306295975404,20.142602909241425,427700,Equity
2010-04-09,20.398515701293945,20.398515701293945,20.109586132928467,20.20864724935433,351800,Equity
2010-04-12,20.348979949951172,20.415021202230477,20.20864209203919,20.35723530330454,356700,Equity
2010-04-13,20.291194915771484,20.340725463454884,20.175623112994312,20.340725463454884,157900,Equity
2010-04-14,20.472810745239258,20.472810745239258,20.25817781803841,20.32421908207281,269500,Equity
2010-04-15,20.646167755126953,20.67093381684561,20.39851186158365,20.415022569396086,353800,Equity
2010-04-16,20.596643447875977,20.78651192161378,20.481070032713117,20.654429368183287,336000,Equity
2010-04-19,20.40677261352539,20.613151792129383,20.23341485928116,20.48106924378668,336600,Equity
2010-04-20,20.7452335357666,20.7452335357666,20.35724126187862,20.52234522817672,211900,Equity
2010-04-21,20.8112735748291,20.87731641707545,20.5553638593166,20.745232307130777,415200,Equity
2010-04-22,20.893831253051758,20.902086610584664,20.497583538763056,20.56362482447784,278500,Equity
2010-04-23,21.03416633605957,21.04242169247551,20.720470664994963,20.959869702864328,286600,Equity
2010-04-26,21.12497901916504,21.224040172086976,20.910344421769327,20.984641073735098,343900,Equity
2010-04-27,21.05067253112793,21.298326872263218,20.976375913877764,21.075438595060618,663000,Equity
2010-04-28,21.141483306884766,21.2818212096369,20.959868624177204,21.100206526929338,479200,Equity
2010-04-29,21.290075302124023,21.339605860582882,21.075440782738216,21.298329083077114,315000,Equity
2010-04-30,21.067180633544922,21.38087619846918,21.067180633544922,21.290070457714837,766600,Equity
2010-05-03,21.488191604614258,21.50470073530181,21.067178068405155,21.207515913808187,484400,Equity
2010-05-04,21.01765251159668,21.40564633296288,20.8855699775927,21.18275646637566,604900,Equity
2010-05-05,20.893831253051758,21.025913824481325,20.299459681618707,20.968127896299446,447800,Equity
2010-05-06,21.058927536010742,21.87618873764102,20.75348571743884,20.836037687962154,1819100,Equity
2010-05-07,20.192140579223633,21.207527460347215,20.117845514310563,21.075444895648733,1665200,Equity
2010-05-10,20.769994735717773,21.050670467920533,20.472808295844793,20.85254669952113,683500,Equity
2010-05-11,20.637922286987305,20.778260221520757,20.225163841247557,20.547114925069035,552700,Equity
2010-05-12,21.067180633544922,21.108455827110742,20.69569759326173,20.761738847695664,730600,Equity
2010-05-13,20.963605880737305,21.17904234285372,20.88903165998812,21.013323081524145,542800,Equity
2010-05-14,20.773033142089844,21.112759529095023,20.574169031191555,20.922181620371425,413200,Equity
2010-05-17,20.789602279663086,21.145901015030617,20.36701551774563,20.905605931017643,509600,Equity
2010-05-18,20.499589920043945,21.137613111977387,20.425015698626733,20.922176647931117,494000,Equity
2010-05-19,20.441587448120117,20.67359630518931,20.193007771598943,20.46644604794465,452200,Equity
2010-05-20,19.430702209472656,20.21787254046463,19.38927119388467,20.184729308425887,676800,Equity
2010-05-21,19.571556091308594,19.621271708218707,18.941819148866937,19.26497302942913,688400,Equity
2010-05-24,19.306407928466797,19.563275446368756,19.256692297440882,19.46384260388551,343000,Equity
2010-05-25,19.289840698242188,19.356128745434837,18.76782094372231,18.93354185191979,580200,Equity
2010-05-26,19.52184295654297,19.878141709479777,19.306406464524635,19.36440987349331,666400,Equity
2010-05-27,20.077001571655273,20.300724217849286,19.836708106819117,19.90299612268057,375700,Equity
2010-05-28,19.919570922851562,20.259297242645868,19.737277671935782,20.09357639280082,482100,Equity
2010-06-01,19.5135555267334,19.977573286681537,19.5135555267334,19.88642665875758,460700,Equity
2010-06-02,19.994138717651367,19.994138717651367,19.273256830651754,19.662698678776213,399400,Equity
2010-06-03,20.11014747619629,20.16814929571226,19.861566217716486,19.902997217678646,390200,Equity
2010-06-04,19.32298469543457,20.1432999045315,19.289841460743993,19.695855963402163,593300,Equity
2010-06-07,19.00811195373535,19.463841981160368,18.983253348802013,19.322979714067504,399800,Equity
2010-06-08,19.06610870361328,19.08268110248556,18.68495143170565,18.974962090246706,444300,Equity
2010-06-09,19.1075439453125,19.397554692263558,19.049542112008574,19.231833813882545,372300,Equity
2010-06-10,19.64613151550293,19.654417716236118,19.18211533746265,19.414124216698387,331500,Equity
