Price,Close,High,Low,Open,Volume,Asset Class
Ticker,JPM,JPM,JPM,JPM,JPM,Equity
Date,,,,,,Equity
2010-01-04,28.829179763793945,28.923372942074383,28.03528379808488,28.11602080803954,35460500,Equity
2010-01-05,29.387588500976562,29.495235241890366,28.782073979273452,28.788803344237234,41208300,Equity
2010-01-06,29.549072265625,29.663448429317697,29.138670622909693,29.232861248008355,27729000,Equity
2010-01-07,30.134395599365234,30.356415929096304,29.340499745900054,29.46160267720839,44864700,Equity
2010-01-08,30.06039810180664,30.07385427276653,29.656723239018707,29.851831301681635,33110100,Equity
2010-01-11,29.959476470947266,30.403519822427548,29.811463731455202,30.35642450988434,31878700,Equity
2010-01-12,29.259765625,29.703808855685267,28.889727460677822,29.596162089655547,47109600,Equity
2010-01-13,29.771089553833008,29.959470768147387,28.842634516923543,29.300133951545508,39622000,Equity
2010-01-14,30.067119598388672,30.134400441315734,29.670171607875073,29.737452450802135,37938300,Equity
2010-01-15,29.387588500976562,29.892183080228907,29.158838855722138,29.80471930120496,69738500,Equity
2010-01-19,29.118473052978516,29.434686506442326,28.8628136237747,29.199210040991183,41731500,Equity
2010-01-20,29.19920539855957,29.387586540969448,28.734976774048697,28.93681407898793,39934400,Equity
2010-01-21,27.275020599365234,29.03101020972631,27.127005362782814,28.957002591435103,137547700,Equity
2010-01-22,26.346580505371094,27.719079191821518,26.117830724296024,27.34904346062715,106634900,Equity
2010-01-25,26.380216598510742,26.837716107728895,26.131283872363266,26.75025228689255,56572200,Equity
2010-01-26,25.862157821655273,26.8040688962223,25.754511061690575,26.238922764782327,52975300,Equity
2010-01-27,26.460948944091797,26.568595717453793,25.613228358177274,25.80160956993538,66314300,Equity
2010-01-28,26.561880111694336,26.938645296907342,26.050558314943615,26.696439289734897,65047400,Equity
2010-01-29,26.198549270629883,26.810790582378146,26.104358694437956,26.67623408296151,53649000,Equity
2010-02-01,26.66278076171875,26.86461809885836,26.20528142873511,26.306198814054422,37408200,Equity
2010-02-02,27.2817440032959,27.3692077746203,26.709871223752913,26.777149468463666,45968500,Equity
2010-02-03,27.106822967529297,27.65178350180593,27.02608598233944,27.30193349865345,37373300,Equity
2010-02-04,25.801610946655273,26.857895768662697,25.801610946655273,26.770434525109128,57211800,Equity
2010-02-05,25.767969131469727,26.158190269238087,24.913521788271336,25.996718834109462,75224100,Equity
2010-02-08,25.364299774169922,25.761247796297187,25.108637683689157,25.761247796297187,58321000,Equity
2010-02-09,25.828521728515625,26.037088473324577,25.45848610801713,25.69396262110667,45173500,Equity
2010-02-10,26.151466369628906,26.575326729762107,25.915989817611532,25.996724268802925,39331800,Equity
2010-02-11,26.252382278442383,26.48785879386283,25.808339016148445,26.131279337225717,33830600,Equity
2010-02-12,26.20528221130371,26.360024259948506,25.80833432425799,26.016898466713513,38051100,Equity
2010-02-16,26.958810806274414,27.005906103095864,26.070724399782563,26.4609455065902,46425300,Equity
2010-02-17,26.938631057739258,27.21447607199052,26.75024728145685,27.086643765495047,34644100,Equity
2010-02-18,27.18756675720215,27.254845034882212,26.756979620445456,26.87135320580192,31809500,Equity
2010-02-19,26.931903839111328,27.382676498260352,26.844442594165898,26.985728512771622,40290200,Equity
2010-02-22,27.483585357666016,27.78634263652115,27.079910696859773,27.180830645311786,43898900,Equity
2010-02-23,26.83098030090332,27.752705811664345,26.75024330884313,27.517229334408245,52233100,Equity
2010-02-24,27.483585357666016,27.56432234302799,26.91171249377369,26.945351621090722,44645000,Equity
2010-02-25,27.342294692993164,27.37593381441703,26.70987048412291,27.019354507623216,46718100,Equity
2010-02-26,28.23711585998535,28.465865524550555,27.315387836192674,27.37593929347467,67699100,Equity
2010-03-01,28.142929077148438,28.378405572561537,27.860354716151413,28.27748560795517,34606800,Equity
2010-03-02,28.00164031982422,28.52642053717356,27.82671529170863,28.243846179139105,33891600,Equity
2010-03-03,27.94108772277832,28.297669697432088,27.813257998431453,28.02182471694588,27562500,Equity
2010-03-04,28.203474044799805,28.31112336084194,28.028549039233237,28.196747245797646,25450700,Equity
2010-03-05,28.802257537841797,28.842623458860828,28.38512419964092,28.472587972683115,34790800,Equity
2010-03-08,28.654237747192383,28.950265575625988,28.573503351528704,28.829162698880385,28524900,Equity
2010-03-09,28.539871215820312,28.80898938007033,28.290938582114713,28.51968825177692,37107100,Equity
2010-03-10,28.882999420166016,29.259764368339255,28.80226499073648,28.84263092220063,40903700,Equity
2010-03-11,29.051212310791016,29.06466848357237,28.79555016095032,28.869557827996513,30119600,Equity
2010-03-12,29.031015396118164,29.293404223116703,28.829175467810398,29.158845126411958,31367300,Equity
2010-03-15,28.97719383239746,29.071384440222044,28.660980306270723,28.876273857441646,29142000,Equity
