Price,Close,High,Low,Open,Volume,Asset Class
Ticker,LDOS,LDOS,LDOS,LDOS,LDOS,Equity
Date,,,,,,Equity
2010-01-04,23.971147537231445,24.046409880884315,23.695184964519914,23.858254021752142,1417703,Equity
2010-01-05,23.870805740356445,24.05896165741282,23.64501670193518,23.933523733390697,1595174,Equity
2010-01-06,23.933517456054688,24.19693760879681,23.83316830592896,24.121673323761122,1120149,Equity
2010-01-07,23.946054458618164,23.958598825256534,23.770441077491036,23.895878930017197,820652,Equity
2010-01-08,23.908432006835938,23.9460631825081,23.78299410861097,23.845712088746843,886019,Equity
2010-01-11,23.84571075439453,23.920973101527355,23.782992777768218,23.80807958082812,720860,Equity
2010-01-12,23.870805740356445,23.933523733390697,23.732823442546028,23.7829989997456,923441,Equity
2010-01-13,23.770448684692383,23.89588657736214,23.519572899352866,23.89588657736214,1891796,Equity
2010-01-14,23.833171844482422,23.908434202739333,23.682645190015204,23.78299629299335,1793988,Equity
2010-01-15,23.707727432250977,23.946058814013494,23.682638694411,23.83316530759223,2319233,Equity
2010-01-19,23.971147537231445,23.971147537231445,23.61992262086704,23.707729334446398,873788,Equity
2010-01-20,23.6951904296875,23.8958907050366,23.64501487636186,23.870803897350513,975200,Equity
2010-01-21,23.45685386657715,23.920972304414892,23.406678324176216,23.670098468316326,1136957,Equity
2010-01-22,23.093088150024414,23.645013388004617,23.042912599857118,23.456857497318946,1122336,Equity
2010-01-25,23.356504440307617,23.41922435725075,23.105628648441453,23.29378646131767,842481,Equity
2010-01-26,23.017820358276367,23.406676419852634,22.879838112388043,23.306325343215143,1029591,Equity
2010-01-27,22.9174747467041,23.005281475212705,22.817125584089528,22.930019118763433,1303371,Equity
2010-01-28,22.942562103271484,23.118173611714464,22.779491090222688,22.930017731970832,1115127,Equity
2010-01-29,22.992725372314453,23.205969898759395,22.867287529579336,22.992725372314457,1397655,Equity
2010-02-01,23.331417083740234,23.35650388715144,22.716771989610834,22.892385427348703,1422239,Equity
2010-02-02,23.381593704223633,23.381593704223633,23.0679979884138,23.318873785880378,1729310,Equity
2010-02-03,23.243619918823242,23.444320242467267,23.20598872926211,23.293795484222734,1419120,Equity
2010-02-04,23.180879592895508,23.356490995753155,23.055441769167437,23.055441769167437,2172785,Equity
2010-02-05,23.431766510009766,23.431766510009766,23.042908488043363,23.16834637210159,2509016,Equity
2010-02-08,23.017820358276367,23.41922078892054,23.00527598920846,23.394132050784723,1053284,Equity
2010-02-09,23.218528747558594,23.29379111255598,22.904932976131377,23.29379111255598,1025501,Equity
2010-02-10,23.281248092651367,23.29379246686479,23.055460984531866,23.130723353905033,1292234,Equity
2010-02-11,23.406679153442383,23.419223523975308,23.03036547903269,23.318872435618143,953249,Equity
2010-02-12,23.51957130432129,23.544660043925674,23.13071521998337,23.28123990579766,1064867,Equity
2010-02-16,23.833171844482422,23.958609754228405,23.48194492201231,23.582296024990455,1296891,Equity
2010-02-17,24.046403884887695,24.058948251686232,23.79552817663224,23.895879235115437,1054823,Equity
2010-02-18,23.908432006835938,24.134219060868936,23.883343264419008,24.021325533852437,1012500,Equity
2010-02-19,23.971147537231445,24.008778709057882,23.607378250940556,23.820622849925705,1393241,Equity
2010-02-22,23.84571075439453,24.084042166299508,23.782992777768218,23.971148645600273,597497,Equity
2010-02-23,23.920976638793945,23.933521011155428,23.73282074313871,23.770451922269757,1216134,Equity
2010-02-24,24.435272216796875,24.435272216796875,23.920976214538314,24.03387168788257,1678320,Equity
2010-02-25,24.32237434387207,24.372549889524514,23.908431421610636,24.171849644867912,1235331,Equity
2010-02-26,24.71123504638672,24.77395303170341,24.385096871651783,24.397641243896476,6597977,Equity
2010-03-01,24.472904205322266,24.78649801555037,24.422728653058805,24.7112356561319,1078799,Equity
2010-03-02,24.347461700439453,24.71123099430516,24.184392639811616,24.673599821695127,1696059,Equity
2010-03-03,24.109128952026367,24.447811424609533,24.084040213048088,24.447811424609533,1399437,Equity
2010-03-04,24.084035873413086,24.397631488465006,24.021317913174265,24.297280426539768,1373517,Equity
2010-03-05,24.222030639648438,24.36001293674566,24.07150590678137,24.20948626592498,1393119,Equity
2010-03-08,24.247114181518555,24.297289731696956,24.134220647082167,24.247114181518555,1261211,Equity
2010-03-09,24.447824478149414,24.47291129256946,24.171859829758965,24.184404205945985,1242459,Equity
2010-03-10,24.422719955444336,24.46035112175206,24.259650922126617,24.435264323531154,974673,Equity
2010-03-11,24.32237434387207,24.372549889524514,24.159307211919682,24.334918714773476,1033196,Equity
2010-03-12,24.209487915039062,24.372557032737618,24.14676991805673,24.334925846957468,613656,Equity
2010-03-15,24.272201538085938,24.272201538085938,24.096588091476995,24.209481619459925,682587,Equity
2010-03-16,24.234575271606445,24.247117707509943,24.109137346896063,24.209486523892192,687326,Equity
2010-03-17,24.17184829711914,24.3223729877305,24.121672754264335,24.20947946977198,884561,Equity
2010-03-18,24.008769989013672,24.259645668706593,23.908420879907897,24.096576670701428,1143680,Equity
2010-03-19,24.008769989013672,24.05894551254272,23.557194153156875,24.008769989013672,2133459,Equity
2010-03-22,24.3725528717041,24.435272795932242,23.808083243417897,23.920976781484455,1179117,Equity
2010-03-23,24.13421630859375,24.435267617592302,24.00877842467377,24.33491653527512,1128087,Equity
2010-03-24,23.895875930786133,24.184382761589838,23.883331565722237,24.109120447111007,758646,Equity
2010-03-25,23.95861053466797,24.109135256085057,23.933521789129482,23.983697342253,638523,Equity
2010-03-26,24.159290313720703,24.22200824845336,23.92095712306187,24.046394930479007,1003793,Equity
2010-03-29,23.720273971557617,24.27220110624321,23.70773153841816,24.27220110624321,1361772,Equity
2010-03-30,23.808080673217773,23.908431765968036,23.60738042567045,23.79553630213569,1472094,Equity
2010-03-31,22.20247459411621,22.70422415138165,21.95159884650707,22.403174804612956,6368585,Equity
2010-04-01,21.85124397277832,22.32790858553417,21.72580612078494,22.202470733540792,3264341,Equity
2010-04-05,21.85124397277832,22.014312986574467,21.775981649172795,21.93905066296894,1792409,Equity
2010-04-06,21.700727462768555,21.913972084913674,21.525114016536904,21.838709733086745,1597563,Equity
2010-04-07,21.575286865234375,21.750900289501374,21.311868666786868,21.750900289501374,2424573,Equity
2010-04-08,21.575286865234375,21.61291803644116,21.38713100920044,21.512568892540727,1398465,Equity
2010-04-09,21.964147567749023,22.03940991935539,21.6003782430161,21.688183027921372,1886733,Equity
2010-04-12,21.826156616210938,22.15229463541524,21.750894294541094,22.15229463541524,1965587,Equity
2010-04-13,21.95159912109375,22.05194825862094,21.713267739269696,21.838705614643338,1531143,Equity
2010-04-14,22.227556228637695,22.252643022388007,21.92650695182438,21.964138111426045,1857735,Equity
2010-04-15,22.57879638671875,22.754409876262656,22.22757134558465,22.47844720551774,2798834,Equity
2010-04-16,22.54116439819336,22.591339955982544,22.152308185722877,22.503533214339882,2771537,Equity
2010-04-19,22.817121505737305,22.842208307418574,22.46589465448149,22.591332538793854,2185664,Equity
2010-04-20,22.942562103271484,22.955104536618904,22.365548154786694,22.541159663229674,2438870,Equity
2010-04-21,22.904924392700195,23.017819835843216,22.754399719113298,22.842206424689937,1936548,Equity
2010-04-22,23.030366897583008,23.06799807354655,22.62896639533641,22.82966664645971,1879808,Equity
2010-04-23,23.15580177307129,23.15580177307129,22.804576863957124,23.030363890254876,1599912,Equity
2010-04-26,22.854745864868164,23.105619620761352,22.81711470458657,23.030357300198155,2039783,Equity
2010-04-27,22.591339111328125,22.84221495294055,22.56625230234831,22.766952588047538,2081579,Equity
2010-04-28,22.24010467529297,22.71676740967779,22.051946904807462,22.71676740967779,1792854,Equity
2010-04-29,22.24010467529297,22.378084973166075,22.16484234227987,22.25264710549332,1013189,Equity
2010-04-30,21.83870506286621,22.327912183077224,21.750898358527902,22.29027907725839,2562233,Equity
2010-05-03,21.87633514404297,22.039404176012987,21.788528444066387,21.93905310805326,1297701,Equity
2010-05-04,21.90142822265625,21.95160377102479,21.587834436771118,21.713272338715825,1379916,Equity
2010-05-05,21.863792419433594,22.390630720939722,21.750898912957897,21.838705619534394,945837,Equity
2010-05-06,21.68818473815918,22.189936372371925,21.412222114523523,21.775991467941747,2143503,Equity
2010-05-07,22.001771926879883,22.102121051946753,21.600371550707163,21.67563387899547,3275762,Equity
2010-05-10,21.863792419433594,22.415719458791788,21.71326774413266,22.415719458791788,1925492,Equity
2010-05-11,21.512582778930664,21.826176720730032,21.29933804580723,21.713283134236768,3164994,Equity
2010-05-12,21.63801383972168,21.650556275583156,21.487487167801333,21.60038265623,1669491,Equity
2010-05-13,21.58783531188965,21.750904397232866,21.537659761487113,21.62546649020321,981315,Equity
2010-05-14,21.60037612915039,21.85124996396941,21.399675898523352,21.587831759125876,1598738,Equity
2010-05-17,22.051952362060547,22.11467228039476,21.575289509714754,21.575289509714754,1846800,Equity
2010-05-18,21.989225387573242,22.2024699219624,21.93904986101948,22.064487708427666,2069915,Equity
2010-05-19,21.75090217590332,22.064495942474753,21.700726630625006,21.863795699314657,1710639,Equity
2010-05-20,21.1989688873291,21.663089154730795,21.198968887329105,21.500020133475147,1776654,Equity
2010-05-21,21.525110244750977,21.537654613841763,20.885378428367314,20.998271936325686,2103368,Equity
2010-05-24,21.48748207092285,21.625464336298396,21.324413001821377,21.349501743500475,976941,Equity
2010-05-25,21.47493553161621,21.500022330545065,20.960639680975937,21.236602221004514,1545561,Equity
2010-05-26,21.362049102783203,21.73836287317456,21.286786736295653,21.575293766467,1537178,Equity
2010-05-27,21.63801383972168,21.688187459074832,21.336962433834614,21.612925092091476,821219,Equity
2010-05-28,21.562744140625,21.713270774889434,21.449850618391526,21.6254640560568,878688,Equity
2010-06-01,21.41222381591797,21.650555279720592,21.26169908887495,21.474943744154913,889785,Equity
2010-06-02,21.87633514404297,21.87633514404297,21.374583680149776,21.462390380126358,893309,Equity
2010-06-03,22.102113723754883,22.31535820850335,21.713257843877074,21.713257843877074,1269837,Equity
2010-06-04,22.051952362060547,22.516072781102086,21.788534131325903,21.939058834602843,2336648,Equity
2010-06-07,21.939054489135742,22.26519257360645,21.826160984038847,22.139754699736727,1429610,Equity
2010-06-08,21.813617706298828,21.989231126090512,21.675637394707888,21.989231126090512,1800711,Equity
2010-06-09,21.826156616210938,22.064487947482935,21.750894294541094,21.838700982473398,1444392,Equity
2010-06-10,22.189937591552734,22.390637868674222,21.951606133593057,21.951606133593057,1829871,Equity
2010-06-11,21.9766845703125,22.064491271472786,21.750897571288416,21.989228938464755,1867698,Equity
2010-06-14,21.989225387573242,22.29027467099094,21.96413859327258,22.2024699219624,2218833,Equity
2010-06-15,22.227556228637695,22.302818547841024,21.989224905176357,21.989224905176357,1490238,Equity
2010-06-16,22.516075134277344,22.60388186635006,22.139761398802875,22.215023758307083,1724004,Equity
2010-06-17,22.691680908203125,22.691680908203125,22.440805169575366,22.578785469253692,1167494,Equity
2010-06-18,22.566242218017578,22.829660377427658,22.51606668452666,22.716766880537623,1919417,Equity
2010-06-21,22.290287017822266,22.804583058455705,22.252655836550733,22.65405833336958,1319490,Equity
2010-06-22,21.926511764526367,22.30282344314055,21.91396739592162,22.189929939556293,1150686,Equity
2010-06-23,21.66309356689453,21.926513703167675,21.612918025992077,21.88888059402609,1634256,Equity
2010-06-24,21.525110244750977,21.863792706578987,21.48747907543152,21.587830152252003,1432242,Equity
2010-06-25,21.537654876708984,21.700723925067855,21.33695465857137,21.55019924595287,3821945,Equity
2010-06-28,21.43730926513672,21.663096320973096,21.36204497523802,21.612920773691712,1458365,Equity
2010-06-29,21.098621368408203,21.41221506760852,21.010814667523455,21.336952734836665,2260103,Equity
2010-06-30,20.998273849487305,21.387131885154574,20.973187046972964,21.19897408346126,1646609,Equity
2010-07-01,20.75995445251465,20.960654802594874,20.59688529695233,20.948112363058367,1530171,Equity
2010-07-02,20.60941505432129,20.822659630618553,20.546695149314885,20.810115262026706,745889,Equity
2010-07-06,20.69722557067871,20.89792581535012,20.53415650076112,20.89792581535012,1247117,Equity
2010-07-07,20.923011779785156,20.935556150184212,20.60941802343346,20.62196239383252,811094,Equity
2010-07-08,21.111173629760742,21.34950508529876,20.93556016233127,20.97319134278709,777722,Equity
2010-07-09,21.136259078979492,21.173890257016744,20.94810318879323,21.086083528945373,594540,Equity
2010-07-12,21.186424255371094,21.26168657459444,20.99826651936035,21.098617570293065,486000,Equity
2010-07-13,21.22407341003418,21.311880169560087,21.08609108250004,21.311880169560087,742041,Equity
2010-07-14,21.387134552001953,21.51257245612116,20.973189662203897,21.048452017084756,988646,Equity
2010-07-15,21.1989688873291,21.374582275743677,21.023357436867126,21.31186431585424,757796,Equity
2010-07-16,20.64705467224121,21.148806365830094,20.64705467224121,21.073542061428874,1045953,Equity
2010-07-19,20.747392654418945,20.87283051013912,20.54669247285718,20.584325573730542,1096578,Equity
2010-07-20,20.935558319091797,20.96064512453579,20.546700238013454,20.647051335696023,539217,Equity
2010-07-21,20.659597396850586,21.02336676427918,20.62196621663062,21.02336676427918,661041,Equity
2010-07-22,21.111173629760742,21.186435990672383,20.78503544050799,20.78503544050799,789993,Equity
2010-07-23,21.29932975769043,21.336960938544927,20.998278372900987,21.048453926691476,569754,Equity
2010-07-26,21.274227142333984,21.324402663413128,21.148791246564468,21.286771507091828,560682,Equity
2010-07-27,21.249155044555664,21.336961782674447,21.0609991328394,21.274241853466645,649539,Equity
2010-07-28,21.173887252807617,21.32441194359977,21.048449364496463,21.16134288259058,713651,Equity
2010-07-29,20.973186492919922,21.29932460675607,20.847748607755786,21.24914906509981,638523,Equity
2010-07-30,20.860294342041016,20.96064349396392,20.78503199361055,20.860294342041016,655979,Equity
