Price,Close,High,Low,Open,Volume,Asset Class
Ticker,LH,LH,LH,LH,LH,Equity
Date,,,,,,Equity
2010-01-04,63.19044876098633,63.29801677111933,61.916217173775834,62.44576863126987,1028278,Equity
2010-01-05,62.42094802856445,63.190449862951496,62.34648295351166,62.933951700837056,1006394,Equity
2010-01-06,61.38666915893555,62.718825448485504,61.07224635603064,62.338204117154085,2305884,Equity
2010-01-07,61.3701171875,61.43630836337808,60.7164499335299,61.072242199961615,1809904,Equity
2010-01-08,61.27910614013672,61.576977480356646,61.080521572634694,61.35357121967514,885920,Equity
2010-01-11,61.965858459472656,62.2471856468895,61.53560112958691,61.7259081041183,981368,Equity
2010-01-12,61.07224655151367,62.238917545797705,60.99777779932299,61.858303561292,1302283,Equity
2010-01-13,62.35476303100586,62.52852223806149,61.295656318553526,61.295656318553526,1202761,Equity
2010-01-14,63.64553451538086,63.71172569139675,62.18099596168113,62.44576801378821,1558829,Equity
2010-01-15,62.677459716796875,63.68691948473251,62.41268760031517,63.63727609065069,907338,Equity
2010-01-19,63.35594177246094,63.71173408651516,62.81811635233351,62.81811635233351,1027812,Equity
2010-01-20,62.702274322509766,63.7861989319569,62.47059050739053,63.19873019313776,1946208,Equity
2010-01-21,61.72591781616211,62.958780070216214,61.31220454076811,62.93395837589925,979273,Equity
2010-01-22,59.798004150390625,61.75072824974218,59.62424497381374,61.742454353145334,2574186,Equity
2010-01-25,60.443397521972656,60.50959236881811,58.08523411751783,59.85592514500969,2849821,Equity
2010-01-26,60.55097198486328,61.01432864227971,59.980047305563694,59.980047305563694,1385393,Equity
2010-01-27,59.731815338134766,60.70817558938416,59.45048814663808,60.344109428649304,1721440,Equity
2010-01-28,58.7802734375,60.186894618966036,58.66443153910576,59.963488392652735,1334410,Equity
2010-01-29,58.829925537109375,59.46704137663701,58.18453579990157,58.879572597212466,1844474,Equity
2010-02-01,59.2436408996582,59.43394790111913,58.639620629354695,59.34293134937598,1209629,Equity
2010-02-02,60.071075439453125,60.14554420516705,59.078163461964444,59.293295860029396,1482354,Equity
2010-02-03,59.40912628173828,59.88075683699506,59.22709317802358,59.85593514304002,627978,Equity
2010-02-04,58.36656188964844,59.4091169604497,58.3003670421321,58.92093501179643,1607600,Equity
2010-02-05,58.449310302734375,58.50722758526191,57.5970621196094,58.28382500461174,1181460,Equity
2010-02-08,58.03559494018555,58.60651589126064,57.90320523690846,58.407935010366856,735648,Equity
2010-02-09,58.04387283325195,58.722361842706505,57.919760692654656,58.35001807287041,1648108,Equity
2010-02-10,58.722354888916016,58.88784017279736,57.61360495651969,57.853558985549796,2013836,Equity
2010-02-11,59.21053695678711,59.27673180937773,57.49777040490539,57.75427224392487,1841797,Equity
2010-02-12,59.37602996826172,59.44222115133748,58.39966592962847,59.02850788700323,1257586,Equity
2010-02-16,59.93040084838867,59.93867474595253,59.18571700144306,59.88075378898349,987421,Equity
2010-02-17,60.52614212036133,60.815739532900515,59.980039208744,59.980039208744,1189259,Equity
2010-02-18,60.50131607055664,60.66680502816136,60.219992558074104,60.55096312524022,1337902,Equity
2010-02-19,61.21290969848633,61.31220014265403,60.228271806277505,60.40203467609846,1092181,Equity
2010-02-22,61.20464324951172,61.61835287155481,60.95641527187241,61.37012856793793,685712,Equity
2010-02-23,60.73299789428711,61.36184345902989,60.54269091507148,60.9729519295694,1307056,Equity
2010-02-24,60.81574249267578,61.072244330215625,60.600613815524625,60.98122778618677,813985,Equity
2010-02-25,60.50959777832031,60.60888822045418,59.963494835551174,60.60061432311152,1322188,Equity
2010-02-26,60.658531188964844,61.11361758382518,60.46822420334348,60.51787126108126,828652,Equity
2010-03-01,61.38666915893555,61.419764749126806,60.60888972324309,60.708180167838854,971358,Equity
2010-03-02,61.76728820800781,62.12308052783175,61.50251244269646,61.53561170962431,764399,Equity
2010-03-03,60.63371276855469,61.65144260388211,60.294468265438184,61.61007311522014,2373280,Equity
2010-03-04,60.06278610229492,60.972955236724715,59.73181918197878,60.749548983339906,1120699,Equity
2010-03-05,59.94694137573242,60.3441067807567,59.63252228435887,60.22826488086294,1700720,Equity
2010-03-08,59.60770797729492,59.86420984032172,59.45877046353169,59.77319328724913,1241639,Equity
2010-03-09,59.48359298706055,59.682173879899636,59.28500842019938,59.5166885778597,678030,Equity
2010-03-10,59.83938217163086,60.09588400904833,59.260183644618714,59.46703842439783,872767,Equity
2010-03-11,61.047428131103516,61.06397592713912,59.64908058173982,59.78974052206464,1302749,Equity
2010-03-12,60.98123550415039,61.45286975255468,60.815750189695095,60.97296160582986,787679,Equity
2010-03-15,61.7838249206543,61.7838249206543,60.848837848582775,60.981223870477706,1316484,Equity
2010-03-16,62.056884765625,62.13962374178729,61.38666966653419,61.750735857736395,817244,Equity
2010-03-17,62.64435577392578,62.8843135094396,62.0568869780967,62.147899855120045,1192052,Equity
2010-03-18,63.02497100830078,63.09116954093133,62.44577609903914,62.89258863912861,785933,Equity
2010-03-19,62.47886657714844,63.008418054624286,62.19754671764044,62.47886657714844,1371192,Equity
2010-03-22,63.09944152832031,63.24010513935084,62.32165839276316,62.412678616857356,1298675,Equity
2010-03-23,61.502506256103516,62.38785369151458,61.270826107002634,62.1065264840271,1697810,Equity
2010-03-24,61.21290969848633,61.78383067095609,61.039150502687356,61.444589850892285,1351055,Equity
2010-03-25,61.974143981933594,62.11480760202894,61.08052621927073,61.221189839366076,1246411,Equity
2010-03-26,62.53678894042969,62.87603341745827,61.87484778056479,62.87603341745827,1236634,Equity
2010-03-29,62.72709274291992,62.78501001965782,62.44576555982083,62.702271052889394,684548,Equity
2010-03-30,62.842918395996094,62.85119229150111,62.59469418280342,62.67743313785358,631586,Equity
2010-03-31,62.64435577392578,62.909135203173236,62.21409838645407,62.627807978103355,1001971,Equity
2010-04-01,63.85239028930664,63.893759774965005,62.91740317320945,62.91740317320945,1103239,Equity
2010-04-05,63.6207275390625,64.125457417052,63.56281024665304,64.09236182138946,834355,Equity
2010-04-06,63.835853576660156,64.10063302692548,63.64554656155161,63.81103188095621,1505285,Equity
2010-04-07,63.26492691040039,64.10890122957429,62.991873585827214,63.918594231374044,1225110,Equity
2010-04-08,62.99186706542969,63.347659331502875,62.8181078808813,63.28974205266792,1054351,Equity
2010-04-09,63.016693115234375,63.09116554121695,62.65262692700224,62.90913244710089,893719,Equity
2010-04-12,63.43869400024414,63.43869400024414,62.84294389003118,62.958785822138175,673956,Equity
2010-04-13,63.248374938964844,63.3642095009774,62.75191905763685,63.25664883625145,826673,Equity
2010-04-14,63.09944152832031,63.273200730641726,62.62780730829239,63.273200730641726,717955,Equity
2010-04-15,64.3322982788086,64.48950967213831,62.76846559067537,62.76846559067537,1685821,Equity
2010-04-16,63.69518280029297,64.50606150912215,63.52142360183272,63.84412030583662,1195777,Equity
2010-04-19,65.6396255493164,66.87248752021175,62.1727160784227,62.1727160784227,4659026,Equity
2010-04-20,66.39257049560547,66.39257049560547,65.23417374759728,65.95403201204488,1381435,Equity
2010-04-21,67.02143859863281,68.67628430785511,65.30866825617738,65.71410394858776,3749942,Equity
2010-04-22,66.76493835449219,67.05453949945513,65.73065694881866,66.45878941245077,1366303,Equity
2010-04-23,66.18573760986328,66.69046742063966,65.61481661657625,66.55807770757414,1414027,Equity
2010-04-26,65.2921142578125,66.28501864980458,65.22591573298396,66.28501864980458,1292855,Equity
2010-04-27,64.05924987792969,65.33348891628032,63.94341530938449,64.72946498811791,1731217,Equity
2010-04-28,64.64672088623047,64.7625627936374,63.62898745499102,64.10062163367253,2107073,Equity
2010-04-29,65.22592163085938,65.35831134444383,64.80393814461148,65.11008706101171,1092530,Equity
