Price,Close,High,Low,Open,Volume,Asset Class
Ticker,LIN,LIN,LIN,LIN,LIN,Equity
Date,,,,,,Equity
2010-01-04,60.82047653198242,60.984534642346745,60.29101988721149,60.3357666287157,1233000,Equity
2010-01-05,59.68702697753906,60.70119979351883,59.38128110845744,60.6042532060765,2170900,Equity
2010-01-06,60.21644973754883,60.395419636010715,59.65716382667377,59.67953435281269,2359700,Equity
2010-01-07,60.37306213378906,60.57440829117555,60.09714564340271,60.22392146778935,2105100,Equity
2010-01-08,60.76826095581055,60.82791946941858,60.10457563763098,60.18660467150477,1424900,Equity
2010-01-11,61.34248352050781,61.42451258022704,60.70862725941898,61.40213636356206,1343000,Equity
2010-01-12,60.68624496459961,61.00690243247209,60.17915886864663,60.66387443952598,1171200,Equity
2010-01-13,61.76011276245117,61.84960060582258,60.58934050277176,60.984568521293255,1257800,Equity
2010-01-14,60.41033935546875,61.79736892107425,60.31339281946738,61.79736892107425,1401500,Equity
2010-01-15,60.37306213378906,60.73846074803454,59.925634446438224,60.22392146778935,1788900,Equity
2010-01-19,60.46255111694336,60.79812046661179,60.104605546525455,60.20900515261572,1598500,Equity
2010-01-20,60.21644973754883,60.42524890064611,59.71682235594456,59.9629095221737,1456100,Equity
2010-01-21,59.28431701660156,60.86523418521082,59.269405226327144,60.20900162610624,1672400,Equity
2010-01-22,58.3447151184082,59.873432492032556,58.09117485745279,59.07551800997949,2019200,Equity
2010-01-25,59.23210525512695,59.72427388571406,58.8667067290024,59.10533515066441,1885800,Equity
2010-01-26,58.657936096191406,59.508050617351884,58.501330962345904,58.8667353555146,1939100,Equity
2010-01-27,57.24851989746094,58.56097947439728,55.70489056440449,57.75560616427597,6430200,Equity
2010-01-28,56.78616714477539,57.77051017562703,56.57736796995093,57.53934047340721,2827800,Equity
2010-01-29,56.1672248840332,57.367825875953564,56.05536655329602,57.270885023635216,3075600,Equity
2010-02-01,57.27835464477539,57.27835464477539,56.51026927516908,56.68178619050138,2450400,Equity
2010-02-02,57.5989875793457,57.86744526005109,56.80853201357443,57.27087706131154,1888000,Equity
2010-02-03,57.33798599243164,57.95693037714331,57.166474847827196,57.442385564629994,1658200,Equity
2010-02-04,55.62285614013672,57.05463267254867,55.59303255908893,56.80854545876753,2506800,Equity
2010-02-05,55.19034194946289,56.37602549295274,54.51919763741619,55.91368605859371,4520300,Equity
2010-02-08,55.28728103637695,56.80108079276268,55.1754227063874,55.27982229721738,2498700,Equity
2010-02-09,56.0703010559082,56.502811342406844,55.07104020443609,55.95844269120832,2950700,Equity
2010-02-10,56.09265899658203,56.73397407489162,55.57065530830482,55.98080065699752,2379200,Equity
2010-02-11,56.84584045410156,56.912952053732866,55.94352055936382,55.958438041072306,1680000,Equity
2010-02-12,57.367820739746094,57.48713210965958,55.645221944413166,56.04790848540343,3320000,Equity
2010-02-16,58.1060905456543,58.165749089652245,57.5766337687143,57.97186166633487,1770100,Equity
2010-02-17,58.1955680847168,58.747395295869175,57.71831119571729,58.27013840686968,1933200,Equity
2010-02-18,57.94947814941406,58.5311345996773,57.725767193578534,58.00913668004378,2129900,Equity
2010-02-19,57.584083557128906,57.98677013248622,57.32308457940222,57.777970950304876,2765400,Equity
2010-02-22,57.34546661376953,57.927123220653954,57.226149520381874,57.763065061922006,2019000,Equity
2010-02-23,56.79362487792969,57.308164066963464,56.592278756235444,57.151564688618336,1756300,Equity
2010-02-24,56.674312591552734,57.352915644261216,56.3909430767614,57.002428853464636,2892400,Equity
2010-02-25,55.93605041503906,56.27161968935763,55.205247647152355,55.95096220283854,3189800,Equity
2010-02-26,56.03300476074219,56.30146252062445,55.5632065256242,55.98080495684019,1571000,Equity
2010-03-01,56.71905517578125,56.771254974367416,55.861487868915894,56.27908625760521,1911500,Equity
2010-03-02,57.39763641357422,57.5318652287874,56.89800914724985,57.25594886158554,1983500,Equity
2010-03-03,57.45766830444336,58.2377731194699,57.42766361277198,57.757709498347374,1710700,Equity
2010-03-04,57.95273971557617,58.102757457809105,57.48767555815802,57.660201112254924,2547700,Equity
2010-03-05,59.25040054321289,59.27290262875811,58.07274370960353,58.357785387334026,2215000,Equity
2010-03-08,59.430423736572266,60.00799820122323,59.24289874219345,59.30290239106008,2471500,Equity
2010-03-09,59.430423736572266,59.632948212465585,59.070373229329114,59.26540082586951,1584900,Equity
2010-03-10,59.26539993286133,59.700453563930246,58.62031350409362,59.137878589270635,1712800,Equity
2010-03-11,59.640480041503906,59.640480041503906,58.567836319094575,58.9503833746727,1223700,Equity
2010-03-12,59.700462341308594,59.985504032974816,59.48293835519726,59.83548058399012,916500,Equity
2010-03-15,59.812957763671875,59.932976481256134,59.385401097190986,59.722949448291125,1280000,Equity
2010-03-16,60.4505729675293,60.45807557199023,59.685473274016466,59.85799883975537,1965300,Equity
2010-03-17,61.53821563720703,61.56071772556177,60.55558629365105,60.69060454658934,2223700,Equity
2010-03-18,61.60572052001953,61.77074346133146,61.2006657702929,61.2006657702929,2047800,Equity
2010-03-19,61.223167419433594,62.423326340722724,60.930628861207154,61.223167419433594,2463600,Equity
2010-03-22,61.56071472167969,61.62822670625948,60.833116712060686,61.178162069886376,990200,Equity
2010-03-23,62.01077651977539,62.01077651977539,61.17066803479368,61.65822854219492,1429600,Equity
2010-03-24,61.71824645996094,61.98828300255997,61.18567597950468,61.83076263984564,1313000,Equity
2010-03-25,61.02814483642578,62.070783521745746,60.94563336727302,61.99577465600949,1251100,Equity
2010-03-26,61.19318389892578,61.67324763350453,60.810631143217016,61.148173989376374,1523500,Equity
2010-03-29,61.38819122314453,61.725739711651286,60.76561247136586,61.373191738744346,1310300,Equity
2010-03-30,62.07828903198242,62.12329320896958,61.38819255559002,61.545718620664836,1691900,Equity
2010-03-31,62.25830841064453,62.47583812676827,61.9282625347589,61.9282625347589,1879400,Equity
2010-04-01,62.873390197753906,62.91839437248681,62.31831772574626,62.68586517262069,1639600,Equity
2010-04-05,62.97086715698242,63.203401954128644,62.63332458308243,62.94836508176329,2207300,Equity
2010-04-06,63.21092224121094,63.323438381784136,62.475827472042134,62.50583215771556,1399900,Equity
2010-04-07,63.33842086791992,63.57094994497512,62.58081856412494,62.92586374139627,2023700,Equity
2010-04-08,63.37593078613281,63.57846093782053,63.105894399087404,63.1434016783799,1212200,Equity
2010-04-09,63.72098922729492,63.93851890213978,63.35344184977495,63.4284507011125,2555800,Equity
2010-04-12,63.75101852416992,64.05105976816286,63.563493462025676,63.86353470601861,2661000,Equity
2010-04-13,63.713523864746094,63.8635416416292,63.47349198804632,63.56350036505164,1411100,Equity
2010-04-14,64.41856384277344,64.49357839528884,63.60095787017891,63.8034822826726,1635700,Equity
2010-04-15,65.73877716064453,65.88879490259873,64.2460794538032,64.40359979969811,2284500,Equity
2010-04-16,65.11617279052734,66.00879353439336,64.85363896080449,65.5512321213871,2213600,Equity
2010-04-19,65.356201171875,65.36370377314016,64.2610560222887,64.67361324975285,1517200,Equity
2010-04-20,66.11384582519531,66.11384582519531,65.10121147529341,65.69379145138394,1763200,Equity
2010-04-21,65.67877960205078,66.11383914399669,65.28122736375268,66.11383914399669,1643500,Equity
2010-04-22,65.7912826538086,65.85879464233248,64.44110583423969,65.12369398641293,1793700,Equity
2010-04-23,66.17381286621094,66.21881702807758,65.25118748828888,65.90377644939511,1277000,Equity
2010-04-26,66.2113037109375,66.75887905719453,66.05378344708996,66.30882034294339,1304700,Equity
2010-04-27,64.81617736816406,66.13634993253689,64.81617736816406,66.03883894216752,1674600,Equity
2010-04-28,63.263431549072266,64.958659159391,61.51570289022906,62.83587477598401,4587400,Equity
2010-04-29,63.24092483520508,64.46359141402122,62.970888395884245,62.970888395884245,3493500,Equity
2010-04-30,62.835872650146484,63.623479916309364,62.76836639906269,63.413452838081575,2218800,Equity
2010-05-03,63.015907287597656,63.308445851523096,62.74587080969583,63.180930215516476,1480500,Equity
2010-05-04,61.635719299316406,62.393321946847415,61.13315364284331,62.228299021364506,2177600,Equity
2010-05-05,61.433197021484375,61.79324185115462,60.76560841544513,61.26817409004827,2035100,Equity
2010-05-06,59.51293182373047,62.10078028223105,57.120116692295404,61.14815006832318,3363800,Equity
2010-05-07,59.16789245605469,60.360554563265296,58.515309046782164,59.40792425357746,3332700,Equity
2010-05-10,60.9831428527832,61.34318771037817,59.805485877698736,61.1481600742085,2978000,Equity
2010-05-11,60.300559997558594,60.9006425001959,60.150542233304705,60.353066787328544,1458500,Equity
2010-05-12,61.320674896240234,61.350679582926524,60.270533753455396,60.57807749988324,1243800,Equity
2010-05-13,60.39054489135742,61.2081510400123,60.240521476828015,61.08813803119688,1417100,Equity
2010-05-14,58.43281173706055,60.15054202914857,57.96774751295455,59.92550966072064,3078100,Equity
2010-05-17,58.56780242919922,59.19788360754343,57.217620300164256,58.69531804060581,3298200,Equity
2010-05-18,58.35029220581055,59.94050660720273,58.290282819461396,59.04788558439178,3089900,Equity
2010-05-19,57.412654876708984,57.997731962995516,56.50503456044283,57.94522519173413,3473800,Equity
2010-05-20,55.7099494934082,56.95511879938554,55.67995051601169,56.29503256324553,3900500,Equity
2010-05-21,57.83271026611328,57.855212351012746,54.532269041046035,55.274872179582225,5360900,Equity
2010-05-24,56.98511505126953,57.81022415482091,56.70007330295884,57.3151609818143,2913600,Equity
2010-05-25,57.225128173828125,57.28513754571573,55.364877704973246,55.364877704973246,2769400,Equity
2010-05-26,57.64519119262695,58.35028711367172,57.262638541548455,57.757707351509985,3165500,Equity
2010-05-27,59.19038391113281,59.197880789464676,57.97522005284848,58.71781732706274,2222000,Equity
2010-05-28,58.2077751159668,59.19041028197909,57.94524118718887,59.19041028197909,2809100,Equity
2010-06-01,57.19512176513672,58.4327878396981,57.19512176513671,57.78770141835843,1909000,Equity
2010-06-02,58.53780746459961,58.582811635436414,56.992603222572065,57.69769336452152,2122500,Equity
2010-06-03,57.677734375,58.628343549970076,57.17225395691278,58.51517483171172,3228900,Equity
2010-06-04,55.919891357421875,56.961031314587245,55.82935519575438,56.73469378841971,3909700,Equity
2010-06-07,56.010379791259766,56.90063123453132,55.904757226464675,56.14618105399604,3744200,Equity
2010-06-08,57.28543472290039,57.3835112294841,55.708629963815525,56.04059007225472,2843000,Equity
2010-06-09,57.41366958618164,58.364278623999425,57.164699593134245,57.81352734447027,2161600,Equity
2010-06-10,58.583072662353516,59.17154303281277,58.10776524313676,58.266204886875386,2333400,Equity
2010-06-11,58.68116760253906,58.72643279727857,57.919170873749735,57.919170873749735,1470200,Equity
2010-06-14,58.46991729736328,59.32999045906378,58.40201951112418,59.028209089554636,2204400,Equity
2010-06-15,59.82791519165039,59.85054778124128,58.53025966577862,58.85467354724657,2778100,Equity
2010-06-16,60.4239387512207,60.55974007363876,59.29226298307048,59.29226298307048,1927900,Equity
2010-06-17,60.914310455322266,60.95203526952932,59.729823814801826,60.733244010325095,2112400,Equity
2010-06-18,61.238746643066406,61.646150610036734,60.95205752082829,61.10294532074296,2069800,Equity
2010-06-21,61.73667907714844,62.82308376482606,61.34436163648716,61.84984779103149,2150200,Equity
2010-06-22,60.77098846435547,62.19689941102746,60.75589623139577,61.683872854404704,1776000,Equity
2010-06-23,60.506935119628906,61.14067660943912,59.67704062040231,60.73327259941853,2269200,Equity
2010-06-24,59.677032470703125,60.95205563779414,59.59404245651374,60.27304904715394,2435700,Equity
2010-06-25,59.941078186035156,60.35602818218745,59.19417394896042,59.941078186035156,2239200,Equity
2010-06-28,59.86565017700195,60.33341159161326,59.48087878362815,60.14479895352819,1151600,Equity
2010-06-29,58.3718147277832,59.38277524470932,58.047400907755005,59.21679527781141,1706000,Equity
2010-06-30,57.330711364746094,58.824526394996404,57.22508871933473,58.40203581335095,1917000,Equity
2010-07-01,57.91917037963867,58.27376308474336,57.111908462996624,57.12700069844862,2202400,Equity
2010-07-02,58.002166748046875,58.35675949191948,57.46650745096342,58.070070303002154,1478800,Equity
2010-07-06,58.43973159790039,58.839589418393615,57.73809244397827,58.57553291014339,1572700,Equity
2010-07-07,60.28813171386719,60.31830466332969,58.50762838360459,58.598158743991135,1672600,Equity
2010-07-08,61.17086410522461,61.17086410522461,60.40132116826875,60.801179118097835,1690800,Equity
2010-07-09,61.35944747924805,61.71404005969361,60.90677842684917,61.14820230519519,1476700,Equity
2010-07-12,61.48770523071289,61.67631782344513,60.914321337126985,61.155745225584276,1239700,Equity
2010-07-13,62.989044189453125,63.27573894293415,61.75174634937174,61.95545112221332,1926500,Equity
2010-07-14,62.491146087646484,62.76274877068165,61.15576527005673,61.35947016033381,2610400,Equity
2010-07-15,62.47603988647461,62.73255603244644,61.63105906680302,62.61184119763614,1602700,Equity
2010-07-16,61.08030319213867,62.15162136990896,60.87660411844984,62.15162136990896,2026900,Equity
2010-07-19,61.13311004638672,61.472616152526165,60.61253747057247,61.351901335410105,1396700,Equity
