Price,Close,High,Low,Open,Volume,Asset Class
Ticker,LNT,LNT,LNT,LNT,LNT,Equity
Date,,,,,,Equity
2010-01-04,8.928818702697754,9.031787068850601,8.896457071901372,8.970005824705913,1332800,Equity
2010-01-05,9.13769817352295,9.152408262827452,8.91705188414819,8.934703991313594,3684600,Equity
2010-01-06,9.208305358886719,9.270086614653328,9.105337534496634,9.105337534496634,2092400,Equity
2010-01-07,9.258317947387695,9.284795546566368,9.134756004931397,9.184769185476387,1404400,Equity
2010-01-08,9.437777519226074,9.78198518088894,9.30244750764141,9.484848681220955,2466200,Equity
2010-01-11,9.417180061340332,9.537799948583643,9.375993508135652,9.514264935647352,1471200,Equity
2010-01-12,9.420125007629395,9.511325871064425,9.373053847658245,9.373053847658245,1424400,Equity
2010-01-13,9.508386611938477,9.54663229347549,9.420128296462222,9.470140930401463,1657400,Equity
2010-01-14,9.614293098449707,9.626061168293491,9.458370100946745,9.487789153291297,2864200,Equity
2010-01-15,9.623119354248047,9.655480987757102,9.567222701446497,9.605468370344925,1978200,Equity
2010-01-19,9.755507469177246,9.799637174027467,9.61135140596287,9.649597075348726,1636400,Equity
2010-01-20,9.69078254699707,9.723144175394031,9.584873293513592,9.684898512537185,1662200,Equity
2010-01-21,9.646656036376953,9.80257905500534,9.578991309004916,9.676075092707382,2532000,Equity
2010-01-22,9.402471542358398,9.6996091085557,9.378935965775655,9.64959537704341,2004800,Equity
2010-01-25,9.361283302307129,9.493671255435105,9.30832812105594,9.484845765981467,2595400,Equity
2010-01-26,9.337750434875488,9.384821596045185,9.234782059392089,9.367170050889674,3661000,Equity
2010-01-27,9.261786460876465,9.321367173300597,9.127730142024058,9.321367173300597,2056400,Equity
2010-01-28,9.309447288513184,9.37200650155428,9.199223182607618,9.273698760915723,1860400,Equity
2010-01-29,9.294554710388184,9.398820091372887,9.261785265962299,9.321365970699595,2795800,Equity
2010-02-01,9.327325820922852,9.342221284777162,9.196249148228,9.342221284777162,1603800,Equity
2010-02-02,9.413712501525879,9.428607388782261,9.208159761807348,9.357110907185278,2437600,Equity
2010-02-03,9.366050720214844,9.45244211249461,9.309449110525817,9.407756870404823,1962800,Equity
2010-02-04,9.115813255310059,9.50010704326744,9.089001994731204,9.419673829734593,1778400,Equity
2010-02-05,9.14560317993164,9.160498071465556,8.97281982440125,9.106875552817558,2423200,Equity
2010-02-08,9.121770858764648,9.231994417946138,9.112833583072765,9.181350992099494,1696000,Equity
2010-02-09,9.172412872314453,9.270720616973783,9.112832179949697,9.157517415121466,816600,Equity
2010-02-10,9.124748229980469,9.193266198556895,9.041335940206123,9.13666459606458,1008800,Equity
2010-02-11,9.208162307739258,9.211141399654919,9.032399862141087,9.115812731168523,1111000,Equity
2010-02-12,9.22603702545166,9.23199520975727,9.080064919186562,9.160498702701124,2468800,Equity
2010-02-16,9.431587219238281,9.44052449321484,9.30051004193327,9.30348913325879,1185600,Equity
2010-02-17,9.413712501525879,9.494146256398809,9.333278746652951,9.434565570966226,1070200,Equity
2010-02-18,9.506065368652344,9.523939353235855,9.395841800816338,9.422652493589744,922000,Equity
2010-02-19,9.657994270324707,9.678848481677154,9.455421136426896,9.467337503940477,1004800,Equity
