Price,Close,High,Low,Open,Volume,Asset Class
Ticker,MOS,MOS,MOS,MOS,MOS,Equity
Date,,,,,,Equity
2010-01-04,47.799930572509766,48.303415068863536,46.537351465352316,46.82394883236548,4072100,Equity
2010-01-05,48.91536331176758,49.442084787239835,48.35765752483776,48.35765752483776,6505800,Equity
2010-01-06,50.78986740112305,51.08420948139933,48.77593453001833,49.852614185599585,9995100,Equity
2010-01-07,50.93705368041992,51.39405906603606,49.922336490418125,50.41807375025617,5544100,Equity
2010-01-08,51.66515350341797,51.87429612443035,50.72015861508154,50.92154777130815,4074500,Equity
2010-01-11,51.363059997558594,52.889003213056796,50.642691075356744,52.555929283229005,4027700,Equity
2010-01-12,48.404136657714844,49.852619317620444,47.76897005716152,49.0547924600234,10232000,Equity
2010-01-13,48.44285202026367,48.60551518663043,47.01760651651844,48.225964843615415,6831400,Equity
2010-01-14,47.12605667114258,48.8688842063848,46.95564592215222,48.62101563775868,4516300,Equity
2010-01-15,47.68375778198242,48.48158447483625,47.025354559923194,47.61404456917206,5458800,Equity
2010-01-19,48.830162048339844,48.87663556461665,47.55208716384488,47.63729255012146,4479800,Equity
2010-01-20,48.047828674316406,48.318937014469654,47.10283064916016,48.171762986869375,4317400,Equity
2010-01-21,46.52961730957031,49.10900321978022,46.490888403660264,48.08654473865903,5739800,Equity
2010-01-22,45.414207458496094,46.862689769474,45.174083521559766,46.537363424101585,3872100,Equity
2010-01-25,45.514892578125,46.99435888790091,45.499403383314096,45.98739280014369,3217100,Equity
2010-01-26,45.37549591064453,46.653567983981425,44.198118437111056,45.04242188402789,4684000,Equity
2010-01-27,44.95721435546875,45.95643638791704,43.95024772141342,45.5536491433295,4180800,Equity
2010-01-28,43.03622817993164,45.08114562628736,42.46303019035529,44.53893195070472,7023300,Equity
2010-01-29,41.44831466674805,44.37626723395911,41.20819362848319,43.56294822549976,5921900,Equity
2010-02-01,43.58617401123047,43.58617401123047,41.86658348833116,41.8898231946041,3562000,Equity
2010-02-02,43.686973571777344,44.07461309932623,42.83416779415175,44.00483786606923,5062300,Equity
2010-02-03,44.68707275390625,45.307295246761,44.00482653303895,44.462241176041985,4821300,Equity
2010-02-04,41.87282180786133,43.958324425749915,41.87282180786133,43.74124427228912,4867200,Equity
2010-02-05,42.77989196777344,42.91168796744685,40.988996559142414,42.20618425328089,4786900,Equity
2010-02-08,42.28372573852539,43.88855334955427,42.26046535285255,43.15203756229315,3891800,Equity
2010-02-09,44.121116638183594,44.578531251057825,43.05898550428897,43.05898550428897,5042800,Equity
2010-02-10,44.51651382446289,45.06696410109492,43.78775270995108,44.64831277772555,5103100,Equity
2010-02-11,45.291786193847656,45.67942559485267,44.50875590509726,44.733587467469114,6274000,Equity
2010-02-12,45.60965347290039,45.842236522681006,44.26841853900916,44.493250102027126,4379600,Equity
2010-02-16,46.81133270263672,46.85784753580987,46.08256877008364,46.5167259435737,4501900,Equity
2010-02-17,47.49358367919922,47.74942713344195,46.671789945471296,47.57886483061346,4766600,Equity
2010-02-18,46.95090103149414,47.485842519272374,46.45471994784696,47.22224752005087,4969500,Equity
2010-02-19,47.121456146240234,47.5633649346981,46.749322585299645,47.36179369823411,4479700,Equity
2010-02-22,47.043922424316406,47.61762713628497,46.74931562339908,47.61762713628497,4226600,Equity
2010-02-23,45.6484260559082,47.10594837335316,45.384831090846106,46.96640088121867,4260900,Equity
2010-02-24,44.671566009521484,45.64066456118776,44.206399887703306,45.353812217981684,4302000,Equity
2010-02-25,45.36932373046875,45.5864008863588,43.37685709975092,44.19089939179307,5280000,Equity
2010-02-26,45.26852798461914,45.84998707595942,44.84212524246038,45.53987733505026,2887500,Equity
2010-03-01,46.090328216552734,46.129091567555655,44.942915873632394,45.36156420489971,3433200,Equity
2010-03-02,47.67190170288086,48.26111237599055,47.21448702551707,47.47808197446323,4776700,Equity
2010-03-03,47.5013427734375,48.253364319561605,47.33853489977802,47.671905092959555,3092100,Equity
2010-03-04,46.85010528564453,47.966505863698494,46.62527368947084,47.68740497982141,3675400,Equity
2010-03-05,47.75718307495117,48.18358887178921,47.45482475170569,47.563363333644624,3965200,Equity
2010-03-08,47.586612701416016,48.447172626863356,47.501331561783736,48.10604806833425,2208700,Equity
2010-03-09,47.27650451660156,48.16032194359757,46.99740365387564,47.29201044869235,3738600,Equity
2010-03-10,46.78807830810547,47.52459382116271,46.47796853665527,47.501336401603844,4439500,Equity
2010-03-11,46.46246337890625,46.857854305268276,45.87324977565771,46.803585020423576,3482900,Equity
2010-03-12,49.46278381347656,50.160532916190384,48.92784253898393,49.129413713335815,11275600,Equity
2010-03-15,48.3696403503418,49.455031774595085,48.06728211346581,49.245706158883934,4364000,Equity
2010-03-16,48.87358093261719,49.439534155810634,48.60998599712737,48.84256906786445,3693800,Equity
2010-03-17,47.99751281738281,49.37750820479677,47.741672338318615,49.34649929889334,4054900,Equity
2010-03-18,46.175621032714844,48.261120601241366,45.873259720589566,47.86572958916194,8493000,Equity
2010-03-19,45.291786193847656,46.43144697918765,45.05145165799507,45.291786193847656,5150300,Equity
2010-03-22,45.888755798339844,46.03606067816874,44.4467395671896,44.66381670699528,4734200,Equity
2010-03-23,45.84999465942383,46.36167862613625,45.19876025111216,45.69493828459641,3511100,Equity
2010-03-24,46.73380661010742,47.17571530362392,45.315047898673924,45.384823111200426,6392200,Equity
2010-03-25,45.30730056762695,47.524598827753415,45.206516433951734,47.400554314614745,4787700,Equity
2010-03-26,46.01279830932617,46.671787102643805,45.446845106859506,45.60965591212166,3814300,Equity
2010-03-29,46.68729019165039,47.129198870195246,46.059313300187426,46.570997188894836,3211600,Equity
2010-03-30,46.555503845214844,46.96640373057971,46.05932575322039,46.695054303270126,2674400,Equity
2010-03-31,47.11370086669922,47.136958288182065,46.23763484890753,46.23763484890753,4428100,Equity
2010-04-01,45.22200393676758,46.679525632745246,44.73357757146431,46.20660519494642,11131600,Equity
2010-04-05,44.95841598510742,45.81122142658206,44.733584437961916,45.81122142658206,4738000,Equity
2010-04-06,44.60956573486328,45.19102513300032,44.470015242713956,44.57855385717333,3516000,Equity
2010-04-07,44.18315124511719,45.03595695699794,43.93505924575341,44.54753036185296,4964100,Equity
2010-04-08,44.6483154296875,44.71809065439348,43.54741776848812,43.811012733215755,2732200,Equity
2010-04-09,43.91954803466797,45.13673559254909,43.67145903926889,45.13673559254909,5010300,Equity
2010-04-12,43.99708557128906,44.229668692069225,43.68697277194562,44.09011822811016,2990700,Equity
2010-04-13,44.02034378051758,44.322702138664916,43.52416565869067,43.81877252757098,4738500,Equity
2010-04-14,42.9504508972168,43.41561703966004,42.29921652332373,43.074495399031946,9088300,Equity
2010-04-15,42.76438903808594,43.71023035377506,42.61708709443544,43.074501817560794,4966100,Equity
2010-04-16,41.96584701538086,42.74887739060508,41.79528471371738,42.648090307126274,5492900,Equity
