Price,Close,High,Low,Open,Volume,Asset Class
Ticker,MS,MS,MS,MS,MS,Equity
Date,,,,,,Equity
2010-01-04,22.326580047607422,23.09222750938718,22.124332950401456,22.174895757974674,20371000,Equity
2010-01-05,23.142799377441406,23.207807349219312,22.34103531064469,22.398820021369918,22523400,Equity
2010-01-06,23.438945770263672,23.54006866778876,22.962221570936613,23.092236134456233,17028500,Equity
2010-01-07,23.778423309326172,24.031233243884643,23.308923868674615,23.446161658023545,18693000,Equity
2010-01-08,23.29448127746582,23.706197470310595,23.09945738263534,23.547288499250485,15993400,Equity
2010-01-11,23.142799377441406,23.446168075476727,22.940552201055013,23.395606625804174,10088500,Equity
2010-01-12,22.48549461364746,23.012781607065847,22.384371722329774,22.846649371434705,14813400,Equity
2010-01-13,22.579395294189453,23.113904162626667,22.182124239776677,22.456602623217655,18715500,Equity
2010-01-14,22.536056518554688,22.608286365011583,21.922093179798985,22.46382529440178,24690000,Equity
2010-01-15,21.943767547607422,22.456608138571543,21.65484395015402,22.36993037048733,27908700,Equity
2010-01-19,22.507165908813477,22.57939714076808,21.907649025673756,22.01599518475758,16979500,Equity
2010-01-20,22.124340057373047,22.56494930674938,21.922094272895578,22.218241066762793,21198800,Equity
2010-01-21,21.19255828857422,22.066552017048906,20.398017658699857,21.878752782032954,56774400,Equity
2010-01-22,20.080204010009766,21.076991914408115,19.80572699989339,20.694167374647,46713700,Equity
2010-01-25,20.036869049072266,20.60027105864166,19.76239199478746,20.38357734217822,21100900,Equity
2010-01-26,19.7407169342041,20.434134712799157,19.65403919524375,19.99352551366788,24376400,Equity
2010-01-27,20.225557327270508,20.341338579429866,19.47297780801328,19.784140440774582,31041900,Equity
2010-01-28,19.892681121826172,20.44264264716402,19.62493754857475,20.406461530850407,25480700,Equity
2010-01-29,19.3789005279541,20.1531879483902,19.284827424782403,20.13871495094517,21166100,Equity
2010-02-01,19.943342208862305,20.261741388573363,19.48021713308011,19.5019266385905,19559900,Equity
2010-02-02,20.305152893066406,20.413697627425922,19.90715507367446,19.972282190334404,20992500,Equity
2010-02-03,20.18212890625,20.572891485137358,20.03740309868564,20.37751019569368,18498800,Equity
2010-02-04,19.270357131958008,20.00846354259677,19.17628539580422,19.979518923865292,29785300,Equity
2010-02-05,19.72624397277832,19.74795346871197,18.923010566106193,19.23417310671687,25551300,Equity
2010-02-08,19.248647689819336,19.928863436016155,19.09668396620614,19.603227871288663,14517500,Equity
2010-02-09,19.632171630859375,19.755189352138494,19.24141035046873,19.436791680774576,19517300,Equity
2010-02-10,19.907155990600586,20.080827849619393,19.55981227256297,19.595993392275588,13858300,Equity
2010-02-11,19.624942779541016,19.921632429101905,19.451269510324487,19.827559293257828,18823500,Equity
2010-02-12,19.653879165649414,19.755187380040926,19.140100215268568,19.25588142606484,16628700,Equity
2010-02-16,20.131484985351562,20.211085116910297,19.798614217417672,19.863741346834555,15765300,Equity
2010-02-17,19.820310592651367,20.232781247667237,19.70452940458448,20.167655537072665,16590200,Equity
2010-02-18,19.72624397277832,19.89267930093999,19.538099148683003,19.70453447684467,12147400,Equity
2010-02-19,19.834793090820312,19.899920212843686,19.480212859927107,19.610467103973857,12358500,Equity
2010-02-22,20.051883697509766,20.167666327746577,19.762430572471168,19.914394325754788,14503100,Equity
2010-02-23,19.646650314331055,20.565665240419438,19.610469189457614,20.00123058293225,20896400,Equity
