Price,Close,High,Low,Open,Volume,Asset Class
Ticker,MSCI,MSCI,MSCI,MSCI,MSCI,Equity
Date,,,,,,Equity
2010-01-04,28.472749710083008,28.793269016547647,28.312490056850685,28.45494270457508,470900,Equity
2010-01-05,28.579591751098633,28.89120929009768,28.241267096995454,28.4104302731319,1330400,Equity
2010-01-06,27.805011749267578,28.730955972749822,27.65365554728183,28.50837342266314,1901900,Equity
2010-01-07,29.719219207763672,30.80541960266493,27.885138008778657,28.089913520902172,2247900,Equity
2010-01-08,30.716384887695312,31.250581527206425,29.728118047894288,29.728118047894288,1648100,Equity
2010-01-11,30.45819091796875,30.956776980479468,29.95960825179772,30.6807734357493,1458600,Equity
2010-01-12,29.585670471191406,30.093158384885616,29.452122986521346,30.093158384885616,692900,Equity
2010-01-13,29.692514419555664,29.888388174186158,29.57677392485636,29.57677392485636,603700,Equity
2010-01-14,29.469924926757812,29.915089976384603,29.452121313551757,29.79934950884629,473400,Equity
2010-01-15,28.615211486816406,29.50554166821749,28.552888645825536,29.380895986235753,750300,Equity
2010-01-19,28.93572998046875,29.149410711637195,28.56179294634897,28.56179294634897,410800,Equity
2010-01-20,28.561792373657227,28.926827593314844,28.561792373657227,28.846697745275858,531500,Equity
2010-01-21,27.66255760192871,28.917922982709378,27.564620741613766,28.713147454932674,532300,Equity
2010-01-22,27.110549926757812,27.894039601165456,26.95029025063199,27.573520248913816,548900,Equity
2010-01-25,27.05712890625,27.484488608699714,26.594158584031586,27.33313243657934,374900,Equity
2010-01-26,26.23802947998047,27.146166660298253,26.1757066398318,26.941391128904055,789000,Equity
2010-01-27,26.620868682861328,26.700998524802692,25.99763865441384,26.2647369954385,801900,Equity
2010-01-28,26.433902740478516,26.6208712576455,26.113383341712254,26.6208712576455,615100,Equity
2010-01-29,26.318159103393555,26.62087149421399,26.309255597996483,26.594162676192784,651500,Equity
2010-02-01,26.6297664642334,26.781122611130915,26.318150667895043,26.371571683154972,1482900,Equity
2010-02-02,26.478416442871094,26.727709477247295,26.22022160206169,26.585256799937998,808600,Equity
2010-02-03,26.22022247314453,26.42499799130842,26.02434876170957,26.24693128967117,518000,Equity
2010-02-04,25.454544067382812,26.015451423610862,25.401124723496885,25.899709228829632,792000,Equity
2010-02-05,25.623703002929688,25.677122337848445,24.93814836182047,25.383313448540214,714500,Equity
2010-02-08,24.822404861450195,25.588089365533005,24.813503053971615,25.57918585988436,632300,Equity
2010-02-09,25.249757766723633,25.864084205680566,24.94704544977256,25.116206916527286,635000,Equity
2010-02-10,25.40111541748047,25.4189207268057,24.89362589289316,25.116208392070686,399900,Equity
2010-02-11,25.997638702392578,26.2736405483834,24.91143493103607,25.392213983571544,749500,Equity
2010-02-12,25.970932006835938,26.00654433179422,25.463444064447224,25.650412591360922,795600,Equity
2010-02-16,26.335969924926758,26.335969924926758,25.73054505568265,26.193517214301117,250600,Equity
2010-02-17,25.890798568725586,26.522933806382685,25.837379239598317,26.45170576998652,619900,Equity
2010-02-18,25.55247688293457,26.08667363318598,25.472347030762847,25.970931456810188,768800,Equity
2010-02-19,26.0777645111084,26.140087334611888,25.46343638283051,25.56137152054903,728400,Equity
2010-02-22,26.140092849731445,26.424998216240247,25.89970330992592,26.095575324858235,646200,Equity
2010-02-23,26.229124069213867,26.416094274248316,26.086671388316148,26.166801233592352,661700,Equity
2010-02-24,26.67429542541504,26.71881296007246,26.18461443137558,26.255840788657142,343800,Equity
2010-02-25,26.567445755004883,26.611961573088166,26.157893096326337,26.300347450165976,301800,Equity
2010-02-26,26.692092895507812,26.745513917996007,26.282541912116542,26.66538408243342,367800,Equity
2010-03-01,25.454544067382812,26.255841018353024,24.84021566909851,25.009378905935993,5746900,Equity
2010-03-02,29.03367042541504,29.14050910602022,26.23803224430291,26.478421822919884,4981500,Equity
2010-03-03,28.5974063873291,29.12270136532467,28.454953684635743,28.989153866991085,1290300,Equity
2010-03-04,29.265153884887695,29.56786630075936,28.463857012709234,28.51727635134242,1332500,Equity
2010-03-05,29.932889938354492,31.312900588011757,29.256240716625555,29.416500368465908,2729900,Equity
2010-03-08,30.28013038635254,30.983492100791675,29.826063452069015,29.995224977323588,2221300,Equity
2010-03-09,29.897289276123047,30.29793514275094,29.83496303847013,30.18219466393583,896600,Equity
2010-03-10,29.897289276123047,30.03974197002944,29.674706729623047,29.8438682422806,896000,Equity
2010-03-11,30.556129455566406,30.57393646553236,29.50553964195412,29.692508152086848,729400,Equity
2010-03-12,31.036907196044922,31.580009089376222,30.333545616276854,30.556128136734618,1573400,Equity
2010-03-15,30.76091957092285,30.938986358730606,30.271238451707642,30.938986358730606,869800,Equity
2010-03-16,31.09032440185547,31.1348436224096,30.662966375985324,30.73419441180019,626500,Equity
2010-03-17,31.490968704223633,31.517680911660634,30.93896509805347,31.17935458695156,1122600,Equity
2010-03-18,31.357433319091797,31.695756377652273,31.206075406501725,31.31291408834501,600100,Equity
2010-03-19,31.223878860473633,31.597819298812155,30.97458749914133,31.22387886047363,1364200,Equity
2010-03-22,31.802587509155273,31.882717342041584,30.49380137079198,31.170450651345813,576600,Equity
2010-03-23,32.221046447753906,32.221046447753906,31.642333896285045,31.847109420313096,724300,Equity
2010-03-24,31.98956298828125,32.27446836837766,31.802594469406742,32.13201567832945,438000,Equity
2010-03-25,31.909440994262695,32.568286970662236,31.89163397907991,32.30118513926134,595700,Equity
2010-03-26,31.838197708129883,32.0518783917978,31.30400109346895,31.945039748133468,643100,Equity
2010-03-29,31.86490249633789,31.989548117644897,31.544383243640752,31.936127110082555,358200,Equity
2010-03-30,32.1854248046875,32.603877516468735,31.660130067638107,31.829291513137857,490300,Equity
2010-03-31,32.14091873168945,32.37240648470528,31.962855409480557,32.11420991262615,397100,Equity
2010-04-01,32.470340728759766,32.470340728759766,32.114207320408276,32.33678985154298,238000,Equity
2010-04-05,32.924407958984375,32.93331316227777,32.44362887133887,32.48814809512599,353900,Equity
2010-04-06,33.27164077758789,33.34286882844368,32.39911753264695,32.8086686360465,605000,Equity
2010-04-07,33.21821212768555,33.63666490060185,33.00453144226971,33.00453144226971,942700,Equity
2010-04-08,32.221046447753906,32.87989224377716,31.864916430620745,32.461435992397256,1133700,Equity
2010-04-09,32.60388946533203,32.63060167960811,31.864917199601017,32.399113936362234,614000,Equity
2010-04-12,33.0312385559082,33.06685256770284,31.713550686558467,32.737431449450185,848700,Equity
2010-04-13,32.96001052856445,33.1825929848111,32.79084908449895,32.94220352450407,447900,Equity
2010-04-14,33.0401496887207,33.22711818970034,32.933311030495155,33.20040937422888,512800,Equity
2010-04-15,33.79692459106445,33.85034561154351,32.986724460331374,33.04014548081044,452000,Equity
2010-04-16,33.16480255126953,34.375652261656526,32.8977041495878,33.58325886491986,814300,Equity
2010-04-19,32.48814392089844,32.99563176053987,32.20323518989496,32.91550192289441,591000,Equity
2010-04-20,33.2894401550293,33.35176298706353,32.40801530406536,32.68401544697707,349800,Equity
2010-04-21,32.0429801940918,33.378475277435875,31.642330989820646,33.378475277435875,1384300,Equity
2010-04-22,32.44362258911133,32.48814180427796,31.669036473229564,31.731359298855725,739700,Equity
2010-04-23,32.67510986328125,32.69291686985232,32.32788172599348,32.550464213622995,324700,Equity
2010-04-26,32.906593322753906,32.97782134723452,32.29226689513475,32.55046338936826,362400,Equity
