Price,Close,High,Low,Open,Volume,Asset Class
Ticker,NEE,NEE,NEE,NEE,NEE,Equity
Date,,,,,,Equity
2010-01-04,8.53742504119873,8.615985653404774,8.476500522238933,8.50375646951036,10408800,Equity
2010-01-05,8.45405387878418,8.564679435718093,8.378699892867001,8.545440341381711,11186400,Equity
2010-01-06,8.53742504119873,8.551854516436581,8.438022329337896,8.439625332542168,13493200,Equity
2010-01-07,8.513374328613281,8.529407416050066,8.441227575746867,8.527803801506513,9768800,Equity
2010-01-08,8.439626693725586,8.526203559116224,8.409164735132562,8.494137985460437,9074400,Equity
2010-01-11,8.433213233947754,8.617589818899056,8.320984646516456,8.460469184895306,24571600,Equity
2010-01-12,8.22799301147461,8.369081138551753,8.17989496703462,8.369081138551753,22500400,Equity
2010-01-13,8.256851196289062,8.296932998212796,8.109350458777609,8.20714954172772,23431200,Equity
2010-01-14,8.017966270446777,8.11897261885768,7.9602489686691,8.096526899566364,32314400,Equity
2010-01-15,8.104538917541504,8.117365385653137,7.921766028148349,7.969864060367653,24167600,Equity
2010-01-19,8.159052848815918,8.160656463653494,8.037204419954232,8.054840513568392,14181200,Equity
2010-01-20,8.013154983520508,8.109351689699057,7.916958888941812,8.109351689699057,15854800,Equity
2010-01-21,7.860843658447266,8.066062922659109,7.840001559516239,8.00513840581498,18664400,Equity
2010-01-22,7.718153476715088,7.873671100082519,7.714946858422987,7.859241623568016,14230000,Equity
2010-01-25,7.65562629699707,7.782284973092628,7.644403438264545,7.76144225904654,21731600,Equity
2010-01-26,7.891307830810547,7.94742212644453,7.713344476657127,7.775872009392123,25260000,Equity
2010-01-27,7.977883815765381,7.979487430786437,7.82076318169813,7.880084705478571,17494400,Equity
2010-01-28,7.857635021209717,7.987500260466479,7.8351893132985975,7.987500260466479,13256400,Equity
2010-01-29,7.817555904388428,7.888100280971019,7.806333046586629,7.854431707565626,23262800,Equity
2010-02-01,7.892906188964844,7.90252603895466,7.78228066628012,7.799916752128321,11096400,Equity
2010-02-02,7.949024677276611,7.950627680537273,7.807936537943459,7.889703159434341,10453600,Equity
2010-02-03,7.920165061950684,7.932990921760577,7.870463402637779,7.904131972688544,15056800,Equity
2010-02-04,7.698911190032959,7.876874456141121,7.690894953422609,7.860841371320771,18499600,Equity
2010-02-05,7.599507808685303,7.695703862324522,7.493691905042325,7.6844810097866,25320000,Equity
2010-02-08,7.517744064331055,7.904132682026812,7.5145374461908565,7.597907683036398,9212400,Equity
