Price,Close,High,Low,Open,Volume,Asset Class
Ticker,NI,NI,NI,NI,NI,Equity
Date,,,,,,Equity
2010-01-04,3.5953786373138428,3.6371039090225703,3.5768333219404607,3.6069687561382975,6905603,Equity
2010-01-05,3.5861051082611084,3.6231951702780005,3.5513336322547375,3.604650420583072,8784322,Equity
2010-01-06,3.544379949569702,3.597695895554263,3.5235166132394085,3.588423520429097,7382791,Equity
2010-01-07,3.5003345012664795,3.5466969295565014,3.4794720133599197,3.535105970842164,7407223,Equity
2010-01-08,3.4817910194396973,3.5072901230827385,3.447019540045873,3.477154972221078,15739298,Equity
2010-01-11,3.525834798812866,3.5327891508048888,3.4655639357576984,3.4864272730473043,7952107,Equity
2010-01-12,3.537425994873047,3.5745155024854953,3.500335924633439,3.51656293585586,6515964,Equity
2010-01-13,3.5930604934692383,3.5976968228836275,3.530471874913369,3.565243360923696,6572717,Equity
2010-01-14,3.5976953506469727,3.609285747469566,3.581468626307252,3.5953776088586338,3255310,Equity
2010-01-15,3.544379949569702,3.588423520429097,3.5026538395361664,3.5768328405374947,5240155,Equity
2010-01-19,3.5976953506469727,3.5976953506469727,3.528152407084445,3.551333200729632,2950164,Equity
2010-01-20,3.5837864875793457,3.5837864875793457,3.5397426440661572,3.5768321372744274,3826153,Equity
2010-01-21,3.4470181465148926,3.579150221158583,3.4168830078360077,3.5397421478506077,22677223,Equity
2010-01-22,3.3797948360443115,3.4771554994745455,3.3751590694362994,3.4447020387689964,11887695,Equity
2010-01-25,3.4006576538085938,3.4354291331259015,3.363567588259989,3.409930029538973,7603442,Equity
2010-01-26,3.4331111907958984,3.4493379216958724,3.3821129740570095,3.402976315662114,6195039,Equity
2010-01-27,3.4025003910064697,3.4519479339372925,3.3671803909115723,3.4425292862954047,8991231,Equity
2010-01-28,3.3695359230041504,3.428402992273314,3.353053212189115,3.4095651186252014,9851186,Equity
2010-01-29,3.355407238006592,3.4142740116031054,3.3554072380065914,3.3883726540807455,8842603,Equity
2010-02-01,3.4966866970062256,3.529651530825404,3.355406143555258,3.371888846216081,14476978,Equity
2010-02-02,3.5720365047454834,3.574391381081768,3.463721908820087,3.491977853093936,8762944,Equity
2010-02-03,3.5579090118408203,3.579100900611819,3.5296524933930953,3.5296524933930953,6164499,Equity
2010-02-04,3.4684298038482666,3.5367154828793486,3.4684298038482666,3.5320063030676065,6140067,Equity
2010-02-05,3.4566571712493896,3.475494177974669,3.3977901321956527,3.463721227365887,7216093,Equity
2010-02-08,3.4331109523773193,3.4754950135145815,3.4284020567529745,3.4472393537581363,5735412,Equity
2010-02-09,3.4872682094573975,3.5343620228888586,3.4519482065729186,3.463722017119901,8917171,Equity
2010-02-10,3.466076374053955,3.4990420725259312,3.4425296098604283,3.4943323196354092,6094512,Equity
2010-02-11,3.4825594425201416,3.4872683382600123,3.414273739136371,3.437820789597461,7384572,Equity
2010-02-12,3.447239398956299,3.459012352549763,3.404855051512021,3.4566580475823714,9643769,Equity
2010-02-16,3.5343620777130127,3.534362077713013,3.4684309664872948,3.487268263551044,7927675,Equity
2010-02-17,3.5249431133270264,3.5508444659066036,3.5202333608561616,3.5508444659066036,5236592,Equity
2010-02-18,3.5320072174072266,3.5626177513613837,3.5108147597634325,3.5131693502788424,8357780,Equity
2010-02-19,3.5696821212768555,3.5814553606362325,3.5013967043396046,3.5178794108935136,6267063,Equity
2010-02-22,3.581454277038574,3.600292140117154,3.567326451232068,3.5908726370754347,6529198,Equity
2010-02-23,3.5414257049560547,3.588518941889471,3.5320070575693716,3.579100294502788,6139304,Equity
2010-02-24,3.5343620777130127,3.557908841918348,3.489623425748784,3.5414261355497434,7452269,Equity
2010-02-25,3.5296518802642822,3.534361632563978,3.4707856915433215,3.489622986234534,4593471,Equity
2010-02-26,3.5367162227630615,3.572036221744907,3.5178789280729115,3.5390705274102525,23137868,Equity
2010-03-01,3.5720365047454834,3.5861646197580503,3.543780560471635,3.5531992085629174,5208852,Equity
2010-03-02,3.5649712085723877,3.59558230675147,3.4990409753078193,3.5814541955153425,6397621,Equity
2010-03-03,3.567326784133911,3.5861640774679517,3.5461346148196835,3.564971622402483,4486072,Equity
2010-03-04,3.5649712085723877,3.588518251133406,3.532006377691312,3.579099605559724,5037319,Equity
