Price,Close,High,Low,Open,Volume,Asset Class
Ticker,NTAP,NTAP,NTAP,NTAP,NTAP,Equity
Date,,,,,,Equity
2010-01-04,25.584335327148438,26.093178747124178,25.442159580653293,25.883655993440083,5320100,Equity
2010-01-05,25.135360717773438,25.70406663828138,24.97821863040683,25.516991909168606,7933900,Equity
2010-01-06,24.955760955810547,25.43467453030435,24.768686277417565,25.04555885670298,5193900,Equity
2010-01-07,24.895904541015625,25.09046099742242,24.686381764187733,24.87345648765085,5373000,Equity
2010-01-08,25.097946166992188,25.135360541645806,24.52923739593545,24.783659139927398,4718400,Equity
2010-01-11,24.64896583557129,25.255088999183904,24.4918237446645,25.09794690827712,5526800,Equity
2010-01-12,24.28229331970215,24.708823349176594,23.98297269870503,24.54419672217488,7329600,Equity
2010-01-13,25.240121841430664,25.344883231896375,24.46937487911824,24.47685661220845,6933200,Equity
2010-01-14,25.180267333984375,25.629245678509346,25.142850093161712,25.16530100856225,5474000,Equity
2010-01-15,24.806108474731445,25.44216136709538,24.686380770714695,25.352366302716224,5337800,Equity
2010-01-19,24.91835594177246,25.32243808382302,24.813594539285454,24.813594539285454,5129400,Equity
2010-01-20,24.319705963134766,24.746235962433275,23.795896340714535,24.746235962433275,5545900,Equity
2010-01-21,23.780941009521484,24.723797852429417,23.661213292383998,24.229920662420543,9320500,Equity
2010-01-22,23.032636642456055,24.027873948948603,23.017670324519834,23.601343878632743,9246500,Equity
2010-01-25,23.144887924194336,23.51155425699463,22.882982992974966,23.204751786135873,5594800,Equity
2010-01-26,23.12991714477539,23.60134621557965,22.84556421216444,23.040122082800046,5227400,Equity
2010-01-27,23.144887924194336,23.35441072735619,22.680941923697137,22.95781317721865,5722600,Equity
2010-01-28,22.314271926879883,23.137400963868018,22.059850198587792,22.89794555542059,9192700,Equity
2010-01-29,21.79794692993164,22.65849183046878,21.64080484168763,22.419034976963214,8728400,Equity
2010-02-01,22.531278610229492,22.56869298145746,21.77549660783695,21.77549660783695,5670000,Equity
2010-02-02,23.174814224243164,23.294541922722125,22.44896487380613,22.55372625315853,8363000,Equity
2010-02-03,23.212228775024414,23.316990148748697,22.942840754285765,23.077534764655088,5400500,Equity
2010-02-04,22.366657257080078,23.159855246125378,22.329242876976878,23.002711709704286,8937500,Equity
2010-02-05,22.733320236206055,22.800667252223427,22.052368342934304,22.50134797396116,9856400,Equity
2010-02-08,22.838077545166016,23.249641275093015,22.598622180316376,22.823111228046272,5738000,Equity
2010-02-09,23.20474624633789,23.33195710100228,22.755766675330225,23.129916079958825,6610900,Equity
2010-02-10,23.017677307128906,23.272099080159144,22.845568880451705,23.11495554869126,4356600,Equity
2010-02-11,23.601348876953125,23.668694467395373,22.82311730665448,23.010192038676237,5711200,Equity
2010-02-12,23.541481018066406,23.65372698681795,23.04012216125226,23.257128084487228,4397400,Equity
2010-02-16,24.170053482055664,24.185019802341483,23.75100650492076,23.878217372816497,7300700,Equity
2010-02-17,24.00542449951172,24.177532863942414,23.721070184371268,24.170048278144105,11614800,Equity
2010-02-18,23.70610809326172,23.72107441299319,22.643523655863074,23.631277921871177,19885800,Equity
2010-02-19,23.414270401000977,23.840800493445922,23.197263061466973,23.548962987615138,10254200,Equity
2010-02-22,22.927875518798828,23.57889612390801,22.853046778185576,23.57889612390801,6244100,Equity
2010-02-23,22.374141693115234,22.860535798500248,22.164618868974294,22.755774386429774,7964600,Equity
2010-02-24,22.32175636291504,22.710872137520877,22.12719847561212,22.49386476916754,9370800,Equity
2010-02-25,22.456451416015625,22.568695971838856,21.850329672756594,21.96257422857983,7590900,Equity
2010-02-26,22.456451416015625,22.6659756335481,22.299307896049527,22.44148509463467,6076300,Equity
2010-03-01,23.541481018066406,23.586379976473737,22.538761877171332,22.65100641865609,9051400,Equity
2010-03-02,23.264610290527344,23.71358986532799,23.040121216760383,23.593862169016713,7709200,Equity
2010-03-03,23.37685775756836,23.95304683306341,23.189783030224888,23.391824078299894,7451900,Equity
2010-03-04,23.46665382385254,23.51155135795594,23.219715245383522,23.4442043431674,5098000,Equity
2010-03-05,23.982973098754883,24.11766709499706,23.548959903789267,23.548959903789267,6557700,Equity
2010-03-08,24.32719612121582,24.611550504100784,24.19998667766931,24.22243473134604,5319400,Equity
2010-03-09,24.357126235961914,24.58909989984986,24.102704520725727,24.102704520725727,4808300,Equity
2010-03-10,24.828554153442383,24.92583379569727,24.259845472834368,24.259845472834368,7204400,Equity
2010-03-11,24.93331527709961,24.948281595337164,24.604064839473402,24.80610585388039,5345100,Equity
2010-03-12,24.626514434814453,25.210186610036374,24.50678673593474,25.09045891115666,4583900,Equity
2010-03-15,24.559165954589844,24.918349029712424,24.35712493960839,24.89590097955893,3756000,Equity
2010-03-16,24.836036682128906,24.865969319865034,24.431957490824978,24.686379202515166,4010400,Equity
2010-03-17,24.72379493713379,24.993182982561844,24.506787583368567,24.506787583368567,5094900,Equity
2010-03-18,24.91835594177246,24.970736643015965,24.566657355499533,24.671418757986537,3209700,Equity
2010-03-19,24.28978157043457,25.127878392371258,24.065292471696935,24.948285400660893,8786600,Equity
2010-03-22,24.64896583557129,24.821074247688326,24.0952262234615,24.0952262234615,3625200,Equity
2010-03-23,24.499311447143555,24.67890161543014,24.267337720694606,24.663935292317213,5347700,Equity
2010-03-24,24.821067810058594,24.903381128099117,24.282294658896074,24.379574294265158,4908300,Equity
2010-03-25,24.409513473510742,25.075499151143767,24.40203173923212,25.06801741686515,6013700,Equity
2010-03-26,24.491823196411133,24.776177583972782,24.30474846727154,24.73876320905163,5679800,Equity
2010-03-29,24.349641799926758,24.836034270508797,24.2598438954379,24.648959584623437,3203800,Equity
2010-03-30,24.37209129333496,24.48433725333235,23.982975581086237,24.327192338429334,3747100,Equity
2010-03-31,24.349641799926758,24.574130852082558,24.132634479211777,24.132634479211777,3523500,Equity
2010-04-01,25.636714935302734,25.943517320783748,24.85848637389722,24.873452692034505,12611400,Equity
2010-04-05,26.018346786499023,26.123108150370616,25.58433215956462,25.68909637796929,5016200,Equity
2010-04-06,26.063251495361328,26.10066586864808,25.674135733204988,25.87617677439388,4068500,Equity
2010-04-07,26.280254364013672,26.631955730959366,25.928555851601512,25.98093654184446,8154800,Equity
2010-04-08,26.07073402404785,26.190461734940516,25.50950984401341,26.138081039833338,5252600,Equity
2010-04-09,26.587059020996094,26.587059020996094,26.093181860853353,26.11563276895105,6107500,Equity
2010-04-12,26.14556121826172,26.587057661151633,25.973452822495634,26.302706148773037,5231100,Equity
