Price,Close,High,Low,Open,Volume,Asset Class
Ticker,NUE,NUE,NUE,NUE,NUE,Equity
Date,,,,,,Equity
2010-01-04,31.448347091674805,31.770791590498757,31.139061441140733,31.178545516827786,4923600,Equity
2010-01-05,31.665510177612305,31.75763719748293,31.185131780949042,31.43519262793575,3610000,Equity
2010-01-06,32.61970520019531,32.96847268140497,31.619463781158345,31.619463781158345,6650900,Equity
2010-01-07,32.39594650268555,32.43543058347567,31.658927899846134,32.43543058347567,4732000,Equity
2010-01-08,32.856590270996094,33.19219623508769,32.13273289182497,32.33014831248317,6611200,Equity
2010-01-11,32.66575622558594,33.37645479468736,32.218279906582836,33.35013206762285,4522300,Equity
2010-01-12,31.856348037719727,32.20511535079689,31.49441936241489,32.112988325476366,5210800,Equity
2010-01-13,31.869510650634766,32.16563503669553,31.185134849577288,31.85634928789059,3397200,Equity
2010-01-14,31.52733612060547,31.941910436908294,31.178568645931687,31.843201429601894,4450700,Equity
2010-01-15,31.211448669433594,31.639184050616148,30.935065151213582,31.547054537694443,3922200,Equity
2010-01-19,31.658937454223633,31.751064493597557,31.007463731078158,31.22462247555117,3438400,Equity
2010-01-20,31.000892639160156,31.382562263508905,30.895604207242474,31.31017850616331,5049300,Equity
2010-01-21,30.066438674926758,31.09300219063318,30.007213808438447,31.000875178378656,5712900,Equity
2010-01-22,29.079364776611328,29.93483579103957,28.63847041680371,29.237298620739505,7093600,Equity
2010-01-25,29.039873123168945,29.842695897324806,28.947746125337325,29.56631490382994,5990800,Equity
2010-01-26,28.664794921875,29.355750198495365,28.131770988912944,28.250220751793403,7585900,Equity
2010-01-27,28.0264835357666,28.99382246185227,27.40791448339007,28.552925549520406,7340000,Equity
2010-01-28,27.24340057373047,28.500281951048425,27.045982626601393,28.500281951048425,6786700,Equity
2010-01-29,26.848560333251953,27.82906035063001,26.697208453305272,27.66454711021759,6653700,Equity
2010-02-01,27.618486404418945,27.750095001876584,27.02623767476722,27.177589570061976,4801700,Equity
2010-02-02,28.2436466217041,28.32261482563448,27.4474027257955,27.861977010470497,5357900,Equity
2010-02-03,27.59874725341797,28.414734235735725,27.50662021724588,27.914612453268028,5049400,Equity
2010-02-04,25.99309539794922,27.17759038238341,25.99309539794922,26.763016259235837,9175200,Equity
2010-02-05,26.624828338623047,26.677473792572748,25.618007879432394,26.302383719138057,8421400,Equity
2010-02-08,26.039159774780273,26.881466900953807,26.032580348601588,26.730114996111578,4748000,Equity
2010-02-09,26.624828338623047,26.967016258475876,26.243158838581348,26.598505611648193,5038000,Equity
2010-02-10,26.26946258544922,26.47345982619662,25.821989058790635,26.38791227229973,6147800,Equity
2010-02-11,27.078874588012695,27.092033435392953,26.256308561770172,26.37475827037088,5957000,Equity
2010-02-12,27.06572723388672,27.27630404473328,26.322126458555907,26.54586463386458,5982400,Equity
2010-02-16,28.092287063598633,28.144932518644296,27.460556664691456,27.625069946298957,7459600,Equity
2010-02-17,27.927780151367188,28.28312952314812,27.76984877075835,28.28312952314812,4983200,Equity
2010-02-18,28.704280853271484,28.80956926842641,27.82248943499628,27.93435978812742,6230100,Equity
2010-02-19,29.184648513793945,29.63870667431117,28.427889096720058,28.467370668749112,7040500,Equity
2010-02-22,28.7305965423584,29.276781787910213,28.64504894155336,29.257038489094764,5398900,Equity
2010-02-23,27.638240814208984,28.756932015886594,27.43424337116726,28.631900272294367,6989100,Equity
2010-02-24,27.697460174560547,28.23706361500266,27.42765845433949,27.861973479823966,5767200,Equity
2010-02-25,27.55925941467285,27.61848428308906,26.651145602381945,27.052558320505927,5943500,Equity
2010-02-26,27.24340057373047,27.684294965698868,26.894630708002982,27.62507008361484,6456900,Equity
2010-03-01,27.8817081451416,28.039641988003222,27.30262324528662,27.49345672964144,5729600,Equity
2010-03-02,28.237062454223633,28.487123370821113,27.96726074509368,28.250223819336522,5721400,Equity
2010-03-03,28.401567459106445,28.941170719795362,28.38182667233853,28.447630968413574,4400600,Equity
2010-03-04,28.63188934326172,28.743759675864794,28.237058486450145,28.40157176183386,4517200,Equity
2010-03-05,29.32284164428711,29.428130020503083,28.921428925503424,28.993815154828077,4963900,Equity
2010-03-08,29.50711441040039,29.783495632101005,29.428148705667997,29.572918745964966,5328200,Equity
2010-03-09,29.56631851196289,29.822958754462256,29.158326395945252,29.289934974467073,4952400,Equity
2010-03-10,29.63213539123535,29.934841777157594,29.316270150088215,29.605815170511768,4868800,Equity
2010-03-11,29.61896324157715,29.632124602283834,29.066198643260844,29.217553036251264,4522300,Equity
2010-03-12,29.796628952026367,29.915078652758837,29.45444120660725,29.75714739196363,6052300,Equity
2010-03-15,29.691349029541016,29.743994471586195,29.36890448296924,29.60580395162686,5030800,Equity
2010-03-16,30.316499710083008,30.402047297882728,29.645285388682634,30.13224568430469,6990500,Equity
2010-03-17,29.684764862060547,30.41520393697088,29.526831071428944,30.184883930227812,7720600,Equity
2010-03-18,29.44129180908203,29.934831550441473,29.164908248578815,29.70451149830997,4503600,Equity
2010-03-19,29.210983276367188,29.618975587240588,28.93460211714538,29.210983276367188,6494500,Equity
2010-03-22,29.388643264770508,29.42154540866893,28.651624698300612,28.783235784166976,3256700,Equity
2010-03-23,30.487594604492188,30.52707617521035,29.421547010191183,29.493933236871563,5863900,Equity
2010-03-24,30.151996612548828,30.342832637883944,30.026967411608755,30.30334854324692,4313600,Equity
2010-03-25,29.533414840698242,30.55339633315406,29.45444668533988,30.55339633315406,5180200,Equity
2010-03-26,30.053285598754883,30.270444339162765,29.67161608416853,29.750581757828893,4033900,Equity
2010-03-29,30.5374813079834,30.762997122446873,30.311965493519924,30.50431773854839,3409800,Equity
2010-03-30,30.219093322753906,30.81604490319014,29.973677449364747,30.81604490319014,2833400,Equity
2010-03-31,30.099702835083008,30.39817989372625,30.006843867997798,30.126232161238008,3034600,Equity
2010-04-01,30.477781295776367,30.656867580103867,30.225733651513462,30.497678928406827,2971000,Equity
2010-04-05,31.525772094726562,31.738021993916643,30.564015845992056,30.802795084917108,5907200,Equity
2010-04-06,31.59873390197754,31.870679247154047,31.253827178545652,31.492608950938376,4088900,Equity
2010-04-07,31.57883071899414,31.877307882071374,31.333417287227512,31.466071555068083,6488500,Equity
2010-04-08,31.499248504638672,31.565575661410563,31.147707489134888,31.340059786079753,4715700,Equity
2010-04-09,31.439542770385742,31.711488072571587,31.147697303500824,31.64515840727137,4397600,Equity
2010-04-12,31.273717880249023,31.658419762489903,31.14769279951098,31.472701786940352,3261500,Equity
2010-04-13,31.174232482910156,31.46607545059499,30.789527973935424,31.273725726325907,4527700,Equity
