Price,Close,High,Low,Open,Volume,Asset Class
Ticker,PRU,PRU,PRU,PRU,PRU,Equity
Date,,,,,,Equity
2010-01-04,29.261566162109375,29.335045683495554,28.368513666323132,28.504168001485887,3001500,Equity
2010-01-05,29.838088989257812,29.89461036296246,29.17112643001243,29.301127314454874,3238500,Equity
2010-01-06,30.18852996826172,30.23374879771707,29.453741238832034,29.962440133289913,2848700,Equity
2010-01-07,30.674631118774414,30.787676071324505,29.832448486237045,30.182888054757633,3068100,Equity
2010-01-08,30.2733097076416,30.62374695936121,29.900263044545984,30.471136666801346,2406500,Equity
2010-01-11,30.233753204345703,30.736800896518076,29.951141947516028,30.60679997711476,2452900,Equity
2010-01-12,29.98504066467285,31.07591980634677,29.736343644804613,30.88939758048355,4279000,Equity
2010-01-13,30.408952713012695,30.45982279522496,29.561119446909263,30.06416683981306,3145300,Equity
2010-01-14,30.567230224609375,30.685926418113326,29.945484254353143,30.256356161405023,2394600,Equity
2010-01-15,30.216796875,30.454191466174077,29.951143743831487,30.397667917726483,3701200,Equity
2010-01-19,30.623760223388672,30.77071714867971,29.888971284627306,30.081147052255947,3343500,Equity
2010-01-20,30.30721664428711,30.510697000634387,29.979388858290115,30.510697000634387,2742400,Equity
2010-01-21,29.159822463989258,30.228092409641352,29.137213051472795,30.007656027986446,5922000,Equity
2010-01-22,28.289379119873047,29.312432383350533,28.13676882159836,29.15417081009629,4867700,Equity
2010-01-25,28.662433624267578,29.075045807325207,28.379822362763495,28.86591407753497,2779500,Equity
2010-01-26,27.9615478515625,29.0241642223956,27.84284952996939,28.40807182957711,2804500,Equity
2010-01-27,29.18242835998535,29.205035613625363,27.803284548801102,28.035025608789145,4747700,Equity
2010-01-28,28.594602584838867,29.448087498414363,28.204599887560388,29.27852120203904,3262800,Equity
2010-01-29,28.25547218322754,29.086347746744604,28.023731057108105,28.848955344640473,3453900,Equity
2010-02-01,28.95069122314453,29.154171626542468,28.447643645939777,28.526774434782915,2694000,Equity
2010-02-02,29.357654571533203,29.385917420201693,28.74156198761583,29.041131365511337,2524100,Equity
2010-02-03,28.464609146118164,29.25591945531729,28.35156420018886,29.12591852215214,3103700,Equity
2010-02-04,27.249370574951172,28.328945240551935,27.22110988702333,28.272423864696258,4758300,Equity
2010-02-05,27.43024253845215,27.791984531530606,26.186754976283037,27.328502333379788,4757900,Equity
2010-02-08,26.576753616333008,27.628067471422103,26.571100185715267,27.441543071773122,3007500,Equity
2010-02-09,27.334150314331055,27.854153786652713,26.712404501072456,27.023278485777716,4967100,Equity
2010-02-10,27.628068923950195,27.854156569049643,27.11371667444736,27.385023142257985,3037400,Equity
2010-02-11,27.46415901184082,27.684595422999283,27.00632804979072,27.11372169554154,5745200,Equity
2010-02-12,27.209787368774414,27.401962939496514,26.633260656608105,27.322832202637567,4265900,Equity
2010-02-16,28.22156524658203,28.232869957583215,27.2154696851615,27.40764545987529,3373400,Equity
2010-02-17,28.58330726623535,29.001572947089432,28.385480214843444,28.8320044388642,4228400,Equity
2010-02-18,28.87156105041504,28.961996547615968,28.362860031064606,28.362860031064606,2723400,Equity
2010-02-19,29.108949661254883,29.24460396760647,28.328942251075382,28.617206843515483,3498200,Equity
2010-02-22,29.22199058532715,29.346338013416705,28.685029019737183,29.182425200550686,3299900,Equity
2010-02-23,28.54936981201172,29.385900490376496,28.272412166303614,29.0411146343244,3093500,Equity
2010-02-24,29.335039138793945,29.363299823436694,28.56633644205985,28.707642021425617,3760200,Equity
2010-02-25,29.527219772338867,29.555480461728248,28.57764594701931,28.871561860204164,4623000,Equity
2010-02-26,29.62331199645996,29.69113809470102,29.103308316357214,29.589397869263042,3370700,Equity
2010-03-01,30.216796875,30.26766699052638,29.809838106941864,29.809838106941864,3211100,Equity
2010-03-02,30.075485229492188,30.437227242674677,29.900267654692687,30.341140463739787,3171800,Equity
2010-03-03,29.860694885253906,30.19417396945892,29.804171362052426,30.143306032805498,2525300,Equity
2010-03-04,30.392000198364258,30.40330490193774,29.792863845880273,29.86069206732115,3400000,Equity
2010-03-05,30.84983253479004,30.945919285747237,30.403306423966743,30.510697879063347,3010900,Equity
2010-03-08,31.268098831176758,31.47157921306132,30.838530813094287,31.0646184492922,3581600,Equity
2010-03-09,31.32462501525879,31.652455048933025,30.889405655750057,31.019406551677033,2955200,Equity
2010-03-10,31.54507064819336,31.99159481490802,31.166370426219355,31.369850885052806,4523500,Equity
2010-03-11,31.550724029541016,31.70898566090077,30.92332662500338,31.23985204387591,3145700,Equity
2010-03-12,31.601585388183594,31.968980823321708,31.432019093563085,31.793761097060813,2590100,Equity
2010-03-15,31.584627151489258,31.997239229541783,31.307667236991183,31.358537337362165,3084600,Equity
2010-03-16,32.268558502197266,32.2911679238015,31.516811405004937,31.8050761400761,3063800,Equity
2010-03-17,32.551151275634766,32.918546621045735,32.39288972679405,32.443759818371696,3611400,Equity
2010-03-18,32.66421127319336,32.77160278013434,32.16116355497333,32.43247011683965,3713800,Equity
2010-03-19,32.76029968261719,33.076825098446704,32.477688397247164,32.76029968261719,5380800,Equity
2010-03-22,32.828125,32.862036971265766,32.16116225383775,32.41551066294222,3403800,Equity
2010-03-23,32.98072814941406,33.02594697907076,32.31941893682836,32.91290206108148,2915200,Equity
2010-03-24,33.003334045410156,33.34812003824758,32.48333049671598,32.49463520292484,2591800,Equity
2010-03-25,33.06550598144531,34.037689069500914,33.00333118076938,33.3424658691421,3812000,Equity
2010-03-26,33.46681594848633,34.02638704246105,33.09376927122059,33.252033000712146,4069900,Equity
2010-03-29,33.86247634887695,33.91334645480526,33.41595010307875,33.68160534027686,2407900,Equity
2010-03-30,33.726829528808594,34.13944390002155,33.57422133317452,33.873788603634495,2843900,Equity
2010-03-31,34.19596481323242,34.20726952314871,33.48943661461192,33.56291615099128,3258000,Equity
2010-04-01,34.64247512817383,34.87421618388216,34.3202985911196,34.46725543974969,2567400,Equity
2010-04-05,35.60901641845703,35.69945192946415,34.732922001296956,34.84596692909402,3848600,Equity
2010-04-06,36.066829681396484,36.30422412872251,35.462042094469325,35.462042094469325,3874000,Equity
2010-04-07,35.51858139038086,36.17423939313533,35.298144964063376,36.038585046703886,4861100,Equity
2010-04-08,35.880313873291016,36.015968183555714,35.01552438332893,35.38291761052328,3162000,Equity
2010-04-09,35.902931213378906,36.174237737673145,35.52988447295526,36.021627413479024,2198900,Equity
2010-04-12,35.65987014770508,36.29291843396255,35.59769535816921,36.123352198233974,3079400,Equity
2010-04-13,35.823795318603516,35.91988208897591,35.196398127082105,35.48466059435158,2796700,Equity
2010-04-14,36.801631927490234,36.84119732420055,35.7785785761819,35.98205899135062,2996600,Equity
2010-04-15,36.43423843383789,36.76772192012847,36.112061811383626,36.64902141137239,2317900,Equity
2010-04-16,35.51858139038086,36.59250282867295,34.913793498019096,36.27597961392074,4410200,Equity
2010-04-19,35.98771286010742,36.038582967565326,35.026836406584316,35.23031683641594,2748200,Equity
2010-04-20,36.89771270751953,36.99945289857095,36.25335960162861,36.3946651829609,3029600,Equity
2010-04-21,36.654666900634766,37.1577144247199,36.095098006530726,36.920322083258085,2190600,Equity
2010-04-22,36.50206756591797,36.60945690113925,35.80119076557881,36.25902173519853,2526400,Equity
2010-04-23,37.20294189453125,37.26511670969756,36.34945477822521,36.66032885405675,2589300,Equity
2010-04-26,37.01640701293945,37.75685115417317,36.92032025742873,37.180321996501,2593400,Equity
2010-04-27,34.851619720458984,36.82990065253564,34.76118420552,36.76772583173645,3851500,Equity
2010-04-28,35.47901153564453,36.100755334719274,35.09466011783935,35.40553201737672,4419700,Equity
2010-04-29,36.86945343017578,37.13510429535225,35.772920761359785,35.90857290923986,3035700,Equity
2010-04-30,35.925540924072266,36.812937872207435,35.84640796720395,36.58685233433697,3563700,Equity
2010-05-03,36.377716064453125,36.428584013421094,35.710753422275204,36.26467330298769,2635700,Equity
2010-05-04,34.851619720458984,35.982064735272644,34.49552893706991,35.982064735272644,4650900,Equity
2010-05-05,34.6764030456543,35.24727903626533,33.60813275679462,34.224225430813284,3625400,Equity
2010-05-06,33.930294036865234,35.9424862045097,31.511143278710442,34.26942871113446,8545900,Equity
2010-05-07,32.8676872253418,34.40509086503999,32.217680527673316,33.918999199813484,8733100,Equity
2010-05-10,35.39421844482422,35.50161205758199,33.97551147574356,34.065946953977964,5838800,Equity
2010-05-11,35.6994514465332,36.38902140007694,34.73292153144092,35.00987933683683,4585000,Equity
2010-05-12,36.16293716430664,36.24771925000626,35.705106139378486,36.01598025540227,2988300,Equity
2010-05-13,34.959007263183594,36.07814959857316,34.930746572243,35.982060661992136,3561000,Equity
2010-05-14,34.17334747314453,34.642483123251786,33.4385587481096,34.580308311198785,4687200,Equity
2010-05-17,34.399436950683594,34.76683023132182,33.35942760787347,34.09986975696817,3635100,Equity
