Price,Close,High,Low,Open,Volume,Asset Class
Ticker,SBUX,SBUX,SBUX,SBUX,SBUX,Equity
Date,,,,,,Equity
2010-01-04,8.787850379943848,8.894601105408777,8.734475380801296,8.89078850158719,16370000,Equity
2010-01-05,8.99372386932373,9.150036942246066,8.726847500969713,8.753534992369193,30058800,Equity
2010-01-06,8.928908348083496,9.005158923489802,8.867908178630202,8.951783229833636,14209600,Equity
2010-01-07,8.906041145324707,8.970853972149348,8.841228318500066,8.87554103430017,10256000,Equity
2010-01-08,8.875539779663086,8.997540206515378,8.84122706871339,8.845039672950014,10274800,Equity
2010-01-11,8.84885025024414,8.909851181890074,8.719225361138449,8.909851181890074,11387000,Equity
2010-01-12,8.700162887573242,8.84122632372217,8.578162471001113,8.730662991716276,15429600,Equity
2010-01-13,8.91366195678711,8.95941246807251,8.681098978693813,8.730661366004929,15098400,Equity
2010-01-14,8.978474617004395,8.997537632734455,8.848849018758768,8.860286828196806,15517400,Equity
2010-01-15,8.871725082397461,9.054725679502157,8.73447427097907,9.047100472827863,21862600,Equity
2010-01-19,8.989913940429688,9.073789042228231,8.829788217228963,8.92128852660369,18908200,Equity
2010-01-20,8.879350662231445,9.073788350339207,8.71159974424578,9.050913456534722,33950400,Equity
2010-01-21,9.02803897857666,9.321602916778675,8.894600758741218,9.19578990428921,53670800,Equity
2010-01-22,8.734474182128906,9.085225686601474,8.711599289518444,9.008975074993632,24557600,Equity
2010-01-25,8.540033340454102,8.79165926891757,8.490470966075335,8.768784382833488,24673800,Equity
2010-01-26,8.593411445617676,8.669661329598853,8.45234803312393,8.467597719048277,22492600,Equity
2010-01-27,8.54384994506836,8.60485015465474,8.437099214702265,8.593413069844706,21200200,Equity
2010-01-28,8.418036460876465,8.627724578948378,8.334161359083662,8.578162184066226,28730400,Equity
2010-01-29,8.307475090026855,8.589601267488787,8.292224672617058,8.433288124937986,18741800,Equity
2010-02-01,8.475224494934082,8.490474910862027,8.299849074841845,8.383724180905977,13498800,Equity
2010-02-02,8.559100151062012,8.574349839494534,8.353223903374145,8.444724215508806,15336200,Equity
2010-02-03,8.551473617553711,8.57434851024621,8.42566061697538,8.53622320430556,14938600,Equity
2010-02-04,8.315101623535156,8.53622764028676,8.30747714012863,8.48666522583386,19542400,Equity
2010-02-05,8.27315902709961,8.402784613860037,8.105408139436769,8.30747172519382,22069800,Equity
