Price,Close,High,Low,Open,Volume,Asset Class
Ticker,SPGI,SPGI,SPGI,SPGI,SPGI,Equity
Date,,,,,,Equity
2010-01-04,25.92923927307129,26.16839430802745,25.75180062222206,26.16839430802745,1572200,Equity
2010-01-05,25.952383041381836,25.952383041381836,25.70551161439367,25.83666371538463,1443400,Equity
2010-01-06,25.7209415435791,25.92152347516212,25.612935661731356,25.76723103991652,1328300,Equity
2010-01-07,26.29182243347168,26.322679141698725,25.65921135633503,25.736360484248433,2010700,Equity
2010-01-08,26.191537857055664,26.276400451623477,25.929236629727523,26.18382147049176,1075400,Equity
2010-01-11,26.044952392578125,26.353543068420365,25.8906599975958,26.353543068420365,765000,Equity
2010-01-12,25.65150260925293,25.960093291502194,25.58206985289379,25.79808156470496,2621400,Equity
2010-01-13,25.751800537109375,26.014101790310757,25.528072391714772,25.705511041977548,2024900,Equity
2010-01-14,25.7209415435791,25.836663812952864,25.612935661731356,25.78265792908943,1706000,Equity
2010-01-15,25.636077880859375,25.998671563195412,25.489498896247085,25.713227038239086,1696900,Equity
2010-01-19,25.805795669555664,25.92151495796725,25.29662314890433,25.566637764803296,1912700,Equity
2010-01-20,25.983240127563477,26.037243062925512,25.497210766365875,25.53578387120458,1668300,Equity
2010-01-21,25.7209415435791,26.345836500906206,25.65150877054276,26.060389021234812,1454900,Equity
2010-01-22,25.659215927124023,25.867514195187827,25.474063873026534,25.628359213400334,2397200,Equity
2010-01-25,25.767229080200195,25.88294839783341,25.589787495871793,25.88294839783341,1825100,Equity
2010-01-26,26.407556533813477,26.70843094421439,25.21177233786166,25.767234598872555,2805500,Equity
2010-01-27,27.549331665039062,28.06622069715414,27.00929935816665,27.00929935816665,3966600,Equity
2010-01-28,27.433612823486328,28.28994637667236,27.256174180415023,27.510759035973205,3892300,Equity
2010-01-29,27.3487491607666,27.881065069286,27.209883629337323,27.510757966454342,2731500,Equity
2010-02-01,27.341032028198242,27.757628611121433,27.240742547187942,27.495327385903778,1801400,Equity
2010-02-02,27.42589569091797,27.603334329165715,26.97072598656444,27.364179311194064,2077300,Equity
2010-02-03,27.42589569091797,27.64191037729985,27.194454116809574,27.294746544667618,1267700,Equity
2010-02-04,26.515562057495117,27.233033153559113,26.500132223468587,27.233033153559113,1633000,Equity
2010-02-05,26.39983367919922,26.692991596526163,25.8443716161563,26.530982809118285,2269100,Equity
2010-02-08,25.960100173950195,26.284117827569343,25.82894806919509,26.284117827569343,1965400,Equity
2010-02-09,26.237821578979492,26.484695892470885,25.929233837258284,26.268681236033277,2203000,Equity
2010-02-10,25.89838409423828,26.330410629556592,25.71323196691615,26.098968998933927,2310500,Equity
2010-02-11,26.28411293029785,26.384405351372315,25.65150463048493,25.875232745597543,1641000,Equity
2010-02-12,26.361268997192383,26.5155644081966,25.813523083920604,26.183830304566605,2102000,Equity
2010-02-16,26.615848541259766,26.68528130734584,26.291830928150926,26.484699395841215,1283300,Equity
2010-02-17,26.808717727661133,26.99387275650088,26.59270597979755,26.74699840373477,932400,Equity
2010-02-18,27.00929832458496,27.055587815267543,26.60813451042605,26.808716417505504,1102800,Equity
2010-02-19,27.25617218017578,27.35646166046094,26.685280243674914,26.963011296948896,1805400,Equity
2010-02-22,27.027061462402344,27.65614069747464,26.84843468364869,27.42314937573707,1531200,Equity
2010-02-23,26.63875389099121,27.09697165221653,26.592157382740787,26.92610988824028,1262900,Equity
2010-02-24,26.871742248535156,26.910576617833787,26.522256626018848,26.77854628004057,1716200,Equity
2010-02-25,26.537778854370117,26.545546910957157,26.0795642456828,26.320320672261488,2232100,Equity
2010-02-26,26.561077117919922,26.747468978315034,26.429046834381946,26.51447767149854,1158900,Equity
2010-03-01,26.65427589416504,26.794071285710825,26.429049656380663,26.537778746995045,1378800,Equity
2010-03-02,26.65427589416504,26.693107289006534,26.514480502619257,26.693107289006534,1214600,Equity
2010-03-03,26.630971908569336,26.693101534392444,26.436812013574187,26.685336442156387,1500200,Equity
2010-03-04,26.78631019592285,26.817373538852202,26.281493099584875,26.57661707725843,1419200,Equity
2010-03-05,27.399845123291016,27.44644456751558,26.91832938355076,26.91832938355076,1392000,Equity
2010-03-08,27.547412872314453,27.58624426727374,27.260054031795544,27.446448875303876,1347000,Equity
2010-03-09,27.415382385253906,27.59400917095146,27.26005384384218,27.500813231162628,1425000,Equity
2010-03-10,27.213449478149414,27.64060062140567,26.902792485247776,27.493040179231954,2084700,Equity
2010-03-11,27.260051727294922,27.260051727294922,26.576610938380416,26.623207423334197,1503800,Equity
2010-03-12,27.221214294433594,27.43090731812441,27.011521270742776,27.43090731812441,1398800,Equity
2010-03-15,27.40761947631836,27.40761947631836,26.801838412784114,27.213459524736585,1762000,Equity
2010-03-16,27.438690185546875,27.617317014167444,27.314424952440856,27.42315703140862,1549700,Equity
2010-03-17,27.78817367553711,27.80370682849654,27.345489185454245,27.446453198367564,1463600,Equity
2010-03-18,28.036691665649414,28.31628242848858,27.694971268093376,27.78816720149133,1853400,Equity
2010-03-19,27.7804012298584,28.331814682110718,27.656139001707942,27.7804012298584,2020400,Equity
2010-03-22,27.904664993286133,27.99009583533584,27.570709681262034,27.656140523311738,1098200,Equity
2010-03-23,27.9901065826416,27.990106582641605,27.648383083231884,27.87360939645256,976700,Equity
2010-03-24,27.85806655883789,28.22308818356518,27.65614153062107,27.90466600964738,1019200,Equity
2010-03-25,27.733797073364258,28.160948224924354,27.718263927152748,28.05998721851659,1181600,Equity
2010-03-26,27.66390037536621,28.036687009695974,27.524105017161947,27.84252711915059,1164700,Equity
2010-03-29,27.671676635742188,27.966797623781172,27.601778935912808,27.702739975830816,1158400,Equity
2010-03-30,27.83477020263672,28.02116505587134,27.64061025506326,27.71827304903437,1129500,Equity
2010-03-31,27.68720817565918,27.951265808240855,27.60177732943488,27.702738363476758,1356700,Equity
2010-04-01,27.648380279541016,28.036700243931456,27.430922047529155,27.842540261736236,1180000,Equity
2010-04-05,27.656137466430664,27.90466190893522,27.578471726494836,27.648369411114558,1159300,Equity
2010-04-06,27.578474044799805,27.632841548647658,27.430913570485057,27.500811260980527,1332700,Equity
2010-04-07,27.485275268554688,27.60953748739877,27.21345259065981,27.43091073297571,1604000,Equity
2010-04-08,27.485275268554688,27.63283869025047,27.283350273924917,27.345479902024465,1223200,Equity
2010-04-09,27.811464309692383,27.811464309692383,27.415376466472704,27.53963868024567,1482000,Equity
2010-04-12,27.982337951660156,27.99787110701104,27.74158145033759,27.827012323444222,1594200,Equity
2010-04-13,28.22309112548828,28.238624277377255,27.842536310822826,27.927967164889303,1872300,Equity
2010-04-14,28.595857620239258,28.657990183768852,28.05220953993009,28.238604267875175,2186200,Equity
2010-04-15,28.38617706298828,28.68906603590494,28.339580582628788,28.619168352720713,1648100,Equity
2010-04-16,26.99599266052246,28.463844072968385,26.895031640136406,28.261916106906035,5088200,Equity
2010-04-19,26.85620880126953,27.283360147969923,26.35915678336148,26.926103547185065,3511900,Equity
2010-04-20,26.972694396972656,27.135788010672147,26.615440872875165,27.089191528269502,2121100,Equity
2010-04-21,26.739702224731445,27.05812434889091,26.53000917282472,26.99599175752076,2969600,Equity
2010-04-22,25.807741165161133,26.55331469005305,25.799976070434393,26.46011874010302,4533100,Equity
