Price,Close,High,Low,Open,Volume,Asset Class
Ticker,STLD,STLD,STLD,STLD,STLD,Equity
Date,,,,,,Equity
2010-01-04,12.83691120147705,12.984299909231483,12.661447689190139,12.752688126559974,3691600,Equity
2010-01-05,12.759706497192383,12.984299572913384,12.717595630164777,12.886040436955527,3422800,Equity
2010-01-06,13.686148643493652,13.763352987296038,12.780756629126978,12.780756629126978,8994300,Equity
2010-01-07,13.594916343688965,13.672119394822044,13.412434092380584,13.594916343688965,7727800,Equity
2010-01-08,14.170428276062012,14.303779531193895,13.728259642410409,13.847574839256731,12040500,Equity
2010-01-11,13.728264808654785,14.366951885454611,13.65106177365153,14.366951885454611,5665900,Equity
2010-01-12,13.391371726989746,13.587891291647798,13.145722605837186,13.454538682105548,5228500,Equity
2010-01-13,13.180816650390625,13.608946616699688,12.801814903938594,13.559817058162588,7847200,Equity
2010-01-14,12.93516731262207,13.27205685608373,12.696536884666717,13.152741642106053,7966800,Equity
2010-01-15,12.640385627746582,12.984293789086216,12.500014348608893,12.928145545167087,5165300,Equity
2010-01-19,12.619335174560547,12.879021755429848,12.535113440378302,12.815854785453,4941900,Equity
2010-01-20,12.261384963989258,12.563182301345922,12.10697761545601,12.507034052908391,5556600,Equity
2010-01-21,11.720959663391113,12.338590453567669,11.671828770100284,12.22629394626284,8428700,Equity
2010-01-22,11.510405540466309,12.092944317456167,11.405127706298076,11.517424241234895,8257000,Equity
2010-01-25,11.440217018127441,11.966607396360544,11.348976608252885,11.777107877593394,5784700,Equity
2010-01-26,11.264754295349121,11.678848193732277,11.11736562237209,11.250718235075151,9950300,Equity
2010-01-27,11.24370002746582,11.552514785883332,10.9489213299363,11.222643928113675,6155300,Equity
2010-01-28,10.941902160644531,11.405125617074379,10.73134586153823,11.292829102708358,7277500,Equity
2010-01-29,10.654141426086426,11.334939163894232,10.56991904623412,11.054197897719876,8745100,Equity
2010-02-01,11.285810470581055,11.292829170105826,10.787494183102787,10.794512882627556,4772400,Equity
2010-02-02,11.48232650756836,11.559529501221641,11.110343579312932,11.468289112838802,5272900,Equity
2010-02-03,11.173517227172852,11.545500378822785,11.096313517815053,11.363018153787749,5763900,Equity
2010-02-04,10.38042163848877,10.850663917575256,10.324273366598462,10.58395929142619,10458100,Equity
2010-02-05,10.520792007446289,10.569922245904225,10.04353171047621,10.485699171216385,10364000,Equity
2010-02-08,10.422531127929688,10.668179601818428,10.1417891543339,10.478679388780833,11663600,Equity
2010-02-09,10.829607009887695,11.068237467632638,10.724328512408398,10.77345874563478,8028600,Equity
2010-02-10,10.569920539855957,10.864698576323747,10.457623348177668,10.794513584532396,7061300,Equity
2010-02-11,11.033145904541016,11.124387011784632,10.562903635314775,10.583959069497093,5421100,Equity
2010-02-12,11.201586723327637,11.363013446084121,10.703270496394053,10.80854829911441,6077400,Equity
2010-02-16,11.510405540466309,11.75605471264571,11.334942037292493,11.475313375303662,7216400,Equity
2010-02-17,11.38407039642334,11.580589981057042,11.236681711958177,11.552515180960734,6495900,Equity
2010-02-18,11.699906349182129,11.742017214767854,11.278793677284048,11.348979345713776,6907800,Equity
2010-02-19,11.74201774597168,11.903443853586703,11.580591638356657,11.643758608933028,6378100,Equity
2010-02-22,11.791143417358398,11.903439919338583,11.664810856640617,11.84729166834849,4667800,Equity
2010-02-23,11.292828559875488,11.72095983699121,11.166494652616425,11.650774184216177,6695500,Equity
2010-02-24,11.37003231048584,11.524439667481014,11.22264231358507,11.355994912937211,5120000,Equity
2010-02-25,11.299851417541504,11.341962289231985,10.892776088052255,11.012090670735443,6480500,Equity
2010-02-26,11.46127700805664,11.48233311226255,11.11736867144257,11.29985089185256,5077900,Equity
2010-03-01,11.706923484802246,11.777109143848898,11.405126087977711,11.510403907207639,4464200,Equity
2010-03-02,11.805184364318848,11.931518301702189,11.699906529392829,11.756054797265392,4156000,Equity
2010-03-03,11.9525728225708,12.254368885776369,11.868349762566371,11.868349762566371,5324600,Equity
2010-03-04,12.057853698730469,12.240335926076478,11.875371471384458,11.98766802072347,5564900,Equity
2010-03-05,12.303499221801758,12.401758338408893,12.17716530691826,12.22629486522183,4119100,Equity
2010-03-08,12.605297088623047,12.76672452462659,12.443870991299761,12.696538857496387,6215800,Equity
2010-03-09,12.443869590759277,12.689518728727382,12.282443511604274,12.492999150616876,7481700,Equity
2010-03-10,12.549147605895996,12.654426765723615,12.32455456379998,12.443869784748504,4007900,Equity
2010-03-11,12.471949577331543,12.535116563044136,12.163133351478942,12.29648602561449,4286700,Equity
2010-03-12,12.58423900604248,12.801813311941313,12.464923804998625,12.58423900604248,5152800,Equity
2010-03-15,12.500022888183594,12.55617117046125,12.324559338730841,12.514060293423169,3152700,Equity
2010-03-16,12.780759811401367,12.900075036676995,12.563185461315285,12.626352424030626,6206000,Equity
2010-03-17,12.619335174560547,12.907095220597153,12.612316473598638,12.857965652544122,5428400,Equity
2010-03-18,12.38070297241211,12.724611239570208,12.35262951115438,12.591259955905736,3747000,Equity
2010-03-19,12.205236434936523,12.478960311121051,12.106977337099918,12.38771857283294,4804200,Equity
2010-03-22,12.310522079467773,12.373687719564773,11.854315824145612,12.057854164357718,3610400,Equity
2010-03-23,12.633374214172363,12.633374214172363,12.205242770758762,12.464929385291725,2752300,Equity
2010-03-24,12.401761054992676,12.556168463295139,12.36666888814041,12.528094997549397,3224700,Equity
2010-03-25,12.071891784667969,12.633374563111834,12.008724804757966,12.584244987333063,3799700,Equity
2010-03-26,12.163126945495605,12.436849513634273,12.064867836662227,12.092941294037496,2961900,Equity
2010-03-29,12.476814270019531,12.645991244031777,12.25829283548369,12.286489670068601,3078300,Equity
2010-03-30,12.314682960510254,12.568449048450553,12.124359739053865,12.448615211867505,2908800,Equity
2010-03-31,12.314682960510254,12.413370519430835,12.173702846264737,12.237144368249812,3885700,Equity
2010-04-01,12.48386001586914,12.561399953321372,12.31468307056333,12.448615323117497,5767600,Equity
2010-04-05,12.991393089294434,12.991393089294434,12.603694719882318,12.610743927816968,4364100,Equity
2010-04-06,13.153522491455078,13.350896304934789,12.942051604833258,12.970247095616584,4573400,Equity
2010-04-07,12.723530769348145,13.195817026772932,12.533207500146467,13.160572325494629,6825000,Equity
2010-04-08,12.660088539123535,12.688285374203554,12.32173458515789,12.582549931651677,3729900,Equity
2010-04-09,12.624844551086426,12.794021537601083,12.469765982906118,12.702384507426167,3107700,Equity
2010-04-12,12.681236267089844,12.772874637335407,12.589599241343388,12.67418705826333,3576500,Equity
2010-04-13,12.575499534606934,12.786970399728538,12.533205630482406,12.603695022523628,2084300,Equity
2010-04-14,12.97729778289795,13.005494621392755,12.730580824065436,12.765826872183945,4063000,Equity
2010-04-15,12.688283920288086,12.977294724245844,12.62484239312673,12.899754781159977,2942200,Equity
2010-04-16,12.349930763244629,12.709432324395475,12.23009690952768,12.582549262283527,5243400,Equity
2010-04-19,12.349930763244629,12.455666200171578,11.990429202093782,12.251243190213653,7478100,Equity
2010-04-20,12.011576652526855,12.829265991464242,11.983379819357081,12.758775253038811,13993100,Equity
2010-04-21,11.71551513671875,12.103212132001442,11.553386055610705,12.103212132001442,11781800,Equity
2010-04-22,11.757808685302734,11.786004169545095,11.292571767064032,11.60272881622397,7960500,Equity
2010-04-23,11.800104141235352,11.821251765582177,11.64502559618888,11.778956516888526,5225700,Equity
2010-04-26,11.786005020141602,12.067967949907251,11.70141721681102,11.877643375665105,7026700,Equity
2010-04-27,11.222082138061523,11.70141751758534,11.200935186685316,11.652074406957698,8384300,Equity
2010-04-28,11.334864616394043,11.525189159281869,11.271423102098101,11.348963029459512,6257500,Equity
2010-04-29,11.377157211303711,11.468795541261333,11.179784156681452,11.440598718351751,6124700,Equity
2010-04-30,11.081099510192871,11.461747933293994,11.010608787591076,11.447649519873895,4852100,Equity
2010-05-03,11.088150024414062,11.299622229977265,10.841433795755938,11.22913149478953,4261700,Equity
2010-05-04,10.580615997314453,10.918969811961105,10.488978337785333,10.883724454873095,9079100,Equity
2010-05-05,10.904871940612793,11.15863729852923,10.221114441470814,10.355045990086618,8499600,Equity
2010-05-06,10.55947208404541,11.236180622981863,10.044891975689834,10.834385159074111,8793400,Equity
2010-05-07,10.481932640075684,10.820287240214212,10.101284135075776,10.538324961390522,8993600,Equity
2010-05-10,11.081099510192871,11.158638767255365,10.918971117108482,11.102246458073669,6113200,Equity
2010-05-11,10.637011528015137,11.052905388926185,10.637011528015137,10.904875382029871,6907200,Equity
2010-05-12,10.820286750793457,10.86962986164969,10.651109122251649,10.756845224121461,7126700,Equity
2010-05-13,11.193883895874023,11.5815815176263,10.848480841253537,11.024706971845541,10444300,Equity
2010-05-14,10.742745399475098,11.01765842158447,10.637009983721159,10.975363851933267,8365500,Equity
2010-05-17,10.474884033203125,10.85553256005574,10.185873201810338,10.848484023673858,8789000,Equity
2010-05-18,10.221116065979004,10.78503984544841,10.164723755257,10.658156810199216,6649200,Equity
2010-05-19,10.094231605529785,10.29160533743906,9.903907751777105,10.101280811437103,9243200,Equity
2010-05-20,9.56555461883545,9.882762207134567,9.51621151498864,9.713584602625247,6802900,Equity
2010-05-21,9.875715255737305,9.910960626070143,9.375232879309696,9.38228208782617,6865700,Equity
2010-05-24,9.762930870056152,10.16472635476728,9.748832452645459,9.868666311638172,4884900,Equity
2010-05-25,9.94620418548584,9.960302600904761,9.248348756236005,9.375231806008502,7659600,Equity
2010-05-26,9.840469360351562,10.319804757903626,9.78407703972773,10.178823284094557,6267600,Equity
2010-05-27,10.531274795532227,10.538324003117957,10.07308705845079,10.143577789809212,4899700,Equity
2010-05-28,10.340950965881348,10.594716390426184,10.21406791748421,10.517177123210956,4237200,Equity
2010-06-01,9.769978523254395,10.41849087602736,9.762929987435816,10.185872387777218,4914300,Equity
2010-06-02,10.376197814941406,10.432590139567484,9.868666221057167,9.932107754323889,5496300,Equity
2010-06-03,10.453736305236816,10.531275577690376,10.221117815626652,10.446687097127542,8171700,Equity
2010-06-04,10.016694068908691,10.404391720818829,9.8545656665829,10.101282537502822,9790600,Equity
2010-06-07,9.96030330657959,10.17882338305915,9.600801754920253,10.044891788337758,11155500,Equity
