Price,Close,High,Low,Open,Volume,Asset Class
Ticker,SWK,SWK,SWK,SWK,SWK,Equity
Date,,,,,,Equity
2010-01-04,36.576377868652344,36.77761450786352,35.820007954965746,35.90327993145025,2033000,Equity
2010-01-05,37.110694885253906,37.15926888186792,36.201662318320686,36.4931089450891,2474100,Equity
2010-01-06,38.040550231933594,38.10300290147865,36.964978831621686,37.07600550558127,3035800,Equity
2010-01-07,39.37982177734375,39.601875186171625,37.839323937400586,37.90177662407626,4276400,Equity
2010-01-08,39.84473419189453,40.02515419081105,39.16469548562889,39.16469548562889,1441400,Equity
2010-01-11,39.60186004638672,40.02515002235537,39.227144069586494,39.94881869592372,1595300,Equity
2010-01-12,38.98427200317383,39.39368329376582,38.720582702347386,39.352047305082394,1208500,Equity
2010-01-13,39.35206604003906,39.518607426976445,38.8593851846062,39.1438912916815,1129300,Equity
2010-01-14,39.24103546142578,39.30348814448295,38.810807337634905,39.24103546142578,1430500,Equity
2010-01-15,38.678958892822266,39.31042365117596,38.47078154518605,39.17163963511346,1661200,Equity
2010-01-19,39.067543029785156,39.23408434466585,38.63731504971292,38.6650723767071,1349800,Equity
2010-01-20,38.5401725769043,38.72753059034548,38.165456550021915,38.67895658468497,1396300,Equity
2010-01-21,37.5964469909668,38.533234473142784,37.582568324560896,38.498539130670515,1973500,Equity
2010-01-22,37.00661849975586,37.66583795283038,36.91640849099678,37.49235859210867,1363500,Equity
2010-01-25,37.34663391113281,37.49929658478928,37.10376388221097,37.34663391113281,1522400,Equity
2010-01-26,36.99273681640625,37.645018206574264,36.881710140482234,37.04131082168021,1608600,Equity
2010-01-27,36.409847259521484,37.01355466354137,35.76450385805425,36.729048632029944,3563600,Equity
2010-01-28,35.66041564941406,36.69435376584754,35.6465369834187,36.513933754992635,1948400,Equity
2010-01-29,35.563270568847656,36.18779735474438,35.38979120021913,35.93798664038569,2658100,Equity
2010-02-01,36.24331283569336,36.319644188709454,35.53551662647868,35.78532736468214,1360400,Equity
2010-02-02,37.6450309753418,37.72136233725868,36.22250038034509,36.264133743510186,2981100,Equity
2010-02-03,39.09529495239258,39.8030908103948,37.95033051945992,38.04054049617853,5723900,Equity
2010-02-04,37.915645599365234,38.85937366914957,37.88095025943473,38.72753031857975,2338100,Equity
2010-02-05,37.76991271972656,37.97808734651752,36.611069640353065,37.86706070242341,2440400,Equity
2010-02-08,37.1453971862793,37.81849790430376,37.11070184605928,37.81849790430376,1676900,Equity
2010-02-09,37.624202728271484,37.88095142818042,37.10376467200252,37.6727767350898,1586900,Equity
2010-02-10,37.31193542480469,37.74910408708762,37.04130808765772,37.67971076532907,1067700,Equity
2010-02-11,37.547882080078125,37.721361481559114,36.95805052679142,37.24949729776399,1460600,Equity
2010-02-12,37.67277526855469,37.693591942927945,36.964979221931976,37.36744992662838,2179600,Equity
2010-02-16,38.075252532958984,38.08913120062712,37.561755064663934,38.01279985199497,1504500,Equity
2010-02-17,38.74835205078125,38.852440731243775,38.00586056159818,38.22097593258103,1310000,Equity
2010-02-18,39.10919189453125,39.27573061715,38.52630107119507,38.77611180220847,2861700,Equity
2010-02-19,38.80385971069336,39.13694239189875,38.68589502337525,38.97733906057396,1126700,Equity
2010-02-22,39.01203155517578,39.03978623546426,38.560984250161454,38.845490238022734,1579100,Equity
2010-02-23,38.33198928833008,39.04672319447316,38.06135934269013,38.88712254781423,1138200,Equity
2010-02-24,38.95652770996094,39.02592104764826,38.12382618730925,38.345879573738344,1374200,Equity
2010-02-25,38.859375,38.92182767284768,38.01279491186142,38.269546259726795,1230200,Equity
2010-02-26,39.72676467895508,39.90024400069724,38.88712539702326,39.00509006520743,2616600,Equity
2010-03-01,41.22037124633789,41.24828684584106,39.68490145152001,39.86636482923456,2434600,Equity
2010-03-02,41.02494430541992,41.80663963129034,40.89931479456332,41.32505895219605,1822600,Equity
2010-03-03,41.031925201416016,41.44371022867932,40.8295218047677,41.23432859806433,699100,Equity
2010-03-04,40.78765106201172,41.15058052336967,40.56431026462718,41.07380662506268,2478400,Equity
2010-03-05,41.241294860839844,41.53442852612598,40.78763257416622,41.101706260137874,2008300,Equity
2010-03-08,41.22734451293945,41.35995224750497,40.927229889378616,41.35995224750497,930200,Equity
2010-03-09,41.36692810058594,41.59026881706587,40.91326577261844,41.08775087377035,1023900,Equity
2010-03-10,41.443695068359375,41.52744715748205,40.92023985208859,41.304106478200985,980700,Equity
2010-03-11,41.059837341308594,41.32505279141673,40.801597461695394,41.28317806899518,1556400,Equity
2010-03-12,40.382835388183594,41.38089045765821,39.9152138961376,41.38089045765821,5307900,Equity
2010-03-15,40.21533203125,40.822542200817274,39.43363939405234,40.592220551167934,3164200,Equity
2010-03-16,40.31303787231445,40.82951495951144,40.20136751054638,40.32001876754264,1578600,Equity
2010-03-17,40.78765106201172,40.93422062352158,40.43170249819021,40.43170249819021,1957600,Equity
2010-03-18,40.864410400390625,41.136606733817864,40.76669916915329,40.997020782011035,1536600,Equity
2010-03-19,40.5294075012207,41.4227705527072,40.50148924025377,40.5294075012207,2280600,Equity
2010-03-22,41.17849349975586,41.22037089229892,40.38981991266941,40.38981991266941,1469900,Equity
2010-03-23,41.806640625,41.8624744853568,41.17849305578641,41.311100803761754,3117300,Equity
2010-03-24,41.24828338623047,41.862471785130296,41.157553036199005,41.862471785130296,1359600,Equity
2010-03-25,40.424713134765625,41.5623569136159,40.417734901122905,41.5623569136159,1605800,Equity
2010-03-26,40.906288146972656,41.031917634660516,40.51544055611805,40.689925659858815,1872600,Equity
2010-03-29,40.71784591674805,41.4786011129466,40.578257294408296,41.21338299674422,1505600,Equity
2010-03-30,40.63409423828125,40.871394100040334,40.480546485839625,40.64805336690608,855100,Equity
