Price,Close,High,Low,Open,Volume,Asset Class
Ticker,T,T,T,T,T,Equity
Date,,,,,,Equity
2010-01-04,6.965052127838135,6.972362846680212,6.891940631392127,6.923622464481717,38576858,Equity
2010-01-05,6.930933952331543,7.00160772348661,6.909000564454958,6.994296389050351,46650478,Equity
2010-01-06,6.862846374511719,6.967243219027409,6.847932718925341,6.947358135677065,50172450,Equity
2010-01-07,6.785795211791992,6.882734964044493,6.741053594535193,6.85539335282544,44486797,Equity
2010-01-08,6.736079692840576,6.808162888152729,6.681395240149746,6.783306375811948,36586622,Equity
2010-01-11,6.703765392303467,6.765906353312815,6.673937454828562,6.755964125958178,34147549,Equity
2010-01-12,6.701281547546387,6.738566009009646,6.656539942708206,6.673939316210682,34831527,Equity
2010-01-13,6.621742248535156,6.7360819932685,6.594400012852141,6.71122547243901,56390352,Equity
2010-01-14,6.509888172149658,6.673939686140069,6.4825459392984035,6.621741562739353,55933836,Equity
2010-01-15,6.410460472106934,6.529771603908553,6.375661732005299,6.5248001759781635,84760229,Equity
2010-01-19,6.5123724937438965,6.524800436360279,6.412946441990541,6.442774383057662,44965291,Equity
2010-01-20,6.420403957366943,6.470116986133169,6.388090300357214,6.470116986133169,51751188,Equity
2010-01-21,6.38063383102417,6.457688461227308,6.313521430021946,6.442774803573129,53059168,Equity
2010-01-22,6.311035633087158,6.420403919097592,6.303579118210595,6.343348662198675,50814723,Equity
2010-01-25,6.358264923095703,6.437805291199013,6.293638217085314,6.395549392180905,39589586,Equity
2010-01-26,6.296121597290039,6.340863194683281,6.229009201200177,6.3135209678972855,45239226,Equity
2010-01-27,6.368205547332764,6.492488125746039,6.238952795653111,6.266294397968954,78105143,Equity
2010-01-28,6.348321437835693,6.49994564191175,6.286180452913472,6.388091617969456,68925984,Equity
2010-01-29,6.3035783767700195,6.400518080407916,6.301092662868339,6.365718713489915,51531404,Equity
2010-02-01,6.308553218841553,6.390579319330105,6.283697319310302,6.380637085058791,48689306,Equity
2010-02-02,6.385603904724121,6.422888986172808,6.28120768532553,6.3060635693505995,41202615,Equity
2010-02-03,6.358264923095703,6.415434484206732,6.313523309111141,6.37069287022217,30391228,Equity
2010-02-04,6.221553325653076,6.3358924172166,6.221553325653076,6.320978759122582,42811010,Equity
2010-02-05,6.273751258850098,6.291150630733801,6.204153771315284,6.243923943536781,67369357,Equity
2010-02-08,6.209124565124512,6.281208394511423,6.20415376438159,6.261323308422898,35977184,Equity
2010-02-09,6.27872371673584,6.3184938954778795,6.226525592526557,6.25883862736482,46259501,Equity
2010-02-10,6.243923664093018,6.276236692187225,6.216581436524821,6.2712652639556286,35283938,Equity
2010-02-11,6.261325836181641,6.308552542391766,6.17184259880521,6.226527078404525,36339828,Equity
2010-02-12,6.231495380401611,6.2513804665378885,6.179297264683489,6.22155315118628,45165744,Equity
2010-02-16,6.293635845184326,6.3358917282773355,6.246409161737569,6.288664417125015,34296499,Equity
2010-02-17,6.313520908355713,6.343348221199533,6.263808511047491,6.316006622376958,25826341,Equity
2010-02-18,6.273751258850098,6.3458344606119566,6.253866172739349,6.313521431071595,35785734,Equity
2010-02-19,6.238950729370117,6.31351962401591,6.219065648950877,6.263807236820526,45942270,Equity
2010-02-22,6.219067573547363,6.253866318123741,6.206639002123209,6.246409802974876,41185403,Equity
2010-02-23,6.171839237213135,6.221552259279898,6.171839237213135,6.214095117658227,37754919,Equity
2010-02-24,6.191725254058838,6.2016681110535385,6.164383025029029,6.184268111312812,38357339,Equity
2010-02-25,6.156922817230225,6.17929360434528,6.117152040810492,6.1544371044724135,39168157,Equity
2010-02-26,6.166866779327393,6.191723286208644,6.14201027244614,6.179295346620727,38639484,Equity
2010-03-01,6.2140960693359375,6.2314954414123305,6.171840182419432,6.191725268750399,32975544,Equity
2010-03-02,6.184269428253174,6.229011038845818,6.142013532438537,6.214097377883521,44224248,Equity
2010-03-03,6.186751842498779,6.221551203120245,6.166866762588835,6.221551203120245,27400312,Equity
2010-03-04,6.2041544914245605,6.214096721781112,6.164383686881298,6.189240204331204,38040109,Equity
2010-03-05,6.211610317230225,6.226524602666783,6.16935443057121,6.22155317418793,37017848,Equity
2010-03-08,6.283695220947266,6.303580310555444,6.189240574529126,6.226525666786968,32679895,Equity
2010-03-09,6.353293418884277,6.395549317408357,6.2886667136294605,6.298609573379029,57545277,Equity
2010-03-10,6.343350410461426,6.393063452632525,6.30606594268599,6.3657212166678425,31161267,Equity
2010-03-11,6.363234996795654,6.363234996795654,6.288666067162652,6.318494015639289,28811034,Equity
2010-03-12,6.368205547332764,6.395547777354248,6.316007429334265,6.38560491999893,23591164,Equity
2010-03-15,6.40797758102417,6.412949011144605,6.3532937328168515,6.383121058127816,26904077,Equity
2010-03-16,6.425373554229736,6.4601722878233385,6.390574192930705,6.427858640024626,23329410,Equity
2010-03-17,6.437801837921143,6.460172632913587,6.425373897461102,6.450229778381184,23969961,Equity
2010-03-18,6.477574348449707,6.485031492051866,6.43780417131624,6.452717830814867,22520710,Equity
2010-03-19,6.522314071655273,6.539713440664746,6.460173109361152,6.522314071655273,47487511,Equity
2010-03-22,6.562085151672363,6.596883894540188,6.4825448092855655,6.509887037370626,32488842,Equity
2010-03-23,6.599368572235107,6.604339999779891,6.544684752358984,6.581969203533864,24012461,Equity
2010-03-24,6.527287006378174,6.586942268629716,6.492488260324521,6.567057181212535,27038728,Equity
2010-03-25,6.499944686889648,6.572028520107066,6.490002457169866,6.569542805750709,31899132,Equity
2010-03-26,6.522314071655273,6.586940747765821,6.490001047452755,6.504914702645801,23911175,Equity
2010-03-29,6.589428424835205,6.604342084471624,6.537229674549193,6.54965824733429,26903415,Equity
2010-03-30,6.45023250579834,6.544687152973533,6.422890899684028,6.519830633837654,69180324,Equity
2010-03-31,6.422890663146973,6.472603071882233,6.400519859519108,6.43780432299698,48599406,Equity
2010-04-01,6.490005016326904,6.514861541986324,6.440291965008065,6.475090724307717,27218395,Equity
2010-04-05,6.539714336395264,6.552142907179707,6.494972736982454,6.537228622238374,31740517,Equity
2010-04-06,6.539714336395264,6.552142907179707,6.499944165296232,6.5297721074733035,28293350,Equity
2010-04-07,6.513326168060303,6.609820269073983,6.470157889450831,6.602202111227931,41533615,Equity
2010-04-08,6.6072821617126465,6.617439066213786,6.500630496265869,6.503169882705955,48399747,Equity
2010-04-09,6.713932514190674,6.731707576233725,6.617438404158195,6.6301353350883305,52618408,Equity
2010-04-12,6.698696613311768,6.77233689350493,6.688539709195677,6.746943671325937,30372163,Equity
2010-04-13,6.652988910675049,6.711392866904107,6.607281243623051,6.6834602612036385,50332787,Equity
2010-04-14,6.663143157958984,6.663143157958985,6.60727861008374,6.645368103692264,36690688,Equity
2010-04-15,6.663143157958984,6.678378827150623,6.6123567389750475,6.6428287186171815,37060614,Equity
2010-04-16,6.5844268798828125,6.691077880662977,6.579348108117314,6.65298837493986,42343506,Equity
