Price,Close,High,Low,Open,Volume,Asset Class
Ticker,TKO,TKO,TKO,TKO,TKO,Equity
Date,,,,,,Equity
2010-01-04,9.905064582824707,9.993955798344867,9.854269429520047,9.898715037280127,159800,Equity
2010-01-05,10.11459732055664,10.21618765306895,9.82252481182068,9.892368014041356,354600,Equity
2010-01-06,10.190789222717285,10.292379552820151,10.076500404114626,10.076500404114626,236600,Equity
2010-01-07,10.336824417114258,10.349522297674339,10.127293644196495,10.228884560515356,234500,Equity
2010-01-08,10.349525451660156,10.381273190365466,10.286032396354342,10.330478019489373,150900,Equity
2010-01-11,10.146342277526855,10.432065800475902,10.133643790688037,10.400318069563728,224700,Equity
2010-01-12,10.139992713928223,10.241582418975838,10.082848012849052,10.101896044700103,135900,Equity
2010-01-13,10.209835052490234,10.260630203555282,10.101895205095515,10.159039901425185,123200,Equity
2010-01-14,10.178088188171387,10.260629851676931,10.159039553030775,10.254280306630061,95100,Equity
2010-01-15,10.152690887451172,10.235233769158803,10.019353457546377,10.184438615435642,170000,Equity
2010-01-19,10.2225341796875,10.330474027469398,10.152690392578057,10.216184634400102,159400,Equity
2010-01-20,10.317776679992676,10.343174865433069,10.032053754575015,10.197137721255086,160400,Equity
2010-01-21,10.057451248168945,10.31777659143798,10.000306542470657,10.305077498826776,200000,Equity
2010-01-22,9.974905967712402,10.108243372463875,9.911411734773269,10.076496255994309,186200,Equity
2010-01-25,10.2225341796875,10.279678876222148,10.114594331905602,10.127292816954432,202700,Equity
2010-01-26,10.374919891357422,10.444763680203234,10.159040190426698,10.197136252046247,291800,Equity
2010-01-27,10.38762092590332,10.463813063398934,10.324126670622181,10.374921832636653,127300,Equity
2010-01-28,10.292377471923828,10.438414601591877,10.16539019049546,10.40031732721655,115300,Equity
2010-01-29,10.159041404724121,10.406667651427597,10.159041404724121,10.35587249284606,160900,Equity
2010-02-01,10.286029815673828,10.349522855049761,10.178089953261805,10.26698117722979,185300,Equity
2010-02-02,10.355871200561523,10.406666352804454,10.247931350663803,10.349521655149662,138400,Equity
2010-02-03,10.368572235107422,10.413017850270393,10.286030551383645,10.343175259750947,217500,Equity
2010-02-04,10.120945930480957,10.34952417114202,10.08284985980051,10.324127194372473,161800,Equity
2010-02-05,10.2225341796875,10.260630240359955,10.032052059747329,10.216184634400102,260000,Equity
2010-02-08,10.159041404724121,10.324125972877141,10.14634231231571,10.260631721887194,149700,Equity
2010-02-09,10.190789222717285,10.298729099833114,10.133645116179022,10.241584387768718,141800,Equity
2010-02-10,10.324129104614258,10.349526086082932,10.139996447519595,10.216189208504327,127400,Equity
2010-02-11,10.203485488891602,10.324124426598797,10.101895186944045,10.228883669904453,288000,Equity
2010-02-12,10.209835052490234,10.273329294084528,10.12729278062804,10.13364232589266,241100,Equity
2010-02-16,10.2225341796875,10.317774936894603,10.152690392578057,10.27332933093475,156700,Equity
2010-02-17,10.260632514953613,10.305078130766242,10.222536445835962,10.228885992530937,274100,Equity
2010-02-18,10.374919891357422,10.413015952976972,10.216184888382005,10.22888397927251,154700,Equity
2010-02-19,10.43841552734375,10.463812501460998,10.343174755062849,10.381270821764785,114600,Equity
2010-02-22,10.336824417114258,10.482860337497469,10.324125325502143,10.476510791691412,183100,Equity
2010-02-23,10.330474853515625,10.438414709928617,10.2923775787449,10.336824399310746,317500,Equity
2010-02-24,10.4320650100708,10.4320650100708,10.336824246654583,10.374920309810667,124500,Equity
2010-02-25,10.800329208374023,10.800329208374023,10.349521192691471,10.38126891833216,289600,Equity
2010-02-26,10.825725555419922,10.90191888152501,10.724135261314363,10.81937722170868,362200,Equity
2010-03-01,11.073355674743652,11.124150834263261,10.844776851379352,10.876523371934558,464200,Equity
2010-03-02,11.27018928527832,11.27018928527832,11.073358149531513,11.124153320403346,293600,Equity
2010-03-03,11.225740432739258,11.37177635560279,11.143197546910617,11.320981199343647,167200,Equity
2010-03-04,11.124150276184082,11.301932720057609,11.04160738919817,11.289234839103836,187900,Equity
2010-03-05,11.397177696228027,11.416225128193732,11.14955018120239,11.14955018120239,256900,Equity
2010-03-08,11.32733154296875,11.428921862641392,11.263837290410315,11.40987322355822,250300,Equity
2010-03-09,11.340031623840332,11.428922858536676,11.276537365749123,11.327332530011642,307800,Equity
2010-03-10,11.454317092895508,11.498762694903897,11.23843741652462,11.397172401441342,344800,Equity
2010-03-11,11.5191068649292,11.577415151514279,11.408969127569778,11.577415151514279,431000,Equity
2010-03-12,11.188691139221191,11.577412550555131,11.149818133089886,11.525583111424691,367300,Equity
2010-03-15,11.240521430969238,11.357137986786165,11.104468370612357,11.104468370612357,257800,Equity
2010-03-16,11.169260025024414,11.305313140703364,11.12390939836873,11.305313140703364,209100,Equity
2010-03-17,11.091512680053711,11.21460684325644,11.085033844772807,11.21460684325644,121000,Equity
2010-03-18,11.085030555725098,11.14333882024106,11.03967995792626,11.110944653448241,138600,Equity
2010-03-19,11.136863708496094,11.169256650402575,11.013768304970723,11.136863708496094,399300,Equity
2010-03-22,11.15629768371582,11.221084795716237,11.013767025884006,11.065596468342063,189600,Equity
2010-03-23,11.169260025024414,11.234047164123346,11.110951723406563,11.175738862505497,279800,Equity
2010-03-24,11.266438484191895,11.337704450451051,11.14982189784481,11.14982189784481,242700,Equity
2010-03-25,11.37657356262207,11.564456071110946,11.305308848808556,11.305308848808556,278000,Equity
2010-03-26,11.402487754821777,11.525583136415209,11.376572417344715,11.480231295830352,234900,Equity
2010-03-29,11.247003555297852,11.51910851988447,11.195174097077151,11.51910851988447,151900,Equity
2010-03-30,11.285871505737305,11.363616284510973,11.195170293594138,11.285871505737305,141800,Equity
2010-03-31,11.20812702178955,11.363616583426989,11.175734083946717,11.247000030054595,202900,Equity
2010-04-01,11.02672290802002,11.305306579466077,11.013765240578067,11.214604143083596,307000,Equity
2010-04-05,11.292353630065918,11.311788903637888,11.078556970792368,11.091514643648146,147700,Equity
2010-04-06,11.175737380981445,11.305311642002154,11.149822034492608,11.234045674869591,172000,Equity
2010-04-07,11.130383491516113,11.17573409884107,11.033203442146727,11.17573409884107,238100,Equity
2010-04-08,11.085030555725098,11.149816417888514,11.085030555725098,11.14333882024106,133300,Equity
2010-04-09,11.143341064453125,11.169255167395237,11.085032788194171,11.091511622857539,163900,Equity
2010-04-12,11.15629768371582,11.188691857571719,11.091511807426784,11.188691857571719,136500,Equity
2010-04-13,11.324745178222656,11.337702849478545,11.130385052230498,11.130385052230498,139100,Equity
2010-04-14,11.37657356262207,11.408967737729512,11.259957003658137,11.350659458247545,173300,Equity
2010-04-15,11.441361427307129,11.499669710612224,11.370095473109455,11.370095473109455,111400,Equity
2010-04-16,11.389531135559082,11.532061797682337,11.337701691540495,11.434881744611417,149600,Equity
2010-04-19,11.37657356262207,11.428403007082547,11.279393508722602,11.428403007082547,121600,Equity
2010-04-20,11.823604583740234,11.823604583740233,11.389532475621033,11.389532475621033,342700,Equity
2010-04-21,11.985572814941406,11.985572814941404,11.804169105859064,11.881913905669116,224100,Equity
2010-04-22,12.076274871826172,12.121625493248974,11.86247820246742,11.92078649735724,270900,Equity
2010-04-23,12.095705032348633,12.147534463296921,11.953174406168612,12.121619129967224,330000,Equity
2010-04-26,12.231761932373047,12.277113784635961,12.056838302205446,12.056838302205446,272800,Equity
2010-04-27,12.160496711730957,12.244719105363142,12.017964796137393,12.179931983339847,170800,Equity
2010-04-28,12.13458251953125,12.251199103091269,12.011488335294954,12.147540192307183,208700,Equity
2010-04-29,11.985572814941406,12.251198924415606,11.985572814941404,12.205848306072937,165600,Equity
2010-04-30,11.823604583740234,12.102188341509333,11.797689240826102,11.985571769818867,176600,Equity
2010-05-03,11.920783996582031,11.966134608491057,11.739381548945932,11.881912220047367,170500,Equity
2010-05-04,11.804167747497559,11.843040760785119,11.506148726562104,11.804167747497559,180300,Equity
2010-05-05,11.467275619506836,11.791209945078087,11.447839115116462,11.706986328431185,167700,Equity
2010-05-06,10.501947402954102,11.66163256815036,8.331588379039434,11.434878354405225,904000,Equity
2010-05-07,10.631524085998535,10.864757187492463,10.359419212826067,10.586173479755015,505400,Equity
2010-05-10,10.9943265914917,11.376569056373624,10.87123248197517,10.98784775903647,476800,Equity
2010-05-11,11.20164966583252,11.331222655726572,10.612088051467978,11.02672483197858,239200,Equity
2010-05-12,10.638007164001465,10.942505095749912,10.638007164001465,10.884196797117594,812000,Equity
2010-05-13,10.948978424072266,11.097987896399761,10.657438313306892,10.709267748712595,284700,Equity
2010-05-14,10.871237754821777,11.013768430835256,10.793492963361627,10.8971518615008,199600,Equity
2010-05-17,11.188691139221191,11.221084075285978,10.82588382959682,10.890670937437694,263400,Equity
2010-05-18,11.000812530517578,11.383055242329887,10.897153615691705,11.285875164144597,173100,Equity
2010-05-19,10.631524085998535,10.838841849232542,10.41772748819955,10.702790030501978,336800,Equity
2010-05-20,10.281676292419434,10.566738251267841,10.171538562945884,10.560259415920987,375600,Equity
2010-05-21,10.59265422821045,10.625047171176796,9.931827811719828,10.132667394532403,346800,Equity
2010-05-24,10.45012092590332,10.761098821362388,10.437164491864053,10.59913165661322,176300,Equity
2010-05-25,10.372380256652832,10.398294367632676,10.158583589294217,10.352943746634143,357500,Equity
2010-05-26,10.54730224609375,10.754620019903024,10.430685689398182,10.430685689398182,210700,Equity
2010-05-27,10.942502975463867,10.942502975463867,10.72222749791522,10.72222749791522,177100,Equity
2010-05-28,10.735184669494629,10.987853079028392,10.696312891653637,10.942502465595311,139500,Equity
2010-06-01,10.787014961242676,11.013769281834536,10.605612493338494,10.605612493338494,316400,Equity
2010-06-02,10.858283042907715,10.871240717634437,10.696315815959291,10.832367693454266,213400,Equity
2010-06-03,10.851802825927734,11.149821892483228,10.806452205861612,10.845323989388042,246100,Equity
2010-06-04,10.553779602050781,10.74813967883276,10.521385432112965,10.72870317687007,286400,Equity
2010-06-07,10.42420482635498,10.722223759294984,10.41124715908511,10.702788494101345,198900,Equity
2010-06-08,10.391817092895508,10.566740745708016,10.314072286091896,10.482518337739902,192900,Equity
2010-06-09,10.488993644714355,10.709269081530694,10.37237709161025,10.508428913090794,268100,Equity
2010-06-10,10.825886726379395,10.832365562468214,10.650963094827794,10.67039836738262,216000,Equity
2010-06-11,10.918584823608398,10.945070778445842,10.627245634995704,10.686837770460116,141900,Equity
2010-06-14,10.786158561706543,11.044390300153356,10.660352805293051,11.044390300153356,483300,Equity
2010-06-15,10.7530517578125,10.964934351988923,10.739808779946504,10.799400917423608,220300,Equity
2010-06-16,10.845748901367188,10.865613366012896,10.640487818373845,10.7398076157629,254500,Equity
2010-06-17,10.786158561706543,10.885478363961486,10.713323450690341,10.87885687542185,127500,Equity
2010-06-18,10.918584823608398,10.938449289736482,10.759672883343248,10.759672883343248,169600,Equity
2010-06-21,10.733183860778809,10.958309360873024,10.666971518449492,10.918581702891538,201600,Equity
2010-06-22,10.746427536010742,10.925203902978355,10.73980604876162,10.759670510508986,135700,Equity
2010-06-23,10.726569175720215,10.82588900341908,10.680218744068625,10.739810893271969,149200,Equity
2010-06-24,10.627249717712402,10.819269175293307,10.620629489379557,10.660357173978243,119600,Equity
2010-06-25,10.766297340393066,10.898723362331516,10.620628337384716,10.660356017674232,472400,Equity
2010-06-28,10.647109031677246,10.865613085459216,10.59413839024282,10.806020955980523,161800,Equity
2010-06-29,10.31604290008545,10.666974212491336,10.210101610098727,10.607382079008831,301000,Equity
2010-06-30,10.302801132202148,10.554411394297402,10.276315808220547,10.282936665620998,120400,Equity
2010-07-01,10.236588478088379,10.329287436552153,9.938628397150527,10.329287436552153,253500,Equity
2010-07-02,10.143891334533691,10.382259947100035,10.124027493973198,10.309424812611383,120200,Equity
2010-07-06,10.276315689086914,10.448469977241572,10.170373762928762,10.269694200303293,240300,Equity
2010-07-07,10.66035270690918,10.66035270690918,10.296179049568824,10.342528205998724,215300,Equity
2010-07-08,10.600764274597168,10.858996100817986,10.494822947792718,10.63387046562847,169600,Equity
2010-07-09,10.620628356933594,10.713326698753152,10.561035573469443,10.614006866386454,120000,Equity
2010-07-12,10.501440048217773,10.686837303764118,10.461712380616358,10.594138991720891,180700,Equity
2010-07-13,10.872237205505371,10.892101674447055,10.587519465274642,10.64711160917968,155900,Equity
2010-07-14,10.779536247253418,10.931826683237365,10.71994411788236,10.825885400559862,89100,Equity
2010-07-15,10.647109031677246,10.825885420113325,10.547789236852662,10.819263932069058,105700,Equity
2010-07-16,10.40874195098877,10.647109855896334,10.395498973875064,10.614003676031878,153700,Equity
2010-07-19,10.534544944763184,10.56765174938888,10.38887538328598,10.408739844937264,98600,Equity
2010-07-20,10.647109031677246,10.666973495810048,10.448468810568222,10.461711786656757,101400,Equity
2010-07-21,10.448470115661621,10.72656696511855,10.42860628050753,10.673596317067688,131800,Equity
2010-07-22,10.59414005279541,10.620626009128955,10.494820242384435,10.574276217005206,202700,Equity
2010-07-23,10.786158561706543,10.806021764405648,10.468334057862899,10.594139182816487,196800,Equity
2010-07-26,10.832508087158203,10.872235756828019,10.746429996133779,10.792779154568539,129600,Equity
2010-07-27,10.633868217468262,10.858993805062829,10.627246728077836,10.858993805062829,178700,Equity
2010-07-28,10.693459510803223,10.825886762266986,10.633867373936516,10.633867373936516,144700,Equity
2010-07-29,10.726569175720215,10.839131983890963,10.561035077122,10.779539834687618,112300,Equity
2010-07-30,10.620628356933594,10.839132493308401,10.554414082922305,10.633870075107682,183500,Equity
2010-08-02,10.7530517578125,10.79277942849061,10.600761301113181,10.79277942849061,168600,Equity
2010-08-03,10.832508087158203,10.865614268063075,10.607382520829498,10.680216371404185,122900,Equity
2010-08-04,10.958309173583984,10.984795120398621,10.799397281454535,10.852367912164352,157300,Equity
2010-08-05,10.38887882232666,10.660354204956318,10.011462766452723,10.428607127320753,768900,Equity
2010-08-06,10.183619499206543,10.36239532457463,10.031328373227707,10.296182313181303,585400,Equity
2010-08-09,9.951868057250977,10.269692520829556,9.93200422560851,10.263071033128794,328800,Equity
2010-08-10,9.693639755249023,9.918764732984743,9.600940789268403,9.918764732984743,404300,Equity
2010-08-11,9.687016487121582,9.720123299713453,9.534725401782948,9.534725401782948,434800,Equity
2010-08-12,9.534727096557617,9.6539113904891,9.481756439579188,9.547970076532245,283200,Equity
2010-08-13,9.355950355529785,9.547969125821904,9.336086519005766,9.50824082131389,249500,Equity
2010-08-16,9.276494026184082,9.35595000072695,9.236765723182671,9.302979351031704,362800,Equity
2010-08-17,9.296357154846191,9.382434611918645,9.236765020606809,9.382434611918645,244300,Equity
2010-08-18,9.461891174316406,9.554590125780578,9.256629435881434,9.316221573861263,212900,Equity
2010-08-19,9.256629943847656,9.448649346302101,9.23676610725098,9.448649346302101,216500,Equity
2010-08-20,9.302977561950684,9.369190545606163,9.170550963179894,9.329462881704842,242300,Equity
2010-08-23,9.170549392700195,9.488373175321971,9.150684932691542,9.342703625890461,242200,Equity
2010-08-24,8.998397827148438,9.170552754915887,8.998397827148438,9.137445940889846,315200,Equity
2010-08-25,9.157309532165527,9.183794856387049,8.938805449472982,8.998397586836393,216300,Equity
2010-08-26,9.157309532165527,9.250008482670825,9.130824207944004,9.216901669528937,212300,Equity
2010-08-27,9.402297973632812,9.422161806894312,9.084474115609334,9.243386044621074,229700,Equity
