Price,Close,High,Low,Open,Volume,Asset Class
Ticker,TMUS,TMUS,TMUS,TMUS,TMUS,Equity
Date,,,,,,Equity
2010-01-04,12.915303230285645,13.190787389733996,12.510180784542923,12.542590549293951,2656050,Equity
2010-01-05,12.947714805603027,13.077353882735446,12.785665959187504,12.882895267036817,2088600,Equity
2010-01-06,12.072649002075195,12.963918723392325,11.991624973679855,12.947713454087395,5595400,Equity
2010-01-07,12.186083793640137,12.412952159121396,11.943010158555323,12.13746875753926,4430250,Equity
2010-01-08,11.505477905273438,11.861986108858437,11.27860954017103,11.829576342415235,6763800,Equity
2010-01-11,11.651323318481445,11.910601474012763,11.424454932391544,11.456864701832957,4726350,Equity
2010-01-12,10.29011058807373,12.07264930233134,10.241496324369407,11.943010235506756,14308600,Equity
2010-01-13,10.25770092010498,10.662823394186281,9.998422783960082,10.614209130014011,7766750,Equity
2010-01-14,10.09565258026123,10.403545768392036,10.047037540994332,10.063242811653243,4879400,Equity
2010-01-15,10.241495132446289,10.306314658314772,10.014626019196902,10.176675606577808,5408950,Equity
2010-01-19,10.371135711669922,10.646619123539704,10.144267337716496,10.20908687313176,4774700,Equity
2010-01-20,10.111856460571289,10.41974962989577,10.063242196983616,10.322520330010638,2890200,Equity
2010-01-21,9.706733703613281,10.16047119566967,9.674323937945665,10.014626863810516,6068700,Equity
2010-01-22,9.528480529785156,9.90119322722365,9.512275260339676,9.836373694861285,2809200,Equity
2010-01-25,9.496070861816406,9.706733957817976,9.415046059170567,9.674324191301597,2664600,Equity
2010-01-26,9.317815780639648,9.528479627217482,9.317815780639648,9.512274359307016,3233100,Equity
2010-01-27,9.220586776733398,9.398840865717942,9.042332687748857,9.236791272435779,3177350,Equity
2010-01-28,8.961308479309082,9.269200845702509,8.961308479309082,9.220586586886583,3265000,Equity
2010-01-29,9.123358726501465,9.317817337663207,8.945104613248285,9.026129420920595,3224300,Equity
2010-02-01,9.609504699707031,9.739144539041366,9.139562696838158,9.171972463494296,5980600,Equity
2010-02-02,9.577095031738281,9.625710068578336,9.236792091987295,9.47986573076797,3521950,Equity
2010-02-03,9.852580070495605,10.06324397720204,9.447457529618584,9.512277074342112,4264950,Equity
2010-02-04,9.415046691894531,9.722939880846518,9.366432425207808,9.674324841449957,3922200,Equity
2010-02-05,9.528480529785156,9.56089029596634,9.10715279672,9.366431698879241,4351700,Equity
2010-02-08,9.512275695800781,9.706734301789973,9.366432127663794,9.496071198323255,2434150,Equity
2010-02-09,9.739145278930664,9.803964817167321,9.447456584155864,9.625710700661593,3083100,Equity
2010-02-10,9.36643123626709,9.836373209038493,9.317816203041545,9.722938646652047,3414750,Equity
2010-02-11,9.625709533691406,9.6419140299311,9.317816378039707,9.415045673607125,2367200,Equity
